# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	15572.4551	-0.0915	12001	0.4000	3,0,1	0.5000	49
511	22611.2461	0.4381	12001	0.4000	3,3,0	0.5000	60
477	16504.3164	0.1966	12001	0.4000	3,2,1	0.5000	57
478	13564.6738	0.4080	12001	0.4000	3,1,2	0.5000	54
508	13700.1475	0.1031	12001	0.4000	3,1,3	0.5000	55
493	7343.4141	-0.1159	12001	0.4000	3,2,3	0.5000	59
481	14362.7773	0.4036	12001	0.4000	1,0,2	0.5000	18
482	11202.6855	-0.1080	12001	0.4000	3,0,0	0.5000	48
496	12493.2109	0.1613	12001	0.4000	0,0,0	0.5000	0
484	13823.1016	-0.1805	12001	0.4000	3,1,0	0.5000	52
4294967886	4077.2148	0.2320	11900	0.4000	2,3,0	0.5000	44
513	8090.4844	0.0931	12001	0.4000	2,1,3	0.5000	39
501	17676.7715	-0.0787	12001	0.4000	2,2,3	0.5000	43
492	8094.5938	-0.2824	12001	0.4000	0,2,0	0.5000	8
489	12155.9336	0.0511	12001	0.4000	1,3,3	0.5000	31
495	6546.4004	-0.0711	12001	0.4000	0,1,0	0.5000	4
491	11785.4941	0.2231	12001	0.4000	0,1,0	0.5000	4
12884902538	11085.9434	0.4962	11650	0.4000	3,1,2	0.5000	54
12884902437	10067.5234	-0.2175	10300	0.4000	0,1,3	0.5000	7
12884902710	5372.6494	0.4910	11550	0.4000	0,1,2	0.5000	6
12884902631	11914.6094	0.0343	11500	0.4000	3,2,2	0.5000	58
4294968015	16510.4531	0.4118	11400	0.4000	2,2,0	0.5000	40
17179869909	10206.3184	-0.0143	11150	0.4000	3,3,2	0.5000	62
12884902425	5116.9697	-0.2866	9950	0.4000	0,0,3	0.5000	3
17179869701	9593.0898	0.2259	10600	0.4000	0,0,0	0.5000	0
25769804301	10489.7432	0.2030	9350	0.4000	3,3,0	0.5000	60
4294967812	8348.7812	-0.2256	9050	0.4000	2,3,3	0.5000	47
42949673823	5166.3716	0.3563	9200	0.4000	2,0,1	0.5000	33
12884902872	10714.7373	-0.2169	8200	0.4000	3,2,3	0.5000	59
21474837057	10471.7734	0.4851	8400	0.4000	2,0,1	0.5000	33
12884902941	7141.7544	-0.2621	7300	0.4000	0,1,3	0.5000	7
68719477257	7167.9956	-0.1719	7250	0.4000	0,1,2	0.5000	6
21474837466	6534.8994	0.3574	7100	0.4000	0,2,0	0.5000	8
30064772082	8652.9336	-0.0527	6700	0.4000	1,2,2	0.5000	26
47244641300	6530.7363	-0.2292	6100	0.4000	1,1,0	0.5000	20
8589935742	6734.3496	0.2423	6050	0.4000	3,0,1	0.5000	49
12884903281	3077.3523	-0.0008	3500	0.4000	2,0,2	0.5000	34
4294968493	3375.6143	-0.0737	5800	0.4000	3,1,2	0.5000	54
38654707229	716.4106	0.3160	800	0.4000	2,1,1	0.5000	37
30064772389	5174.5269	-0.0341	4300	0.4000	0,2,3	0.5000	11
1451	3278.7122	-0.0258	3550	0.4000	0,2,3	0.5000	11
17179870403	1663.5923	0.2767	4100	0.4000	1,0,2	0.5000	18
90194314516	942.9938	0.0387	1650	0.4000	1,3,3	0.5000	31
94489281941	581.6082	0.1366	700	0.4000	3,2,2	0.5000	58
30064772620	100.2758	0.2644	400	0.4000	2,0,1	0.5000	33
8589936179	147.8937	0.3362	350	0.4000	2,1,0	0.5000	36
8589936204	92.2315	-0.1536	200	0.4000	3,3,0	0.5000	60
111669151181	153.1170	0.0046	100	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.5565	11918	11937
933	482	505	-0.1480	11944	11989
4294967783	481	511	-0.1100	11886	11990
8589935505	496	8589935242	-0.0000	11657	343
4294968138	514	4294967886	-0.0000	11859	141
905	484	509	-0.0000	11958	42
751	481	505	0.7355	11983	11978
782	495	511	-0.2367	11980	11821
523	484	492	-0.3566	12000	11920
729	477	489	-0.3788	11985	11775
4294968075	495	4294967886	-0.2924	11850	11967
4294967974	481	482	-0.2339	11965	11963
4294967910	489	501	-0.4991	11956	11921
528	478	505	0.9881	12000	11994
8589935098	508	4294967886	-0.2798	11897	11998
904	484	511	-0.2293	11958	11914
681	496	508	-0.0316	11989	11686
671	489	513	-0.2771	11990	11788
4294967951	482	491	-0.5162	11940	11994
534	478	511	-0.2588	11999	11741
717	478	501	-0.4752	11986	11957
4294968124	477	482	-0.2627	11942	11868
4294967860	489	505	-0.2542	11898	11828
4294967963	481	513	-0.3111	11887	11976
780	508	511	-0.1548	11980	11951
8589935402	484	489	-0.1914	11808	11774
866	495	505	0.9093	11969	11961
8589935345	492	4294967886	-0.2570	11876	12000
8589935233	496	501	0.1112	11930	11972
4294968066	489	511	-0.2457	11963	11910
4294967844	495	496	-0.4742	11982	11971
546	505	508	-0.3672	11999	11991
4294967864	482	513	-0.4352	11898	11930
12884902700	501	511	-0.2844	11928	11932
675	481	489	-0.3187	11989	11895
716	477	492	0.2747	11986	11984
840	478	508	-0.1498	11972	11633
880	495	508	-0.4633	11967	11948
4294967826	484	501	-0.2171	11949	11814
4294967865	495	501	-0.3911	11899	11932
555	489	492	-0.3896	11998	11996
862	491	511	-0.3252	11970	11867
4294967904	501	513	-0.1928	11965	11868
8589935354	496	511	-0.3625	11902	11934
4294968080	482	508	-0.4765	11937	11821
930	482	511	-0.3334	11944	11847
785	477	493	-0.2788	11979	11988
562	491	505	-0.0998	11998	11794
4294968210	478	492	-0.4044	11934	11940
4294967868	484	508	-0.1594	11861	11830
4294968121	477	4294967886	-0.5490	11887	11918
566	477	501	-0.3897	11997	11897
567	478	484	-0.4961	11997	11984
8589935096	495	513	-0.4864	11912	11881
730	492	495	-0.3980	11985	11908
8589935271	484	4294967886	-0.4780	11837	11933
4294968149	482	484	-0.4215	11906	11937
4294967903	493	496	-0.6003	11982	11943
4294968023	477	478	-0.4529	11965	11916
869	505	511	-0.0702	11969	11871
575	477	511	-0.4656	11997	11962
576	478	513	-0.5286	11997	11994
4294968172	484	495	0.1776	11902	11964
739	482	489	-0.2865	11984	11781
4294968192	492	508	0.3998	11902	11997
4294967991	513	4294967886	-0.3675	11889	11928
4294967954	492	501	-0.3420	11905	11949
8589935099	481	493	-0.3351	11938	11982
738	478	493	-0.0902	11984	11915
4294967918	491	496	0.4676	11982	11985
17179869998	481	4294967886	-0.4287	11886	11893
4294967890	481	492	-0.3274	11962	11934
8589935294	477	495	-0.1986	11890	11615
4294968019	481	508	-0.2692	11956	11888
798	489	493	-0.0785	11978	11781
737	477	484	-0.0567	11984	11839
4294968037	478	496	-0.2435	11885	11958
736	493	511	-0.2952	11985	11918
8589935134	481	491	-0.1149	11963	11993
4294968082	496	4294967886	-0.2642	11842	11958
595	481	495	-0.2195	11995	11994
4294968186	492	496	-0.5081	11953	11946
897	496	505	-0.2952	11961	11999
815	481	496	-0.4250	11976	11834
599	492	513	-0.2785	11995	11965
4294968099	493	501	-0.2232	11910	11743
601	501	505	0.9920	11995	11996
4294967965	489	495	-0.4788	11956	11993
870	484	491	-0.3655	11968	11869
791	508	513	-0.0117	11979	11987
605	511	513	-0.4176	11995	11843
