# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	19186.4551	-0.0915	14001	0.4000	3,0,1	0.5000	49
511	23201.2461	0.4381	14001	0.4000	3,3,0	0.5000	60
477	16883.3164	0.1966	14001	0.4000	3,2,1	0.5000	57
478	13508.6738	0.4080	14001	0.4000	3,1,2	0.5000	54
508	12485.1475	0.1031	14001	0.4000	3,1,3	0.5000	55
493	9904.4141	-0.1159	14001	0.4000	3,2,3	0.5000	59
481	14159.7773	0.4036	14001	0.4000	1,0,2	0.5000	18
482	12362.6855	-0.1080	14001	0.4000	3,0,0	0.5000	48
496	13587.2109	0.1613	14001	0.4000	0,0,0	0.5000	0
484	15360.1016	-0.1805	14001	0.4000	3,1,0	0.5000	52
4294967886	3108.2148	0.2320	13900	0.4000	2,3,0	0.5000	44
513	6987.4844	0.0931	14001	0.4000	2,1,3	0.5000	39
501	19338.7715	-0.0787	14001	0.4000	2,2,3	0.5000	43
492	7986.5938	-0.2824	14001	0.4000	0,2,0	0.5000	8
489	14487.9336	0.0511	14001	0.4000	1,3,3	0.5000	31
495	6723.4004	-0.0711	14001	0.4000	0,1,0	0.5000	4
491	11856.4941	0.2231	14001	0.4000	0,1,0	0.5000	4
12884902538	13393.9434	0.4962	13650	0.4000	3,1,2	0.5000	54
12884902437	12155.5234	-0.2175	12300	0.4000	0,1,3	0.5000	7
12884902710	5467.6494	0.4910	13550	0.4000	0,1,2	0.5000	6
12884902631	12839.6094	0.0343	13500	0.4000	3,2,2	0.5000	58
4294968015	18610.4531	0.4118	13400	0.4000	2,2,0	0.5000	40
17179869909	12362.3184	-0.0143	13150	0.4000	3,3,2	0.5000	62
12884902425	6158.9697	-0.2866	11950	0.4000	0,0,3	0.5000	3
17179869701	10312.0898	0.2259	12600	0.4000	0,0,0	0.5000	0
25769804301	12332.7432	0.2030	11350	0.4000	3,3,0	0.5000	60
4294967812	8819.7812	-0.2256	11050	0.4000	2,3,3	0.5000	47
42949673823	5920.3716	0.3563	11200	0.4000	2,0,1	0.5000	33
12884902872	13146.7373	-0.2169	10200	0.4000	3,2,3	0.5000	59
21474837057	12149.7734	0.4851	10400	0.4000	2,0,1	0.5000	33
12884902941	7007.7544	-0.2621	9300	0.4000	0,1,3	0.5000	7
68719477257	7953.9956	-0.1719	9250	0.4000	0,1,2	0.5000	6
21474837466	7241.8994	0.3574	9100	0.4000	0,2,0	0.5000	8
30064772082	10766.9336	-0.0527	8700	0.4000	1,2,2	0.5000	26
47244641300	8208.7363	-0.2292	8100	0.4000	1,1,0	0.5000	20
8589935742	8815.3496	0.2423	8050	0.4000	3,0,1	0.5000	49
12884903281	5318.3525	-0.0008	5500	0.4000	2,0,2	0.5000	34
4294968493	3879.6143	-0.0737	7800	0.4000	3,1,2	0.5000	54
38654707229	3065.4106	0.3160	2800	0.4000	2,1,1	0.5000	37
30064772389	5257.5269	-0.0341	6300	0.4000	0,2,3	0.5000	11
1451	4815.7119	-0.0258	5550	0.4000	0,2,3	0.5000	11
17179870403	1827.5923	0.2767	6100	0.4000	1,0,2	0.5000	18
90194314516	497.9938	0.0387	3650	0.4000	1,3,3	0.5000	31
94489281941	1067.6082	0.1366	2700	0.4000	3,2,2	0.5000	58
111669151181	1407.1169	0.0046	2100	0.4000	3,2,1	0.5000	57
8589936179	2142.8936	0.3362	2350	0.4000	2,1,0	0.5000	36
30064772802	62.4891	-0.1719	500	0.4000	3,2,1	0.5000	57
12884903721	23.6280	0.2804	150	0.4000	2,1,2	0.5000	38
137438954567	542.8462	0.2548	1100	0.4000	3,2,2	0.5000	58
4294969131	47.1992	0.4901	50	0.4000	0,3,3	0.5000	15
8589936461	129.4675	-0.0519	100	0.4000	1,0,2	0.5000	18

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	0.1421	13918	13967
933	482	505	-0.3370	13944	13995
4294967783	481	511	-0.4473	13886	13852
8589935505	496	8589935242	-0.0000	13657	343
4294968138	514	4294967886	-0.0000	13859	141
905	484	509	-0.0000	13958	42
751	481	505	0.0189	13983	13980
782	495	511	-0.4798	13980	13935
523	484	492	-0.4651	14000	13788
729	477	489	-0.1712	13985	13902
4294968075	495	4294967886	-0.2269	13850	13934
4294967974	481	482	-0.0150	13965	13926
4294967910	489	501	-0.0955	13956	13934
528	478	505	0.8247	14000	13982
8589935098	508	4294967886	-0.7647	13897	13981
904	484	511	-0.1330	13958	13875
681	496	508	-0.2918	13989	13828
671	489	513	-0.3709	13990	13847
4294967951	482	491	-0.2958	13940	13858
534	478	511	-0.3802	13999	13969
717	478	501	-0.1386	13986	13952
4294968124	477	482	-0.3042	13942	13977
4294967860	489	505	-0.0969	13898	13949
4294967963	481	513	-0.2525	13887	13997
780	508	511	-0.6443	13980	13936
8589935402	484	489	-0.2234	13808	13911
866	495	505	0.8490	13969	13992
8589935345	492	4294967886	-0.3016	13876	13902
8589935233	496	501	-0.4242	13930	13959
4294968066	489	511	0.0695	13963	13902
4294967844	495	496	-0.3561	13982	13983
546	505	508	-0.6041	13999	13982
4294967864	482	513	-0.3277	13898	13926
12884902700	501	511	-0.0557	13928	13985
675	481	489	0.1777	13989	13953
716	477	492	-0.1861	13986	13840
840	478	508	-0.2246	13972	13764
880	495	508	-0.3016	13967	13734
4294967826	484	501	-0.3967	13949	13927
4294967865	495	501	-0.3582	13899	13916
555	489	492	-0.2123	13998	13892
862	491	511	-0.1372	13970	13946
4294967904	501	513	-0.4450	13965	13852
8589935354	496	511	-0.2435	13902	13738
4294968080	482	508	0.1301	13937	13969
930	482	511	-0.0648	13944	13921
785	477	493	-0.4824	13979	13999
562	491	505	0.0008	13998	13969
4294968210	478	492	-0.4956	13934	13962
4294967868	484	508	-0.2537	13861	13969
4294968121	477	4294967886	-0.3287	13887	13913
566	477	501	-0.1036	13997	13973
567	478	484	-0.3376	13997	13846
8589935096	495	513	-0.3184	13912	13703
730	492	495	-0.3367	13985	13968
8589935271	484	4294967886	-0.0255	13837	13973
4294968149	482	484	-0.4043	13906	13838
4294967903	493	496	-0.0987	13982	13909
4294968023	477	478	-0.3889	13965	13992
869	505	511	-0.1076	13969	13592
575	477	511	-0.2826	13997	13856
576	478	513	-0.3816	13997	13782
4294968172	484	495	-0.2655	13902	13926
739	482	489	-0.5677	13984	13907
4294968192	492	508	-0.2031	13902	13862
4294967991	513	4294967886	-0.6974	13889	13966
4294967954	492	501	-0.3232	13905	13964
8589935099	481	493	-0.4665	13938	13937
738	478	493	-0.0815	13984	13956
4294967918	491	496	0.9724	13982	13986
17179869998	481	4294967886	-0.1644	13886	13969
4294967890	481	492	-0.1142	13962	13988
8589935294	477	495	-0.1844	13890	13548
4294968019	481	508	-0.1713	13956	13844
798	489	493	-0.1638	13978	13879
737	477	484	-0.2585	13984	13919
4294968037	478	496	-0.4017	13885	13935
736	493	511	-0.3281	13985	13960
8589935134	481	491	-0.2948	13963	13834
4294968082	496	4294967886	0.1012	13842	13885
595	481	495	0.1101	13995	13965
4294968186	492	496	-0.3718	13953	13841
897	496	505	-0.1362	13961	13963
815	481	496	-0.4170	13976	13955
599	492	513	-0.4496	13995	13987
4294968099	493	501	-0.0767	13910	13990
601	501	505	0.8681	13995	13988
4294967965	489	495	-0.3627	13956	13915
870	484	491	-0.7245	13968	13991
791	508	513	-0.4281	13979	13885
605	511	513	-0.3672	13995	13846
4294968156	481	484	-0.0173	13902	13831
4294968092	489	4294967886	-0.3770	13892	13943
4294968212	477	481	0.1546	13915	13978
924	482	493	-0.2273	13945	13794
610	478	491	-0.4670	13994	13847
4294967931	491	508	-0.3831	13903	13961
