# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	20570.4551	-0.0915	16001	0.4000	3,0,1	0.5000	49
511	22727.2461	0.4381	16001	0.4000	3,3,0	0.5000	60
477	17385.3164	0.1966	16001	0.4000	3,2,1	0.5000	57
478	12917.6738	0.4080	16001	0.4000	3,1,2	0.5000	54
508	10867.1475	0.1031	16001	0.4000	3,1,3	0.5000	55
493	11693.4141	-0.1159	16001	0.4000	3,2,3	0.5000	59
481	13180.7773	0.4036	16001	0.4000	1,0,2	0.5000	18
482	13504.6855	-0.1080	16001	0.4000	3,0,0	0.5000	48
496	15617.2109	0.1613	16001	0.4000	0,0,0	0.5000	0
484	15239.1016	-0.1805	16001	0.4000	3,1,0	0.5000	52
4294967886	3705.2148	0.2320	15900	0.4000	2,3,0	0.5000	44
513	6740.4844	0.0931	16001	0.4000	2,1,3	0.5000	39
501	21921.7715	-0.0787	16001	0.4000	2,2,3	0.5000	43
492	7363.5938	-0.2824	16001	0.4000	0,2,0	0.5000	8
489	15668.9336	0.0511	16001	0.4000	1,3,3	0.5000	31
495	6556.4004	-0.0711	16001	0.4000	0,1,0	0.5000	4
491	11661.4941	0.2231	16001	0.4000	0,1,0	0.5000	4
12884902538	16613.9434	0.4962	15650	0.4000	3,1,2	0.5000	54
12884902437	14193.5234	-0.2175	14300	0.4000	0,1,3	0.5000	7
12884902710	5254.6494	0.4910	15550	0.4000	0,1,2	0.5000	6
12884902631	12309.6094	0.0343	15500	0.4000	3,2,2	0.5000	58
4294968015	18774.4531	0.4118	15400	0.4000	2,2,0	0.5000	40
17179869909	13510.3184	-0.0143	15150	0.4000	3,3,2	0.5000	62
12884902425	7633.9697	-0.2866	13950	0.4000	0,0,3	0.5000	3
17179869701	11355.0898	0.2259	14600	0.4000	0,0,0	0.5000	0
25769804301	13340.7432	0.2030	13350	0.4000	3,3,0	0.5000	60
4294967812	11015.7812	-0.2256	13050	0.4000	2,3,3	0.5000	47
42949673823	5644.3716	0.3563	13200	0.4000	2,0,1	0.5000	33
12884902872	14852.7373	-0.2169	12200	0.4000	3,2,3	0.5000	59
21474837057	13635.7734	0.4851	12400	0.4000	2,0,1	0.5000	33
12884902941	7097.7544	-0.2621	11300	0.4000	0,1,3	0.5000	7
68719477257	7525.9956	-0.1719	11250	0.4000	0,1,2	0.5000	6
21474837466	8057.8994	0.3574	11100	0.4000	0,2,0	0.5000	8
30064772082	11180.9336	-0.0527	10700	0.4000	1,2,2	0.5000	26
47244641300	9613.7363	-0.2292	10100	0.4000	1,1,0	0.5000	20
8589935742	10255.3496	0.2423	10050	0.4000	3,0,1	0.5000	49
12884903281	6548.3525	-0.0008	7500	0.4000	2,0,2	0.5000	34
4294968493	4980.6143	-0.0737	9800	0.4000	3,1,2	0.5000	54
38654707229	4991.4106	0.3160	4800	0.4000	2,1,1	0.5000	37
30064772389	4950.5269	-0.0341	8300	0.4000	0,2,3	0.5000	11
1451	5714.7119	-0.0258	7550	0.4000	0,2,3	0.5000	11
17179870403	245.5923	0.2767	8100	0.4000	1,0,2	0.5000	18
90194314516	915.9938	0.0387	5650	0.4000	1,3,3	0.5000	31
94489281941	2015.6082	0.1366	4700	0.4000	3,2,2	0.5000	58
111669151181	4499.1172	0.0046	4100	0.4000	3,2,1	0.5000	57
8589936179	4461.8936	0.3362	4350	0.4000	2,1,0	0.5000	36
137438954567	1582.8462	0.2548	3100	0.4000	3,2,2	0.5000	58
64424511294	70.7298	-0.0836	200	0.4000	2,0,2	0.5000	34
51539609453	520.5761	-0.0676	750	0.4000	0,0,2	0.5000	2
47244642019	666.2143	0.3777	950	0.4000	1,3,2	0.5000	30
81604380358	113.8434	0.1386	100	0.4000	2,0,0	0.5000	32

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.1160	15918	15814
933	482	505	-0.3374	15944	15996
4294967783	481	511	-0.4833	15886	15965
8589935505	496	8589935242	-0.0000	15657	343
4294968138	514	4294967886	-0.0000	15859	141
905	484	509	-0.0000	15958	42
751	481	505	-0.2159	15983	15979
782	495	511	-0.4374	15980	15930
523	484	492	-0.2763	16000	15808
729	477	489	-0.2943	15985	15863
4294968075	495	4294967886	-0.1956	15850	15965
4294967974	481	482	-0.6982	15965	15958
4294967910	489	501	-0.4313	15956	15698
528	478	505	-0.4457	16000	16000
8589935098	508	4294967886	-0.1795	15897	15989
904	484	511	-0.2245	15958	15791
681	496	508	-0.3011	15989	15917
671	489	513	-0.4258	15990	15968
4294967951	482	491	0.1619	15940	15948
534	478	511	-0.1811	15999	15947
717	478	501	-0.1354	15986	15543
4294968124	477	482	-0.4064	15942	15980
4294967860	489	505	-0.2977	15898	15940
4294967963	481	513	-0.4690	15887	15954
780	508	511	-0.6028	15980	15898
8589935402	484	489	-0.2457	15808	15967
866	495	505	0.9920	15969	15996
8589935345	492	4294967886	-0.5008	15876	15996
8589935233	496	501	-0.1383	15930	15959
4294968066	489	511	-0.2694	15963	15781
4294967844	495	496	-0.4282	15982	15998
546	505	508	-0.6637	15999	15921
4294967864	482	513	-0.2592	15898	15693
12884902700	501	511	-0.2968	15928	15782
675	481	489	-0.5320	15989	15906
716	477	492	-0.4016	15986	15974
840	478	508	-0.3895	15972	15929
880	495	508	0.2035	15967	15866
4294967826	484	501	-0.2363	15949	15867
4294967865	495	501	-0.4160	15899	15980
555	489	492	-0.4341	15998	15861
862	491	511	-0.3190	15970	15925
4294967904	501	513	-0.1877	15965	15835
8589935354	496	511	-0.4871	15902	15954
4294968080	482	508	-0.2940	15937	15987
930	482	511	-0.3524	15944	15917
785	477	493	-0.0849	15979	15873
562	491	505	0.1602	15998	15990
4294968210	478	492	-0.3618	15934	15838
4294967868	484	508	-0.4456	15861	15904
4294968121	477	4294967886	0.2368	15887	15968
566	477	501	-0.2238	15997	15635
567	478	484	-0.2157	15997	15787
8589935096	495	513	-0.1884	15912	15965
730	492	495	-0.4827	15985	15992
8589935271	484	4294967886	-0.3078	15837	15960
4294968149	482	484	-0.5785	15906	15925
4294967903	493	496	0.2951	15982	15989
4294968023	477	478	-0.3329	15965	15900
869	505	511	-0.1402	15969	15738
575	477	511	-0.3342	15997	15749
576	478	513	-0.4513	15997	15778
4294968172	484	495	0.1008	15902	15918
739	482	489	-0.4258	15984	15902
4294968192	492	508	-0.4399	15902	15897
4294967991	513	4294967886	-0.3753	15889	15996
4294967954	492	501	-0.1907	15905	15838
8589935099	481	493	-0.2201	15938	15996
738	478	493	0.9802	15984	15990
4294967918	491	496	1.0000	15982	16000
17179869998	481	4294967886	-0.3440	15886	15956
4294967890	481	492	-0.1569	15962	15903
8589935294	477	495	-0.2100	15890	15968
4294968019	481	508	-0.6178	15956	15981
798	489	493	-0.2566	15978	15866
737	477	484	-0.2855	15984	15825
4294968037	478	496	-0.1253	15885	15758
736	493	511	-0.1086	15985	15849
8589935134	481	491	-0.3294	15963	15764
4294968082	496	4294967886	-0.2731	15842	15881
595	481	495	-0.3032	15995	15856
4294968186	492	496	-0.1396	15953	15996
897	496	505	-0.3098	15961	15907
815	481	496	-0.0307	15976	15813
599	492	513	-0.5370	15995	15897
4294968099	493	501	-0.1604	15910	15905
601	501	505	-0.3177	15995	15999
4294967965	489	495	0.3067	15956	15980
870	484	491	-0.3153	15968	15946
791	508	513	-0.3135	15979	15782
605	511	513	-0.4700	15995	15984
4294968156	481	484	-0.5163	15902	15950
4294968092	489	4294967886	-0.0594	15892	15969
4294968212	477	481	0.9960	15915	15998
924	482	493	-0.2472	15945	15782
610	478	491	-0.1448	15994	15834
4294967931	491	508	-0.3574	15903	16000
