# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	21162.4551	-0.0915	18001	0.4000	3,0,1	0.5000	49
511	23693.2461	0.4381	18001	0.4000	3,3,0	0.5000	60
477	18152.3164	0.1966	18001	0.4000	3,2,1	0.5000	57
478	12970.6738	0.4080	18001	0.4000	3,1,2	0.5000	54
508	10450.1475	0.1031	18001	0.4000	3,1,3	0.5000	55
493	13117.4141	-0.1159	18001	0.4000	3,2,3	0.5000	59
481	12322.7773	0.4036	18001	0.4000	1,0,2	0.5000	18
482	15008.6855	-0.1080	18001	0.4000	3,0,0	0.5000	48
496	15500.2109	0.1613	18001	0.4000	0,0,0	0.5000	0
484	14820.1016	-0.1805	18001	0.4000	3,1,0	0.5000	52
4294967886	3228.2148	0.2320	17900	0.4000	2,3,0	0.5000	44
513	7374.4844	0.0931	18001	0.4000	2,1,3	0.5000	39
501	24125.7715	-0.0787	18001	0.4000	2,2,3	0.5000	43
492	6596.5938	-0.2824	18001	0.4000	0,2,0	0.5000	8
489	16117.9336	0.0511	18001	0.4000	1,3,3	0.5000	31
495	6632.4004	-0.0711	18001	0.4000	0,1,0	0.5000	4
491	12437.4941	0.2231	18001	0.4000	0,1,0	0.5000	4
12884902538	18394.9434	0.4962	17650	0.4000	3,1,2	0.5000	54
12884902437	16106.5234	-0.2175	16300	0.4000	0,1,3	0.5000	7
12884902710	4652.6494	0.4910	17550	0.4000	0,1,2	0.5000	6
12884902631	12285.6094	0.0343	17500	0.4000	3,2,2	0.5000	58
4294968015	19521.4531	0.4118	17400	0.4000	2,2,0	0.5000	40
17179869909	15182.3184	-0.0143	17150	0.4000	3,3,2	0.5000	62
12884902425	9795.9697	-0.2866	15950	0.4000	0,0,3	0.5000	3
17179869701	10842.0898	0.2259	16600	0.4000	0,0,0	0.5000	0
25769804301	14064.7432	0.2030	15350	0.4000	3,3,0	0.5000	60
4294967812	11922.7812	-0.2256	15050	0.4000	2,3,3	0.5000	47
42949673823	4188.3716	0.3563	15200	0.4000	2,0,1	0.5000	33
12884902872	16446.7383	-0.2169	14200	0.4000	3,2,3	0.5000	59
21474837057	15474.7734	0.4851	14400	0.4000	2,0,1	0.5000	33
12884902941	8448.7539	-0.2621	13300	0.4000	0,1,3	0.5000	7
68719477257	7772.9956	-0.1719	13250	0.4000	0,1,2	0.5000	6
21474837466	10120.8994	0.3574	13100	0.4000	0,2,0	0.5000	8
30064772082	11100.9336	-0.0527	12700	0.4000	1,2,2	0.5000	26
47244641300	11971.7363	-0.2292	12100	0.4000	1,1,0	0.5000	20
8589935742	10291.3496	0.2423	12050	0.4000	3,0,1	0.5000	49
12884903281	7965.3525	-0.0008	9500	0.4000	2,0,2	0.5000	34
4294968493	6813.6143	-0.0737	11800	0.4000	3,1,2	0.5000	54
38654707229	6832.4106	0.3160	6800	0.4000	2,1,1	0.5000	37
30064772389	5983.5269	-0.0341	10300	0.4000	0,2,3	0.5000	11
1451	7098.7119	-0.0258	9550	0.4000	0,2,3	0.5000	11
17179871251	48.9960	-0.2039	150	0.4000	2,2,0	0.5000	40
90194314516	1732.9938	0.0387	7650	0.4000	1,3,3	0.5000	31
94489281941	2889.6082	0.1366	6700	0.4000	3,2,2	0.5000	58
111669151181	4409.1172	0.0046	6100	0.4000	3,2,1	0.5000	57
8589936179	5527.8936	0.3362	6350	0.4000	2,1,0	0.5000	36
137438954567	476.8462	0.2548	5100	0.4000	3,2,2	0.5000	58
64424511294	1754.7297	-0.0836	2200	0.4000	2,0,2	0.5000	34
51539609453	3224.5762	-0.0676	2750	0.4000	0,0,2	0.5000	2
47244642019	604.2144	0.3777	2950	0.4000	1,3,2	0.5000	30
81604380358	1284.8434	0.1386	2100	0.4000	2,0,0	0.5000	32
4294969260	668.9425	-0.1390	1000	0.4000	3,2,2	0.5000	58
94489282241	193.9620	0.0231	800	0.4000	1,3,2	0.5000	30
21474837799	21.7518	0.0615	50	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.0875	17918	17988
933	482	505	-0.1043	17944	17961
4294967783	481	511	-0.3451	17886	17915
8589935505	496	8589935242	-0.0000	17657	343
4294968138	514	4294967886	-0.0000	17859	141
905	484	509	-0.0000	17958	42
751	481	505	0.1306	17983	17910
782	495	511	-0.3688	17980	17979
523	484	492	-0.2353	18000	17974
729	477	489	-0.3421	17985	17984
4294968075	495	4294967886	-0.1676	17850	17959
4294967974	481	482	-0.1912	17965	17713
4294967910	489	501	-0.1231	17956	17522
528	478	505	-0.1713	18000	17988
8589935098	508	4294967886	-0.4224	17897	17934
904	484	511	0.0492	17958	17987
681	496	508	-0.1691	17989	17639
671	489	513	-0.2749	17990	17742
4294967951	482	491	0.7486	17940	18000
534	478	511	-0.2945	17999	17818
717	478	501	-0.1811	17986	17878
4294968124	477	482	-0.3260	17942	17935
4294967860	489	505	0.4739	17898	17936
4294967963	481	513	-0.3284	17887	17873
780	508	511	-0.1762	17980	17977
8589935402	484	489	0.0684	17808	17963
866	495	505	0.8792	17969	17995
8589935345	492	4294967886	-0.2438	17876	17968
8589935233	496	501	-0.1633	17930	17944
4294968066	489	511	-0.3240	17963	17733
4294967844	495	496	-0.1922	17982	17867
546	505	508	-0.3539	17999	17814
4294967864	482	513	-0.2410	17898	17766
12884902700	501	511	-0.2914	17928	17883
675	481	489	-0.0681	17989	17970
716	477	492	-0.2777	17986	17941
840	478	508	-0.3632	17972	17996
880	495	508	-0.3472	17967	17935
4294967826	484	501	-0.2774	17949	17815
4294967865	495	501	-0.3735	17899	17975
555	489	492	-0.1056	17998	17880
862	491	511	-0.5234	17970	17840
4294967904	501	513	-0.2609	17965	17965
8589935354	496	511	-0.2672	17902	17824
4294968080	482	508	-0.2615	17937	17841
930	482	511	-0.0254	17944	17979
785	477	493	-0.3044	17979	17883
562	491	505	-0.4835	17998	17858
4294968210	478	492	-0.3060	17934	17965
4294967868	484	508	-0.1786	17861	17638
4294968121	477	4294967886	-0.3036	17887	17829
566	477	501	-0.0942	17997	17451
567	478	484	-0.3822	17997	17991
8589935096	495	513	0.1143	17912	17891
730	492	495	-0.2596	17985	17976
8589935271	484	4294967886	-0.5126	17837	17976
4294968149	482	484	-0.1367	17906	17573
4294967903	493	496	-0.1295	17982	17938
4294968023	477	478	0.0787	17965	17956
869	505	511	-0.1281	17969	17964
575	477	511	-0.2650	17997	17978
576	478	513	0.9782	17997	17989
4294968172	484	495	-0.4265	17902	17972
739	482	489	-0.5002	17984	17893
4294968192	492	508	-0.4689	17902	18000
4294967991	513	4294967886	0.0799	17889	17897
4294967954	492	501	-0.5630	17905	17917
8589935099	481	493	-0.2147	17938	17690
738	478	493	0.6591	17984	17982
4294967918	491	496	0.9743	17982	17987
17179869998	481	4294967886	-0.3471	17886	17777
4294967890	481	492	-0.0223	17962	17949
8589935294	477	495	-0.2436	17890	17988
4294968019	481	508	-0.2987	17956	17988
798	489	493	-0.2526	17978	17820
737	477	484	-0.3333	17984	17894
4294968037	478	496	-0.3938	17885	17953
736	493	511	-0.4861	17985	17966
8589935134	481	491	0.0662	17963	18000
4294968082	496	4294967886	-0.4547	17842	17894
595	481	495	-0.5763	17995	17989
4294968186	492	496	-0.1853	17953	17536
897	496	505	-0.4607	17961	17821
815	481	496	-0.4787	17976	17975
599	492	513	-0.4126	17995	17903
4294968099	493	501	-0.3268	17910	17993
601	501	505	-0.5357	17995	17957
4294967965	489	495	0.9861	17956	17993
870	484	491	-0.5166	17968	17918
791	508	513	-0.4072	17979	17905
605	511	513	-0.5456	17995	17969
4294968156	481	484	-0.1761	17902	17707
4294968092	489	4294967886	-0.1509	17892	17878
4294968212	477	481	0.8740	17915	17973
924	482	493	-0.4494	17945	17958
610	478	491	-0.1721	17994	17544
4294967931	491	508	-0.1969	17903	17773
861	477	508	-0.2922	17970	17930
4294968205	484	493	-0.2470	17910	17898
8589935137	481	501	-0.0653	17943	17995
4294968204	482	4294967886	-0.5374	17877	17924
8589935194	505	4294967886	-0.0129	17893	17967
