# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	22901.4551	-0.0915	20001	0.4000	3,0,1	0.5000	49
511	24907.2461	0.4381	20001	0.4000	3,3,0	0.5000	60
477	18588.3164	0.1966	20001	0.4000	3,2,1	0.5000	57
478	12359.6738	0.4080	20001	0.4000	3,1,2	0.5000	54
508	11675.1475	0.1031	20001	0.4000	3,1,3	0.5000	55
493	14349.4141	-0.1159	20001	0.4000	3,2,3	0.5000	59
481	11953.7773	0.4036	20001	0.4000	1,0,2	0.5000	18
482	15952.6855	-0.1080	20001	0.4000	3,0,0	0.5000	48
496	16405.2109	0.1613	20001	0.4000	0,0,0	0.5000	0
484	15801.1016	-0.1805	20001	0.4000	3,1,0	0.5000	52
4294967886	2788.2148	0.2320	19900	0.4000	2,3,0	0.5000	44
513	8944.4844	0.0931	20001	0.4000	2,1,3	0.5000	39
501	25050.7715	-0.0787	20001	0.4000	2,2,3	0.5000	43
492	6530.5938	-0.2824	20001	0.4000	0,2,0	0.5000	8
489	16618.9336	0.0511	20001	0.4000	1,3,3	0.5000	31
495	6832.4004	-0.0711	20001	0.4000	0,1,0	0.5000	4
491	14345.4941	0.2231	20001	0.4000	0,1,0	0.5000	4
12884902538	19432.9434	0.4962	19650	0.4000	3,1,2	0.5000	54
12884902437	18166.5234	-0.2175	18300	0.4000	0,1,3	0.5000	7
12884902710	5036.6494	0.4910	19550	0.4000	0,1,2	0.5000	6
12884902631	12893.6094	0.0343	19500	0.4000	3,2,2	0.5000	58
4294968015	19862.4531	0.4118	19400	0.4000	2,2,0	0.5000	40
17179869909	18145.3184	-0.0143	19150	0.4000	3,3,2	0.5000	62
12884902425	11754.9697	-0.2866	17950	0.4000	0,0,3	0.5000	3
17179869701	11350.0898	0.2259	18600	0.4000	0,0,0	0.5000	0
25769804301	13526.7432	0.2030	17350	0.4000	3,3,0	0.5000	60
4294967812	12000.7812	-0.2256	17050	0.4000	2,3,3	0.5000	47
42949673823	3752.3716	0.3563	17200	0.4000	2,0,1	0.5000	33
12884902872	17549.7383	-0.2169	16200	0.4000	3,2,3	0.5000	59
21474837057	16246.7734	0.4851	16400	0.4000	2,0,1	0.5000	33
12884902941	9595.7539	-0.2621	15300	0.4000	0,1,3	0.5000	7
68719477257	7559.9956	-0.1719	15250	0.4000	0,1,2	0.5000	6
21474837466	12188.8994	0.3574	15100	0.4000	0,2,0	0.5000	8
30064772082	10710.9336	-0.0527	14700	0.4000	1,2,2	0.5000	26
47244641300	11909.7363	-0.2292	14100	0.4000	1,1,0	0.5000	20
8589935742	10175.3496	0.2423	14050	0.4000	3,0,1	0.5000	49
12884903281	9538.3525	-0.0008	11500	0.4000	2,0,2	0.5000	34
4294968493	6368.6143	-0.0737	13800	0.4000	3,1,2	0.5000	54
38654707229	8214.4102	0.3160	8800	0.4000	2,1,1	0.5000	37
30064772389	7282.5269	-0.0341	12300	0.4000	0,2,3	0.5000	11
1451	8303.7119	-0.0258	11550	0.4000	0,2,3	0.5000	11
73014445797	104.9125	0.2377	200	0.4000	2,2,2	0.5000	42
90194314516	3813.9937	0.0387	9650	0.4000	1,3,3	0.5000	31
94489281941	3267.6082	0.1366	8700	0.4000	3,2,2	0.5000	58
111669151181	4054.1172	0.0046	8100	0.4000	3,2,1	0.5000	57
8589936179	4903.8936	0.3362	8350	0.4000	2,1,0	0.5000	36
137438954567	1240.8462	0.2548	7100	0.4000	3,2,2	0.5000	58
64424511294	2838.7297	-0.0836	4200	0.4000	2,0,2	0.5000	34
51539609453	5839.5762	-0.0676	4750	0.4000	0,0,2	0.5000	2
64424510693	351.8585	0.1933	1150	0.4000	2,3,1	0.5000	45
81604380358	3423.8433	0.1386	4100	0.4000	2,0,0	0.5000	32
4294969260	3300.9424	-0.1390	3000	0.4000	3,2,2	0.5000	58
94489282241	2034.9620	0.0231	2800	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.3417	19918	19998
933	482	505	-0.4051	19944	19934
4294967783	481	511	-0.4242	19886	19891
8589935505	496	8589935242	-0.0000	19657	343
4294968138	514	4294967886	-0.0000	19859	141
905	484	509	-0.0000	19958	42
751	481	505	-0.2635	19983	19876
782	495	511	-0.6374	19980	19994
523	484	492	-0.0964	20000	19873
729	477	489	0.0361	19985	19925
4294968075	495	4294967886	-0.1408	19850	19769
4294967974	481	482	-0.3558	19965	19841
4294967910	489	501	-0.1561	19956	19762
528	478	505	-0.3430	20000	19865
8589935098	508	4294967886	-0.2362	19897	19967
904	484	511	-0.1713	19958	19899
681	496	508	-0.4306	19989	19950
671	489	513	-0.1126	19990	20000
4294967951	482	491	1.0000	19940	20000
534	478	511	-0.5035	19999	19902
717	478	501	0.1078	19986	19825
4294968124	477	482	0.1630	19942	19908
4294967860	489	505	-0.1312	19898	19903
4294967963	481	513	-0.1866	19887	19990
780	508	511	0.3309	19980	19967
8589935402	484	489	-0.3588	19808	19955
866	495	505	0.6150	19969	19977
8589935345	492	4294967886	-0.5898	19876	19993
8589935233	496	501	-0.0033	19930	19995
4294968066	489	511	-0.0605	19963	19884
4294967844	495	496	-0.2190	19982	19975
546	505	508	-0.3588	19999	19777
4294967864	482	513	-0.2901	19898	19829
12884902700	501	511	0.2822	19928	19972
675	481	489	-0.3823	19989	19925
716	477	492	0.2249	19986	19939
840	478	508	-0.3868	19972	19937
880	495	508	-0.2772	19967	19865
4294967826	484	501	-0.3406	19949	19873
4294967865	495	501	-0.3936	19899	19943
555	489	492	-0.3459	19998	19773
862	491	511	-0.0906	19970	19661
4294967904	501	513	0.8477	19965	19979
8589935354	496	511	-0.1368	19902	19988
4294968080	482	508	-0.2032	19937	19849
930	482	511	0.1048	19944	19795
785	477	493	-0.2179	19979	19548
562	491	505	0.0351	19998	19968
4294968210	478	492	-0.1117	19934	19966
4294967868	484	508	-0.3128	19861	19922
4294968121	477	4294967886	-0.5282	19887	19946
566	477	501	-0.0703	19997	19959
567	478	484	-0.0123	19997	19833
8589935096	495	513	-0.5215	19912	19999
730	492	495	-0.3087	19985	19952
8589935271	484	4294967886	-0.4734	19837	19998
4294968149	482	484	-0.4908	19906	19823
4294967903	493	496	-0.2672	19982	19922
4294968023	477	478	-0.3145	19965	19855
869	505	511	-0.2228	19969	19805
575	477	511	-0.4042	19997	19915
576	478	513	0.8518	19997	19997
4294968172	484	495	-0.2828	19902	19884
739	482	489	0.3667	19984	19993
4294968192	492	508	-0.3686	19902	19921
4294967991	513	4294967886	-0.0487	19889	19999
4294967954	492	501	-0.3205	19905	19994
8589935099	481	493	0.0408	19938	19863
738	478	493	-0.0790	19984	19926
4294967918	491	496	0.3553	19982	20000
17179869998	481	4294967886	-0.2936	19886	19947
4294967890	481	492	-0.4068	19962	19969
8589935294	477	495	-0.1787	19890	19830
4294968019	481	508	-0.4761	19956	19937
798	489	493	-0.0850	19978	19980
737	477	484	-0.0963	19984	19697
4294968037	478	496	-0.2903	19885	19987
736	493	511	0.0736	19985	19993
8589935134	481	491	-0.1014	19963	19927
4294968082	496	4294967886	-0.1117	19842	19847
595	481	495	-0.4611	19995	19942
4294968186	492	496	-0.2550	19953	19684
897	496	505	-0.1202	19961	19994
815	481	496	0.0794	19976	19959
599	492	513	-0.3568	19995	19849
4294968099	493	501	-0.2407	19910	19967
601	501	505	-0.3180	19995	19811
4294967965	489	495	0.4670	19956	19911
870	484	491	-0.2282	19968	19897
791	508	513	-0.2115	19979	19813
605	511	513	0.0034	19995	19896
4294968156	481	484	-0.2409	19902	19771
4294968092	489	4294967886	-0.3288	19892	19994
4294968212	477	481	0.9881	19915	19994
924	482	493	-0.4383	19945	19871
610	478	491	-0.1852	19994	19860
4294967931	491	508	0.6922	19903	19964
861	477	508	-0.3448	19970	19946
4294968205	484	493	-0.2730	19910	19941
8589935137	481	501	-0.2951	19943	20000
4294968204	482	4294967886	-0.3082	19877	19957
