# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	25344.4551	-0.0915	22001	0.4000	3,0,1	0.5000	49
511	25576.2461	0.4381	22001	0.4000	3,3,0	0.5000	60
477	20301.3164	0.1966	22001	0.4000	3,2,1	0.5000	57
478	13825.6738	0.4080	22001	0.4000	3,1,2	0.5000	54
508	12805.1475	0.1031	22001	0.4000	3,1,3	0.5000	55
493	15044.4141	-0.1159	22001	0.4000	3,2,3	0.5000	59
481	12041.7773	0.4036	22001	0.4000	1,0,2	0.5000	18
482	18374.6855	-0.1080	22001	0.4000	3,0,0	0.5000	48
496	16461.2109	0.1613	22001	0.4000	0,0,0	0.5000	0
484	17229.1016	-0.1805	22001	0.4000	3,1,0	0.5000	52
4294967886	3919.2148	0.2320	21900	0.4000	2,3,0	0.5000	44
513	10985.4844	0.0931	22001	0.4000	2,1,3	0.5000	39
501	25492.7715	-0.0787	22001	0.4000	2,2,3	0.5000	43
492	7137.5938	-0.2824	22001	0.4000	0,2,0	0.5000	8
489	17289.9336	0.0511	22001	0.4000	1,3,3	0.5000	31
495	6457.4004	-0.0711	22001	0.4000	0,1,0	0.5000	4
491	15628.4941	0.2231	22001	0.4000	0,1,0	0.5000	4
12884902538	20179.9434	0.4962	21650	0.4000	3,1,2	0.5000	54
12884902437	19817.5234	-0.2175	20300	0.4000	0,1,3	0.5000	7
12884902710	5489.6494	0.4910	21550	0.4000	0,1,2	0.5000	6
12884902631	14379.6094	0.0343	21500	0.4000	3,2,2	0.5000	58
4294968015	20347.4531	0.4118	21400	0.4000	2,2,0	0.5000	40
17179869909	20027.3184	-0.0143	21150	0.4000	3,3,2	0.5000	62
12884902425	14243.9697	-0.2866	19950	0.4000	0,0,3	0.5000	3
17179869701	12278.0898	0.2259	20600	0.4000	0,0,0	0.5000	0
25769804301	13025.7432	0.2030	19350	0.4000	3,3,0	0.5000	60
4294967812	13000.7812	-0.2256	19050	0.4000	2,3,3	0.5000	47
42949673823	4914.3716	0.3563	19200	0.4000	2,0,1	0.5000	33
12884902872	18942.7383	-0.2169	18200	0.4000	3,2,3	0.5000	59
21474837057	17779.7734	0.4851	18400	0.4000	2,0,1	0.5000	33
12884902941	10208.7539	-0.2621	17300	0.4000	0,1,3	0.5000	7
68719477257	8155.9956	-0.1719	17250	0.4000	0,1,2	0.5000	6
21474837466	13566.8994	0.3574	17100	0.4000	0,2,0	0.5000	8
30064772082	11837.9336	-0.0527	16700	0.4000	1,2,2	0.5000	26
47244641300	11632.7363	-0.2292	16100	0.4000	1,1,0	0.5000	20
8589935742	9315.3496	0.2423	16050	0.4000	3,0,1	0.5000	49
12884903281	10869.3525	-0.0008	13500	0.4000	2,0,2	0.5000	34
4294968493	4894.6143	-0.0737	15800	0.4000	3,1,2	0.5000	54
38654707229	8798.4102	0.3160	10800	0.4000	2,1,1	0.5000	37
30064772389	7784.5269	-0.0341	14300	0.4000	0,2,3	0.5000	11
1451	10792.7119	-0.0258	13550	0.4000	0,2,3	0.5000	11
90194314716	128.4589	-0.1438	100	0.4000	3,0,0	0.5000	48
90194314516	5591.9937	0.0387	11650	0.4000	1,3,3	0.5000	31
94489281941	4201.6084	0.1366	10700	0.4000	3,2,2	0.5000	58
111669151181	4902.1172	0.0046	10100	0.4000	3,2,1	0.5000	57
8589936179	6191.8936	0.3362	10350	0.4000	2,1,0	0.5000	36
137438954567	2054.8462	0.2548	9100	0.4000	3,2,2	0.5000	58
64424511294	2811.7297	-0.0836	6200	0.4000	2,0,2	0.5000	34
51539609453	6317.5762	-0.0676	6750	0.4000	0,0,2	0.5000	2
64424510693	2042.8584	0.1933	3150	0.4000	2,3,1	0.5000	45
81604380358	5638.8433	0.1386	6100	0.4000	2,0,0	0.5000	32
4294969260	4122.9424	-0.1390	5000	0.4000	3,2,2	0.5000	58
94489282241	3994.9619	0.0231	4800	0.4000	1,3,2	0.5000	30
124554052775	111.8140	-0.0802	500	0.4000	1,0,3	0.5000	19
73014446073	81.8843	0.2854	350	0.4000	3,3,0	0.5000	60
90194314986	49.7387	-0.0726	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.2831	21918	21857
933	482	505	-0.1347	21944	21603
4294967783	481	511	-0.1499	21886	21983
8589935505	496	8589935242	-0.0000	21657	343
4294968138	514	4294967886	-0.0000	21859	141
905	484	509	-0.0000	21958	42
751	481	505	-0.2911	21983	21897
782	495	511	-0.2824	21980	21928
523	484	492	-0.6088	22000	21942
729	477	489	-0.2173	21985	21943
4294968075	495	4294967886	-0.0156	21850	21758
4294967974	481	482	-0.1779	21965	21964
4294967910	489	501	-0.3300	21956	21986
528	478	505	-0.2539	22000	21882
8589935098	508	4294967886	-0.4030	21897	21988
904	484	511	-0.2149	21958	21998
681	496	508	-0.0665	21989	21998
671	489	513	-0.1747	21990	21673
4294967951	482	491	-0.3408	21940	21870
534	478	511	-0.1624	21999	21890
717	478	501	0.8222	21986	21979
4294968124	477	482	-0.3613	21942	21972
4294967860	489	505	-0.0836	21898	21948
4294967963	481	513	0.2550	21887	21872
780	508	511	-0.3583	21980	21904
8589935402	484	489	-0.1876	21808	21937
866	495	505	0.9821	21969	21991
8589935345	492	4294967886	-0.3412	21876	21873
8589935233	496	501	-0.4194	21930	21883
4294968066	489	511	-0.0376	21963	21900
4294967844	495	496	-0.4038	21982	21831
546	505	508	-0.3924	21999	21949
4294967864	482	513	-0.2101	21898	21635
12884902700	501	511	0.0130	21928	21978
675	481	489	-0.1946	21989	21736
716	477	492	0.1558	21986	21991
840	478	508	-0.2804	21972	21820
880	495	508	-0.2092	21967	21745
4294967826	484	501	-0.2053	21949	21905
4294967865	495	501	-0.0474	21899	21948
555	489	492	-0.1784	21998	22000
862	491	511	-0.2091	21970	21950
4294967904	501	513	0.9881	21965	21994
8589935354	496	511	-0.2161	21902	21962
4294968080	482	508	-0.0362	21937	21939
930	482	511	-0.1639	21944	21612
785	477	493	-0.0712	21979	21994
562	491	505	-0.5205	21998	21942
4294968210	478	492	-0.1606	21934	22000
4294967868	484	508	-0.3201	21861	21886
4294968121	477	4294967886	-0.2058	21887	21829
566	477	501	-0.3579	21997	21772
567	478	484	-0.3107	21997	21964
8589935096	495	513	-0.2437	21912	21893
730	492	495	-0.2136	21985	21997
8589935271	484	4294967886	-0.2806	21837	21945
4294968149	482	484	-0.1387	21906	21956
4294967903	493	496	-0.1631	21982	21574
4294968023	477	478	0.2094	21965	21956
869	505	511	-0.1632	21969	21867
575	477	511	-0.3073	21997	21917
576	478	513	0.9229	21997	21980
4294968172	484	495	-0.2106	21902	21950
739	482	489	-0.2067	21984	21912
4294968192	492	508	-0.1001	21902	21867
4294967991	513	4294967886	-0.5231	21889	21952
4294967954	492	501	-0.6404	21905	21965
8589935099	481	493	-0.4246	21938	21978
738	478	493	-0.4330	21984	21992
4294967918	491	496	-0.1739	21982	21991
17179869998	481	4294967886	-0.2837	21886	21809
4294967890	481	492	-0.3423	21962	21924
8589935294	477	495	-0.3173	21890	21986
4294968019	481	508	-0.3807	21956	21891
798	489	493	-0.5026	21978	21997
737	477	484	0.6664	21984	21951
4294968037	478	496	-0.4323	21885	21886
736	493	511	-0.3249	21985	21823
8589935134	481	491	-0.2892	21963	21927
4294968082	496	4294967886	0.3825	21842	21978
595	481	495	-0.3764	21995	21931
4294968186	492	496	-0.0617	21953	21786
897	496	505	-0.0580	21961	21907
815	481	496	-0.3404	21976	21864
599	492	513	-0.1390	21995	21963
4294968099	493	501	-0.4731	21910	21949
601	501	505	-0.3673	21995	21974
4294967965	489	495	-0.4553	21956	21998
870	484	491	-0.2580	21968	21835
791	508	513	-0.4139	21979	22000
605	511	513	-0.2562	21995	21920
4294968156	481	484	-0.0294	21902	21953
4294968092	489	4294967886	-0.3045	21892	21917
4294968212	477	481	-0.2482	21915	21710
924	482	493	-0.3824	21945	21974
610	478	491	0.2583	21994	21979
4294967931	491	508	0.6452	21903	21972
861	477	508	0.4975	21970	21953
4294968205	484	493	0.0341	21910	21890
8589935137	481	501	-0.1831	21943	21998
4294968204	482	4294967886	0.0640	21877	21827
8589935194	505	4294967886	-0.0258	21893	21923
685	496	513	-0.1767	21989	21917
858	491	492	-0.0154	21970	21984
619	492	511	0.9278	21994	21997
8589935119	482	495	-0.4541	21935	21815
