# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	26511.4551	-0.0915	24001	0.4000	3,0,1	0.5000	49
511	26047.2461	0.4381	24001	0.4000	3,3,0	0.5000	60
477	22102.3164	0.1966	24001	0.4000	3,2,1	0.5000	57
478	14424.6738	0.4080	24001	0.4000	3,1,2	0.5000	54
508	14541.1475	0.1031	24001	0.4000	3,1,3	0.5000	55
493	16739.4141	-0.1159	24001	0.4000	3,2,3	0.5000	59
481	13185.7773	0.4036	24001	0.4000	1,0,2	0.5000	18
482	21529.6855	-0.1080	24001	0.4000	3,0,0	0.5000	48
496	17945.2109	0.1613	24001	0.4000	0,0,0	0.5000	0
484	19298.1016	-0.1805	24001	0.4000	3,1,0	0.5000	52
4294967886	4117.2148	0.2320	23900	0.4000	2,3,0	0.5000	44
513	13115.4844	0.0931	24001	0.4000	2,1,3	0.5000	39
501	27040.7715	-0.0787	24001	0.4000	2,2,3	0.5000	43
492	7742.5938	-0.2824	24001	0.4000	0,2,0	0.5000	8
489	16781.9336	0.0511	24001	0.4000	1,3,3	0.5000	31
495	7087.4004	-0.0711	24001	0.4000	0,1,0	0.5000	4
491	17104.4941	0.2231	24001	0.4000	0,1,0	0.5000	4
12884902538	21009.9434	0.4962	23650	0.4000	3,1,2	0.5000	54
12884902437	21900.5234	-0.2175	22300	0.4000	0,1,3	0.5000	7
12884902710	7086.6494	0.4910	23550	0.4000	0,1,2	0.5000	6
12884902631	15817.6094	0.0343	23500	0.4000	3,2,2	0.5000	58
4294968015	21174.4531	0.4118	23400	0.4000	2,2,0	0.5000	40
17179869909	20907.3184	-0.0143	23150	0.4000	3,3,2	0.5000	62
12884902425	15178.9697	-0.2866	21950	0.4000	0,0,3	0.5000	3
17179869701	13809.0898	0.2259	22600	0.4000	0,0,0	0.5000	0
25769804301	13273.7432	0.2030	21350	0.4000	3,3,0	0.5000	60
4294967812	14599.7812	-0.2256	21050	0.4000	2,3,3	0.5000	47
42949673823	6843.3716	0.3563	21200	0.4000	2,0,1	0.5000	33
12884902872	19593.7383	-0.2169	20200	0.4000	3,2,3	0.5000	59
21474837057	18106.7734	0.4851	20400	0.4000	2,0,1	0.5000	33
12884902941	10207.7539	-0.2621	19300	0.4000	0,1,3	0.5000	7
68719477257	9372.9961	-0.1719	19250	0.4000	0,1,2	0.5000	6
21474837466	14486.8994	0.3574	19100	0.4000	0,2,0	0.5000	8
30064772082	13483.9336	-0.0527	18700	0.4000	1,2,2	0.5000	26
47244641300	12467.7363	-0.2292	18100	0.4000	1,1,0	0.5000	20
8589935742	9925.3496	0.2423	18050	0.4000	3,0,1	0.5000	49
12884903281	10681.3525	-0.0008	15500	0.4000	2,0,2	0.5000	34
4294968493	3984.6143	-0.0737	17800	0.4000	3,1,2	0.5000	54
38654707229	12677.4102	0.3160	12800	0.4000	2,1,1	0.5000	37
30064772389	8339.5273	-0.0341	16300	0.4000	0,2,3	0.5000	11
1451	11845.7119	-0.0258	15550	0.4000	0,2,3	0.5000	11
73014446073	2944.8843	0.2854	2350	0.4000	3,3,0	0.5000	60
90194314516	6935.9937	0.0387	13650	0.4000	1,3,3	0.5000	31
94489281941	4844.6084	0.1366	12700	0.4000	3,2,2	0.5000	58
111669151181	5865.1172	0.0046	12100	0.4000	3,2,1	0.5000	57
8589936179	8239.8936	0.3362	12350	0.4000	2,1,0	0.5000	36
137438954567	2648.8462	0.2548	11100	0.4000	3,2,2	0.5000	58
64424511294	1318.7297	-0.0836	8200	0.4000	2,0,2	0.5000	34
51539609453	8252.5762	-0.0676	8750	0.4000	0,0,2	0.5000	2
64424510693	3331.8584	0.1933	5150	0.4000	2,3,1	0.5000	45
81604380358	6023.8433	0.1386	8100	0.4000	2,0,0	0.5000	32
4294969260	5036.9424	-0.1390	7000	0.4000	3,2,2	0.5000	58
94489282241	3646.9619	0.0231	6800	0.4000	1,3,2	0.5000	30
42949675060	2112.5493	-0.1918	1700	0.4000	2,1,0	0.5000	36
60129544332	171.7019	-0.0051	50	0.4000	3,3,0	0.5000	60

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.1819	23918	23924
933	482	505	-0.1256	23944	23826
4294967783	481	511	-0.0367	23886	23989
8589935505	496	8589935242	-0.0000	23657	343
4294968138	514	4294967886	-0.0000	23859	141
905	484	509	-0.0000	23958	42
751	481	505	-0.4340	23983	23963
782	495	511	-0.1966	23980	23816
523	484	492	-0.0429	24000	23714
729	477	489	-0.3197	23985	23950
4294968075	495	4294967886	-0.4687	23850	23988
4294967974	481	482	-0.1782	23965	23988
4294967910	489	501	-0.3979	23956	23998
528	478	505	-0.2812	24000	23775
8589935098	508	4294967886	-0.3988	23897	23935
904	484	511	-0.1566	23958	23984
681	496	508	-0.1643	23989	23985
671	489	513	-0.1014	23990	23884
4294967951	482	491	-0.3316	23940	23958
534	478	511	-0.2615	23999	23999
717	478	501	0.8561	23986	23977
4294968124	477	482	-0.4342	23942	23991
4294967860	489	505	-0.2684	23898	23910
4294967963	481	513	0.9920	23887	23996
780	508	511	-0.1674	23980	23948
8589935402	484	489	-0.2054	23808	23743
866	495	505	1.0000	23969	24000
8589935345	492	4294967886	-0.4331	23876	23996
8589935233	496	501	-0.5413	23930	23981
4294968066	489	511	-0.2289	23963	23745
4294967844	495	496	-0.1949	23982	23841
546	505	508	-0.2898	23999	23916
4294967864	482	513	-0.3124	23898	23910
12884902700	501	511	-0.1347	23928	23508
675	481	489	-0.3938	23989	23929
716	477	492	0.9900	23986	23995
840	478	508	-0.1526	23972	23718
880	495	508	-0.5910	23967	23992
4294967826	484	501	-0.0553	23949	23985
4294967865	495	501	-0.2997	23899	23809
555	489	492	-0.1336	23998	23973
862	491	511	0.9569	23970	23978
4294967904	501	513	0.9665	23965	23983
8589935354	496	511	-0.2670	23902	23875
4294968080	482	508	-0.4017	23937	23951
930	482	511	-0.4720	23944	23974
785	477	493	0.9763	23979	23988
562	491	505	0.1274	23998	23972
4294968210	478	492	0.9821	23934	23991
4294967868	484	508	-0.1000	23861	23959
4294968121	477	4294967886	-0.0512	23887	23821
566	477	501	-0.4241	23997	23897
567	478	484	-0.3524	23997	23995
8589935096	495	513	-0.0519	23912	23962
730	492	495	-0.2689	23985	23919
8589935271	484	4294967886	-0.2176	23837	23649
4294968149	482	484	0.8222	23906	23976
4294967903	493	496	-0.2758	23982	23879
4294968023	477	478	-0.4292	23965	23997
869	505	511	0.1073	23969	23917
575	477	511	-0.2947	23997	23989
576	478	513	-0.2433	23997	23987
4294968172	484	495	-0.0641	23902	23944
739	482	489	-0.4533	23984	23994
4294968192	492	508	-0.3580	23902	23983
4294967991	513	4294967886	-0.3825	23889	23858
4294967954	492	501	0.0667	23905	23976
8589935099	481	493	-0.2447	23938	23845
738	478	493	-0.3179	23984	23877
4294967918	491	496	-0.0074	23982	23956
17179869998	481	4294967886	-0.0735	23886	23928
4294967890	481	492	-0.5909	23962	23986
8589935294	477	495	-0.1727	23890	23840
4294968019	481	508	-0.3575	23956	23905
798	489	493	-0.2456	23978	23841
737	477	484	-0.0765	23984	23955
4294968037	478	496	-0.4520	23885	23980
736	493	511	-0.1644	23985	23797
8589935134	481	491	-0.1481	23963	23978
4294968082	496	4294967886	0.5651	23842	23993
595	481	495	-0.0971	23995	23924
4294968186	492	496	-0.2173	23953	23938
897	496	505	-0.0389	23961	23966
815	481	496	-0.1653	23976	23753
599	492	513	-0.1930	23995	23860
4294968099	493	501	-0.3536	23910	24000
601	501	505	-0.1876	23995	23942
4294967965	489	495	-0.4842	23956	23968
870	484	491	-0.3104	23968	23983
791	508	513	-0.2029	23979	23762
605	511	513	-0.2287	23995	23919
4294968156	481	484	-0.1292	23902	23839
4294968092	489	4294967886	-0.1752	23892	23829
4294968212	477	481	-0.2130	23915	23866
924	482	493	-0.1511	23945	23773
610	478	491	-0.2480	23994	23717
4294967931	491	508	0.9704	23903	23985
861	477	508	0.9662	23970	23999
4294968205	484	493	-0.3249	23910	23983
8589935137	481	501	-0.0865	23943	23906
4294968204	482	4294967886	0.1781	23877	23786
8589935194	505	4294967886	0.3198	23893	23971
685	496	513	-0.1986	23989	23844
858	491	492	-0.3051	23970	23919
619	492	511	0.3463	23994	23990
