# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	28653.4551	-0.0915	26001	0.4000	3,0,1	0.5000	49
511	27783.2461	0.4381	26001	0.4000	3,3,0	0.5000	60
477	23954.3164	0.1966	26001	0.4000	3,2,1	0.5000	57
478	13772.6738	0.4080	26001	0.4000	3,1,2	0.5000	54
508	15124.1475	0.1031	26001	0.4000	3,1,3	0.5000	55
493	18042.4141	-0.1159	26001	0.4000	3,2,3	0.5000	59
481	13009.7773	0.4036	26001	0.4000	1,0,2	0.5000	18
482	24070.6855	-0.1080	26001	0.4000	3,0,0	0.5000	48
496	16633.2109	0.1613	26001	0.4000	0,0,0	0.5000	0
484	20728.1016	-0.1805	26001	0.4000	3,1,0	0.5000	52
4294967886	3635.2148	0.2320	25900	0.4000	2,3,0	0.5000	44
513	14341.4844	0.0931	26001	0.4000	2,1,3	0.5000	39
501	28015.7715	-0.0787	26001	0.4000	2,2,3	0.5000	43
492	9351.5938	-0.2824	26001	0.4000	0,2,0	0.5000	8
489	14773.9336	0.0511	26001	0.4000	1,3,3	0.5000	31
495	8368.4004	-0.0711	26001	0.4000	0,1,0	0.5000	4
491	19529.4941	0.2231	26001	0.4000	0,1,0	0.5000	4
12884902538	20404.9434	0.4962	25650	0.4000	3,1,2	0.5000	54
12884902437	21466.5234	-0.2175	24300	0.4000	0,1,3	0.5000	7
12884902710	8640.6494	0.4910	25550	0.4000	0,1,2	0.5000	6
12884902631	16249.6094	0.0343	25500	0.4000	3,2,2	0.5000	58
4294968015	21665.4531	0.4118	25400	0.4000	2,2,0	0.5000	40
17179869909	22351.3184	-0.0143	25150	0.4000	3,3,2	0.5000	62
12884902425	15735.9697	-0.2866	23950	0.4000	0,0,3	0.5000	3
17179869701	15174.0898	0.2259	24600	0.4000	0,0,0	0.5000	0
25769804301	13511.7432	0.2030	23350	0.4000	3,3,0	0.5000	60
4294967812	13824.7812	-0.2256	23050	0.4000	2,3,3	0.5000	47
42949673823	7606.3716	0.3563	23200	0.4000	2,0,1	0.5000	33
12884902872	21188.7383	-0.2169	22200	0.4000	3,2,3	0.5000	59
21474837057	17649.7734	0.4851	22400	0.4000	2,0,1	0.5000	33
12884902941	11229.7539	-0.2621	21300	0.4000	0,1,3	0.5000	7
68719477257	9666.9961	-0.1719	21250	0.4000	0,1,2	0.5000	6
21474837466	16406.8984	0.3574	21100	0.4000	0,2,0	0.5000	8
30064772082	14445.9336	-0.0527	20700	0.4000	1,2,2	0.5000	26
47244641300	15320.7363	-0.2292	20100	0.4000	1,1,0	0.5000	20
8589935742	10973.3496	0.2423	20050	0.4000	3,0,1	0.5000	49
12884903281	11071.3525	-0.0008	17500	0.4000	2,0,2	0.5000	34
4294968493	4277.6143	-0.0737	19800	0.4000	3,1,2	0.5000	54
38654707229	16888.4102	0.3160	14800	0.4000	2,1,1	0.5000	37
30064772389	9235.5273	-0.0341	18300	0.4000	0,2,3	0.5000	11
1451	12862.7119	-0.0258	17550	0.4000	0,2,3	0.5000	11
73014446073	6508.8843	0.2854	4350	0.4000	3,3,0	0.5000	60
90194314516	7343.9937	0.0387	15650	0.4000	1,3,3	0.5000	31
94489281941	5174.6084	0.1366	14700	0.4000	3,2,2	0.5000	58
111669151181	5476.1172	0.0046	14100	0.4000	3,2,1	0.5000	57
8589936179	8857.8936	0.3362	14350	0.4000	2,1,0	0.5000	36
137438954567	4739.8462	0.2548	13100	0.4000	3,2,2	0.5000	58
64424511294	1464.7297	-0.0836	10200	0.4000	2,0,2	0.5000	34
51539609453	9658.5762	-0.0676	10750	0.4000	0,0,2	0.5000	2
64424510693	3744.8584	0.1933	7150	0.4000	2,3,1	0.5000	45
81604380358	5573.8433	0.1386	10100	0.4000	2,0,0	0.5000	32
4294969260	5807.9424	-0.1390	9000	0.4000	3,2,2	0.5000	58
94489282241	2800.9619	0.0231	8800	0.4000	1,3,2	0.5000	30
42949675060	4275.5493	-0.1918	3700	0.4000	2,1,0	0.5000	36
4294969528	155.8060	0.4685	450	0.4000	1,2,2	0.5000	26
25769806073	98.9139	0.4006	50	0.4000	0,1,3	0.5000	7
111669151056	19.0643	-0.0989	100	0.4000	2,2,0	0.5000	40

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.1170	25918	25836
933	482	505	-0.2723	25944	25694
4294967783	481	511	-0.0390	25886	25736
8589935505	496	8589935242	-0.0000	25657	343
4294968138	514	4294967886	-0.0000	25859	141
905	484	509	-0.0000	25958	42
751	481	505	-0.3483	25983	25941
782	495	511	-0.2033	25980	25761
523	484	492	-0.3647	26000	25822
729	477	489	-0.2885	25985	25880
4294968075	495	4294967886	-0.3641	25850	25968
4294967974	481	482	-0.3406	25965	25767
4294967910	489	501	-0.3093	25956	25912
528	478	505	-0.4325	26000	25984
8589935098	508	4294967886	-0.5033	25897	25989
904	484	511	-0.1855	25958	25948
681	496	508	-0.2198	25989	25828
671	489	513	0.4731	25990	25945
4294967951	482	491	-0.3886	25940	25989
534	478	511	-0.0171	25999	25927
717	478	501	0.9960	25986	25998
4294968124	477	482	-0.3289	25942	25833
4294967860	489	505	-0.3674	25898	25966
4294967963	481	513	-0.2755	25887	25895
780	508	511	-0.2014	25980	25981
8589935402	484	489	0.0359	25808	25790
866	495	505	0.8436	25969	25972
8589935345	492	4294967886	-0.5035	25876	25928
8589935233	496	501	-0.2686	25930	25766
4294968066	489	511	-0.5178	25963	25982
4294967844	495	496	-0.2733	25982	25795
546	505	508	-0.2497	25999	25976
4294967864	482	513	0.0036	25898	25871
12884902700	501	511	-0.1517	25928	25891
675	481	489	-0.4485	25989	25947
716	477	492	0.9802	25986	25990
840	478	508	-0.3771	25972	25993
880	495	508	-0.2984	25967	25938
4294967826	484	501	-0.2756	25949	25862
4294967865	495	501	0.2916	25899	25960
555	489	492	-0.3185	25998	25809
862	491	511	0.4981	25970	25931
4294967904	501	513	-0.4236	25965	25992
8589935354	496	511	-0.5765	25902	25978
4294968080	482	508	-0.1681	25937	25863
930	482	511	-0.0921	25944	25483
785	477	493	-0.1273	25979	25803
562	491	505	-0.2175	25998	26000
4294968210	478	492	0.4082	25934	25982
4294967868	484	508	-0.3948	25861	25975
4294968121	477	4294967886	-0.3093	25887	25798
566	477	501	-0.2362	25997	25973
567	478	484	-0.0434	25997	26000
8589935096	495	513	-0.5126	25912	25932
730	492	495	-0.1901	25985	25971
8589935271	484	4294967886	0.0343	25837	25907
4294968149	482	484	0.6173	25906	25990
4294967903	493	496	-0.1335	25982	25881
4294968023	477	478	-0.1699	25965	25985
869	505	511	-0.2234	25969	26000
575	477	511	-0.2699	25997	25874
576	478	513	-0.1210	25997	25938
4294968172	484	495	0.1902	25902	25995
739	482	489	-0.2509	25984	25922
4294968192	492	508	-0.2885	25902	25775
4294967991	513	4294967886	-0.2233	25889	25819
4294967954	492	501	-0.1837	25905	25933
8589935099	481	493	-0.1768	25938	25852
738	478	493	-0.2313	25984	25841
4294967918	491	496	-0.4948	25982	25973
17179869998	481	4294967886	-0.2916	25886	25967
4294967890	481	492	-0.1496	25962	25936
8589935294	477	495	-0.1622	25890	25703
4294968019	481	508	-0.2002	25956	25553
798	489	493	-0.2878	25978	25915
737	477	484	-0.4906	25984	26000
4294968037	478	496	-0.2829	25885	25735
736	493	511	-0.2025	25985	25975
8589935134	481	491	-0.1164	25963	25894
4294968082	496	4294967886	0.1003	25842	26000
595	481	495	-0.2826	25995	25993
4294968186	492	496	-0.1027	25953	25974
897	496	505	-0.2295	25961	25945
815	481	496	-0.2529	25976	25850
599	492	513	-0.1570	25995	25703
4294968099	493	501	-0.3178	25910	25999
601	501	505	-0.1836	25995	25903
4294967965	489	495	-0.2080	25956	25685
870	484	491	-0.1135	25968	25869
791	508	513	-0.3591	25979	25991
605	511	513	0.3586	25995	25994
4294968156	481	484	-0.4354	25902	25978
4294968092	489	4294967886	-0.3646	25892	25918
4294968212	477	481	-0.2475	25915	25869
924	482	493	0.2009	25945	25881
610	478	491	-0.3912	25994	25994
4294967931	491	508	0.8792	25903	25992
861	477	508	-0.4567	25970	25989
4294968205	484	493	-0.2420	25910	25681
8589935137	481	501	-0.4686	25943	25918
4294968204	482	4294967886	-0.1052	25877	25773
8589935194	505	4294967886	-0.1214	25893	25952
685	496	513	-0.1001	25989	25950
858	491	492	-0.2163	25970	25677
619	492	511	0.5283	25994	25988
8589935119	482	495	-0.1245	25935	25863
8589935225	493	505	-0.3091	25943	25965
4294967885	484	496	-0.1361	25962	25708
