# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
505	30011.4551	-0.0915	28001	0.4000	3,0,1	0.5000	49
511	29418.2461	0.4381	28001	0.4000	3,3,0	0.5000	60
477	24412.3164	0.1966	28001	0.4000	3,2,1	0.5000	57
478	13251.6738	0.4080	28001	0.4000	3,1,2	0.5000	54
508	14651.1475	0.1031	28001	0.4000	3,1,3	0.5000	55
493	18408.4141	-0.1159	28001	0.4000	3,2,3	0.5000	59
481	14293.7773	0.4036	28001	0.4000	1,0,2	0.5000	18
482	26005.6855	-0.1080	28001	0.4000	3,0,0	0.5000	48
496	17915.2109	0.1613	28001	0.4000	0,0,0	0.5000	0
484	21010.1016	-0.1805	28001	0.4000	3,1,0	0.5000	52
4294967886	2711.2148	0.2320	27900	0.4000	2,3,0	0.5000	44
513	14472.4844	0.0931	28001	0.4000	2,1,3	0.5000	39
501	28965.7715	-0.0787	28001	0.4000	2,2,3	0.5000	43
492	11030.5938	-0.2824	28001	0.4000	0,2,0	0.5000	8
489	13747.9336	0.0511	28001	0.4000	1,3,3	0.5000	31
495	9700.4004	-0.0711	28001	0.4000	0,1,0	0.5000	4
491	20492.4941	0.2231	28001	0.4000	0,1,0	0.5000	4
12884902538	19602.9434	0.4962	27650	0.4000	3,1,2	0.5000	54
12884902437	21452.5234	-0.2175	26300	0.4000	0,1,3	0.5000	7
12884902710	7125.6494	0.4910	27550	0.4000	0,1,2	0.5000	6
12884902631	16676.6094	0.0343	27500	0.4000	3,2,2	0.5000	58
4294968015	22470.4531	0.4118	27400	0.4000	2,2,0	0.5000	40
17179869909	23411.3184	-0.0143	27150	0.4000	3,3,2	0.5000	62
12884902425	16059.9697	-0.2866	25950	0.4000	0,0,3	0.5000	3
17179869701	16114.0898	0.2259	26600	0.4000	0,0,0	0.5000	0
25769804301	13624.7432	0.2030	25350	0.4000	3,3,0	0.5000	60
4294967812	14499.7812	-0.2256	25050	0.4000	2,3,3	0.5000	47
42949673823	9127.3711	0.3563	25200	0.4000	2,0,1	0.5000	33
12884902872	22783.7383	-0.2169	24200	0.4000	3,2,3	0.5000	59
21474837057	15940.7734	0.4851	24400	0.4000	2,0,1	0.5000	33
12884902941	11262.7539	-0.2621	23300	0.4000	0,1,3	0.5000	7
68719477257	9332.9961	-0.1719	23250	0.4000	0,1,2	0.5000	6
21474837466	16563.8984	0.3574	23100	0.4000	0,2,0	0.5000	8
30064772082	15672.9336	-0.0527	22700	0.4000	1,2,2	0.5000	26
47244641300	17951.7363	-0.2292	22100	0.4000	1,1,0	0.5000	20
8589935742	11754.3496	0.2423	22050	0.4000	3,0,1	0.5000	49
12884903281	11014.3525	-0.0008	19500	0.4000	2,0,2	0.5000	34
4294968493	3941.6143	-0.0737	21800	0.4000	3,1,2	0.5000	54
38654707229	18807.4102	0.3160	16800	0.4000	2,1,1	0.5000	37
30064772389	9341.5273	-0.0341	20300	0.4000	0,2,3	0.5000	11
1451	14458.7119	-0.0258	19550	0.4000	0,2,3	0.5000	11
73014446073	7346.8843	0.2854	6350	0.4000	3,3,0	0.5000	60
90194314516	7998.9937	0.0387	17650	0.4000	1,3,3	0.5000	31
94489281941	6238.6084	0.1366	16700	0.4000	3,2,2	0.5000	58
111669151181	5778.1172	0.0046	16100	0.4000	3,2,1	0.5000	57
8589936179	8260.8936	0.3362	16350	0.4000	2,1,0	0.5000	36
137438954567	5264.8462	0.2548	15100	0.4000	3,2,2	0.5000	58
64424511294	1163.7297	-0.0836	12200	0.4000	2,0,2	0.5000	34
51539609453	11659.5762	-0.0676	12750	0.4000	0,0,2	0.5000	2
64424510693	3911.8584	0.1933	9150	0.4000	2,3,1	0.5000	45
81604380358	6527.8433	0.1386	12100	0.4000	2,0,0	0.5000	32
4294969260	7164.9424	-0.1390	11000	0.4000	3,2,2	0.5000	58
94489282241	1444.9619	0.0231	10800	0.4000	1,3,2	0.5000	30
42949675060	6059.5493	-0.1918	5700	0.4000	2,1,0	0.5000	36
4294969528	1816.8060	0.4685	2450	0.4000	1,2,2	0.5000	26
133143988287	244.9875	-0.0087	950	0.4000	3,3,0	0.5000	60
111669151056	614.0643	-0.0989	2100	0.4000	2,2,0	0.5000	40
167503726601	92.6976	0.0508	100	0.4000	2,1,3	0.5000	39
77309413600	77.5189	0.0580	150	0.4000	1,2,3	0.5000	27
158913792049	88.1520	0.4217	50	0.4000	0,3,0	0.5000	12

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968125	505	513	-0.0591	27918	27926
933	482	505	-0.2446	27944	27811
4294967783	481	511	-0.2184	27886	27944
8589935505	496	8589935242	-0.0000	27657	343
4294968138	514	4294967886	-0.0000	27859	141
905	484	509	-0.0000	27958	42
751	481	505	-0.1088	27983	27745
782	495	511	0.1263	27980	27920
523	484	492	-0.2005	28000	27964
729	477	489	-0.2563	27985	27772
4294968075	495	4294967886	-0.5165	27850	27961
4294967974	481	482	0.9512	27965	27975
4294967910	489	501	-0.0759	27956	27938
528	478	505	-0.4244	28000	27942
8589935098	508	4294967886	-0.2192	27897	27896
904	484	511	-0.2113	27958	27623
681	496	508	-0.3240	27989	27981
671	489	513	-0.2370	27990	27790
4294967951	482	491	0.1023	27940	27982
534	478	511	-0.3306	27999	27899
717	478	501	0.7908	27986	27993
4294968124	477	482	-0.1768	27942	27595
4294967860	489	505	-0.2674	27898	27811
4294967963	481	513	-0.5019	27887	27992
780	508	511	-0.2182	27980	27911
8589935402	484	489	-0.1000	27808	27535
866	495	505	0.3752	27969	27999
8589935345	492	4294967886	-0.3564	27876	27949
8589935233	496	501	-0.3632	27930	27988
4294968066	489	511	0.0226	27963	27966
4294967844	495	496	-0.3602	27982	27946
546	505	508	0.0329	27999	27890
4294967864	482	513	-0.1588	27898	27954
12884902700	501	511	0.0443	27928	27935
675	481	489	-0.2944	27989	27911
716	477	492	0.9608	27986	27980
840	478	508	-0.4090	27972	27995
880	495	508	0.0736	27967	27998
4294967826	484	501	-0.2594	27949	27650
4294967865	495	501	-0.0136	27899	27969
555	489	492	-0.1251	27998	27976
862	491	511	-0.1988	27970	27735
4294967904	501	513	-0.0565	27965	27983
8589935354	496	511	-0.3527	27902	27969
4294968080	482	508	-0.0750	27937	27969
930	482	511	-0.1417	27944	27907
785	477	493	-0.2513	27979	27813
562	491	505	0.3452	27998	27998
4294968210	478	492	-0.4278	27934	27992
4294967868	484	508	-0.2460	27861	27790
4294968121	477	4294967886	-0.1882	27887	27602
566	477	501	-0.0050	27997	27963
567	478	484	-0.4349	27997	27944
8589935096	495	513	-0.1980	27912	27913
730	492	495	-0.2533	27985	27988
8589935271	484	4294967886	-0.4843	27837	27920
4294968149	482	484	0.8098	27906	27992
4294967903	493	496	-0.1058	27982	27857
4294968023	477	478	-0.4494	27965	27875
869	505	511	-0.3228	27969	27712
575	477	511	-0.1129	27997	27792
576	478	513	0.5828	27997	27997
4294968172	484	495	-0.0646	27902	27911
739	482	489	-0.3547	27984	27900
4294968192	492	508	-0.3815	27902	27880
4294967991	513	4294967886	-0.5156	27889	27868
4294967954	492	501	-0.2435	27905	27960
8589935099	481	493	-0.3215	27938	27957
738	478	493	-0.2747	27984	27888
4294967918	491	496	-0.0720	27982	27896
17179869998	481	4294967886	-0.0368	27886	27971
4294967890	481	492	-0.3075	27962	27980
8589935294	477	495	-0.4933	27890	27939
4294968019	481	508	-0.1587	27956	27639
798	489	493	0.2220	27978	27994
737	477	484	0.2217	27984	27978
4294968037	478	496	-0.2965	27885	27998
736	493	511	-0.3313	27985	27952
8589935134	481	491	0.0037	27963	27971
4294968082	496	4294967886	-0.2329	27842	27707
595	481	495	-0.1891	27995	27893
4294968186	492	496	0.9920	27953	27996
897	496	505	-0.4330	27961	27970
815	481	496	-0.1195	27976	27793
599	492	513	-0.3554	27995	27784
4294968099	493	501	-0.2085	27910	27907
601	501	505	0.8289	27995	27960
4294967965	489	495	0.0553	27956	27881
870	484	491	-0.3367	27968	27783
791	508	513	-0.2029	27979	27992
605	511	513	-0.4251	27995	27979
4294968156	481	484	0.0254	27902	27842
4294968092	489	4294967886	0.0262	27892	27957
4294968212	477	481	-0.0619	27915	27962
924	482	493	-0.0519	27945	27999
610	478	491	-0.2145	27994	27993
4294967931	491	508	0.5795	27903	27992
861	477	508	-0.3626	27970	27935
4294968205	484	493	-0.2862	27910	27804
8589935137	481	501	-0.2551	27943	27698
4294968204	482	4294967886	-0.6698	27877	27997
8589935194	505	4294967886	-0.1758	27893	27920
685	496	513	-0.3280	27989	27916
858	491	492	-0.3546	27970	27956
619	492	511	0.7472	27994	27996
8589935119	482	495	0.0435	27935	27977
8589935225	493	505	-0.3045	27943	27899
4294967885	484	496	-0.2587	27962	27928
4294968133	478	482	-0.0697	27954	27876
4294968128	501	508	-0.2850	27911	27941
889	492	505	-0.0978	27962	27877
12884902727	511	4294967886	-0.3920	27895	27757
763	477	496	-0.0823	27981	27888
628	491	513	0.0281	27993	27910
