# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	3562.7275	0.4710	2001	0.4000	2,0,2	0.5000	34
476	3380.3032	-0.0258	2001	0.4000	3,2,1	0.5000	57
501	2178.7563	-0.2012	2001	0.4000	1,0,2	0.5000	18
4294968243	2534.9219	0.0880	1950	0.4000	2,2,1	0.5000	41
506	2869.6541	0.1348	2001	0.4000	2,1,1	0.5000	37
480	2683.0654	0.1047	2001	0.4000	1,2,1	0.5000	25
481	2605.1577	0.3581	2001	0.4000	1,3,2	0.5000	30
4294968244	2313.7515	0.2741	1800	0.4000	1,1,3	0.5000	23
483	1729.4738	0.4732	2001	0.4000	1,0,1	0.5000	17
512	4792.1812	0.3061	2001	0.4000	3,0,1	0.5000	49
12884902894	2090.4272	-0.0719	1550	0.4000	3,0,0	0.5000	48
486	3696.1663	-0.0209	2001	0.4000	3,0,3	0.5000	51
4294968094	3534.9319	0.4368	1900	0.4000	2,3,3	0.5000	47
4294967820	75.0416	0.1767	1400	0.4000	3,2,3	0.5000	59
489	3581.2358	-0.0991	2001	0.4000	1,0,3	0.5000	19
490	3194.5571	0.4367	2001	0.4000	1,1,0	0.5000	20
491	4639.1113	0.4104	2001	0.4000	2,1,2	0.5000	38
495	1109.8079	-0.2140	2001	0.4000	2,1,0	0.5000	36
21474836996	433.4682	0.1412	500	0.4000	2,3,0	0.5000	44
30064771632	1112.0298	-0.1462	1000	0.4000	1,2,0	0.5000	24
34359739119	429.4959	0.1378	900	0.4000	3,2,1	0.5000	57
25769804644	732.6330	0.0439	850	0.4000	3,2,0	0.5000	56
17179869947	334.8479	-0.1898	450	0.4000	1,1,1	0.5000	21
8589935372	37.5615	0.3258	100	0.4000	2,2,2	0.5000	42
4294968261	39.7966	-0.2399	50	0.4000	1,1,3	0.5000	23
25769804518	13.6232	0.2703	150	0.4000	2,1,0	0.5000	36

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.3457	1927	1902
727	476	512	-0.2423	1986	1668
1010	476	506	-0.5509	1934	1976
661	475	512	0.0562	1991	1996
8589935259	506	4294968094	0.8922	1818	1999
520	486	491	0.8800	2000	1991
4294968011	475	4294968244	-0.5355	1732	1925
4294968233	483	4294968094	-0.1387	1874	1766
8589935459	480	4294968094	-0.6364	1875	1915
12884902877	491	4294967820	-0.5810	1370	1939
4294968117	490	501	-0.4105	1871	1997
8589935263	475	4294967820	-0.6028	1372	1966
4294968235	490	4294968094	-0.6986	1895	1927
4294967810	486	4294968094	-0.5777	1892	1925
25769804625	501	4294967820	-0.6375	1304	1936
4294967893	501	4294968094	-0.2298	1876	1949
531	475	506	-0.5012	1999	1945
8589935084	4294967820	12884902894	-0.6627	1385	1957
533	480	490	0.7617	1999	1990
4294968247	476	4294968243	0.9782	1944	1989
535	476	483	-0.6935	1999	1966
8589935418	489	4294968243	-0.4296	1895	1749
806	486	512	-0.5507	1979	1872
8589935561	480	491	-0.4322	1876	1969
4294967800	475	481	-0.6191	1891	1907
8589935582	495	4294968244	-0.6610	1774	1994
12884902886	476	12884902894	0.7970	1518	1997
4294968066	481	4294968094	-0.3852	1885	1971
672	483	512	-0.6223	1990	1946
12884902466	512	12884902894	0.7358	1520	1998
17179870087	475	12884902894	-0.6241	1545	1941
4294967803	475	483	-0.4182	1885	1893
4294967932	481	4294968244	-0.5242	1792	1827
4294967801	489	4294968244	-0.3923	1785	1981
4294968042	512	4294968243	0.9940	1872	1997
550	483	490	-0.4897	1998	1999
12884902501	506	512	-0.4434	1825	2000
4294967804	481	4294968243	-0.6322	1873	1954
4294968048	480	4294968244	0.8847	1776	1997
8589935349	501	4294968243	-0.1519	1920	1880
833	476	489	-0.3223	1976	1862
4294968195	476	4294968094	-0.1711	1841	1972
986	481	512	-0.3967	1955	1891
17179869993	4294967820	4294968094	0.9821	1387	1991
729	480	501	-0.4958	1985	1988
