# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	6424.7275	0.4710	4001	0.4000	2,0,2	0.5000	34
476	5185.3032	-0.0258	4001	0.4000	3,2,1	0.5000	57
501	2045.7563	-0.2012	4001	0.4000	1,0,2	0.5000	18
4294968243	6910.9219	0.0880	3950	0.4000	2,2,1	0.5000	41
506	6950.6543	0.1348	4001	0.4000	2,1,1	0.5000	37
480	4670.0654	0.1047	4001	0.4000	1,2,1	0.5000	25
481	4724.1577	0.3581	4001	0.4000	1,3,2	0.5000	30
4294968244	5345.7515	0.2741	3800	0.4000	1,1,3	0.5000	23
483	3953.4736	0.4732	4001	0.4000	1,0,1	0.5000	17
512	7519.1812	0.3061	4001	0.4000	3,0,1	0.5000	49
12884902894	6533.4272	-0.0719	3550	0.4000	3,0,0	0.5000	48
486	6563.1660	-0.0209	4001	0.4000	3,0,3	0.5000	51
4294968094	8051.9316	0.4368	3900	0.4000	2,3,3	0.5000	47
17179869928	221.2799	-0.0460	600	0.4000	1,2,3	0.5000	27
489	6036.2358	-0.0991	4001	0.4000	1,0,3	0.5000	19
490	5556.5571	0.4367	4001	0.4000	1,1,0	0.5000	20
491	7895.1113	0.4104	4001	0.4000	2,1,2	0.5000	38
34359739295	199.2842	0.1514	100	0.4000	0,2,1	0.5000	9
21474836996	2303.4683	0.1412	2500	0.4000	2,3,0	0.5000	44
30064771632	3342.0298	-0.1462	3000	0.4000	1,2,0	0.5000	24
34359739119	2025.4960	0.1378	2900	0.4000	3,2,1	0.5000	57
25769804644	3803.6331	0.0439	2850	0.4000	3,2,0	0.5000	56
17179869947	1721.8479	-0.1898	2450	0.4000	1,1,1	0.5000	21
17179870156	3530.5840	-0.2127	2000	0.4000	3,2,0	0.5000	56
17179869957	3859.7710	0.1679	1700	0.4000	1,3,3	0.5000	31
47244640874	1592.2661	0.0019	1050	0.4000	0,3,1	0.5000	13
17179870151	724.3756	0.3294	950	0.4000	3,3,1	0.5000	61
34359739055	1077.8569	0.3265	900	0.4000	2,3,2	0.5000	46
17179869905	24.7964	0.2310	50	0.4000	0,1,3	0.5000	7

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.2927	3927	3973
727	476	512	-0.5575	3986	3984
1010	476	506	-0.3833	3934	3901
661	475	512	-0.5424	3991	3967
8589935259	506	4294968094	0.9980	3818	3999
520	486	491	0.9763	4000	3988
4294968011	475	4294968244	-0.2538	3732	3982
4294968233	483	4294968094	-0.6333	3874	3933
8589935459	480	4294968094	-0.4271	3875	3969
17179870114	501	17179869928	-0.3241	524	3947
4294968117	490	501	-0.8144	3871	3965
17179870125	4294968273	17179869947	-0.0272	651	3349
4294968235	490	4294968094	-0.3620	3895	3794
4294967810	486	4294968094	-0.3236	3892	3800
30064772004	17179870151	47244640874	0.3351	879	3980
4294967893	501	4294968094	-0.3667	3876	3993
531	475	506	-0.3152	3999	3751
12884902470	4294968094	17179869928	-0.3707	543	3982
533	480	490	-0.3801	3999	3997
4294968247	476	4294968243	0.9782	3944	3989
535	476	483	-0.2359	3999	3902
8589935418	489	4294968243	0.9821	3895	3991
806	486	512	-0.8116	3979	3961
8589935561	480	491	-0.2390	3876	3867
4294967800	475	481	-0.5622	3891	3975
8589935306	481	34359739295	0.2404	54	3999
12884902886	476	12884902894	-0.2323	3518	3956
4294968066	481	4294968094	-0.4644	3885	3929
672	483	512	-0.3198	3990	3972
12884902466	512	12884902894	-0.4525	3520	3925
17179870087	475	12884902894	-0.5202	3545	3852
4294967803	475	483	-0.6512	3885	3925
4294967932	481	4294968244	-0.6896	3792	3926
4294967801	489	4294968244	-0.2304	3785	3997
4294968042	512	4294968243	0.5597	3872	3993
550	483	490	-0.5900	3998	3997
12884902501	506	512	-0.5264	3825	3895
4294967804	481	4294968243	-0.3285	3873	3986
4294968048	480	4294968244	0.9802	3776	3990
8589935349	501	4294968243	-0.4345	3920	3931
833	476	489	-0.4995	3976	3933
4294968195	476	4294968094	-0.5505	3841	3908
986	481	512	-0.5025	3955	3988
8589935220	4294968243	34359739055	-0.1738	827	3908
729	480	501	-0.3282	3985	3964
4294967775	486	4294968244	-0.3673	3779	3937
8589935435	475	4294968094	0.3594	3877	3995
562	476	480	-0.6170	3997	3977
8589935316	34359739295	47244640874	-0.2777	57	3991
564	483	486	-0.4102	3997	3991
831	489	512	-0.5438	3977	3942
4294967805	501	506	-0.4951	3945	3824
8589935507	486	12884902894	0.1188	3521	3972
8589935102	491	4294968244	-0.1014	3796	3971
885	475	480	-0.4799	3971	3974
12884902539	476	490	-0.5571	3924	3889
4294967954	489	4294968094	-0.0844	3878	3981
962	491	501	0.9414	3958	3985
12884902495	506	47244640874	-0.3934	728	3972
4294968204	481	501	-0.2557	3906	3852
8589935420	480	483	-0.2768	3890	3996
8589935296	483	12884902894	0.9980	3522	3999
8589935269	480	34359739055	0.1611	830	3982
897	501	512	-0.0770	3970	3982
961	489	491	-0.3805	3958	3857
4294967825	480	489	-0.5415	3945	4000
17179869774	4294968243	4294968244	-0.4416	3737	3997
4294967798	475	4294968243	-0.7276	3918	3961
8589935237	490	4294968243	-0.5319	3928	3994
8589935146	506	4294968244	-0.4134	3799	3893
585	486	501	-0.4904	3996	3925
722	476	491	-0.4593	3986	3846
8589935153	4294968243	12884902894	-0.3407	3491	3792
820	480	506	-0.0883	3978	3997
12884902862	490	17179869928	-0.4658	495	3950
738	475	501	-0.8965	3984	3975
4294967773	4294968094	4294968244	-0.5230	3742	3971
12884902542	4294968244	34359739055	0.1415	877	3950
4294968255	476	4294968244	1.0000	3747	4000
8589935295	481	12884902894	-0.4014	3525	3960
73014444796	17179870156	34359739295	-0.2628	89	3963
750	476	501	-0.4881	3983	3899
42949673506	17179869957	17179870151	-0.1654	843	3935
711	480	481	-0.3646	3987	3795
30064771571	17179869947	34359739295	-0.2737	63	3971
8589935312	481	490	-0.5943	3812	3987
8589935318	486	4294968243	-0.2577	3932	3757
38654706546	490	34359739055	0.8631	836	3998
4294968006	501	4294968244	-0.3838	3770	3875
17179870173	489	17179869928	-0.1659	530	3955
605	489	501	-0.5185	3995	3962
8589935464	501	12884902894	0.6961	3525	3996
4294967796	486	490	-0.4907	3897	3751
819	483	501	0.0573	3978	3960
25769804650	490	12884902894	0.1320	3530	3976
976	489	490	-0.5480	3956	3966
611	486	506	-0.0093	3995	3963
883	481	506	-0.5027	3972	3973
4294968209	491	506	-0.3332	3927	3949
17179870001	480	17179869928	-0.0785	497	3984
30064771927	489	34359739295	-0.1761	64	3937
616	475	476	-0.3222	3994	3810
30064771913	4294968244	34359739295	-0.2774	68	3993
887	475	491	-0.3478	3971	3799
954	480	486	-0.3477	3959	3879
25769804669	17179869928	21474836996	0.9861	585	3993
8589935515	475	490	0.9881	3835	3994
622	490	491	0.4260	3994	3964
8589935241	4294968244	17179869928	-0.2102	574	3934
8589935163	4294968094	4294968243	-0.3198	3842	3711
777	480	512	-0.3562	3982	3999
8589935339	483	489	-0.2573	3920	3653
8589935215	491	4294968243	-0.2685	3905	3845
4294968203	475	486	-0.2764	3944	3847
12884902880	4294968244	12884902894	-0.1527	3531	3922
4294968264	506	4294968243	-0.3629	3925	3796
8589935589	25769804644	34359739055	-0.2181	872	4000
4294967961	491	512	-0.3599	3949	3977
4294968198	480	4294968243	0.8747	3926	3988
8589935473	17179869928	34359739119	-0.1891	567	3949
980	476	481	-0.6408	3955	3942
1003	483	4294968243	-0.3976	3935	3917
637	481	491	-0.6613	3993	3989
4294968157	483	491	-0.4315	3883	3934
47244640797	17179869928	34359739055	-0.1326	591	3993
4294968271	512	4294968094	0.9743	3879	3987
17179869758	17179869928	17179869957	0.9980	597	3999
12884902861	4294968243	17179869928	-0.5328	597	3992
4294968260	491	4294968094	0.0971	3880	3999
4294968274	490	4294968244	-0.3899	3753	3953
4294967972	483	4294968244	-0.2651	3754	3737
880	486	489	-0.4132	3972	3991
4294968186	490	506	-0.2720	3844	3673
648	476	486	-0.2178	3992	3969
12884902765	480	12884902894	0.9881	3544	3994
698	483	506	-0.2778	3988	3931
910	481	489	-0.3786	3965	3963
8589935498	4294968094	12884902894	-0.4150	3544	3923
869	489	506	0.9881	3974	3994
12884902552	489	12884902894	-0.4764	3537	3995
4294967925	481	483	1.0000	3967	4000
8589935593	481	17179869928	-0.3052	577	3886
8589935238	506	12884902894	0.9861	3540	3993
4294968075	512	4294968244	-0.3364	3768	3901
4294967923	481	486	0.3494	3948	3954
4294967799	475	489	-0.4816	3951	3904
12884902384	491	12884902894	-0.3368	3547	3909
17179870084	475	17179869928	-0.2337	540	3996
8589935407	17179869928	17179870156	-0.1901	585	3642
17179870122	17179869957	34359739055	-0.1614	844	3962
8589935387	21474836996	34359739055	0.1039	871	3966
4294968238	4294968094	34359739055	-0.7684	753	3990
34359739117	491	34359739055	-0.3579	839	3995
21474837266	512	25769804512	-0.0002	3043	957
21474837073	480	21474836996	-0.2218	2467	3842
17179869760	4294968244	21474836996	-0.3320	2498	3947
38654706146	483	8589935399	-0.0005	2695	1305
4294967864	490	25769804644	-0.5889	2800	3971
30064771780	491	8589935399	-0.0005	2695	1305
42949673736	4294968243	21474836996	-0.4143	2475	3922
34359739334	512	21474836996	-0.5721	2478	3950
30064771641	480	30064771632	-0.3192	2957	3817
47244641122	475	21474836996	-0.2667	2478	3949
17179869991	490	21474836996	0.3229	2479	3960
21474837402	486	25769804644	-0.5152	2712	3953
8589935510	501	25769804644	-0.3355	2833	3961
4294968149	4294968244	34359739119	1.0000	2798	4000
21474837132	4294968243	30064771632	-0.4281	2951	3967
8589935370	34359739055	34359739119	-0.6805	797	3952
34359738855	483	30064771632	0.1853	2999	3994
12884902659	491	30064771632	-0.6618	2998	3953
12884902480	475	30064771632	0.7619	2997	3978
8589935364	512	34359739055	-0.3833	867	3943
17179869773	506	30064771632	-0.4321	2995	3923
30064771589	501	30064771632	-0.3174	2994	3999
30064771707	490	30064771632	-0.5217	2994	3889
38654706327	476	30064771632	-0.4028	2993	3936
4294967899	25769804644	30064771632	-0.5822	2825	3970
25769804584	483	17179869928	-0.2755	546	3836
25769804388	481	30064771632	0.1747	2990	3989
4294967896	475	34359739119	-0.5771	2824	3955
8589935242	512	30064771632	-0.4586	2983	3905
17179870006	12884902894	30064771632	-0.2049	2981	3805
12884902875	4294968244	30064771632	0.1217	2979	3977
8589935223	486	30064771632	-0.3872	2974	3957
12884902870	489	30064771632	0.3285	2969	3960
12884902869	4294968094	30064771632	-0.2245	2898	3993
30064771714	4294968243	34359739119	-0.4814	2897	3973
42949673458	483	34359739119	-0.5776	2896	3983
21474837345	12884902894	34359739119	-0.3914	2895	3847
4294967868	25769804644	34359739119	-0.3706	2804	3974
12884902800	17179870156	34359739055	0.0038	854	3777
17179869978	476	34359739119	-0.5548	2892	3989
8589935434	4294968094	25769804644	-0.5597	2807	3988
38654706352	30064771632	34359739119	-0.2092	2889	3972
8589935465	489	25769804644	0.9812	2818	3998
17179869721	490	34359739119	-0.5259	2885	3936
17179869705	489	34359739119	-0.1324	2884	3983
21474837217	506	34359739119	-0.3665	2881	3966
25769804458	486	34359739119	0.9960	2880	3998
42949673646	480	34359739119	-0.4393	2871	3883
17179869943	486	17179869928	-0.1208	563	3980
34359739104	491	34359739119	-0.4164	2861	3866
12884902557	476	17179869928	-0.1981	560	3833
42949673645	512	34359739119	0.1499	2852	3959
4294968210	483	25769804644	-0.4709	2849	3955
4294968130	475	25769804644	0.9980	2848	3999
4294967873	512	25769804644	-0.4691	2848	3911
8589935439	12884902894	25769804644	0.6799	2844	3999
4294967830	4294968094	34359739119	-0.7269	2844	3972
4294968254	501	34359739119	-0.4139	2844	3964
4294967811	481	34359739119	-0.2278	2842	3997
4294967844	476	25769804644	-0.5241	2841	3992
4294967840	481	25769804644	-0.3509	2840	3974
17179869981	4294968244	25769804644	-0.0768	2839	3992
4294968056	480	25769804644	-0.5882	2837	3991
4294968030	506	25769804644	-0.5738	2836	3951
4294968224	491	25769804644	-0.1134	2834	3979
4294968230	4294968243	25769804644	0.9465	2833	3997
21474837221	12884902894	21474836996	-0.5225	2480	3961
25769804483	491	21474836996	1.0000	2482	4000
12884902407	501	21474836996	-0.3594	2486	3940
21474837315	489	21474836996	-0.2223	2499	3896
17179869678	481	21474836996	-0.4533	2493	3927
21474837391	21474836996	34359739119	-0.4686	2493	3864
21474837279	486	21474836996	-0.7883	2495	3978
4294967848	501	17179870151	-0.4237	793	3882
8589935575	17179869928	17179870151	-0.3647	560	3972
42949673703	17179869947	30064771632	-0.6987	2449	3969
30064771923	4294968094	21474836996	-0.2951	2448	3958
17179869828	21474836996	25769804644	0.9342	2448	3966
25769804299	17179869947	34359739119	-0.4220	2448	3754
30064771897	483	21474836996	-0.5380	2447	3986
17179870103	501	17179869947	-0.6520	2447	3983
8589935190	506	17179869928	-0.6040	560	3955
12884902430	490	17179869947	-0.6465	2442	3934
21474837071	476	21474836996	-0.4654	2441	3932
21474837137	481	17179869947	-0.2498	2441	3733
21474837285	506	17179869947	-0.1869	2439	3862
47244641017	512	17179869947	0.9267	2437	3962
17179869742	17179869947	21474836996	-0.0000	2435	3989
21474837123	483	17179869947	-0.7068	2434	3970
25769804612	486	17179869947	-0.3793	2432	3993
17179869969	21474836996	30064771632	-0.6673	2431	3992
21474837006	12884902894	17179869947	-0.2522	2431	3860
25769804481	480	17179869947	-0.3414	2426	3920
21474837273	4294968094	17179869947	-0.0443	2425	3998
8589935557	17179870156	21474836996	-0.2237	1964	3936
8589935293	17179869947	34359739055	-0.1905	856	3976
12884902668	480	17179870156	-0.6077	1960	3975
25769804559	489	17179870156	-0.2002	1989	3950
8589935481	489	4294968261	-0.0020	1965	2035
12884902717	512	17179870156	-0.6004	1972	3906
21474837112	489	17179869947	-0.6529	2389	3987
21474837269	17179869947	17179870156	0.8295	1980	3996
8589935206	17179869928	25769804644	-0.3649	559	3961
12884902461	12884902894	17179870156	0.9924	1978	3998
12884902752	4294968244	17179870156	0.9763	1987	3988
8589935159	506	17179870156	0.0489	1987	3983
12884902704	481	17179870156	0.9861	1976	3993
12884902475	4294968244	17179869947	-0.4913	2372	3800
12884902680	506	21474836996	0.7487	2369	3988
4294968197	476	17179869947	-0.5445	2369	3821
4294968305	491	17179869947	-0.4649	2367	3848
30064771560	476	17179870156	-0.4519	1985	3930
21474837031	490	17179870156	-0.2446	1985	3975
12884902821	4294968243	17179869947	0.9856	2326	4000
12884902572	17179869947	25769804644	-0.5626	2362	3826
4294968246	475	17179869947	-0.4420	2359	3943
8589935132	483	17179870156	-0.5713	1993	3974
12884902763	17179870156	30064771632	-0.6783	1992	3910
30064771814	17179870156	34359739119	0.9980	1957	3999
8589935308	512	17179870151	-0.4825	859	3879
25769804333	486	17179870156	-0.5006	1954	3898
17179869779	17179870156	25769804644	-0.5729	1952	3920
17179869897	4294968243	17179870156	-0.5703	1950	3974
17179869764	475	17179870156	0.1244	1949	3967
8589935216	491	17179869928	0.7035	558	3980
21474837173	34359739119	47244640874	-0.4897	1044	3960
21474837332	491	17179870156	-0.1502	1945	3765
17179870024	512	17179869957	-0.1440	1699	3807
25769804382	481	17179869957	-0.5997	1665	3957
