# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	6123.7275	0.4710	6001	0.4000	2,0,2	0.5000	34
476	5454.3032	-0.0258	6001	0.4000	3,2,1	0.5000	57
501	2225.7563	-0.2012	6001	0.4000	1,0,2	0.5000	18
4294968243	9106.9219	0.0880	5950	0.4000	2,2,1	0.5000	41
506	9583.6543	0.1348	6001	0.4000	2,1,1	0.5000	37
480	6332.0654	0.1047	6001	0.4000	1,2,1	0.5000	25
481	8150.1577	0.3581	6001	0.4000	1,3,2	0.5000	30
4294968244	8603.7520	0.2741	5800	0.4000	1,1,3	0.5000	23
483	6699.4736	0.4732	6001	0.4000	1,0,1	0.5000	17
512	10545.1816	0.3061	6001	0.4000	3,0,1	0.5000	49
12884902894	10499.4277	-0.0719	5550	0.4000	3,0,0	0.5000	48
486	9034.1660	-0.0209	6001	0.4000	3,0,3	0.5000	51
4294968094	9473.9316	0.4368	5900	0.4000	2,3,3	0.5000	47
17179869928	1284.2799	-0.0460	2600	0.4000	1,2,3	0.5000	27
489	6782.2358	-0.0991	6001	0.4000	1,0,3	0.5000	19
490	7807.5571	0.4367	6001	0.4000	1,1,0	0.5000	20
491	11196.1113	0.4104	6001	0.4000	2,1,2	0.5000	38
34359739295	2834.2842	0.1514	2100	0.4000	0,2,1	0.5000	9
21474836996	3371.4683	0.1412	4500	0.4000	2,3,0	0.5000	44
30064771632	5249.0298	-0.1462	5000	0.4000	1,2,0	0.5000	24
34359739119	3772.4961	0.1378	4900	0.4000	3,2,1	0.5000	57
25769804644	6025.6328	0.0439	4850	0.4000	3,2,0	0.5000	56
17179869947	2678.8479	-0.1898	4450	0.4000	1,1,1	0.5000	21
17179870156	7365.5840	-0.2127	4000	0.4000	3,2,0	0.5000	56
17179869957	8743.7715	0.1679	3700	0.4000	1,3,3	0.5000	31
47244640874	3668.2661	0.0019	3050	0.4000	0,3,1	0.5000	13
17179870151	2082.3755	0.3294	2950	0.4000	3,3,1	0.5000	61
34359739055	2589.8569	0.3265	2900	0.4000	2,3,2	0.5000	46
55834575744	25.4927	-0.1447	300	0.4000	1,2,0	0.5000	24
21474837268	2925.2139	0.1913	1950	0.4000	3,3,2	0.5000	62
1027	2462.9917	-0.1633	1650	0.4000	0,0,0	0.5000	0
21474837234	1047.2765	0.1737	1250	0.4000	0,2,0	0.5000	8
73014444652	109.7200	-0.2110	150	0.4000	3,1,0	0.5000	52
73014444835	25.9495	-0.0442	100	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.5157	5927	5957
727	476	512	-0.3033	5986	5814
1010	476	506	-0.6519	5934	5999
661	475	512	-0.5024	5991	5912
8589935259	506	4294968094	0.7422	5818	5984
520	486	491	0.9980	6000	5999
4294968011	475	4294968244	-0.6940	5732	6000
4294968233	483	4294968094	-0.2731	5874	5771
8589935459	480	4294968094	-0.4437	5875	5955
17179870114	501	17179869928	-0.3365	2524	5634
4294968117	490	501	-0.7085	5871	5943
17179870125	4294968273	17179869947	-0.0005	2651	3349
4294968235	490	4294968094	-0.1185	5895	5974
4294967810	486	4294968094	-0.4042	5892	5950
30064772004	17179870151	47244640874	0.8780	2879	5991
4294967893	501	4294968094	-0.4559	5876	5872
531	475	506	-0.2811	5999	5860
12884902470	4294968094	17179869928	-0.3122	2543	5786
533	480	490	-0.4694	5999	5888
4294968247	476	4294968243	0.9980	5944	5999
535	476	483	-0.4562	5999	5977
8589935418	489	4294968243	-0.5683	5895	5975
806	486	512	0.0012	5979	5996
8589935561	480	491	-0.5202	5876	5899
4294967800	475	481	-0.3588	5891	6000
8589935306	481	34359739295	-0.4502	2054	5913
12884902886	476	12884902894	-0.2537	5518	5933
4294968066	481	4294968094	-0.5959	5885	5921
672	483	512	-0.5563	5990	5931
12884902466	512	12884902894	-0.4118	5520	5936
17179870087	475	12884902894	-0.5156	5545	5979
4294967803	475	483	-0.6415	5885	5999
4294967932	481	4294968244	-0.3737	5792	5966
4294967801	489	4294968244	-0.4129	5785	5941
4294968042	512	4294968243	-0.0142	5872	6000
550	483	490	0.1595	5998	5990
12884902501	506	512	-0.3782	5825	5994
4294967804	481	4294968243	-0.7885	5873	5966
4294968048	480	4294968244	0.9881	5776	5994
8589935349	501	4294968243	-0.2096	5920	5934
833	476	489	-0.4830	5976	5988
4294968195	476	4294968094	-0.0343	5841	5979
986	481	512	-0.0149	5955	5827
8589935220	4294968243	34359739055	-0.4150	2827	5889
729	480	501	-0.5071	5985	5990
4294967775	486	4294968244	-0.3666	5779	5906
8589935435	475	4294968094	-0.6348	5877	5968
562	476	480	-0.2095	5997	5964
8589935316	34359739295	47244640874	-0.4510	2057	5794
564	483	486	-0.3231	5997	5817
831	489	512	0.1040	5977	5952
4294967805	501	506	-0.6299	5945	5922
8589935507	486	12884902894	0.1162	5521	5992
8589935102	491	4294968244	-0.3629	5796	5977
885	475	480	-0.6465	5971	5984
12884902539	476	490	-0.6560	5924	5931
4294967954	489	4294968094	-0.1356	5878	5988
962	491	501	0.9980	5958	5999
12884902495	506	47244640874	-0.1866	2728	5870
4294968204	481	501	0.9940	5906	5997
8589935420	480	483	0.9588	5890	5979
8589935296	483	12884902894	-0.4941	5522	5809
8589935269	480	34359739055	-0.5275	2830	5987
897	501	512	-0.4069	5970	5946
961	489	491	-0.6193	5958	5902
4294967825	480	489	-0.4330	5945	5989
17179869774	4294968243	4294968244	-0.5235	5737	5985
4294967798	475	4294968243	-0.5854	5918	5870
8589935237	490	4294968243	-0.2278	5928	5892
8589935146	506	4294968244	-0.4011	5799	5896
585	486	501	-0.3373	5996	5963
722	476	491	-0.4939	5986	5998
8589935153	4294968243	12884902894	-0.1341	5491	5947
820	480	506	-0.2879	5978	5698
12884902862	490	17179869928	-0.5651	2495	5978
738	475	501	-0.4607	5984	5876
4294967773	4294968094	4294968244	-0.4212	5742	5858
12884902542	4294968244	34359739055	-0.1873	2877	5893
4294968255	476	4294968244	-0.2016	5747	5841
8589935295	481	12884902894	-0.2652	5525	5981
73014444796	17179870156	34359739295	-0.4662	2089	5943
750	476	501	-0.2694	5983	5813
42949673506	17179869957	17179870151	-0.4371	2843	5981
711	480	481	-0.3898	5987	5883
30064771571	17179869947	34359739295	-0.3665	2063	5993
8589935312	481	490	-0.5613	5812	5968
8589935318	486	4294968243	-0.5477	5932	5949
38654706546	490	34359739055	0.9861	2836	5993
4294968006	501	4294968244	-0.6393	5770	5973
17179870173	489	17179869928	-0.4576	2530	5930
605	489	501	-0.3672	5995	5995
8589935464	501	12884902894	0.9868	5525	6000
4294967796	486	490	-0.3831	5897	5841
819	483	501	-0.1077	5978	5971
25769804650	490	12884902894	0.9980	5530	5999
976	489	490	-0.3311	5956	5913
611	486	506	-0.2025	5995	5894
883	481	506	0.6141	5972	5977
4294968209	491	506	-0.2534	5927	5952
17179870001	480	17179869928	-0.2733	2497	5918
30064771927	489	34359739295	-0.1757	2064	5853
616	475	476	-0.4878	5994	5850
30064771913	4294968244	34359739295	-0.4300	2068	5958
887	475	491	-0.6315	5971	5955
954	480	486	-0.0093	5959	5959
25769804669	17179869928	21474836996	0.1749	2585	5998
8589935515	475	490	-0.1858	5835	5986
622	490	491	0.5443	5994	5959
8589935241	4294968244	17179869928	0.2570	2574	5922
8589935163	4294968094	4294968243	0.9189	5842	6000
777	480	512	-0.2842	5982	5802
8589935339	483	489	-0.3614	5920	5943
8589935215	491	4294968243	-0.3252	5905	5970
4294968203	475	486	-0.4087	5944	5945
12884902880	4294968244	12884902894	-0.3125	5531	5978
4294968264	506	4294968243	-0.2566	5925	5863
8589935589	25769804644	34359739055	-0.6810	2872	5971
4294967961	491	512	-0.4262	5949	5956
4294968198	480	4294968243	0.9900	5926	5995
8589935473	17179869928	34359739119	-0.4225	2567	5832
980	476	481	-0.6278	5955	5901
1003	483	4294968243	0.9881	5935	5994
637	481	491	-0.4552	5993	5871
4294968157	483	491	-0.4617	5883	5984
47244640797	17179869928	34359739055	-0.5148	2591	5978
4294968271	512	4294968094	0.9821	5879	5991
17179869758	17179869928	17179869957	0.9802	2597	5990
12884902861	4294968243	17179869928	-0.2571	2597	5869
4294968260	491	4294968094	-0.2037	5880	5879
4294968274	490	4294968244	0.4859	5753	5982
4294967972	483	4294968244	-0.3095	5754	5997
880	486	489	-0.5395	5972	5904
4294968186	490	506	-0.4862	5844	5995
648	476	486	-0.2968	5992	5690
12884902765	480	12884902894	0.9960	5544	5998
698	483	506	-0.4626	5988	5992
