# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	5863.7275	0.4710	8001	0.4000	2,0,2	0.5000	34
476	5452.3032	-0.0258	8001	0.4000	3,2,1	0.5000	57
501	1865.7563	-0.2012	8001	0.4000	1,0,2	0.5000	18
4294968243	11419.9219	0.0880	7950	0.4000	2,2,1	0.5000	41
506	12245.6543	0.1348	8001	0.4000	2,1,1	0.5000	37
480	7783.0654	0.1047	8001	0.4000	1,2,1	0.5000	25
481	12336.1582	0.3581	8001	0.4000	1,3,2	0.5000	30
4294968244	10277.7520	0.2741	7800	0.4000	1,1,3	0.5000	23
483	9002.4736	0.4732	8001	0.4000	1,0,1	0.5000	17
512	13709.1816	0.3061	8001	0.4000	3,0,1	0.5000	49
12884902894	12724.4277	-0.0719	7550	0.4000	3,0,0	0.5000	48
486	10364.1660	-0.0209	8001	0.4000	3,0,3	0.5000	51
4294968094	10872.9316	0.4368	7900	0.4000	2,3,3	0.5000	47
17179869928	1916.2799	-0.0460	4600	0.4000	1,2,3	0.5000	27
489	9313.2363	-0.0991	8001	0.4000	1,0,3	0.5000	19
490	9491.5566	0.4367	8001	0.4000	1,1,0	0.5000	20
491	11795.1113	0.4104	8001	0.4000	2,1,2	0.5000	38
34359739295	4811.2842	0.1514	4100	0.4000	0,2,1	0.5000	9
21474836996	4307.4683	0.1412	6500	0.4000	2,3,0	0.5000	44
30064771632	7011.0298	-0.1462	7000	0.4000	1,2,0	0.5000	24
34359739119	4483.4961	0.1378	6900	0.4000	3,2,1	0.5000	57
25769804644	7454.6328	0.0439	6850	0.4000	3,2,0	0.5000	56
17179869947	2020.8479	-0.1898	6450	0.4000	1,1,1	0.5000	21
17179870156	12730.5840	-0.2127	6000	0.4000	3,2,0	0.5000	56
17179869957	12103.7715	0.1679	5700	0.4000	1,3,3	0.5000	31
47244640874	6539.2661	0.0019	5050	0.4000	0,3,1	0.5000	13
17179870151	2197.3755	0.3294	4950	0.4000	3,3,1	0.5000	61
34359739055	3958.8569	0.3265	4900	0.4000	2,3,2	0.5000	46
55834575744	1787.4927	-0.1447	2300	0.4000	1,2,0	0.5000	24
21474837268	6321.2139	0.1913	3950	0.4000	3,3,2	0.5000	62
1027	5959.9917	-0.1633	3650	0.4000	0,0,0	0.5000	0
21474837234	2643.2764	0.1737	3250	0.4000	0,2,0	0.5000	8
73014444652	574.7200	-0.2110	2150	0.4000	3,1,0	0.5000	52
73014444835	1791.9495	-0.0442	2100	0.4000	2,1,2	0.5000	38
21474837674	1817.1917	0.4887	1300	0.4000	3,1,0	0.5000	52
30064772294	12.4444	-0.1933	50	0.4000	1,3,2	0.5000	30
68719477682	176.8718	0.0439	350	0.4000	0,2,0	0.5000	8

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.4262	7927	7957
727	476	512	-0.2994	7986	7988
1010	476	506	-0.0534	7934	7672
661	475	512	-0.5445	7991	7851
8589935259	506	4294968094	-0.0868	7818	7982
520	486	491	-0.2909	8000	7979
4294968011	475	4294968244	-0.5231	7732	7997
4294968233	483	4294968094	-0.3253	7874	7918
8589935459	480	4294968094	-0.1729	7875	7911
17179870114	501	17179869928	-0.5142	4524	7988
4294968117	490	501	-0.3365	7871	7659
17179870125	4294968273	17179869947	-0.0000	4651	3349
4294968235	490	4294968094	-0.3871	7895	7965
4294967810	486	4294968094	-0.2903	7892	7977
30064772004	17179870151	47244640874	0.8397	4879	7991
4294967893	501	4294968094	-0.1488	7876	7935
531	475	506	-0.4305	7999	7858
12884902470	4294968094	17179869928	0.0288	4543	7837
533	480	490	-0.2644	7999	7899
4294968247	476	4294968243	-0.3020	7944	7806
535	476	483	-0.3227	7999	7906
8589935418	489	4294968243	-0.4672	7895	7952
806	486	512	-0.5178	7979	7939
8589935561	480	491	-0.2854	7876	7940
4294967800	475	481	-0.3252	7891	7909
8589935306	481	34359739295	-0.2861	4054	7748
12884902886	476	12884902894	-0.6245	7518	7974
4294968066	481	4294968094	-0.3261	7885	7946
672	483	512	-0.1160	7990	7736
12884902466	512	12884902894	-0.5224	7520	7939
17179870087	475	12884902894	-0.5360	7545	7914
4294967803	475	483	-0.3501	7885	7960
4294967932	481	4294968244	-0.4234	7792	7996
4294967801	489	4294968244	-0.3997	7785	7940
4294968042	512	4294968243	-0.2510	7872	7818
550	483	490	-0.0741	7998	7864
12884902501	506	512	-0.2274	7825	7624
4294967804	481	4294968243	-0.2844	7873	7939
4294968048	480	4294968244	-0.4034	7776	7789
8589935349	501	4294968243	-0.1561	7920	7974
833	476	489	-0.6464	7976	7935
4294968195	476	4294968094	-0.2529	7841	7972
986	481	512	-0.3592	7955	7996
8589935220	4294968243	34359739055	-0.1569	4827	7723
729	480	501	-0.5620	7985	7986
4294967775	486	4294968244	-0.7168	7779	7994
8589935435	475	4294968094	-0.5964	7877	7923
562	476	480	-0.6465	7997	7900
8589935316	34359739295	47244640874	-0.4164	4057	7964
564	483	486	-0.1579	7997	7899
831	489	512	0.9881	7977	7994
4294967805	501	506	-0.3567	7945	7918
8589935507	486	12884902894	-0.3389	7521	7979
8589935102	491	4294968244	-0.5290	7796	7864
885	475	480	-0.4746	7971	7970
12884902539	476	490	-0.3742	7924	7775
4294967954	489	4294968094	-0.4743	7878	7937
962	491	501	0.1153	7958	7982
12884902495	506	47244640874	-0.5107	4728	7993
4294968204	481	501	1.0000	7906	8000
8589935420	480	483	0.9782	7890	7989
8589935296	483	12884902894	-0.6190	7522	7998
8589935269	480	34359739055	-0.2601	4830	7746
897	501	512	-0.4889	7970	7942
