# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	6657.7275	0.4710	10001	0.4000	2,0,2	0.5000	34
476	6346.3032	-0.0258	10001	0.4000	3,2,1	0.5000	57
501	1126.7563	-0.2012	10001	0.4000	1,0,2	0.5000	18
4294968243	12140.9219	0.0880	9950	0.4000	2,2,1	0.5000	41
506	15045.6543	0.1348	10001	0.4000	2,1,1	0.5000	37
480	8694.0654	0.1047	10001	0.4000	1,2,1	0.5000	25
481	15565.1582	0.3581	10001	0.4000	1,3,2	0.5000	30
4294968244	11472.7520	0.2741	9800	0.4000	1,1,3	0.5000	23
483	9087.4736	0.4732	10001	0.4000	1,0,1	0.5000	17
512	15274.1816	0.3061	10001	0.4000	3,0,1	0.5000	49
12884902894	15085.4277	-0.0719	9550	0.4000	3,0,0	0.5000	48
486	11822.1660	-0.0209	10001	0.4000	3,0,3	0.5000	51
4294968094	9866.9316	0.4368	9900	0.4000	2,3,3	0.5000	47
17179869928	3370.2798	-0.0460	6600	0.4000	1,2,3	0.5000	27
489	11355.2363	-0.0991	10001	0.4000	1,0,3	0.5000	19
490	9898.5566	0.4367	10001	0.4000	1,1,0	0.5000	20
491	14231.1113	0.4104	10001	0.4000	2,1,2	0.5000	38
34359739295	6871.2842	0.1514	6100	0.4000	0,2,1	0.5000	9
21474836996	5611.4683	0.1412	8500	0.4000	2,3,0	0.5000	44
30064771632	8423.0293	-0.1462	9000	0.4000	1,2,0	0.5000	24
34359739119	5289.4961	0.1378	8900	0.4000	3,2,1	0.5000	57
25769804644	9810.6328	0.0439	8850	0.4000	3,2,0	0.5000	56
17179869947	1730.8479	-0.1898	8450	0.4000	1,1,1	0.5000	21
17179870156	17264.5840	-0.2127	8000	0.4000	3,2,0	0.5000	56
17179869957	15747.7715	0.1679	7700	0.4000	1,3,3	0.5000	31
47244640874	9873.2656	0.0019	7050	0.4000	0,3,1	0.5000	13
17179870151	1285.3755	0.3294	6950	0.4000	3,3,1	0.5000	61
34359739055	4947.8569	0.3265	6900	0.4000	2,3,2	0.5000	46
55834575744	2971.4927	-0.1447	4300	0.4000	1,2,0	0.5000	24
21474837268	10974.2139	0.1913	5950	0.4000	3,3,2	0.5000	62
1027	8930.9922	-0.1633	5650	0.4000	0,0,0	0.5000	0
21474837234	5240.2764	0.1737	5250	0.4000	0,2,0	0.5000	8
25769805090	271.0353	0.3336	350	0.4000	0,1,3	0.5000	7
73014444835	2323.9495	-0.0442	4100	0.4000	2,1,2	0.5000	38
21474837674	3200.1917	0.4887	3300	0.4000	3,1,0	0.5000	52
25769805027	1857.9893	-0.0194	1500	0.4000	0,2,1	0.5000	9
68719477682	1966.8718	0.0439	2350	0.4000	0,2,0	0.5000	8
81604379800	256.0326	-0.1485	850	0.4000	3,1,1	0.5000	53
21474837799	410.7647	0.2451	400	0.4000	0,1,1	0.5000	5
25769805057	32.2731	0.4782	100	0.4000	3,1,1	0.5000	53
42949673716	102.8961	0.2841	50	0.4000	2,2,1	0.5000	41

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.3458	9927	9986
727	476	512	-0.2756	9986	9797
1010	476	506	0.3025	9934	9973
661	475	512	-0.3828	9991	9925
8589935259	506	4294968094	-0.5439	9818	9998
520	486	491	-0.5471	10000	9981
4294968011	475	4294968244	-0.5383	9732	9937
4294968233	483	4294968094	-0.4162	9874	9846
8589935459	480	4294968094	-0.3063	9875	9866
17179870114	501	17179869928	-0.3845	6524	9940
4294968117	490	501	-0.3659	9871	9990
17179870125	4294968273	17179869947	-0.0000	6651	3349
4294968235	490	4294968094	-0.6952	9895	9989
4294967810	486	4294968094	-0.2461	9892	9655
30064772004	17179870151	47244640874	0.9940	6879	9997
4294967893	501	4294968094	-0.7689	9876	9963
531	475	506	-0.3471	9999	9717
12884902470	4294968094	17179869928	-0.4400	6543	9925
533	480	490	-0.2353	9999	9993
4294968247	476	4294968243	-0.2360	9944	9968
535	476	483	-0.0617	9999	9966
8589935418	489	4294968243	-0.5331	9895	9967
806	486	512	0.1092	9979	9974
8589935561	480	491	-0.2989	9876	9878
4294967800	475	481	-0.3332	9891	9762
8589935306	481	34359739295	-0.2904	6054	9855
12884902886	476	12884902894	-0.0119	9518	9909
4294968066	481	4294968094	-0.6217	9885	9979
672	483	512	-0.5362	9990	9996
12884902466	512	12884902894	-0.1716	9520	9976
17179870087	475	12884902894	-0.2422	9545	9940
4294967803	475	483	-0.0662	9885	9938
4294967932	481	4294968244	-0.5373	9792	9991
4294967801	489	4294968244	-0.3327	9785	9906
4294968042	512	4294968243	-0.5996	9872	9943
550	483	490	-0.4125	9998	9851
12884902501	506	512	-0.4223	9825	9926
4294967804	481	4294968243	-0.5681	9873	9924
4294968048	480	4294968244	-0.3492	9776	9870
8589935349	501	4294968243	-0.2636	9920	9973
833	476	489	-0.3753	9976	9984
4294968195	476	4294968094	-0.2820	9841	9863
986	481	512	-0.2103	9955	9840
8589935220	4294968243	34359739055	-0.2529	6827	9958
729	480	501	-0.4487	9985	9816
4294967775	486	4294968244	-0.3626	9779	9933
8589935435	475	4294968094	-0.3039	9877	9842
562	476	480	0.1142	9997	9993
8589935316	34359739295	47244640874	-0.2182	6057	9897
564	483	486	-0.6577	9997	9979
831	489	512	-0.0686	9977	9949
4294967805	501	506	-0.6404	9945	9961
8589935507	486	12884902894	-0.3339	9521	9689
8589935102	491	4294968244	-0.5790	9796	9973
885	475	480	-0.4353	9971	9891
12884902539	476	490	-0.6773	9924	9963
4294967954	489	4294968094	-0.7107	9878	9964
962	491	501	-0.0141	9958	9885
12884902495	506	47244640874	-0.0590	6728	9896
4294968204	481	501	0.8438	9906	9970
8589935420	480	483	0.1833	9890	9936
8589935296	483	12884902894	-0.5939	9522	9988
8589935269	480	34359739055	-0.2694	6830	9904
897	501	512	-0.5016	9970	9894
961	489	491	-0.4353	9958	9964
4294967825	480	489	-0.0943	9945	9944
17179869774	4294968243	4294968244	-0.5987	9737	9945
4294967798	475	4294968243	-0.2882	9918	9917
8589935237	490	4294968243	-0.3934	9928	9911
8589935146	506	4294968244	0.9920	9799	9996
585	486	501	-0.3333	9996	9707
