# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	7764.7275	0.4710	12001	0.4000	2,0,2	0.5000	34
476	6650.3032	-0.0258	12001	0.4000	3,2,1	0.5000	57
501	458.7563	-0.2012	12001	0.4000	1,0,2	0.5000	18
4294968243	12023.9219	0.0880	11950	0.4000	2,2,1	0.5000	41
506	15185.6543	0.1348	12001	0.4000	2,1,1	0.5000	37
480	11325.0654	0.1047	12001	0.4000	1,2,1	0.5000	25
481	18147.1582	0.3581	12001	0.4000	1,3,2	0.5000	30
4294968244	14090.7520	0.2741	11800	0.4000	1,1,3	0.5000	23
483	10831.4736	0.4732	12001	0.4000	1,0,1	0.5000	17
512	16152.1816	0.3061	12001	0.4000	3,0,1	0.5000	49
12884902894	17320.4277	-0.0719	11550	0.4000	3,0,0	0.5000	48
486	14550.1660	-0.0209	12001	0.4000	3,0,3	0.5000	51
4294968094	9719.9316	0.4368	11900	0.4000	2,3,3	0.5000	47
17179869928	6139.2798	-0.0460	8600	0.4000	1,2,3	0.5000	27
489	13959.2363	-0.0991	12001	0.4000	1,0,3	0.5000	19
490	8998.5566	0.4367	12001	0.4000	1,1,0	0.5000	20
491	14617.1113	0.4104	12001	0.4000	2,1,2	0.5000	38
34359739295	8477.2842	0.1514	8100	0.4000	0,2,1	0.5000	9
21474836996	5895.4683	0.1412	10500	0.4000	2,3,0	0.5000	44
30064771632	11740.0293	-0.1462	11000	0.4000	1,2,0	0.5000	24
34359739119	6175.4961	0.1378	10900	0.4000	3,2,1	0.5000	57
25769804644	11557.6328	0.0439	10850	0.4000	3,2,0	0.5000	56
17179869947	740.8479	-0.1898	10450	0.4000	1,1,1	0.5000	21
17179870156	19767.5840	-0.2127	10000	0.4000	3,2,0	0.5000	56
17179869957	17781.7715	0.1679	9700	0.4000	1,3,3	0.5000	31
47244640874	11418.2656	0.0019	9050	0.4000	0,3,1	0.5000	13
17179870151	1559.3755	0.3294	8950	0.4000	3,3,1	0.5000	61
34359739055	6279.8569	0.3265	8900	0.4000	2,3,2	0.5000	46
55834575744	4090.4927	-0.1447	6300	0.4000	1,2,0	0.5000	24
21474837268	14358.2139	0.1913	7950	0.4000	3,3,2	0.5000	62
1027	10060.9922	-0.1633	7650	0.4000	0,0,0	0.5000	0
21474837234	6374.2764	0.1737	7250	0.4000	0,2,0	0.5000	8
25769805090	569.0353	0.3336	2350	0.4000	0,1,3	0.5000	7
73014444835	2331.9495	-0.0442	6100	0.4000	2,1,2	0.5000	38
21474837674	4414.1914	0.4887	5300	0.4000	3,1,0	0.5000	52
25769805027	5973.9893	-0.0194	3500	0.4000	0,2,1	0.5000	9
68719477682	4844.8721	0.0439	4350	0.4000	0,2,0	0.5000	8
81604379800	697.0326	-0.1485	2850	0.4000	3,1,1	0.5000	53
21474837799	3071.7646	0.2451	2400	0.4000	0,1,1	0.5000	5
47244641572	1134.1913	0.4360	1800	0.4000	1,1,3	0.5000	23
42949674453	111.2463	0.1080	300	0.4000	2,1,0	0.5000	36
68719477872	1869.2046	-0.0208	1350	0.4000	2,1,3	0.5000	39
1434	1213.8481	-0.0997	1500	0.4000	3,2,1	0.5000	57
21474837918	112.3907	0.1609	50	0.4000	0,1,0	0.5000	4

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.1804	11927	11918
727	476	512	-0.3137	11986	11678
1010	476	506	-0.2098	11934	11960
661	475	512	-0.1758	11991	11965
8589935259	506	4294968094	-0.3447	11818	11898
520	486	491	-0.1148	12000	11859
4294968011	475	4294968244	-0.0594	11732	11996
4294968233	483	4294968094	-0.3332	11874	11944
8589935459	480	4294968094	-0.2271	11875	11691
17179870114	501	17179869928	-0.2518	8524	11915
4294968117	490	501	-0.4763	11871	11872
17179870125	4294968273	17179869947	-0.0000	8651	3349
4294968235	490	4294968094	-0.3520	11895	11922
4294967810	486	4294968094	-0.3156	11892	11939
30064772004	17179870151	47244640874	0.4504	8879	11953
4294967893	501	4294968094	-0.2676	11876	11879
531	475	506	-0.4129	11999	11835
12884902470	4294968094	17179869928	0.5372	8543	11982
533	480	490	-0.0245	11999	11893
4294968247	476	4294968243	-0.4777	11944	11898
535	476	483	-0.3208	11999	11973
8589935418	489	4294968243	-0.2834	11895	11946
806	486	512	-0.2705	11979	11854
8589935561	480	491	-0.4094	11876	11970
4294967800	475	481	0.0696	11891	11901
8589935306	481	34359739295	-0.0465	8054	11781
12884902886	476	12884902894	-0.1383	11518	11809
4294968066	481	4294968094	-0.4326	11885	11940
672	483	512	-0.4926	11990	11984
12884902466	512	12884902894	-0.0076	11520	11962
17179870087	475	12884902894	-0.0905	11545	11876
4294967803	475	483	-0.1347	11885	11920
4294967932	481	4294968244	0.1253	11792	11982
4294967801	489	4294968244	-0.0004	11785	11998
4294968042	512	4294968243	-0.3634	11872	11743
550	483	490	-0.2832	11998	11779
12884902501	506	512	-0.3148	11825	11973
4294967804	481	4294968243	-0.2315	11873	11706
4294968048	480	4294968244	-0.1941	11776	11978
8589935349	501	4294968243	-0.2913	11920	11850
833	476	489	-0.0169	11976	11931
4294968195	476	4294968094	-0.0233	11841	11924
986	481	512	-0.3630	11955	11922
8589935220	4294968243	34359739055	-0.3158	8827	11983
729	480	501	-0.3555	11985	11918
4294967775	486	4294968244	-0.4297	11779	11805
8589935435	475	4294968094	-0.4098	11877	11964
562	476	480	0.4284	11997	11964
8589935316	34359739295	47244640874	-0.2828	8057	11799
564	483	486	-0.4468	11997	11999
831	489	512	-0.2211	11977	11936
4294967805	501	506	-0.5662	11945	11943
8589935507	486	12884902894	-0.3661	11521	11921
8589935102	491	4294968244	-0.2952	11796	11831
885	475	480	-0.2452	11971	11802
12884902539	476	490	-0.1699	11924	11667
4294967954	489	4294968094	-0.1032	11878	11888
962	491	501	-0.1132	11958	11987
12884902495	506	47244640874	-0.3741	8728	11769
4294968204	481	501	0.7604	11906	11996
8589935420	480	483	0.9685	11890	11984
8589935296	483	12884902894	-0.2611	11522	11922
8589935269	480	34359739055	-0.4736	8830	11808
897	501	512	-0.2232	11970	11931
961	489	491	-0.3444	11958	11819
4294967825	480	489	-0.1137	11945	11850
17179869774	4294968243	4294968244	-0.4049	11737	11899
4294967798	475	4294968243	-0.1260	11918	11951
8589935237	490	4294968243	-0.3196	11928	11627
8589935146	506	4294968244	0.1673	11799	11959
585	486	501	-0.3407	11996	11901
722	476	491	-0.0868	11986	11917
8589935153	4294968243	12884902894	-0.3145	11491	11842
820	480	506	-0.5376	11978	12000
12884902862	490	17179869928	-0.5200	8495	11963
738	475	501	-0.3591	11984	11941
4294967773	4294968094	4294968244	-0.3073	11742	11821
12884902542	4294968244	34359739055	-0.2999	8877	11846
4294968255	476	4294968244	-0.4781	11747	11958
8589935295	481	12884902894	-0.3328	11525	11877
73014444796	17179870156	34359739295	-0.3571	8089	11996
750	476	501	-0.2963	11983	11926
42949673506	17179869957	17179870151	-0.2319	8843	11824
711	480	481	0.3163	11987	11994
30064771571	17179869947	34359739295	-0.4213	8063	11949
8589935312	481	490	-0.4090	11812	11954
8589935318	486	4294968243	-0.3275	11932	11963
38654706546	490	34359739055	-0.3829	8836	11787
4294968006	501	4294968244	-0.4905	11770	11969
17179870173	489	17179869928	-0.1179	8530	11932
605	489	501	-0.2382	11995	11947
8589935464	501	12884902894	0.2488	11525	11994
4294967796	486	490	-0.4843	11897	11955
819	483	501	-0.2199	11978	11827
25769804650	490	12884902894	-0.3747	11530	11925
976	489	490	-0.0465	11956	11989
611	486	506	-0.4585	11995	12000
883	481	506	-0.4830	11972	11969
4294968209	491	506	-0.4939	11927	11972
17179870001	480	17179869928	0.8410	8497	11994
30064771927	489	34359739295	-0.2445	8064	11873
616	475	476	-0.2931	11994	11814
30064771913	4294968244	34359739295	-0.2102	8068	11596
887	475	491	-0.3150	11971	11837
954	480	486	-0.1963	11959	11855
25769804669	17179869928	21474836996	0.5395	8585	11914
8589935515	475	490	-0.2828	11835	11996
622	490	491	-0.4429	11994	11946
8589935241	4294968244	17179869928	-0.3343	8574	11985
8589935163	4294968094	4294968243	-0.3085	11842	11918
777	480	512	-0.0131	11982	11893
8589935339	483	489	0.9940	11920	11997
8589935215	491	4294968243	-0.3838	11905	11988
4294968203	475	486	0.8739	11944	11992
12884902880	4294968244	12884902894	-0.2625	11531	11995
4294968264	506	4294968243	-0.4504	11925	11877
8589935589	25769804644	34359739055	0.3265	8872	11985
4294967961	491	512	-0.3673	11949	11885
4294968198	480	4294968243	0.9802	11926	11990
8589935473	17179869928	34359739119	0.1254	8567	11987
980	476	481	-0.0949	11955	11858
1003	483	4294968243	-0.3832	11935	11956
637	481	491	-0.5429	11993	11959
4294968157	483	491	-0.1492	11883	11478
47244640797	17179869928	34359739055	-0.1426	8591	11766
4294968271	512	4294968094	0.1943	11879	11989
17179869758	17179869928	17179869957	-0.3970	8597	11969
12884902861	4294968243	17179869928	-0.5166	8597	11927
4294968260	491	4294968094	-0.3826	11880	11947
4294968274	490	4294968244	-0.2794	11753	11855
4294967972	483	4294968244	-0.4830	11754	11910
880	486	489	-0.3110	11972	11733
4294968186	490	506	-0.6948	11844	11970
648	476	486	-0.2786	11992	11939
12884902765	480	12884902894	0.8339	11544	11992
698	483	506	-0.4138	11988	11908
910	481	489	-0.1122	11965	11936
8589935498	4294968094	12884902894	0.3219	11544	11985
869	489	506	0.9861	11974	11993
12884902552	489	12884902894	0.7488	11537	11996
4294967925	481	483	-0.3267	11967	11724
8589935593	481	17179869928	-0.0954	8577	11993
8589935238	506	12884902894	-0.5503	11540	11997
4294968075	512	4294968244	0.1129	11768	11995
4294967923	481	486	-0.1254	11948	11929
4294967799	475	489	-0.3873	11951	11973
12884902384	491	12884902894	-0.2604	11547	11995
17179870084	475	17179869928	-0.2376	8540	11998
8589935407	17179869928	17179870156	-0.3993	8585	11964
17179870122	17179869957	34359739055	-0.2442	8844	11722
8589935387	21474836996	34359739055	-0.6144	8871	11999
4294968238	4294968094	34359739055	-0.2510	8753	11918
34359739117	491	34359739055	0.8980	8839	12000
21474837266	512	25769804512	-0.0000	11043	957
21474837073	480	21474836996	-0.1356	10467	11908
17179869760	4294968244	21474836996	-0.3683	10498	11931
38654706146	483	8589935399	-0.0000	10695	1305
4294967864	490	25769804644	-0.4315	10800	11975
30064771780	491	8589935399	-0.0000	10695	1305
42949673736	4294968243	21474836996	-0.4134	10475	11999
