# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	9552.7275	0.4710	14001	0.4000	2,0,2	0.5000	34
476	8042.3032	-0.0258	14001	0.4000	3,2,1	0.5000	57
4294969086	94.1191	-0.0705	50	0.4000	2,2,2	0.5000	42
4294968243	13233.9219	0.0880	13950	0.4000	2,2,1	0.5000	41
506	16248.6543	0.1348	14001	0.4000	2,1,1	0.5000	37
480	12554.0654	0.1047	14001	0.4000	1,2,1	0.5000	25
481	19659.1582	0.3581	14001	0.4000	1,3,2	0.5000	30
4294968244	16841.7520	0.2741	13800	0.4000	1,1,3	0.5000	23
483	12422.4736	0.4732	14001	0.4000	1,0,1	0.5000	17
512	17428.1816	0.3061	14001	0.4000	3,0,1	0.5000	49
12884902894	19220.4277	-0.0719	13550	0.4000	3,0,0	0.5000	48
486	15351.1660	-0.0209	14001	0.4000	3,0,3	0.5000	51
4294968094	11031.9316	0.4368	13900	0.4000	2,3,3	0.5000	47
17179869928	9530.2793	-0.0460	10600	0.4000	1,2,3	0.5000	27
489	16632.2363	-0.0991	14001	0.4000	1,0,3	0.5000	19
490	7970.5566	0.4367	14001	0.4000	1,1,0	0.5000	20
491	15242.1113	0.4104	14001	0.4000	2,1,2	0.5000	38
34359739295	10422.2842	0.1514	10100	0.4000	0,2,1	0.5000	9
21474836996	8682.4688	0.1412	12500	0.4000	2,3,0	0.5000	44
30064771632	11960.0293	-0.1462	13000	0.4000	1,2,0	0.5000	24
34359739119	8052.4961	0.1378	12900	0.4000	3,2,1	0.5000	57
25769804644	13179.6328	0.0439	12850	0.4000	3,2,0	0.5000	56
17179869947	901.8479	-0.1898	12450	0.4000	1,1,1	0.5000	21
17179870156	21785.5840	-0.2127	12000	0.4000	3,2,0	0.5000	56
17179869957	20554.7715	0.1679	11700	0.4000	1,3,3	0.5000	31
47244640874	12745.2656	0.0019	11050	0.4000	0,3,1	0.5000	13
17179870151	1933.3755	0.3294	10950	0.4000	3,3,1	0.5000	61
34359739055	7213.8569	0.3265	10900	0.4000	2,3,2	0.5000	46
55834575744	6797.4927	-0.1447	8300	0.4000	1,2,0	0.5000	24
21474837268	15563.2139	0.1913	9950	0.4000	3,3,2	0.5000	62
1027	11343.9922	-0.1633	9650	0.4000	0,0,0	0.5000	0
21474837234	8671.2764	0.1737	9250	0.4000	0,2,0	0.5000	8
25769805090	2665.0352	0.3336	4350	0.4000	0,1,3	0.5000	7
73014444835	2406.9495	-0.0442	8100	0.4000	2,1,2	0.5000	38
21474837674	6685.1914	0.4887	7300	0.4000	3,1,0	0.5000	52
25769805027	7908.9893	-0.0194	5500	0.4000	0,2,1	0.5000	9
68719477682	6561.8721	0.0439	6350	0.4000	0,2,0	0.5000	8
81604379800	1331.0326	-0.1485	4850	0.4000	3,1,1	0.5000	53
21474837799	4796.7646	0.2451	4400	0.4000	0,1,1	0.5000	5
47244641572	2105.1914	0.4360	3800	0.4000	1,1,3	0.5000	23
42949674453	1045.2463	0.1080	2300	0.4000	2,1,0	0.5000	36
68719477872	5018.2046	-0.0208	3350	0.4000	2,1,3	0.5000	39
1434	2701.8481	-0.0997	3500	0.4000	3,2,1	0.5000	57
77309412692	216.5036	0.3899	1150	0.4000	1,2,0	0.5000	24
51539608928	77.6334	-0.1906	950	0.4000	3,1,0	0.5000	52
51539609122	357.2677	0.4263	1000	0.4000	2,2,2	0.5000	42
4294968962	96.4429	-0.0929	450	0.4000	2,3,0	0.5000	44
8589936287	86.6752	0.3510	400	0.4000	0,1,1	0.5000	5
25769805397	79.1318	-0.2560	100	0.4000	0,2,0	0.5000	8
1766	142.1140	-0.1983	200	0.4000	1,3,0	0.5000	28

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.3477	13927	13937
727	476	512	-0.2948	13986	13793
1010	476	506	-0.3935	13934	13997
661	475	512	-0.1810	13991	13821
8589935259	506	4294968094	-0.2613	13818	13966
520	486	491	-0.3778	14000	13933
4294968011	475	4294968244	0.0908	13732	13904
4294968233	483	4294968094	-0.2176	13874	13980
8589935459	480	4294968094	-0.1872	13875	13689
1819	1766	4294968243	0.1582	143	13921
42949674362	12884902894	38654707083	-0.0308	588	13412
17179870125	4294968273	17179869947	-0.0000	10651	3349
4294968235	490	4294968094	-0.1314	13895	13993
4294967810	486	4294968094	-0.3344	13892	13849
30064772004	17179870151	47244640874	-0.4305	10879	13984
64424510980	4294968962	73014444835	-0.0280	444	13885
531	475	506	0.9522	13999	13981
12884902470	4294968094	17179869928	0.8189	10543	13959
533	480	490	-0.2986	13999	13971
4294968247	476	4294968243	-0.2612	13944	13958
535	476	483	-0.2061	13999	13845
8589935418	489	4294968243	-0.5931	13895	13906
806	486	512	-0.4328	13979	13976
8589935561	480	491	-0.1744	13876	13886
4294967800	475	481	-0.4042	13891	13998
8589935306	481	34359739295	-0.5410	10054	13974
12884902886	476	12884902894	0.3646	13518	13893
4294968066	481	4294968094	-0.0438	13885	13974
672	483	512	-0.4430	13990	13835
12884902466	512	12884902894	-0.2200	13520	13676
17179870087	475	12884902894	0.1541	13545	13910
4294967803	475	483	-0.4559	13885	13981
4294967932	481	4294968244	-0.2957	13792	13964
4294967801	489	4294968244	0.4021	13785	13965
4294968042	512	4294968243	-0.2187	13872	13954
550	483	490	-0.1912	13998	13975
12884902501	506	512	-0.3167	13825	13969
4294967804	481	4294968243	-0.2717	13873	13794
4294968048	480	4294968244	-0.1584	13776	13927
21474838106	4294969086	17179869947	0.0572	42	13997
833	476	489	0.7245	13976	13952
4294968195	476	4294968094	-0.2777	13841	13923
986	481	512	-0.4661	13955	13912
8589935220	4294968243	34359739055	-0.2517	10827	13722
1817	1766	21474836996	-0.2455	143	13995
4294967775	486	4294968244	-0.4009	13779	13681
8589935435	475	4294968094	-0.2797	13877	13808
562	476	480	-0.3770	13997	13997
8589935316	34359739295	47244640874	0.9980	10057	13999
564	483	486	-0.3209	13997	13698
831	489	512	-0.4313	13977	13972
1816	486	1766	0.3502	144	14000
8589935507	486	12884902894	0.1737	13521	13950
8589935102	491	4294968244	-0.3719	13796	13934
885	475	480	-0.2506	13971	13987
12884902539	476	490	-0.4986	13924	13897
4294967954	489	4294968094	-0.2703	13878	13983
4294969008	4294968962	34359739055	0.0990	445	13997
12884902495	506	47244640874	-0.3898	10728	13909
4294969003	4294968962	17179869928	0.0599	445	13802
8589935420	480	483	0.9940	13890	13997
8589935296	483	12884902894	-0.6116	13522	13878
8589935269	480	34359739055	-0.4366	10830	13976
4294969002	4294968962	55834575744	0.2107	449	13997
961	489	491	-0.2158	13958	13881
4294967825	480	489	-0.3871	13945	13924
17179869774	4294968243	4294968244	-0.3560	13737	13728
4294967798	475	4294968243	-0.5809	13918	13955
8589935237	490	4294968243	-0.6011	13928	13994
8589935146	506	4294968244	0.1423	13799	13991
34359739473	481	4294968962	-0.2657	388	13887
722	476	491	-0.5101	13986	13976
8589935153	4294968243	12884902894	-0.3753	13491	13830
820	480	506	-0.2909	13978	13771
12884902862	490	17179869928	0.0381	10495	13928
8589936265	17179869957	25769805397	-0.0919	42	13958
4294967773	4294968094	4294968244	-0.6291	13742	13932
12884902542	4294968244	34359739055	-0.5372	10877	13983
4294968255	476	4294968244	-0.4661	13747	13961
8589935295	481	12884902894	-0.3120	13525	13880
73014444796	17179870156	34359739295	0.0673	10089	14000
180388627616	1805	21474837674	-0.0919	42	13958
42949673506	17179869957	17179870151	-0.3340	10843	13860
711	480	481	-0.3576	13987	13828
