# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11002.7275	0.4710	16001	0.4000	2,0,2	0.5000	34
476	11206.3027	-0.0258	16001	0.4000	3,2,1	0.5000	57
4294969096	1102.0251	0.1148	1950	0.4000	3,1,0	0.5000	52
4294968243	14571.9219	0.0880	15950	0.4000	2,2,1	0.5000	41
506	16826.6543	0.1348	16001	0.4000	2,1,1	0.5000	37
480	13635.0654	0.1047	16001	0.4000	1,2,1	0.5000	25
481	20534.1582	0.3581	16001	0.4000	1,3,2	0.5000	30
4294968244	20053.7520	0.2741	15800	0.4000	1,1,3	0.5000	23
483	13736.4736	0.4732	16001	0.4000	1,0,1	0.5000	17
512	17079.1816	0.3061	16001	0.4000	3,0,1	0.5000	49
12884902894	22423.4277	-0.0719	15550	0.4000	3,0,0	0.5000	48
486	15253.1660	-0.0209	16001	0.4000	3,0,3	0.5000	51
4294968094	12002.9316	0.4368	15900	0.4000	2,3,3	0.5000	47
17179869928	11255.2793	-0.0460	12600	0.4000	1,2,3	0.5000	27
489	18658.2363	-0.0991	16001	0.4000	1,0,3	0.5000	19
490	7682.5566	0.4367	16001	0.4000	1,1,0	0.5000	20
491	16795.1113	0.4104	16001	0.4000	2,1,2	0.5000	38
34359739295	11409.2842	0.1514	12100	0.4000	0,2,1	0.5000	9
21474836996	10520.4688	0.1412	14500	0.4000	2,3,0	0.5000	44
30064771632	12606.0293	-0.1462	15000	0.4000	1,2,0	0.5000	24
34359739119	8637.4961	0.1378	14900	0.4000	3,2,1	0.5000	57
25769804644	14400.6328	0.0439	14850	0.4000	3,2,0	0.5000	56
17179869947	1972.8479	-0.1898	14450	0.4000	1,1,1	0.5000	21
17179870156	23745.5840	-0.2127	14000	0.4000	3,2,0	0.5000	56
17179869957	22082.7715	0.1679	13700	0.4000	1,3,3	0.5000	31
47244640874	14744.2656	0.0019	13050	0.4000	0,3,1	0.5000	13
17179870151	1821.3755	0.3294	12950	0.4000	3,3,1	0.5000	61
34359739055	7116.8569	0.3265	12900	0.4000	2,3,2	0.5000	46
55834575744	7690.4927	-0.1447	10300	0.4000	1,2,0	0.5000	24
21474837268	15996.2139	0.1913	11950	0.4000	3,3,2	0.5000	62
1027	13324.9922	-0.1633	11650	0.4000	0,0,0	0.5000	0
21474837234	9699.2764	0.1737	11250	0.4000	0,2,0	0.5000	8
25769805090	5027.0352	0.3336	6350	0.4000	0,1,3	0.5000	7
73014444835	3071.9495	-0.0442	10100	0.4000	2,1,2	0.5000	38
21474837674	8788.1914	0.4887	9300	0.4000	3,1,0	0.5000	52
25769805027	11086.9893	-0.0194	7500	0.4000	0,2,1	0.5000	9
68719477682	7755.8721	0.0439	8350	0.4000	0,2,0	0.5000	8
81604379800	2631.0327	-0.1485	6850	0.4000	3,1,1	0.5000	53
21474837799	5977.7646	0.2451	6400	0.4000	0,1,1	0.5000	5
47244641572	2931.1914	0.4360	5800	0.4000	1,1,3	0.5000	23
42949674453	2705.2463	0.1080	4300	0.4000	2,1,0	0.5000	36
68719477872	6645.2046	-0.0208	5350	0.4000	2,1,3	0.5000	39
1434	3859.8481	-0.0997	5500	0.4000	3,2,1	0.5000	57
77309412692	2604.5037	0.3899	3150	0.4000	1,2,0	0.5000	24
8589936287	556.6752	0.3510	2400	0.4000	0,1,1	0.5000	5
30064772904	356.9589	0.3848	650	0.4000	0,1,2	0.5000	6
4294968962	1002.4429	-0.0929	2450	0.4000	2,3,0	0.5000	44
21474838321	203.4819	0.1260	1200	0.4000	2,2,0	0.5000	40
30064772907	310.2789	0.4711	1150	0.4000	1,1,0	0.5000	20
25769805613	265.9758	0.2167	750	0.4000	0,2,3	0.5000	11
4294969291	133.3235	0.0896	200	0.4000	3,3,3	0.5000	63
34359740250	80.9409	-0.1259	150	0.4000	0,3,1	0.5000	13
73014445408	91.4472	-0.1113	100	0.4000	1,1,2	0.5000	22
81604379985	20.4790	0.2634	50	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.2711	15927	15959
727	476	512	-0.4139	15986	15980
1010	476	506	-0.3389	15934	15882
661	475	512	-0.3558	15991	15960
8589935259	506	4294968094	-0.4488	15818	15892
520	486	491	-0.3829	16000	15899
4294968011	475	4294968244	-0.1244	15732	15894
4294968233	483	4294968094	-0.4094	15874	15981
8589935459	480	4294968094	-0.2517	15875	15960
12884903716	12884903729	21474836996	-0.0078	1272	14728
42949674362	12884902894	38654707083	-0.0006	2588	13412
17179870125	4294968273	17179869947	-0.0000	12651	3349
4294968235	490	4294968094	-0.3561	15895	15962
4294967810	486	4294968094	0.0910	15892	15942
30064772004	17179870151	47244640874	-0.0278	12879	16000
64424510980	4294968962	73014444835	-0.2938	2444	15985
531	475	506	0.8812	15999	15995
12884902470	4294968094	17179869928	-0.2889	12543	15698
533	480	490	0.4988	15999	15986
4294968247	476	4294968243	-0.2644	15944	15774
535	476	483	-0.1805	15999	15994
8589935418	489	4294968243	-0.2060	15895	15997
806	486	512	-0.4798	15979	15890
8589935561	480	491	0.0240	15876	15847
4294967800	475	481	0.1220	15891	15980
8589935306	481	34359739295	-0.2037	12054	15872
12884902886	476	12884902894	0.9685	15518	15984
4294968066	481	4294968094	-0.1165	15885	15958
672	483	512	-0.3507	15990	15907
12884902466	512	12884902894	-0.1026	15520	15995
17179870087	475	12884902894	-0.2862	15545	15997
4294967803	475	483	-0.1599	15885	15920
4294967932	481	4294968244	0.4189	15792	15977
4294967801	489	4294968244	-0.1956	15785	15918
4294968042	512	4294968243	-0.3031	15872	15901
550	483	490	-0.2898	15998	15938
12884902501	506	512	-0.1488	15825	15748
4294967804	481	4294968243	-0.2210	15873	15973
4294968048	480	4294968244	-0.3478	15776	15887
8589936310	4294969096	34359739055	-0.3740	1910	15974
833	476	489	-0.2266	15976	15918
4294968195	476	4294968094	-0.1166	15841	15927
986	481	512	-0.3440	15955	15855
8589935220	4294968243	34359739055	-0.2054	12827	15631
12884903671	12884903729	68719477872	-0.0078	1272	14728
4294967775	486	4294968244	-0.1921	15779	15987
8589935435	475	4294968094	-0.5843	15877	15972
562	476	480	0.3961	15997	15987
8589935316	34359739295	47244640874	0.9920	12057	15996
564	483	486	-0.4220	15997	15832
831	489	512	-0.6900	15977	15996
12884903550	8589936287	68719477682	-0.3838	2359	15909
8589935507	486	12884902894	-0.4047	15521	15991
8589935102	491	4294968244	-0.3422	15796	15743
885	475	480	-0.2084	15971	15739
12884902539	476	490	-0.3294	15924	15649
4294967954	489	4294968094	0.0468	15878	15909
4294969008	4294968962	34359739055	-0.0958	2445	15993
12884902495	506	47244640874	-0.3996	12728	15983
4294969003	4294968962	17179869928	-0.3503	2445	15988
8589935420	480	483	0.9980	15890	15999
8589935296	483	12884902894	-0.2204	15522	15863
8589935269	480	34359739055	0.1390	12830	15985
4294969002	4294968962	55834575744	-0.4813	2449	15957
961	489	491	0.3334	15958	15998
4294967825	480	489	-0.2845	15945	15800
17179869774	4294968243	4294968244	0.9940	15737	15997
4294967798	475	4294968243	-0.1881	15918	15920
8589935237	490	4294968243	0.1000	15928	15938
8589935146	506	4294968244	-0.1585	15799	15949
34359739473	481	4294968962	-0.3584	2388	15873
722	476	491	-0.2128	15986	15758
8589935153	4294968243	12884902894	-0.3037	15491	15938
820	480	506	-0.2275	15978	15756
12884902862	490	17179869928	-0.4126	12495	15943
1724	4294968962	21474837234	-0.1690	2244	15935
4294967773	4294968094	4294968244	-0.0762	15742	15970
12884902542	4294968244	34359739055	0.0612	12877	15926
4294968255	476	4294968244	-0.3690	15747	15774
8589935295	481	12884902894	-0.0172	15525	15886
73014444796	17179870156	34359739295	0.9900	12089	15995
180388627616	1805	21474837674	-0.0017	2042	13958
42949673506	17179869957	17179870151	-0.3105	12843	15982
711	480	481	-0.0125	15987	15982
30064771571	17179869947	34359739295	-0.0653	12063	15921
8589935312	481	490	-0.2731	15812	15643
8589935318	486	4294968243	-0.3322	15932	15843
38654706546	490	34359739055	-0.4713	12836	15949
17179870801	483	8589936287	0.0084	2356	15857
