# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	12120.7275	0.4710	18001	0.4000	2,0,2	0.5000	34
476	12839.3027	-0.0258	18001	0.4000	3,2,1	0.5000	57
4294969096	2676.0251	0.1148	3950	0.4000	3,1,0	0.5000	52
4294968243	14892.9219	0.0880	17950	0.4000	2,2,1	0.5000	41
506	17944.6543	0.1348	18001	0.4000	2,1,1	0.5000	37
480	14870.0654	0.1047	18001	0.4000	1,2,1	0.5000	25
481	21512.1582	0.3581	18001	0.4000	1,3,2	0.5000	30
4294968244	21784.7520	0.2741	17800	0.4000	1,1,3	0.5000	23
483	15950.4736	0.4732	18001	0.4000	1,0,1	0.5000	17
512	16210.1816	0.3061	18001	0.4000	3,0,1	0.5000	49
12884902894	25669.4277	-0.0719	17550	0.4000	3,0,0	0.5000	48
486	15028.1660	-0.0209	18001	0.4000	3,0,3	0.5000	51
4294968094	13571.9316	0.4368	17900	0.4000	2,3,3	0.5000	47
17179869928	12424.2793	-0.0460	14600	0.4000	1,2,3	0.5000	27
489	20191.2363	-0.0991	18001	0.4000	1,0,3	0.5000	19
490	7723.5566	0.4367	18001	0.4000	1,1,0	0.5000	20
491	17537.1113	0.4104	18001	0.4000	2,1,2	0.5000	38
34359739295	12820.2842	0.1514	14100	0.4000	0,2,1	0.5000	9
21474836996	12318.4688	0.1412	16500	0.4000	2,3,0	0.5000	44
30064771632	14630.0293	-0.1462	17000	0.4000	1,2,0	0.5000	24
34359739119	9945.4961	0.1378	16900	0.4000	3,2,1	0.5000	57
25769804644	14841.6328	0.0439	16850	0.4000	3,2,0	0.5000	56
17179869947	3022.8479	-0.1898	16450	0.4000	1,1,1	0.5000	21
17179870156	24092.5840	-0.2127	16000	0.4000	3,2,0	0.5000	56
17179869957	21708.7715	0.1679	15700	0.4000	1,3,3	0.5000	31
47244640874	16166.2656	0.0019	15050	0.4000	0,3,1	0.5000	13
17179870151	1655.3755	0.3294	14950	0.4000	3,3,1	0.5000	61
34359739055	8410.8574	0.3265	14900	0.4000	2,3,2	0.5000	46
55834575744	7692.4927	-0.1447	12300	0.4000	1,2,0	0.5000	24
21474837268	16383.2148	0.1913	13950	0.4000	3,3,2	0.5000	62
1027	13441.9922	-0.1633	13650	0.4000	0,0,0	0.5000	0
21474837234	10084.2764	0.1737	13250	0.4000	0,2,0	0.5000	8
25769805090	6069.0352	0.3336	8350	0.4000	0,1,3	0.5000	7
73014444835	5454.9492	-0.0442	12100	0.4000	2,1,2	0.5000	38
21474837674	9931.1914	0.4887	11300	0.4000	3,1,0	0.5000	52
25769805027	12963.9893	-0.0194	9500	0.4000	0,2,1	0.5000	9
68719477682	7411.8721	0.0439	10350	0.4000	0,2,0	0.5000	8
81604379800	3986.0327	-0.1485	8850	0.4000	3,1,1	0.5000	53
21474837799	7120.7646	0.2451	8400	0.4000	0,1,1	0.5000	5
47244641572	4507.1914	0.4360	7800	0.4000	1,1,3	0.5000	23
42949674453	3062.2463	0.1080	6300	0.4000	2,1,0	0.5000	36
68719477872	7060.2046	-0.0208	7350	0.4000	2,1,3	0.5000	39
1434	6011.8481	-0.0997	7500	0.4000	3,2,1	0.5000	57
77309412692	5198.5039	0.3899	5150	0.4000	1,2,0	0.5000	24
8589936287	2378.6753	0.3510	4400	0.4000	0,1,1	0.5000	5
30064772904	1207.9590	0.3848	2650	0.4000	0,1,2	0.5000	6
4294968962	1424.4429	-0.0929	4450	0.4000	2,3,0	0.5000	44
21474838321	856.4819	0.1260	3200	0.4000	2,2,0	0.5000	40
30064772907	516.2789	0.4711	3150	0.4000	1,1,0	0.5000	20
25769805613	832.9758	0.2167	2750	0.4000	0,2,3	0.5000	11
4294969291	921.3235	0.0896	2200	0.4000	3,3,3	0.5000	63
12884903910	388.6500	0.1333	1550	0.4000	2,1,3	0.5000	39
77309412875	20.0098	0.0897	350	0.4000	3,2,2	0.5000	58
17179871241	400.6660	0.0023	1200	0.4000	2,3,1	0.5000	45
60129544053	27.0324	0.3818	100	0.4000	3,2,3	0.5000	59
42949674993	92.6225	0.3360	50	0.4000	0,3,3	0.5000	15

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.4023	17927	17778
727	476	512	0.2303	17986	17921
1010	476	506	-0.2953	17934	17678
661	475	512	-0.2968	17991	17812
8589935259	506	4294968094	-0.2006	17818	17773
520	486	491	0.1768	18000	17982
4294968011	475	4294968244	-0.4634	17732	17906
4294968233	483	4294968094	0.0338	17874	17902
8589935459	480	4294968094	-0.1427	17875	17835
12884903716	12884903729	21474836996	-0.0001	3272	14728
42949674362	12884902894	38654707083	-0.0000	4588	13412
17179870125	4294968273	17179869947	-0.0000	14651	3349
4294968235	490	4294968094	-0.3145	17895	17845
4294967810	486	4294968094	0.1345	17892	17972
30064772004	17179870151	47244640874	-0.4732	14879	17951
64424510980	4294968962	73014444835	-0.2450	4444	17837
531	475	506	0.9665	17999	17994
12884902470	4294968094	17179869928	-0.2427	14543	17792
533	480	490	-0.1031	17999	17992
4294968247	476	4294968243	0.4947	17944	17977
535	476	483	-0.5228	17999	17970
8589935418	489	4294968243	-0.2277	17895	17882
806	486	512	-0.4185	17979	17862
8589935561	480	491	-0.1493	17876	17944
4294967800	475	481	-0.1150	17891	17974
8589935306	481	34359739295	0.4061	14054	17998
12884902886	476	12884902894	0.1901	17518	17931
4294968066	481	4294968094	-0.4514	17885	18000
672	483	512	-0.4606	17990	17908
12884902466	512	12884902894	-0.2570	17520	17853
17179870087	475	12884902894	0.1617	17545	17972
4294967803	475	483	-0.3676	17885	17858
4294967932	481	4294968244	-0.1766	17792	17972
4294967801	489	4294968244	-0.3558	17785	17782
4294968042	512	4294968243	-0.2268	17872	17746
550	483	490	-0.4572	17998	17986
12884902501	506	512	-0.5585	17825	17987
4294967804	481	4294968243	-0.3127	17873	17946
4294968048	480	4294968244	0.0343	17776	17989
8589936310	4294969096	34359739055	-0.3556	3910	17769
833	476	489	0.1413	17976	17974
4294968195	476	4294968094	-0.1899	17841	17657
986	481	512	-0.0763	17955	17994
8589935220	4294968243	34359739055	-0.6020	14827	17986
12884903671	12884903729	68719477872	-0.0001	3272	14728
4294967775	486	4294968244	-0.1127	17779	17834
8589935435	475	4294968094	-0.3734	17877	17984
562	476	480	0.8201	17997	17958
8589935316	34359739295	47244640874	0.9841	14057	17992
564	483	486	-0.2111	17997	17686
831	489	512	-0.2955	17977	17952
12884903550	8589936287	68719477682	-0.3126	4359	17989
8589935507	486	12884902894	-0.1596	17521	17923
8589935102	491	4294968244	-0.3086	17796	17942
885	475	480	-0.1610	17971	17926
12884902539	476	490	-0.4408	17924	17991
4294967954	489	4294968094	-0.3077	17878	17938
4294969008	4294968962	34359739055	-0.3037	4445	17936
12884902495	506	47244640874	-0.1442	14728	17687
4294969003	4294968962	17179869928	-0.1339	4445	17957
8589935420	480	483	0.8957	17890	17945
8589935296	483	12884902894	-0.3124	17522	17927
8589935269	480	34359739055	-0.3096	14830	17932
4294969002	4294968962	55834575744	0.0012	4449	17977
961	489	491	0.9685	17958	17984
4294967825	480	489	-0.2880	17945	17763
17179869774	4294968243	4294968244	0.8761	17737	17991
4294967798	475	4294968243	-0.4489	17918	17953
8589935237	490	4294968243	-0.2829	17928	17892
8589935146	506	4294968244	-0.4062	17799	17975
34359739473	481	4294968962	0.3425	4388	17934
722	476	491	-0.3033	17986	17690
8589935153	4294968243	12884902894	-0.0802	17491	17955
820	480	506	-0.1151	17978	17886
12884902862	490	17179869928	-0.3360	14495	17796
1724	4294968962	21474837234	-0.1207	4244	17787
4294967773	4294968094	4294968244	-0.2079	17742	17912
12884902542	4294968244	34359739055	0.1146	14877	17966
4294968255	476	4294968244	-0.0582	17747	17712
8589935295	481	12884902894	-0.4955	17525	17987
73014444796	17179870156	34359739295	0.6215	14089	17990
180388627616	1805	21474837674	-0.0000	4042	13958
42949673506	17179869957	17179870151	-0.0682	14843	17654
711	480	481	-0.2541	17987	17816
30064771571	17179869947	34359739295	-0.2676	14063	17914
8589935312	481	490	0.8379	17812	18000
8589935318	486	4294968243	-0.4016	17932	17977
38654706546	490	34359739055	-0.4364	14836	17982
17179870801	483	8589936287	-0.2022	4356	17806
17179870173	489	17179869928	0.0969	14530	17978
4294968686	4294968244	8589936287	0.2983	4390	17957
1824	1027	25769805397	-0.0000	3930	14070
4294967796	486	490	-0.4430	17897	17944
17179870559	8589936287	34359739119	-0.1126	4390	17961
25769804650	490	12884902894	-0.1003	17530	17751
976	489	490	-0.0952	17956	17961
611	486	506	-0.3243	17995	17842
883	481	506	-0.1964	17972	17870
4294968209	491	506	-0.3170	17927	17853
17179870001	480	17179869928	0.0597	14497	17995
30064771927	489	34359739295	-0.1868	14064	17942
616	475	476	-0.2094	17994	17824
30064771913	4294968244	34359739295	-0.1664	14068	17907
887	475	491	-0.3455	17971	17993
954	480	486	-0.1614	17959	17922
25769804669	17179869928	21474836996	-0.3844	14585	17940
8589935515	475	490	-0.2427	17835	17739
622	490	491	-0.1118	17994	17936
8589935241	4294968244	17179869928	0.2746	14574	17937
8589935163	4294968094	4294968243	-0.2470	17842	17935
777	480	512	-0.2500	17982	17609
8589935339	483	489	0.5606	17920	17983
8589935215	491	4294968243	-0.3227	17905	17997
4294968203	475	486	0.6467	17944	17950
12884902880	4294968244	12884902894	-0.0684	17531	17954
4294968264	506	4294968243	-0.3679	17925	17993
8589935589	25769804644	34359739055	-0.5365	14872	17939
4294967961	491	512	0.5610	17949	17951
4294968198	480	4294968243	1.0000	17926	18000
8589935473	17179869928	34359739119	-0.4699	14567	17966
980	476	481	-0.3303	17955	17920
1003	483	4294968243	-0.1125	17935	17875
637	481	491	-0.1027	17993	17999
4294968157	483	491	-0.1774	17883	17877
47244640797	17179869928	34359739055	-0.0618	14591	17945
4294968271	512	4294968094	-0.0227	17879	17878
17179869758	17179869928	17179869957	-0.4665	14597	17942
12884902861	4294968243	17179869928	-0.4404	14597	17983
4294968260	491	4294968094	-0.2970	17880	17974
4294968274	490	4294968244	-0.2304	17753	17784
4294967972	483	4294968244	-0.2794	17754	17798
880	486	489	-0.3626	17972	17925
4294968186	490	506	-0.2376	17844	17972
648	476	486	-0.4576	17992	17968
12884902765	480	12884902894	0.5119	17544	17998
698	483	506	-0.5551	17988	17989
910	481	489	-0.3233	17965	17951
8589935498	4294968094	12884902894	-0.3677	17544	17669
869	489	506	-0.4015	17974	17916
12884902552	489	12884902894	-0.3515	17537	17948
