# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	13585.7275	0.4710	20001	0.4000	2,0,2	0.5000	34
476	13915.3027	-0.0258	20001	0.4000	3,2,1	0.5000	57
4294969096	3635.0251	0.1148	5950	0.4000	3,1,0	0.5000	52
4294968243	14843.9219	0.0880	19950	0.4000	2,2,1	0.5000	41
506	19353.6543	0.1348	20001	0.4000	2,1,1	0.5000	37
480	14904.0654	0.1047	20001	0.4000	1,2,1	0.5000	25
481	21740.1582	0.3581	20001	0.4000	1,3,2	0.5000	30
4294968244	24042.7520	0.2741	19800	0.4000	1,1,3	0.5000	23
483	17421.4727	0.4732	20001	0.4000	1,0,1	0.5000	17
512	15609.1816	0.3061	20001	0.4000	3,0,1	0.5000	49
12884902894	27017.4277	-0.0719	19550	0.4000	3,0,0	0.5000	48
486	16656.1660	-0.0209	20001	0.4000	3,0,3	0.5000	51
4294968094	13767.9316	0.4368	19900	0.4000	2,3,3	0.5000	47
17179869928	14701.2793	-0.0460	16600	0.4000	1,2,3	0.5000	27
489	21475.2363	-0.0991	20001	0.4000	1,0,3	0.5000	19
490	7616.5566	0.4367	20001	0.4000	1,1,0	0.5000	20
491	18486.1113	0.4104	20001	0.4000	2,1,2	0.5000	38
34359739295	16022.2842	0.1514	16100	0.4000	0,2,1	0.5000	9
21474836996	13402.4688	0.1412	18500	0.4000	2,3,0	0.5000	44
30064771632	16931.0293	-0.1462	19000	0.4000	1,2,0	0.5000	24
34359739119	10878.4961	0.1378	18900	0.4000	3,2,1	0.5000	57
25769804644	15832.6328	0.0439	18850	0.4000	3,2,0	0.5000	56
17179869947	4499.8477	-0.1898	18450	0.4000	1,1,1	0.5000	21
17179870156	24342.5840	-0.2127	18000	0.4000	3,2,0	0.5000	56
17179869957	23194.7715	0.1679	17700	0.4000	1,3,3	0.5000	31
47244640874	17318.2656	0.0019	17050	0.4000	0,3,1	0.5000	13
17179870151	1627.3755	0.3294	16950	0.4000	3,3,1	0.5000	61
34359739055	9247.8574	0.3265	16900	0.4000	2,3,2	0.5000	46
55834575744	6835.4927	-0.1447	14300	0.4000	1,2,0	0.5000	24
21474837268	17359.2148	0.1913	15950	0.4000	3,3,2	0.5000	62
1027	13768.9922	-0.1633	15650	0.4000	0,0,0	0.5000	0
21474837234	9820.2764	0.1737	15250	0.4000	0,2,0	0.5000	8
25769805090	5410.0352	0.3336	10350	0.4000	0,1,3	0.5000	7
73014444835	8193.9492	-0.0442	14100	0.4000	2,1,2	0.5000	38
21474837674	11366.1914	0.4887	13300	0.4000	3,1,0	0.5000	52
25769805027	13259.9893	-0.0194	11500	0.4000	0,2,1	0.5000	9
68719477682	8238.8721	0.0439	12350	0.4000	0,2,0	0.5000	8
81604379800	3655.0327	-0.1485	10850	0.4000	3,1,1	0.5000	53
21474837799	9108.7646	0.2451	10400	0.4000	0,1,1	0.5000	5
47244641572	5730.1914	0.4360	9800	0.4000	1,1,3	0.5000	23
42949674453	3582.2463	0.1080	8300	0.4000	2,1,0	0.5000	36
68719477872	7749.2046	-0.0208	9350	0.4000	2,1,3	0.5000	39
1434	6174.8481	-0.0997	9500	0.4000	3,2,1	0.5000	57
77309412692	8575.5039	0.3899	7150	0.4000	1,2,0	0.5000	24
8589936287	4660.6753	0.3510	6400	0.4000	0,1,1	0.5000	5
30064772904	1554.9590	0.3848	4650	0.4000	0,1,2	0.5000	6
4294968962	2370.4429	-0.0929	6450	0.4000	2,3,0	0.5000	44
21474838321	1708.4819	0.1260	5200	0.4000	2,2,0	0.5000	40
30064772907	1343.2788	0.4711	5150	0.4000	1,1,0	0.5000	20
25769805613	2007.9758	0.2167	4750	0.4000	0,2,3	0.5000	11
4294969291	1672.3235	0.0896	4200	0.4000	3,3,3	0.5000	63
12884903910	796.6500	0.1333	3550	0.4000	2,1,3	0.5000	39
17179871241	1768.6660	0.0023	3200	0.4000	2,3,1	0.5000	45
47244642452	530.6297	0.0656	800	0.4000	3,2,2	0.5000	58
34359740553	81.5492	0.4420	450	0.4000	1,1,2	0.5000	22
51539609686	64.4695	-0.1149	100	0.4000	0,3,0	0.5000	12
47244642354	107.2279	-0.0495	50	0.4000	0,2,1	0.5000	9

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.3975	19927	19775
727	476	512	-0.3513	19986	19956
1010	476	506	-0.0792	19934	19998
661	475	512	-0.2672	19991	19744
8589935259	506	4294968094	-0.3189	19818	19998
520	486	491	-0.0768	20000	19984
4294968011	475	4294968244	-0.2374	19732	19908
4294968233	483	4294968094	-0.3019	19874	19999
8589935459	480	4294968094	-0.4502	19875	19975
12884903716	12884903729	21474836996	-0.0000	5272	14728
42949674362	12884902894	38654707083	-0.0000	6588	13412
17179870125	4294968273	17179869947	-0.0000	16651	3349
4294968235	490	4294968094	-0.1235	19895	20000
4294967810	486	4294968094	0.1753	19892	19899
30064772004	17179870151	47244640874	-0.3456	16879	19988
64424510980	4294968962	73014444835	-0.0416	6444	19904
531	475	506	0.8553	19999	19979
12884902470	4294968094	17179869928	-0.2812	16543	19897
533	480	490	-0.3120	19999	19771
4294968247	476	4294968243	1.0000	19944	20000
535	476	483	-0.3691	19999	19946
8589935418	489	4294968243	0.0081	19895	19987
806	486	512	-0.4139	19979	19965
8589935561	480	491	-0.3856	19876	19969
4294967800	475	481	-0.2883	19891	19894
8589935306	481	34359739295	0.3953	16054	19940
12884902886	476	12884902894	-0.3002	19518	19953
4294968066	481	4294968094	-0.2070	19885	20000
672	483	512	-0.3737	19990	19991
12884902466	512	12884902894	-0.5903	19520	19937
17179870087	475	12884902894	0.3331	19545	19967
4294967803	475	483	-0.1974	19885	19949
4294967932	481	4294968244	-0.3150	19792	19892
4294967801	489	4294968244	-0.4029	19785	19945
4294968042	512	4294968243	0.9802	19872	19990
550	483	490	-0.2533	19998	19802
12884902501	506	512	-0.1765	19825	19903
4294967804	481	4294968243	-0.3556	19873	19912
4294968048	480	4294968244	-0.2705	19776	19954
8589936310	4294969096	34359739055	-0.1347	5910	19720
833	476	489	-0.2955	19976	19974
4294968195	476	4294968094	-0.2027	19841	19892
986	481	512	-0.2917	19955	19965
8589935220	4294968243	34359739055	-0.4002	16827	19947
12884903671	12884903729	68719477872	-0.0000	5272	14728
4294967775	486	4294968244	-0.2530	19779	19967
8589935435	475	4294968094	-0.1721	19877	19876
562	476	480	-0.0900	19997	19954
8589935316	34359739295	47244640874	0.7822	16057	19950
564	483	486	-0.3484	19997	19902
831	489	512	-0.4347	19977	19921
12884903550	8589936287	68719477682	-0.3472	6359	19833
8589935507	486	12884902894	-0.0300	19521	19853
8589935102	491	4294968244	-0.3450	19796	19805
885	475	480	-0.3702	19971	19944
12884902539	476	490	-0.2197	19924	19993
4294967954	489	4294968094	-0.2463	19878	19994
4294969008	4294968962	34359739055	-0.2615	6445	19771
12884902495	506	47244640874	-0.1547	16728	19844
4294969003	4294968962	17179869928	-0.1939	6445	19823
8589935420	480	483	0.9417	19890	19970
8589935296	483	12884902894	-0.2087	19522	19774
8589935269	480	34359739055	-0.0538	16830	19706
4294969002	4294968962	55834575744	-0.3662	6449	19856
961	489	491	0.8853	19958	19994
4294967825	480	489	-0.0985	19945	19936
17179869774	4294968243	4294968244	-0.1145	19737	19349
4294967798	475	4294968243	-0.2803	19918	19941
8589935237	490	4294968243	-0.4836	19928	19891
8589935146	506	4294968244	-0.0891	19799	19891
34359739473	481	4294968962	-0.2517	6388	19903
722	476	491	-0.2552	19986	19987
8589935153	4294968243	12884902894	-0.1432	19491	19620
820	480	506	0.9861	19978	19993
12884902862	490	17179869928	-0.1983	16495	19566
1724	4294968962	21474837234	-0.0748	6244	19973
4294967773	4294968094	4294968244	0.0246	19742	19843
12884902542	4294968244	34359739055	0.8528	16877	19982
4294968255	476	4294968244	-0.2023	19747	19562
8589935295	481	12884902894	0.2905	19525	19914
73014444796	17179870156	34359739295	0.9861	16089	19993
180388627616	1805	21474837674	-0.0000	6042	13958
42949673506	17179869957	17179870151	-0.1602	16843	19993
711	480	481	-0.3160	19987	19962
30064771571	17179869947	34359739295	0.8392	16063	19979
8589935312	481	490	-0.0673	19812	19917
8589935318	486	4294968243	-0.2739	19932	19828
38654706546	490	34359739055	-0.4319	16836	19976
17179870801	483	8589936287	-0.3004	6356	19826
17179870173	489	17179869928	-0.3323	16530	19956
4294968686	4294968244	8589936287	-0.1875	6390	19968
1824	1027	25769805397	-0.0000	5930	14070
4294967796	486	490	-0.2475	19897	19628
