# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	13794.7275	0.4710	22001	0.4000	2,0,2	0.5000	34
476	12857.3027	-0.0258	22001	0.4000	3,2,1	0.5000	57
4294969096	6019.0254	0.1148	7950	0.4000	3,1,0	0.5000	52
4294968243	13810.9219	0.0880	21950	0.4000	2,2,1	0.5000	41
506	20910.6543	0.1348	22001	0.4000	2,1,1	0.5000	37
480	15689.0654	0.1047	22001	0.4000	1,2,1	0.5000	25
481	21888.1582	0.3581	22001	0.4000	1,3,2	0.5000	30
4294968244	26831.7520	0.2741	21800	0.4000	1,1,3	0.5000	23
483	17175.4727	0.4732	22001	0.4000	1,0,1	0.5000	17
512	16772.1816	0.3061	22001	0.4000	3,0,1	0.5000	49
12884902894	27912.4277	-0.0719	21550	0.4000	3,0,0	0.5000	48
486	18328.1660	-0.0209	22001	0.4000	3,0,3	0.5000	51
4294968094	13455.9316	0.4368	21900	0.4000	2,3,3	0.5000	47
17179869928	14952.2793	-0.0460	18600	0.4000	1,2,3	0.5000	27
489	21463.2363	-0.0991	22001	0.4000	1,0,3	0.5000	19
490	7881.5566	0.4367	22001	0.4000	1,1,0	0.5000	20
491	19907.1113	0.4104	22001	0.4000	2,1,2	0.5000	38
34359739295	18089.2852	0.1514	18100	0.4000	0,2,1	0.5000	9
21474836996	15515.4688	0.1412	20500	0.4000	2,3,0	0.5000	44
30064771632	19158.0293	-0.1462	21000	0.4000	1,2,0	0.5000	24
34359739119	10957.4961	0.1378	20900	0.4000	3,2,1	0.5000	57
25769804644	16637.6328	0.0439	20850	0.4000	3,2,0	0.5000	56
17179869947	4564.8477	-0.1898	20450	0.4000	1,1,1	0.5000	21
17179870156	24389.5840	-0.2127	20000	0.4000	3,2,0	0.5000	56
17179869957	24365.7715	0.1679	19700	0.4000	1,3,3	0.5000	31
47244640874	17910.2656	0.0019	19050	0.4000	0,3,1	0.5000	13
17179870151	1952.3755	0.3294	18950	0.4000	3,3,1	0.5000	61
34359739055	10464.8574	0.3265	18900	0.4000	2,3,2	0.5000	46
55834575744	8040.4927	-0.1447	16300	0.4000	1,2,0	0.5000	24
21474837268	18954.2148	0.1913	17950	0.4000	3,3,2	0.5000	62
1027	14370.9922	-0.1633	17650	0.4000	0,0,0	0.5000	0
21474837234	9223.2764	0.1737	17250	0.4000	0,2,0	0.5000	8
25769805090	4839.0352	0.3336	12350	0.4000	0,1,3	0.5000	7
73014444835	11340.9492	-0.0442	16100	0.4000	2,1,2	0.5000	38
21474837674	12440.1914	0.4887	15300	0.4000	3,1,0	0.5000	52
25769805027	13870.9893	-0.0194	13500	0.4000	0,2,1	0.5000	9
68719477682	9328.8721	0.0439	14350	0.4000	0,2,0	0.5000	8
81604379800	2344.0327	-0.1485	12850	0.4000	3,1,1	0.5000	53
21474837799	10741.7646	0.2451	12400	0.4000	0,1,1	0.5000	5
47244641572	5672.1914	0.4360	11800	0.4000	1,1,3	0.5000	23
42949674453	3963.2463	0.1080	10300	0.4000	2,1,0	0.5000	36
68719477872	7772.2046	-0.0208	11350	0.4000	2,1,3	0.5000	39
1434	5324.8481	-0.0997	11500	0.4000	3,2,1	0.5000	57
77309412692	10215.5039	0.3899	9150	0.4000	1,2,0	0.5000	24
8589936287	5615.6753	0.3510	8400	0.4000	0,1,1	0.5000	5
30064772904	1515.9590	0.3848	6650	0.4000	0,1,2	0.5000	6
4294968962	3256.4429	-0.0929	8450	0.4000	2,3,0	0.5000	44
21474838321	3207.4819	0.1260	7200	0.4000	2,2,0	0.5000	40
30064772907	2029.2788	0.4711	7150	0.4000	1,1,0	0.5000	20
25769805613	3669.9758	0.2167	6750	0.4000	0,2,3	0.5000	11
4294969291	1936.3235	0.0896	6200	0.4000	3,3,3	0.5000	63
12884903910	608.6500	0.1333	5550	0.4000	2,1,3	0.5000	39
17179871241	2134.6660	0.0023	5200	0.4000	2,3,1	0.5000	45
47244642452	850.6297	0.0656	2800	0.4000	3,2,2	0.5000	58
17179871423	57.1141	-0.0784	50	0.4000	2,3,0	0.5000	44
30064773366	29.3451	-0.2018	100	0.4000	1,0,2	0.5000	18
47244642436	406.1355	-0.1454	1800	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.1274	21927	21978
727	476	512	-0.2079	21986	21644
1010	476	506	-0.2485	21934	21989
661	475	512	-0.0961	21991	21986
8589935259	506	4294968094	-0.1391	21818	21993
520	486	491	0.3677	22000	21913
4294968011	475	4294968244	-0.1440	21732	21570
4294968233	483	4294968094	-0.2262	21874	21807
8589935459	480	4294968094	-0.1146	21875	21946
12884903716	12884903729	21474836996	-0.0000	7272	14728
42949674362	12884902894	38654707083	-0.0000	8588	13412
17179870125	4294968273	17179869947	-0.0000	18651	3349
4294968235	490	4294968094	-0.4498	21895	21954
4294967810	486	4294968094	-0.2392	21892	21795
30064772004	17179870151	47244640874	-0.0814	18879	21490
64424510980	4294968962	73014444835	-0.0503	8444	21803
531	475	506	-0.2768	21999	21846
12884902470	4294968094	17179869928	0.1257	18543	21939
533	480	490	-0.4402	21999	21828
4294968247	476	4294968243	-0.5267	21944	21978
535	476	483	-0.2781	21999	21972
8589935418	489	4294968243	-0.1591	21895	21557
806	486	512	-0.2261	21979	21890
8589935561	480	491	-0.1555	21876	21619
4294967800	475	481	0.4696	21891	21929
8589935306	481	34359739295	-0.1743	18054	21843
12884902886	476	12884902894	-0.0051	21518	21990
4294968066	481	4294968094	-0.1982	21885	21904
672	483	512	-0.0232	21990	21737
12884902466	512	12884902894	-0.1826	21520	21967
17179870087	475	12884902894	-0.1865	21545	21997
4294967803	475	483	-0.0875	21885	21654
4294967932	481	4294968244	-0.1347	21792	21980
4294967801	489	4294968244	-0.3342	21785	21996
4294968042	512	4294968243	0.9782	21872	21989
550	483	490	-0.2026	21998	21727
12884902501	506	512	-0.2796	21825	21859
4294967804	481	4294968243	0.0389	21873	21990
4294968048	480	4294968244	-0.2891	21776	21859
8589936310	4294969096	34359739055	-0.3086	7910	21962
833	476	489	-0.1834	21976	21981
4294968195	476	4294968094	-0.3613	21841	21932
986	481	512	-0.3962	21955	21889
8589935220	4294968243	34359739055	-0.1291	18827	21998
12884903671	12884903729	68719477872	-0.0000	7272	14728
4294967775	486	4294968244	-0.3156	21779	21979
8589935435	475	4294968094	-0.1556	21877	21752
562	476	480	-0.3439	21997	21945
8589935316	34359739295	47244640874	0.9305	18057	21964
564	483	486	-0.1173	21997	21916
831	489	512	-0.3002	21977	21756
12884903550	8589936287	68719477682	-0.1934	8359	21706
8589935507	486	12884902894	-0.0781	21521	21939
8589935102	491	4294968244	-0.1251	21796	21926
885	475	480	-0.3686	21971	21933
12884902539	476	490	0.1033	21924	21984
4294967954	489	4294968094	1.0000	21878	22000
4294969008	4294968962	34359739055	-0.1016	8445	21940
12884902495	506	47244640874	-0.0601	18728	21995
4294969003	4294968962	17179869928	-0.4581	8445	21924
8589935420	480	483	0.7449	21890	21993
8589935296	483	12884902894	-0.0389	21522	21746
8589935269	480	34359739055	-0.2688	18830	21946
4294969002	4294968962	55834575744	-0.4183	8449	21887
961	489	491	0.8019	21958	21997
4294967825	480	489	-0.1153	21945	21927
17179869774	4294968243	4294968244	-0.1624	21737	21992
4294967798	475	4294968243	-0.0254	21918	21738
8589935237	490	4294968243	-0.2572	21928	21963
8589935146	506	4294968244	-0.1918	21799	21782
34359739473	481	4294968962	-0.4249	8388	21858
722	476	491	-0.4435	21986	21841
8589935153	4294968243	12884902894	-0.1359	21491	21863
820	480	506	0.7054	21978	21990
12884902862	490	17179869928	-0.4307	18495	21850
1724	4294968962	21474837234	-0.1559	8244	21922
4294967773	4294968094	4294968244	-0.2280	21742	21819
12884902542	4294968244	34359739055	0.6919	18877	21981
4294968255	476	4294968244	0.0005	21747	21965
8589935295	481	12884902894	-0.4614	21525	22000
73014444796	17179870156	34359739295	0.0937	18089	21925
180388627616	1805	21474837674	-0.0000	8042	13958
42949673506	17179869957	17179870151	-0.2258	18843	21917
711	480	481	0.5792	21987	21979
30064771571	17179869947	34359739295	0.9404	18063	21981
8589935312	481	490	0.9960	21812	21998
8589935318	486	4294968243	0.2927	21932	21998
38654706546	490	34359739055	-0.0691	18836	21956
17179870801	483	8589936287	-0.1273	8356	21833
17179870173	489	17179869928	-0.3986	18530	21971
4294968686	4294968244	8589936287	-0.2243	8390	21801
1824	1027	25769805397	-0.0000	7930	14070
4294967796	486	490	-0.2451	21897	21873
17179870559	8589936287	34359739119	-0.3006	8390	21921
