# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	15403.7275	0.4710	24001	0.4000	2,0,2	0.5000	34
476	13722.3027	-0.0258	24001	0.4000	3,2,1	0.5000	57
4294969096	7773.0254	0.1148	9950	0.4000	3,1,0	0.5000	52
4294968243	14579.9219	0.0880	23950	0.4000	2,2,1	0.5000	41
506	22690.6543	0.1348	24001	0.4000	2,1,1	0.5000	37
480	15530.0654	0.1047	24001	0.4000	1,2,1	0.5000	25
481	23595.1582	0.3581	24001	0.4000	1,3,2	0.5000	30
4294968244	29961.7520	0.2741	23800	0.4000	1,1,3	0.5000	23
483	17613.4727	0.4732	24001	0.4000	1,0,1	0.5000	17
512	18878.1816	0.3061	24001	0.4000	3,0,1	0.5000	49
12884902894	29221.4277	-0.0719	23550	0.4000	3,0,0	0.5000	48
486	19154.1660	-0.0209	24001	0.4000	3,0,3	0.5000	51
4294968094	13313.9316	0.4368	23900	0.4000	2,3,3	0.5000	47
17179869928	15889.2793	-0.0460	20600	0.4000	1,2,3	0.5000	27
489	22173.2363	-0.0991	24001	0.4000	1,0,3	0.5000	19
490	7660.5566	0.4367	24001	0.4000	1,1,0	0.5000	20
491	20589.1113	0.4104	24001	0.4000	2,1,2	0.5000	38
34359739295	21029.2852	0.1514	20100	0.4000	0,2,1	0.5000	9
21474836996	16488.4688	0.1412	22500	0.4000	2,3,0	0.5000	44
30064771632	20888.0293	-0.1462	23000	0.4000	1,2,0	0.5000	24
34359739119	12318.4961	0.1378	22900	0.4000	3,2,1	0.5000	57
25769804644	17976.6328	0.0439	22850	0.4000	3,2,0	0.5000	56
17179869947	5924.8477	-0.1898	22450	0.4000	1,1,1	0.5000	21
17179870156	25318.5840	-0.2127	22000	0.4000	3,2,0	0.5000	56
17179869957	23112.7715	0.1679	21700	0.4000	1,3,3	0.5000	31
47244640874	18514.2656	0.0019	21050	0.4000	0,3,1	0.5000	13
17179870151	3454.3755	0.3294	20950	0.4000	3,3,1	0.5000	61
34359739055	11941.8574	0.3265	20900	0.4000	2,3,2	0.5000	46
55834575744	8443.4922	-0.1447	18300	0.4000	1,2,0	0.5000	24
21474837268	20955.2148	0.1913	19950	0.4000	3,3,2	0.5000	62
1027	14761.9922	-0.1633	19650	0.4000	0,0,0	0.5000	0
21474837234	10795.2764	0.1737	19250	0.4000	0,2,0	0.5000	8
25769805090	5478.0352	0.3336	14350	0.4000	0,1,3	0.5000	7
73014444835	12915.9492	-0.0442	18100	0.4000	2,1,2	0.5000	38
21474837674	13191.1914	0.4887	17300	0.4000	3,1,0	0.5000	52
25769805027	14681.9893	-0.0194	15500	0.4000	0,2,1	0.5000	9
68719477682	11567.8721	0.0439	16350	0.4000	0,2,0	0.5000	8
81604379800	723.0327	-0.1485	14850	0.4000	3,1,1	0.5000	53
21474837799	11858.7646	0.2451	14400	0.4000	0,1,1	0.5000	5
47244641572	7044.1914	0.4360	13800	0.4000	1,1,3	0.5000	23
42949674453	3931.2461	0.1080	12300	0.4000	2,1,0	0.5000	36
68719477872	7565.2046	-0.0208	13350	0.4000	2,1,3	0.5000	39
1434	4500.8481	-0.0997	13500	0.4000	3,2,1	0.5000	57
77309412692	12793.5039	0.3899	11150	0.4000	1,2,0	0.5000	24
8589936287	6370.6753	0.3510	10400	0.4000	0,1,1	0.5000	5
30064772904	3196.9590	0.3848	8650	0.4000	0,1,2	0.5000	6
4294968962	5548.4429	-0.0929	10450	0.4000	2,3,0	0.5000	44
21474838321	4108.4819	0.1260	9200	0.4000	2,2,0	0.5000	40
30064772907	2080.2788	0.4711	9150	0.4000	1,1,0	0.5000	20
25769805613	4846.9756	0.2167	8750	0.4000	0,2,3	0.5000	11
4294969291	2609.3235	0.0896	8200	0.4000	3,3,3	0.5000	63
12884903910	1552.6500	0.1333	7550	0.4000	2,1,3	0.5000	39
17179871241	2049.6660	0.0023	7200	0.4000	2,3,1	0.5000	45
47244642452	916.6297	0.0656	4800	0.4000	3,2,2	0.5000	58
47244642436	1617.1355	-0.1454	3800	0.4000	2,1,2	0.5000	38
180388627980	546.2081	-0.2854	1000	0.4000	2,0,1	0.5000	33
73014446116	536.9849	0.3667	700	0.4000	3,0,3	0.5000	51
77309413591	24.5659	-0.1947	100	0.4000	1,3,0	0.5000	28
34359740669	76.3058	-0.2642	50	0.4000	1,1,1	0.5000	21

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.3500	23927	23749
727	476	512	-0.0709	23986	23112
1010	476	506	0.9665	23934	23983
661	475	512	-0.2541	23991	23674
8589935259	506	4294968094	-0.1840	23818	23909
520	486	491	-0.3100	24000	23903
4294968011	475	4294968244	-0.2327	23732	23861
4294968233	483	4294968094	-0.0237	23874	23870
8589935459	480	4294968094	-0.0802	23875	23921
12884903716	12884903729	21474836996	-0.0000	9272	14728
42949674362	12884902894	38654707083	-0.0000	10588	13412
17179870125	4294968273	17179869947	-0.0000	20651	3349
4294968235	490	4294968094	-0.4831	23895	23996
4294967810	486	4294968094	-0.4410	23892	23906
30064772004	17179870151	47244640874	0.0636	20879	23742
64424510980	4294968962	73014444835	-0.0390	10444	23644
531	475	506	-0.3382	23999	23961
12884902470	4294968094	17179869928	-0.0499	20543	23985
533	480	490	-0.4555	23999	23946
4294968247	476	4294968243	-0.1801	23944	23596
535	476	483	-0.1652	23999	23819
8589935418	489	4294968243	0.8858	23895	23980
806	486	512	-0.2963	23979	23971
8589935561	480	491	-0.2035	23876	23712
4294967800	475	481	0.6749	23891	23973
8589935306	481	34359739295	-0.3451	20054	23904
12884902886	476	12884902894	0.9841	23518	23992
4294968066	481	4294968094	-0.0613	23885	23877
672	483	512	0.0766	23990	23896
12884902466	512	12884902894	0.1602	23520	23994
17179870087	475	12884902894	-0.3638	23545	23980
4294967803	475	483	-0.3403	23885	23941
4294967932	481	4294968244	0.1088	23792	23917
4294967801	489	4294968244	0.2358	23785	23967
4294968042	512	4294968243	0.9047	23872	23950
550	483	490	-0.0563	23998	23807
12884902501	506	512	-0.3255	23825	23853
4294967804	481	4294968243	0.0332	23873	23754
4294968048	480	4294968244	-0.4136	23776	23936
8589936310	4294969096	34359739055	-0.2181	9910	23987
833	476	489	-0.1562	23976	23923
4294968195	476	4294968094	-0.0578	23841	23647
986	481	512	-0.1659	23955	23792
8589935220	4294968243	34359739055	-0.2178	20827	23729
12884903671	12884903729	68719477872	-0.0000	9272	14728
4294967775	486	4294968244	0.1037	23779	23991
8589935435	475	4294968094	-0.2282	23877	23959
562	476	480	-0.1460	23997	23984
8589935316	34359739295	47244640874	0.0699	20057	23757
564	483	486	-0.3544	23997	23806
831	489	512	-0.2036	23977	23909
12884903550	8589936287	68719477682	-0.2749	10359	23799
8589935507	486	12884902894	-0.2310	23521	23859
8589935102	491	4294968244	-0.1946	23796	23685
885	475	480	-0.4094	23971	23927
12884902539	476	490	-0.2409	23924	23934
4294967954	489	4294968094	0.0493	23878	23951
4294969008	4294968962	34359739055	-0.2713	10445	23961
12884902495	506	47244640874	0.0176	20728	23970
4294969003	4294968962	17179869928	-0.0706	10445	23866
8589935420	480	483	0.5767	23890	23985
8589935296	483	12884902894	-0.2053	23522	23754
8589935269	480	34359739055	-0.0927	20830	23731
4294969002	4294968962	55834575744	0.3095	10449	23995
961	489	491	0.9960	23958	23998
4294967825	480	489	-0.2694	23945	23783
17179869774	4294968243	4294968244	0.4489	23737	23986
4294967798	475	4294968243	0.0298	23918	23981
8589935237	490	4294968243	0.0040	23928	23987
8589935146	506	4294968244	-0.2831	23799	23867
34359739473	481	4294968962	0.0044	10388	23803
722	476	491	-0.0223	23986	23711
8589935153	4294968243	12884902894	-0.1481	23491	23877
820	480	506	0.8555	23978	23988
12884902862	490	17179869928	-0.2695	20495	23778
1724	4294968962	21474837234	-0.1318	10244	23801
4294967773	4294968094	4294968244	-0.0182	23742	23887
12884902542	4294968244	34359739055	-0.3678	20877	23942
4294968255	476	4294968244	-0.2788	23747	23912
8589935295	481	12884902894	-0.1807	23525	23793
73014444796	17179870156	34359739295	-0.3724	20089	23802
180388627616	1805	21474837674	-0.0000	10042	13958
42949673506	17179869957	17179870151	0.0797	20843	23995
711	480	481	0.8774	23987	23993
30064771571	17179869947	34359739295	0.8439	20063	24000
8589935312	481	490	-0.2670	23812	23930
8589935318	486	4294968243	0.9743	23932	23987
38654706546	490	34359739055	-0.0959	20836	23686
17179870801	483	8589936287	-0.4426	10356	23994
17179870173	489	17179869928	-0.3145	20530	23878
4294968686	4294968244	8589936287	-0.0926	10390	23895
1824	1027	25769805397	-0.0000	9930	14070
4294967796	486	490	-0.2121	23897	23863
17179870559	8589936287	34359739119	-0.3057	10390	23697
25769804650	490	12884902894	-0.2885	23530	23975
976	489	490	-0.5114	23956	23958
611	486	506	-0.2903	23995	23740
883	481	506	-0.1295	23972	23987
