# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	16078.7275	0.4710	26001	0.4000	2,0,2	0.5000	34
476	14078.3027	-0.0258	26001	0.4000	3,2,1	0.5000	57
4294969096	8190.0254	0.1148	11950	0.4000	3,1,0	0.5000	52
4294968243	15681.9219	0.0880	25950	0.4000	2,2,1	0.5000	41
506	24135.6543	0.1348	26001	0.4000	2,1,1	0.5000	37
480	16335.0654	0.1047	26001	0.4000	1,2,1	0.5000	25
481	26365.1582	0.3581	26001	0.4000	1,3,2	0.5000	30
4294968244	31164.7520	0.2741	25800	0.4000	1,1,3	0.5000	23
483	16672.4727	0.4732	26001	0.4000	1,0,1	0.5000	17
512	19811.1816	0.3061	26001	0.4000	3,0,1	0.5000	49
12884902894	30133.4277	-0.0719	25550	0.4000	3,0,0	0.5000	48
486	18638.1660	-0.0209	26001	0.4000	3,0,3	0.5000	51
4294968094	12166.9316	0.4368	25900	0.4000	2,3,3	0.5000	47
17179869928	14676.2793	-0.0460	22600	0.4000	1,2,3	0.5000	27
489	22564.2363	-0.0991	26001	0.4000	1,0,3	0.5000	19
490	7119.5566	0.4367	26001	0.4000	1,1,0	0.5000	20
491	21496.1113	0.4104	26001	0.4000	2,1,2	0.5000	38
34359739295	23904.2852	0.1514	22100	0.4000	0,2,1	0.5000	9
21474836996	17769.4688	0.1412	24500	0.4000	2,3,0	0.5000	44
30064771632	21150.0293	-0.1462	25000	0.4000	1,2,0	0.5000	24
34359739119	13910.4961	0.1378	24900	0.4000	3,2,1	0.5000	57
25769804644	19477.6328	0.0439	24850	0.4000	3,2,0	0.5000	56
17179869947	8342.8477	-0.1898	24450	0.4000	1,1,1	0.5000	21
17179870156	26249.5840	-0.2127	24000	0.4000	3,2,0	0.5000	56
17179869957	21943.7715	0.1679	23700	0.4000	1,3,3	0.5000	31
47244640874	17517.2656	0.0019	23050	0.4000	0,3,1	0.5000	13
17179870151	5459.3755	0.3294	22950	0.4000	3,3,1	0.5000	61
34359739055	12743.8574	0.3265	22900	0.4000	2,3,2	0.5000	46
55834575744	8827.4922	-0.1447	20300	0.4000	1,2,0	0.5000	24
21474837268	21564.2148	0.1913	21950	0.4000	3,3,2	0.5000	62
1027	15139.9922	-0.1633	21650	0.4000	0,0,0	0.5000	0
21474837234	11683.2764	0.1737	21250	0.4000	0,2,0	0.5000	8
25769805090	7012.0352	0.3336	16350	0.4000	0,1,3	0.5000	7
73014444835	13074.9492	-0.0442	20100	0.4000	2,1,2	0.5000	38
21474837674	14102.1914	0.4887	19300	0.4000	3,1,0	0.5000	52
25769805027	14937.9893	-0.0194	17500	0.4000	0,2,1	0.5000	9
68719477682	12045.8721	0.0439	18350	0.4000	0,2,0	0.5000	8
81604379800	229.0327	-0.1485	16850	0.4000	3,1,1	0.5000	53
21474837799	14063.7646	0.2451	16400	0.4000	0,1,1	0.5000	5
47244641572	7385.1914	0.4360	15800	0.4000	1,1,3	0.5000	23
42949674453	3163.2461	0.1080	14300	0.4000	2,1,0	0.5000	36
68719477872	7725.2046	-0.0208	15350	0.4000	2,1,3	0.5000	39
1434	3194.8481	-0.0997	15500	0.4000	3,2,1	0.5000	57
77309412692	14174.5039	0.3899	13150	0.4000	1,2,0	0.5000	24
8589936287	6267.6753	0.3510	12400	0.4000	0,1,1	0.5000	5
30064772904	4935.9590	0.3848	10650	0.4000	0,1,2	0.5000	6
4294968962	6920.4429	-0.0929	12450	0.4000	2,3,0	0.5000	44
21474838321	4122.4819	0.1260	11200	0.4000	2,2,0	0.5000	40
30064772907	2615.2788	0.4711	11150	0.4000	1,1,0	0.5000	20
25769805613	4721.9756	0.2167	10750	0.4000	0,2,3	0.5000	11
4294969291	1445.3235	0.0896	10200	0.4000	3,3,3	0.5000	63
12884903910	2214.6499	0.1333	9550	0.4000	2,1,3	0.5000	39
17179871241	3257.6660	0.0023	9200	0.4000	2,3,1	0.5000	45
47244642452	1332.6296	0.0656	6800	0.4000	3,2,2	0.5000	58
47244642436	1186.1355	-0.1454	5800	0.4000	2,1,2	0.5000	38
180388627980	1830.2080	-0.2854	3000	0.4000	2,0,1	0.5000	33
73014446116	1743.9849	0.3667	2700	0.4000	3,0,3	0.5000	51
103079217356	80.0722	0.1394	150	0.4000	2,0,3	0.5000	35
137438955399	77.6965	0.1027	100	0.4000	2,1,1	0.5000	37
107374184713	35.0353	0.0766	50	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.2757	25927	25662
727	476	512	-0.3127	25986	25973
1010	476	506	-0.2368	25934	25869
661	475	512	0.0026	25991	25613
8589935259	506	4294968094	-0.3127	25818	25771
520	486	491	-0.1556	26000	25951
4294968011	475	4294968244	0.1082	25732	25974
4294968233	483	4294968094	0.1285	25874	26000
8589935459	480	4294968094	-0.1608	25875	25893
12884903716	12884903729	21474836996	-0.0000	11272	14728
42949674362	12884902894	38654707083	-0.0000	12588	13412
17179870125	4294968273	17179869947	-0.0000	22651	3349
4294968235	490	4294968094	-0.2408	25895	25966
4294967810	486	4294968094	-0.3399	25892	25951
30064772004	17179870151	47244640874	-0.2620	22879	25865
64424510980	4294968962	73014444835	0.9531	12444	25976
531	475	506	-0.2692	25999	25801
12884902470	4294968094	17179869928	-0.2783	22543	25751
533	480	490	-0.3520	25999	25949
4294968247	476	4294968243	-0.3272	25944	26000
535	476	483	-0.2593	25999	25957
8589935418	489	4294968243	0.4964	25895	25960
806	486	512	-0.2089	25979	25872
8589935561	480	491	-0.3473	25876	25981
4294967800	475	481	-0.1921	25891	25880
8589935306	481	34359739295	-0.2531	22054	25899
12884902886	476	12884902894	-0.3121	25518	25930
4294968066	481	4294968094	-0.3097	25885	25989
672	483	512	-0.1734	25990	25629
12884902466	512	12884902894	-0.1593	25520	25999
17179870087	475	12884902894	-0.4415	25545	25986
4294967803	475	483	-0.2103	25885	25913
4294967932	481	4294968244	-0.0990	25792	25289
4294967801	489	4294968244	-0.0388	25785	25937
4294968042	512	4294968243	-0.1470	25872	25817
550	483	490	-0.2741	25998	25981
12884902501	506	512	-0.2649	25825	25956
4294967804	481	4294968243	0.7244	25873	25975
4294968048	480	4294968244	-0.1620	25776	25943
8589936310	4294969096	34359739055	-0.1547	11910	25791
833	476	489	-0.2639	25976	25991
4294968195	476	4294968094	-0.0811	25841	25982
986	481	512	0.0671	25955	25845
8589935220	4294968243	34359739055	-0.3138	22827	25954
12884903671	12884903729	68719477872	-0.0000	11272	14728
4294967775	486	4294968244	-0.1270	25779	25666
8589935435	475	4294968094	-0.2450	25877	25918
562	476	480	-0.2974	25997	25812
8589935316	34359739295	47244640874	-0.2910	22057	25806
564	483	486	-0.3997	25997	25916
831	489	512	0.0054	25977	25850
12884903550	8589936287	68719477682	-0.2866	12359	25934
8589935507	486	12884902894	-0.1500	25521	25899
8589935102	491	4294968244	-0.2039	25796	25724
885	475	480	-0.0889	25971	25978
12884902539	476	490	-0.3768	25924	25975
4294967954	489	4294968094	-0.4950	25878	25990
4294969008	4294968962	34359739055	0.1007	12445	25738
12884902495	506	47244640874	-0.1760	22728	26000
4294969003	4294968962	17179869928	-0.3823	12445	25996
8589935420	480	483	-0.2067	25890	25698
8589935296	483	12884902894	-0.3200	25522	25992
8589935269	480	34359739055	-0.2904	22830	25787
4294969002	4294968962	55834575744	-0.4151	12449	25912
961	489	491	0.9940	25958	25997
4294967825	480	489	-0.0831	25945	25939
17179869774	4294968243	4294968244	0.9861	25737	25993
4294967798	475	4294968243	-0.0658	25918	25911
8589935237	490	4294968243	-0.3264	25928	25815
8589935146	506	4294968244	-0.0421	25799	25588
34359739473	481	4294968962	0.2915	12388	25983
722	476	491	-0.1243	25986	25996
8589935153	4294968243	12884902894	-0.2376	25491	25889
820	480	506	0.8802	25978	25990
12884902862	490	17179869928	-0.3875	22495	25937
1724	4294968962	21474837234	-0.2923	12244	25767
4294967773	4294968094	4294968244	0.2297	25742	25950
12884902542	4294968244	34359739055	-0.1572	22877	25806
4294968255	476	4294968244	-0.3091	25747	25907
8589935295	481	12884902894	-0.1989	25525	25806
73014444796	17179870156	34359739295	0.9000	22089	25988
180388627616	1805	21474837674	-0.0000	12042	13958
42949673506	17179869957	17179870151	1.0000	22843	26000
711	480	481	-0.0949	25987	25930
30064771571	17179869947	34359739295	0.0690	22063	25831
8589935312	481	490	0.4271	25812	25979
8589935318	486	4294968243	0.4651	25932	25979
38654706546	490	34359739055	-0.1830	22836	25828
17179870801	483	8589936287	-0.3536	12356	25934
17179870173	489	17179869928	-0.4141	22530	25928
4294968686	4294968244	8589936287	0.1161	12390	25726
1824	1027	25769805397	-0.0000	11930	14070
4294967796	486	490	-0.0175	25897	25969
17179870559	8589936287	34359739119	-0.1819	12390	25966
25769804650	490	12884902894	-0.2208	25530	25730
976	489	490	-0.3635	25956	25968
611	486	506	-0.3435	25995	25752
883	481	506	-0.0633	25972	25852
4294968209	491	506	-0.5448	25927	25998
