# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	17754.7266	0.4710	28001	0.4000	2,0,2	0.5000	34
476	15092.3027	-0.0258	28001	0.4000	3,2,1	0.5000	57
4294969096	8472.0254	0.1148	13950	0.4000	3,1,0	0.5000	52
4294968243	16676.9219	0.0880	27950	0.4000	2,2,1	0.5000	41
506	25609.6543	0.1348	28001	0.4000	2,1,1	0.5000	37
480	16678.0664	0.1047	28001	0.4000	1,2,1	0.5000	25
481	28402.1582	0.3581	28001	0.4000	1,3,2	0.5000	30
4294968244	32527.7520	0.2741	27800	0.4000	1,1,3	0.5000	23
483	16277.4727	0.4732	28001	0.4000	1,0,1	0.5000	17
512	20479.1816	0.3061	28001	0.4000	3,0,1	0.5000	49
12884902894	29832.4277	-0.0719	27550	0.4000	3,0,0	0.5000	48
486	18500.1660	-0.0209	28001	0.4000	3,0,3	0.5000	51
4294968094	9960.9316	0.4368	27900	0.4000	2,3,3	0.5000	47
17179869928	14779.2793	-0.0460	24600	0.4000	1,2,3	0.5000	27
489	22506.2363	-0.0991	28001	0.4000	1,0,3	0.5000	19
490	7487.5566	0.4367	28001	0.4000	1,1,0	0.5000	20
491	22561.1113	0.4104	28001	0.4000	2,1,2	0.5000	38
34359739295	25653.2852	0.1514	24100	0.4000	0,2,1	0.5000	9
21474836996	18480.4688	0.1412	26500	0.4000	2,3,0	0.5000	44
30064771632	21501.0293	-0.1462	27000	0.4000	1,2,0	0.5000	24
34359739119	15079.4961	0.1378	26900	0.4000	3,2,1	0.5000	57
25769804644	19755.6328	0.0439	26850	0.4000	3,2,0	0.5000	56
17179869947	9012.8477	-0.1898	26450	0.4000	1,1,1	0.5000	21
17179870156	26684.5840	-0.2127	26000	0.4000	3,2,0	0.5000	56
17179869957	20968.7715	0.1679	25700	0.4000	1,3,3	0.5000	31
47244640874	16891.2656	0.0019	25050	0.4000	0,3,1	0.5000	13
17179870151	6045.3755	0.3294	24950	0.4000	3,3,1	0.5000	61
34359739055	14611.8574	0.3265	24900	0.4000	2,3,2	0.5000	46
55834575744	10196.4922	-0.1447	22300	0.4000	1,2,0	0.5000	24
21474837268	21896.2148	0.1913	23950	0.4000	3,3,2	0.5000	62
1027	16615.9922	-0.1633	23650	0.4000	0,0,0	0.5000	0
21474837234	12391.2764	0.1737	23250	0.4000	0,2,0	0.5000	8
25769805090	8081.0352	0.3336	18350	0.4000	0,1,3	0.5000	7
73014444835	13629.9492	-0.0442	22100	0.4000	2,1,2	0.5000	38
21474837674	14896.1914	0.4887	21300	0.4000	3,1,0	0.5000	52
25769805027	16018.9893	-0.0194	19500	0.4000	0,2,1	0.5000	9
68719477682	13167.8721	0.0439	20350	0.4000	0,2,0	0.5000	8
81604379800	1318.0327	-0.1485	18850	0.4000	3,1,1	0.5000	53
21474837799	14325.7646	0.2451	18400	0.4000	0,1,1	0.5000	5
47244641572	9292.1914	0.4360	17800	0.4000	1,1,3	0.5000	23
42949674453	3085.2461	0.1080	16300	0.4000	2,1,0	0.5000	36
68719477872	8017.2046	-0.0208	17350	0.4000	2,1,3	0.5000	39
1434	3246.8481	-0.0997	17500	0.4000	3,2,1	0.5000	57
77309412692	15075.5039	0.3899	15150	0.4000	1,2,0	0.5000	24
8589936287	7317.6753	0.3510	14400	0.4000	0,1,1	0.5000	5
30064772904	4174.9590	0.3848	12650	0.4000	0,1,2	0.5000	6
4294968962	9072.4434	-0.0929	14450	0.4000	2,3,0	0.5000	44
21474838321	5411.4819	0.1260	13200	0.4000	2,2,0	0.5000	40
30064772907	3153.2788	0.4711	13150	0.4000	1,1,0	0.5000	20
25769805613	5293.9756	0.2167	12750	0.4000	0,2,3	0.5000	11
163208759629	63.6648	0.0306	50	0.4000	2,2,2	0.5000	42
12884903910	1592.6499	0.1333	11550	0.4000	2,1,3	0.5000	39
17179871241	3455.6660	0.0023	11200	0.4000	2,3,1	0.5000	45
47244642452	2433.6296	0.0656	8800	0.4000	3,2,2	0.5000	58
47244642436	351.1355	-0.1454	7800	0.4000	2,1,2	0.5000	38
180388627980	3583.2080	-0.2854	5000	0.4000	2,0,1	0.5000	33
73014446116	1836.9849	0.3667	4700	0.4000	3,0,3	0.5000	51
146028890066	732.5231	0.3142	1800	0.4000	1,1,3	0.5000	23
17179871642	362.5377	0.2839	700	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968205	490	512	-0.1636	27927	27913
727	476	512	-0.0882	27986	27998
1010	476	506	-0.3614	27934	27958
661	475	512	-0.3137	27991	27840
8589935259	506	4294968094	-0.4064	27818	27966
520	486	491	-0.2013	28000	27727
4294968011	475	4294968244	-0.3263	27732	27835
4294968233	483	4294968094	-0.3571	27874	27827
8589935459	480	4294968094	-0.2640	27875	27963
12884903716	12884903729	21474836996	-0.0000	13272	14728
42949674362	12884902894	38654707083	-0.0000	14588	13412
17179870125	4294968273	17179869947	-0.0000	24651	3349
4294968235	490	4294968094	-0.2162	27895	27885
4294967810	486	4294968094	-0.3174	27892	27838
30064772004	17179870151	47244640874	-0.1742	24879	27803
64424510980	4294968962	73014444835	0.9920	14444	27996
531	475	506	-0.2868	27999	27895
12884902470	4294968094	17179869928	-0.3524	24543	27794
533	480	490	-0.0547	27999	27851
4294968247	476	4294968243	-0.2482	27944	27869
535	476	483	0.9357	27999	27989
8589935418	489	4294968243	-0.2492	27895	27633
806	486	512	-0.3728	27979	27897
8589935561	480	491	-0.1799	27876	27727
4294967800	475	481	-0.2910	27891	27788
8589935306	481	34359739295	-0.1873	24054	27626
12884902886	476	12884902894	0.2769	27518	27990
4294968066	481	4294968094	-0.3065	27885	27921
672	483	512	-0.2798	27990	27731
12884902466	512	12884902894	-0.0194	27520	27998
17179870087	475	12884902894	-0.0381	27545	27982
4294967803	475	483	-0.2069	27885	27733
4294967932	481	4294968244	-0.3882	27792	27929
4294967801	489	4294968244	-0.5999	27785	27975
4294968042	512	4294968243	-0.0096	27872	27858
550	483	490	-0.6295	27998	27986
12884902501	506	512	0.1711	27825	27963
4294967804	481	4294968243	0.1262	27873	27890
4294968048	480	4294968244	-0.3940	27776	27923
8589936310	4294969096	34359739055	0.9960	13910	27998
833	476	489	-0.3869	27976	27885
4294968195	476	4294968094	-0.1487	27841	27890
986	481	512	-0.0478	27955	27975
8589935220	4294968243	34359739055	-0.2414	24827	27720
12884903671	12884903729	68719477872	-0.0000	13272	14728
4294967775	486	4294968244	-0.2330	27779	27696
8589935435	475	4294968094	-0.2046	27877	27916
562	476	480	-0.2858	27997	27818
8589935316	34359739295	47244640874	-0.1751	24057	27939
564	483	486	-0.1903	27997	27930
831	489	512	-0.5534	27977	27997
12884903550	8589936287	68719477682	-0.0303	14359	27984
8589935507	486	12884902894	-0.3159	27521	27997
8589935102	491	4294968244	-0.0080	27796	27961
885	475	480	-0.2261	27971	27868
12884902539	476	490	0.7005	27924	27987
4294967954	489	4294968094	-0.2592	27878	27914
4294969008	4294968962	34359739055	0.7267	14445	27975
12884902495	506	47244640874	0.7868	24728	27974
4294969003	4294968962	17179869928	-0.1076	14445	27821
8589935420	480	483	-0.2103	27890	27959
8589935296	483	12884902894	0.9881	27522	27994
8589935269	480	34359739055	-0.1194	24830	27865
4294969002	4294968962	55834575744	0.0362	14449	27917
961	489	491	0.0180	27958	27960
4294967825	480	489	-0.2602	27945	27933
17179869774	4294968243	4294968244	0.0666	27737	27925
4294967798	475	4294968243	-0.5264	27918	27970
8589935237	490	4294968243	-0.2195	27928	27891
8589935146	506	4294968244	0.0296	27799	27929
34359739473	481	4294968962	-0.0657	14388	27959
722	476	491	0.2447	27986	27964
8589935153	4294968243	12884902894	-0.1465	27491	27991
820	480	506	0.9829	27978	27999
12884902862	490	17179869928	-0.2868	24495	27756
1724	4294968962	21474837234	-0.1864	14244	27785
4294967773	4294968094	4294968244	-0.4350	27742	27995
12884902542	4294968244	34359739055	-0.2174	24877	27801
4294968255	476	4294968244	-0.3182	27747	27918
8589935295	481	12884902894	-0.3106	27525	27962
73014444796	17179870156	34359739295	0.7172	24089	27924
180388627616	1805	21474837674	-0.0000	14042	13958
42949673506	17179869957	17179870151	-0.2532	24843	27842
711	480	481	-0.2211	27987	27772
30064771571	17179869947	34359739295	-0.4459	24063	27918
8589935312	481	490	0.9940	27812	27997
8589935318	486	4294968243	0.1048	27932	27935
38654706546	490	34359739055	-0.2893	24836	27945
17179870801	483	8589936287	-0.3014	14356	27788
17179870173	489	17179869928	-0.3269	24530	27974
4294968686	4294968244	8589936287	-0.2875	14390	27933
1824	1027	25769805397	-0.0000	13930	14070
4294967796	486	490	0.9940	27897	27997
17179870559	8589936287	34359739119	-0.1712	14390	27748
25769804650	490	12884902894	-0.3877	27530	27936
976	489	490	-0.0338	27956	27985
611	486	506	0.1431	27995	27964
883	481	506	-0.3525	27972	27931
