# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	4231.6460	0.3186	2001	0.4000	1,1,3	0.5000	23
476	3026.3567	-0.2036	2001	0.4000	0,3,0	0.5000	12
514	999.7351	0.1128	2001	0.4000	3,0,3	0.5000	51
30064771552	1186.5851	0.4931	1000	0.4000	0,1,2	0.5000	6
499	3415.5222	-0.2590	2001	0.4000	3,2,3	0.5000	59
495	4000.1257	0.2890	2001	0.4000	2,0,3	0.5000	35
508	5331.9443	0.0634	2001	0.4000	2,3,1	0.5000	45
496	3442.6719	0.1903	2001	0.4000	0,3,2	0.5000	14
483	2086.7451	0.2697	2001	0.4000	1,3,0	0.5000	28
491	3387.9966	-0.2138	2001	0.4000	3,2,3	0.5000	59
4294967903	3146.4651	0.2799	1700	0.4000	3,2,0	0.5000	56
17179870002	2471.4316	0.4585	1550	0.4000	3,1,3	0.5000	55
12884902399	886.0268	0.2389	1400	0.4000	2,2,0	0.5000	40
12884902713	1898.2371	-0.0671	1350	0.4000	1,3,2	0.5000	30
21474837354	1415.2546	0.1311	750	0.4000	0,2,0	0.5000	8
12884902507	764.0995	0.4037	550	0.4000	1,1,2	0.5000	22
12884902504	487.8466	0.0421	500	0.4000	3,0,2	0.5000	50
4294967932	297.8570	-0.2965	400	0.4000	3,2,2	0.5000	58
21474837216	132.3557	-0.0335	200	0.4000	1,1,2	0.5000	22
12884902766	305.9224	0.1444	150	0.4000	3,3,2	0.5000	62
25769804289	44.4633	-0.1518	100	0.4000	2,3,2	0.5000	46
4294967926	54.0005	-0.0335	50	0.4000	1,2,3	0.5000	27

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.5706	1954	1953
4294967797	499	508	1.0000	1915	2000
12884902548	476	508	-0.3863	1902	1789
8589935369	494	496	-0.5460	1905	1983
21474837127	499	30064771552	-0.5346	995	1954
4294967885	499	4294968146	-0.0025	1834	166
770	491	494	0.9399	1982	1997
21474836969	483	30064771552	-0.4942	998	1964
612	494	508	-0.4696	1995	1908
8589935438	12884902713	17179870002	1.0000	1308	2000
12884902380	491	12884902701	-0.0102	1141	859
526	496	508	-0.3823	2000	1904
837	476	499	-0.7056	1976	1870
8589935487	499	514	-0.6698	1928	1919
25769804577	4294967903	30064771552	0.4376	998	1995
690	491	495	0.9881	1989	1994
4294968053	483	499	0.9861	1929	1993
21474837043	495	12884902713	-0.5926	1152	1940
798	508	514	0.9940	1980	1997
4294967880	496	514	-0.5832	1969	1832
4294968012	491	514	-0.4816	1955	1871
4294967783	494	499	-0.4492	1950	1965
822	483	514	-0.6211	1977	1849
8589935299	491	499	-0.6863	1945	1944
592	483	491	-0.5184	1996	1968
4294968005	494	514	-0.5884	1960	1924
864	495	508	-0.5558	1974	1870
692	496	499	-0.8253	1989	1936
685	476	496	0.9802	1989	1990
4294967802	476	495	-0.7064	1964	1978
4294968144	483	494	-0.6947	1970	1950
634	491	496	-0.5909	1993	1923
8589935376	508	4294967903	0.5600	1613	1992
4294967907	476	514	-0.5352	1969	1935
830	476	483	-0.5277	1976	1853
4294967871	476	491	-0.7788	1893	1998
603	476	494	1.0000	1995	2000
4294968096	483	496	-0.7122	1962	1978
4294967927	494	495	-0.6068	1907	1983
573	483	508	-0.6806	1997	1962
896	483	495	-0.4528	1965	1990
4294968177	495	514	-0.4510	1949	1931
