# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	8633.6465	0.3186	4001	0.4000	1,1,3	0.5000	23
476	5405.3564	-0.2036	4001	0.4000	0,3,0	0.5000	12
514	4646.7354	0.1128	4001	0.4000	3,0,3	0.5000	51
30064771552	1260.5851	0.4931	3000	0.4000	0,1,2	0.5000	6
499	5382.5225	-0.2590	4001	0.4000	3,2,3	0.5000	59
495	6833.1260	0.2890	4001	0.4000	2,0,3	0.5000	35
508	8731.9443	0.0634	4001	0.4000	2,3,1	0.5000	45
496	4752.6719	0.1903	4001	0.4000	0,3,2	0.5000	14
483	5191.7451	0.2697	4001	0.4000	1,3,0	0.5000	28
491	7041.9966	-0.2138	4001	0.4000	3,2,3	0.5000	59
4294967903	6826.4648	0.2799	3700	0.4000	3,2,0	0.5000	56
17179870002	6078.4316	0.4585	3550	0.4000	3,1,3	0.5000	55
12884902399	3448.0269	0.2389	3400	0.4000	2,2,0	0.5000	40
12884902713	3994.2371	-0.0671	3350	0.4000	1,3,2	0.5000	30
21474837354	3801.2546	0.1311	2750	0.4000	0,2,0	0.5000	8
12884902507	3662.0996	0.4037	2550	0.4000	1,1,2	0.5000	22
12884902504	3556.8467	0.0421	2500	0.4000	3,0,2	0.5000	50
4294967932	3536.8569	-0.2965	2400	0.4000	3,2,2	0.5000	58
21474837216	1045.3557	-0.0335	2200	0.4000	1,1,2	0.5000	22
12884902766	3129.9224	0.1444	2150	0.4000	3,3,2	0.5000	62
21474837088	1129.3447	0.1256	1650	0.4000	2,1,0	0.5000	36
17179870052	1087.1473	0.1432	1700	0.4000	2,0,0	0.5000	32
21474837174	1578.8876	0.2146	1600	0.4000	1,0,2	0.5000	18
25769804444	1389.7825	-0.0602	1200	0.4000	1,3,3	0.5000	31
4294968070	539.4159	-0.1506	900	0.4000	2,0,3	0.5000	35
8589935381	918.1239	0.1539	1100	0.4000	0,3,1	0.5000	13
8589935309	1119.9290	0.2042	700	0.4000	3,1,3	0.5000	55
8589935591	30.3727	0.2867	100	0.4000	1,2,0	0.5000	24
12884902607	429.3612	0.3380	550	0.4000	2,2,0	0.5000	40
17179869721	225.1021	0.0128	500	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.5063	3954	3957
4294967797	499	508	-0.3286	3915	3923
12884902548	476	508	-0.6205	3902	3961
8589935369	494	496	-0.3374	3905	3908
21474837127	499	30064771552	-0.5969	2995	3962
4294967885	499	4294968146	-0.0000	3834	166
770	491	494	0.9881	3982	3994
21474836969	483	30064771552	-0.4334	2998	3974
612	494	508	-0.5350	3995	3914
8589935438	12884902713	17179870002	-0.2962	3308	3995
12884902380	491	12884902701	-0.0002	3141	859
526	496	508	-0.4106	4000	3830
837	476	499	-0.2564	3976	3904
8589935487	499	514	-0.5370	3928	3971
25769804577	4294967903	30064771552	-0.5154	2998	3967
690	491	495	0.9861	3989	3993
4294968053	483	499	1.0000	3929	4000
21474837043	495	12884902713	-0.3310	3152	3851
798	508	514	0.7365	3980	3982
4294967880	496	514	-0.7035	3969	3955
4294968012	491	514	-0.3451	3955	3897
4294967783	494	499	-0.1018	3950	3962
822	483	514	-0.5816	3977	3858
8589935299	491	499	-0.5378	3945	3935
592	483	491	0.0070	3996	3996
4294968005	494	514	-0.3797	3960	3852
864	495	508	0.8436	3974	3981
692	496	499	-0.4004	3989	3901
685	476	496	0.6272	3989	3986
4294967802	476	495	-0.4383	3964	3694
4294968144	483	494	-0.4921	3970	3811
634	491	496	0.0601	3993	3948
8589935376	508	4294967903	0.8466	3613	3985
4294967907	476	514	-0.4085	3969	3974
830	476	483	-0.4715	3976	3883
4294967871	476	491	-0.0494	3893	3973
603	476	494	0.1802	3995	3997
4294968096	483	496	-0.5303	3962	3965
4294967927	494	495	-0.1859	3907	3816
573	483	508	-0.5456	3997	3959
896	483	495	-0.0642	3965	3962
4294968177	495	514	-0.3569	3949	3910
606	491	508	-0.1913	3995	3936
676	495	496	-0.6191	3990	3978
8589935335	476	4294967903	-0.3024	3683	3995
8589935458	496	4294967903	-0.4050	3699	3680
8589935218	494	4294967903	-0.1770	3698	3752
4294968093	491	4294967903	0.5472	3697	3998
4294968189	483	4294967903	-0.2432	3672	3986
4294967846	499	4294967903	-0.4681	3692	3900
12884902663	514	4294967903	-0.0870	3691	3990
12884902626	495	4294967903	-0.2193	3685	3992
17179869781	4294967903	12884902713	0.9165	3318	3996
8589935357	496	12884902713	-0.5029	3334	3992
12884902561	476	12884902713	-0.3310	3320	3999
12884902390	514	12884902713	-0.4265	3324	3975
17179869682	508	17179870002	-0.3230	3549	3709
17179869812	494	17179870002	1.0000	3543	4000
17179869832	4294967903	17179870002	-0.5003	3541	3923
8589935428	491	12884902713	-0.4557	3327	3974
17179869779	496	17179870002	-0.4824	3539	3940
21474836959	476	17179870002	-0.4808	3538	3956
12884902502	514	17179870002	-0.3535	3535	3775
17179870034	483	17179870002	0.2078	3534	3973
21474837113	499	17179870002	0.8578	3523	3986
12884902758	491	17179870002	-0.6563	3515	3833
17179869672	4294967903	12884902399	0.4780	3399	3994
8589935481	494	12884902713	0.1826	3331	3977
12884902726	495	17179870002	0.0363	3489	3948
21474836990	499	12884902399	-0.0050	3393	3993
12884902537	491	12884902399	-0.3641	3392	3971
17179869942	483	12884902399	0.9665	3391	3983
12884902764	494	12884902399	-0.5088	3390	3845
17179869995	508	12884902399	0.6004	3389	3973
8589935316	495	12884902399	-0.4431	3381	3926
12884902392	514	12884902399	-0.4955	3371	3978
12884902693	12884902399	17179870002	-0.7434	3367	3990
8589935234	496	12884902399	-0.4865	3356	3920
12884902722	508	12884902713	-0.0697	3347	3743
12884902742	12884902399	12884902713	-0.4817	3346	3951
8589935077	483	12884902713	-0.2923	3346	3902
12884902372	499	12884902713	-0.5479	3344	3867
17179869969	476	12884902399	-0.4891	3343	3845
25769804477	476	30064771552	-0.5524	2993	3905
30064771913	12884902713	30064771552	-0.5340	2992	3934
17179869713	17179870002	30064771552	-0.5442	2989	3931
25769804283	495	30064771552	-0.4691	2985	3833
38654706157	508	30064771552	-0.5425	2981	3898
38654706367	496	30064771552	-0.3353	2975	3995
12884902442	514	30064771552	-0.3743	2970	3723
17179869871	494	30064771552	0.8578	2968	3986
21474837182	491	30064771552	-0.8604	2960	3984
