# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	13878.6465	0.3186	6001	0.4000	1,1,3	0.5000	23
476	8772.3564	-0.2036	6001	0.4000	0,3,0	0.5000	12
514	9079.7354	0.1128	6001	0.4000	3,0,3	0.5000	51
30064771552	916.5851	0.4931	5000	0.4000	0,1,2	0.5000	6
499	7836.5225	-0.2590	6001	0.4000	3,2,3	0.5000	59
495	9040.1260	0.2890	6001	0.4000	2,0,3	0.5000	35
508	11892.9443	0.0634	6001	0.4000	2,3,1	0.5000	45
496	5968.6719	0.1903	6001	0.4000	0,3,2	0.5000	14
483	7197.7451	0.2697	6001	0.4000	1,3,0	0.5000	28
491	9064.9961	-0.2138	6001	0.4000	3,2,3	0.5000	59
4294967903	8007.4648	0.2799	5700	0.4000	3,2,0	0.5000	56
17179870002	9106.4316	0.4585	5550	0.4000	3,1,3	0.5000	55
12884902399	5450.0269	0.2389	5400	0.4000	2,2,0	0.5000	40
12884902713	5513.2373	-0.0671	5350	0.4000	1,3,2	0.5000	30
21474837354	6636.2549	0.1311	4750	0.4000	0,2,0	0.5000	8
12884902507	5569.0996	0.4037	4550	0.4000	1,1,2	0.5000	22
12884902504	5828.8467	0.0421	4500	0.4000	3,0,2	0.5000	50
4294967932	6682.8569	-0.2965	4400	0.4000	3,2,2	0.5000	58
21474837216	1554.3557	-0.0335	4200	0.4000	1,1,2	0.5000	22
12884902766	5095.9224	0.1444	4150	0.4000	3,3,2	0.5000	62
21474837088	2830.3447	0.1256	3650	0.4000	2,1,0	0.5000	36
17179870052	1257.1473	0.1432	3700	0.4000	2,0,0	0.5000	32
21474837174	3387.8877	0.2146	3600	0.4000	1,0,2	0.5000	18
25769804444	5783.7822	-0.0602	3200	0.4000	1,3,3	0.5000	31
4294968070	3107.4160	-0.1506	2900	0.4000	2,0,3	0.5000	35
8589935381	841.1239	0.1539	3100	0.4000	0,3,1	0.5000	13
8589935309	6530.9287	0.2042	2700	0.4000	3,1,3	0.5000	55
12884902902	737.3286	-0.1615	1300	0.4000	0,2,1	0.5000	9
12884902607	1891.3612	0.3380	2550	0.4000	2,2,0	0.5000	40
17179869721	2350.1021	0.0128	2500	0.4000	3,2,1	0.5000	57
4294968312	494.5534	0.2723	1550	0.4000	2,0,2	0.5000	34
64424510146	456.7954	-0.2813	1200	0.4000	2,2,0	0.5000	40
12884903048	4.7259	0.4959	150	0.4000	1,1,2	0.5000	22
4294968367	205.7967	0.2839	550	0.4000	2,2,2	0.5000	42
4294968450	96.2995	-0.0470	100	0.4000	0,2,1	0.5000	9

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.2167	5954	5636
4294967797	499	508	-0.3024	5915	5924
12884902548	476	508	-0.3759	5902	5913
8589935369	494	496	-0.1862	5905	5664
21474837127	499	30064771552	-0.4118	4995	5873
4294967885	499	4294968146	-0.0000	5834	166
770	491	494	0.9821	5982	5991
21474836969	483	30064771552	-0.2422	4998	5990
612	494	508	-0.1659	5995	5822
8589935438	12884902713	17179870002	-0.4499	5308	5936
12884902380	491	12884902701	-0.0000	5141	859
526	496	508	-0.5820	6000	5995
837	476	499	0.9881	5976	5994
8589935487	499	514	-0.4634	5928	5978
25769804577	4294967903	30064771552	-0.4513	4998	5965
690	491	495	0.5227	5989	5914
4294968053	483	499	0.7069	5929	5948
21474837043	495	12884902713	-0.3714	5152	5992
798	508	514	0.7064	5980	5994
4294967880	496	514	-0.2871	5969	5992
4294968012	491	514	-0.3615	5955	5949
4294967783	494	499	-0.1750	5950	5983
822	483	514	-0.4040	5977	5921
8589935299	491	499	-0.3495	5945	5899
592	483	491	-0.2702	5996	5930
4294968005	494	514	-0.4568	5960	5980
864	495	508	-0.1258	5974	5776
692	496	499	-0.6169	5989	5876
685	476	496	0.9704	5989	5985
4294967802	476	495	-0.4614	5964	5980
4294968144	483	494	-0.1475	5970	5659
634	491	496	0.4578	5993	5999
8589935376	508	4294967903	0.7916	5613	5997
4294967907	476	514	-0.3201	5969	5974
830	476	483	-0.4786	5976	5931
4294967871	476	491	-0.3352	5893	5956
603	476	494	0.9861	5995	5993
4294968096	483	496	-0.5558	5962	5927
4294967927	494	495	-0.3261	5907	5915
573	483	508	-0.2890	5997	5581
896	483	495	-0.4120	5965	5900
4294968177	495	514	-0.0612	5949	5971
606	491	508	-0.2264	5995	5950
676	495	496	-0.4568	5990	5985
8589935335	476	4294967903	-0.6861	5683	5991
8589935458	496	4294967903	-0.3621	5699	5667
8589935218	494	4294967903	-0.5137	5698	5945
4294968093	491	4294967903	-0.4095	5697	5881
4294968189	483	4294967903	-0.5190	5672	5895
4294967846	499	4294967903	-0.4187	5692	5829
12884902663	514	4294967903	0.7738	5691	5995
12884902626	495	4294967903	-0.4459	5685	5984
17179869781	4294967903	12884902713	-0.4947	5318	5988
8589935357	496	12884902713	-0.0389	5334	5939
12884902561	476	12884902713	-0.3621	5320	5979
12884902390	514	12884902713	-0.5978	5324	5970
17179869682	508	17179870002	0.1096	5549	5934
17179869812	494	17179870002	-0.1916	5543	5941
17179869832	4294967903	17179870002	-0.5243	5541	5813
8589935428	491	12884902713	-0.5638	5327	5996
17179869779	496	17179870002	-0.6841	5539	5973
21474836959	476	17179870002	-0.3741	5538	5918
12884902502	514	17179870002	-0.4379	5535	5840
17179870034	483	17179870002	0.7634	5534	5986
21474837113	499	17179870002	-0.1586	5523	5931
12884902758	491	17179870002	0.0168	5515	5902
17179869672	4294967903	12884902399	-0.3553	5399	5895
8589935481	494	12884902713	1.0000	5331	6000
12884902726	495	17179870002	-0.4551	5489	5943
21474836990	499	12884902399	-0.4229	5393	5933
12884902537	491	12884902399	-0.5461	5392	5925
17179869942	483	12884902399	-0.2309	5391	5915
12884902764	494	12884902399	-0.2813	5390	5852
17179869995	508	12884902399	0.2822	5389	5977
8589935316	495	12884902399	-0.2194	5381	5882
12884902392	514	12884902399	-0.4568	5371	5934
12884902693	12884902399	17179870002	-0.6205	5367	5990
8589935234	496	12884902399	-0.3947	5356	5728
12884902722	508	12884902713	-0.3146	5347	5885
12884902742	12884902399	12884902713	0.1410	5346	5926
8589935077	483	12884902713	0.2821	5346	5990
12884902372	499	12884902713	-0.5618	5344	5924
17179869969	476	12884902399	-0.4353	5343	5920
25769804477	476	30064771552	-0.3359	4993	5678
30064771913	12884902713	30064771552	-0.5008	4992	5953
17179869713	17179870002	30064771552	-0.3962	4989	5841
25769804283	495	30064771552	-0.4473	4985	5937
38654706157	508	30064771552	-0.1988	4981	5995
38654706367	496	30064771552	-0.4455	4975	5979
12884902442	514	30064771552	-0.3562	4970	5890
17179869871	494	30064771552	0.9206	4968	5994
21474837182	491	30064771552	-0.4445	4960	5720
12884902593	12884902399	30064771552	-0.3676	4959	5878
25769804589	496	21474837354	-0.2842	4746	5763
21474837248	12884902399	21474837354	-0.3248	4747	5903
17179869746	499	21474837354	0.9900	4743	5995
25769804636	491	21474837354	0.9940	4742	5997
12884902759	495	21474837354	-0.1191	4741	5792
12884902424	494	21474837354	-0.3717	4740	5919
21474837109	514	21474837354	-0.1681	4739	5866
12884902650	4294967903	21474837354	-0.4589	4739	5860
21474837119	21474837354	30064771552	-0.5114	4732	5972
30064771695	17179870002	21474837354	0.9821	4723	5991
21474836961	12884902713	21474837354	-0.1456	4718	5964
21474837364	483	21474837354	-0.2880	4709	5920
17179869754	476	21474837354	-0.3975	4703	5961
17179870084	508	21474837354	-0.2722	4700	5716
12884902602	12884902507	30064771552	-0.2123	4549	5998
21474837311	495	12884902507	0.9743	4542	5987
17179870036	12884902507	12884902713	-0.4165	4541	5872
38654706245	483	12884902507	-0.1685	4541	5795
17179870075	491	12884902507	-0.5823	4540	5952
30064771654	4294967903	12884902507	-0.5485	4538	5990
17179869693	12884902399	12884902507	0.9763	4537	5988
17179869715	12884902507	21474837354	-0.4680	4531	5968
42949673736	476	12884902507	-0.3682	4528	5875
30064771549	496	12884902507	-0.5122	4525	5944
21474837270	508	12884902507	-0.3712	4520	5978
34359739026	514	12884902507	0.4708	4520	5942
34359739182	499	12884902507	-0.4104	4503	5761
8589935355	496	12884902504	-0.4509	4492	5962
12884902486	12884902504	21474837354	0.2085	4492	5979
12884902482	12884902399	12884902504	-0.4015	4491	5960
25769804579	12884902504	17179870002	-0.4547	4490	5951
34359739253	476	12884902504	-0.4432	4489	5946
38654706412	494	12884902507	1.0000	4488	6000
34359738880	483	12884902504	-0.3065	4488	5960
21474836970	4294967903	12884902504	-0.0107	4488	5986
8589935169	12884902507	17179870002	-0.4117	4487	5844
12884902770	495	12884902504	-0.4425	4485	5969
25769804509	494	12884902504	-0.1849	4485	5966
30064771819	12884902504	30064771552	-0.1572	4481	5975
30064771874	491	12884902504	-0.7368	4477	5976
47244641007	12884902504	12884902507	-0.0890	4474	5968
30064771577	514	12884902504	-0.4247	4467	5962
38654706187	499	12884902504	-0.1978	4465	5990
25769804317	12884902504	12884902713	-0.2229	4459	5958
4294967973	4294967932	12884902399	-0.2170	4365	5874
4294968049	4294967932	12884902504	0.8277	4399	5989
4294968123	491	4294967932	-0.3770	4375	5972
8589935451	4294967932	30064771552	-0.3274	4378	5805
12884902638	4294967932	12884902713	-0.3621	4379	5914
4294967793	508	12884902504	-0.4895	4383	5937
12884902366	483	4294967932	-0.3305	4384	5716
8589935388	496	4294967932	0.7745	4387	5991
8589935344	514	4294967932	0.6519	4387	5993
8589935415	476	4294967932	0.9960	4387	5998
8589935346	4294967932	17179870002	-0.2854	4388	5549
12884902735	495	4294967932	-0.3795	4395	5824
4294968018	499	4294967932	-0.3841	4399	5992
12884902627	4294967932	12884902507	-0.2771	4363	5790
21474837300	12884902504	21474837216	-0.4563	4169	5928
8589935315	12884902507	21474837216	0.0447	4172	5986
12884902586	508	4294967932	-0.4024	4344	5814
17179869994	17179870002	21474837216	-0.3312	4173	5974
8589935472	4294967903	21474837216	-0.2801	4175	5671
8589935424	21474837216	21474837354	-0.4669	4180	5976
8589935371	508	21474837216	0.0225	4181	5980
12884902493	494	4294967932	0.0711	4298	5967
21474837301	12884902713	21474837216	0.0428	4183	5978
12884902510	491	21474837216	-0.5378	4186	5950
8589935280	495	21474837216	-0.3692	4187	5802
12884902787	514	21474837216	1.0000	4189	6000
8589935074	494	21474837216	-0.0645	4190	5957
8589935365	4294967903	4294967932	-0.4145	4328	5992
8589935407	476	21474837216	-0.5209	4192	5935
8589935140	483	21474837216	-0.4307	4192	5911
12884902647	12884902399	21474837216	-0.4054	4197	5938
8589935254	4294967932	21474837354	-0.0489	4308	5978
21474837079	21474837216	30064771552	-0.6475	4198	5879
17179869659	4294967932	21474837216	-0.2169	4198	5931
21474837171	476	12884902766	0.8115	4149	6000
12884902749	12884902766	21474837216	-0.2099	4147	5638
17179869701	495	12884902766	-0.0057	4145	5963
21474837012	12884902504	12884902766	-0.3840	4144	5864
17179869744	4294967903	12884902766	-0.3674	4139	5897
21474837222	12884902507	12884902766	-0.5863	4139	5896
17179869739	494	12884902766	-0.4738	4138	5957
17179870071	12884902766	30064771552	-0.2927	4135	5991
21474837246	12884902766	17179870002	-0.4676	4133	5984
21474837284	508	12884902766	-0.2648	4132	5777
17179869804	496	21474837216	-0.1313	4131	5968
21474837363	499	12884902766	-0.4542	4131	5999
21474837180	12884902766	21474837354	-0.2555	4121	5973
17179869864	12884902713	12884902766	-0.2263	4119	5915
17179870023	496	12884902766	-0.2100	4116	5951
17179869764	4294967932	12884902766	-0.4357	4105	5894
8589935490	4294967932	21474837088	0.9512	3616	5975
4294967862	508	21474837088	-0.0834	3619	5941
4294968007	491	12884902766	-0.4434	4098	5979
8589935478	483	12884902766	-0.3971	4050	5989
8589935213	514	21474837088	-0.2097	3619	5737
17179869830	12884902399	21474837088	-0.3426	3622	5887
17179869953	21474837088	21474837354	-0.6539	3623	5988
4294967830	12884902399	12884902766	0.9861	4089	5993
12884902557	483	17179870052	-0.0775	3627	5927
17179869814	494	21474837088	0.1030	3628	5997
4294968024	514	12884902766	0.4196	4080	6000
4294968021	499	21474837216	0.4453	4080	5987
17179869729	12884902507	21474837088	-0.5986	3632	5995
17179869945	17179870052	21474837088	-0.6149	3635	5898
12884902505	499	17179870052	-0.3045	3667	5682
25769804420	12884902766	17179870052	-0.4102	3638	5875
17179869975	21474837088	30064771552	-0.1528	3640	5504
21474837154	494	17179870052	-0.6315	3641	5988
17179869740	21474837088	21474837216	-0.5623	3643	5963
21474837308	4294967903	21474837088	-0.4610	3647	5991
21474837315	12884902766	21474837088	-0.2558	3647	5969
21474837374	499	21474837088	-0.2586	3647	5979
21474837026	12884902399	17179870052	0.8600	3649	5994
21474837152	4294967903	17179870052	0.3543	3699	5905
17179869970	496	17179870052	-0.5474	3698	5877
42949673473	17179870052	21474837216	-0.5300	3697	5942
25769804427	508	17179870052	1.0000	3651	6000
21474837268	12884902713	17179870052	-0.2063	3696	5909
21474837015	491	17179870052	-0.2028	3693	5880
21474837273	4294967932	17179870052	-0.4122	3692	5976
17179869756	476	17179870052	-0.2041	3692	5953
25769804340	495	17179870052	-0.5894	3691	5978
25769804475	12884902504	17179870052	0.6120	3687	5944
17179870035	17179870002	17179870052	-0.1734	3686	5957
21474836998	17179870052	21474837354	-0.4290	3661	5980
12884902633	514	17179870052	-0.4543	3674	5990
17179869855	17179870052	30064771552	-0.4334	3671	5944
17179869772	483	21474837088	-0.4712	3609	5835
21474836966	12884902504	21474837088	-0.3029	3607	5872
34359739132	494	21474837174	-0.1612	3599	5916
21474837368	17179870002	21474837174	-0.2439	3598	5826
25769804433	499	21474837174	0.9920	3597	5996
21474837132	12884902713	21474837088	0.6329	3597	6000
25769804620	21474837088	21474837174	-0.3076	3597	5966
17179869905	476	21474837088	-0.3667	3595	5916
21474837355	495	21474837174	-0.3599	3595	5990
17179869971	508	21474837174	-0.4888	3593	5921
17179869802	21474837174	21474837354	-0.4057	3592	5889
17179869859	514	21474837174	-0.5266	3591	5917
17179869962	495	21474837088	-0.4782	3587	5900
17179869687	4294967903	21474837174	-0.4256	3585	5893
12884902622	21474837174	30064771552	-0.5224	3585	5819
21474837013	17179870052	21474837174	-0.3297	3582	5834
25769804416	483	21474837174	0.9980	3580	5999
