# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	16462.6465	0.3186	8001	0.4000	1,1,3	0.5000	23
476	10562.3564	-0.2036	8001	0.4000	0,3,0	0.5000	12
514	11826.7354	0.1128	8001	0.4000	3,0,3	0.5000	51
30064771552	2300.5850	0.4931	7000	0.4000	0,1,2	0.5000	6
499	9403.5225	-0.2590	8001	0.4000	3,2,3	0.5000	59
495	10931.1260	0.2890	8001	0.4000	2,0,3	0.5000	35
508	14138.9443	0.0634	8001	0.4000	2,3,1	0.5000	45
496	5994.6719	0.1903	8001	0.4000	0,3,2	0.5000	14
483	6632.7451	0.2697	8001	0.4000	1,3,0	0.5000	28
491	9652.9961	-0.2138	8001	0.4000	3,2,3	0.5000	59
4294967903	7844.4648	0.2799	7700	0.4000	3,2,0	0.5000	56
17179870002	10815.4316	0.4585	7550	0.4000	3,1,3	0.5000	55
12884902399	8028.0269	0.2389	7400	0.4000	2,2,0	0.5000	40
12884902713	5197.2373	-0.0671	7350	0.4000	1,3,2	0.5000	30
21474837354	7589.2549	0.1311	6750	0.4000	0,2,0	0.5000	8
12884902507	7040.0996	0.4037	6550	0.4000	1,1,2	0.5000	22
12884902504	7877.8467	0.0421	6500	0.4000	3,0,2	0.5000	50
4294967932	8698.8574	-0.2965	6400	0.4000	3,2,2	0.5000	58
21474837216	3062.3557	-0.0335	6200	0.4000	1,1,2	0.5000	22
12884902766	4379.9224	0.1444	6150	0.4000	3,3,2	0.5000	62
21474837088	4222.3447	0.1256	5650	0.4000	2,1,0	0.5000	36
17179870052	3301.1475	0.1432	5700	0.4000	2,0,0	0.5000	32
21474837174	5303.8877	0.2146	5600	0.4000	1,0,2	0.5000	18
25769804444	8689.7822	-0.0602	5200	0.4000	1,3,3	0.5000	31
4294968070	4525.4160	-0.1506	4900	0.4000	2,0,3	0.5000	35
8589935381	485.1239	0.1539	5100	0.4000	0,3,1	0.5000	13
8589935309	10261.9287	0.2042	4700	0.4000	3,1,3	0.5000	55
12884902902	1196.3286	-0.1615	3300	0.4000	0,2,1	0.5000	9
12884902607	1660.3612	0.3380	4550	0.4000	2,2,0	0.5000	40
17179869721	4632.1021	0.0128	4500	0.4000	3,2,1	0.5000	57
4294968312	1206.5535	0.2723	3550	0.4000	2,0,2	0.5000	34
64424510146	331.7954	-0.2813	3200	0.4000	2,2,0	0.5000	40
81604379530	1251.2737	-0.0703	1500	0.4000	3,0,2	0.5000	50
4294968367	1741.7968	0.2839	2550	0.4000	2,2,2	0.5000	42
4294968584	76.0491	-0.2693	700	0.4000	1,0,1	0.5000	17
4294968476	703.7049	0.1296	1600	0.4000	1,2,2	0.5000	26
30064772106	624.3737	-0.2028	1400	0.4000	1,3,3	0.5000	31
25769804934	1235.3984	-0.1979	1100	0.4000	1,2,3	0.5000	27
8589935803	1140.1895	-0.1062	1050	0.4000	2,0,1	0.5000	33
4294968615	256.6781	0.2357	650	0.4000	0,2,1	0.5000	9
30064772520	93.4290	0.3604	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.2164	7954	7778
4294967797	499	508	-0.2449	7915	7893
12884902548	476	508	-0.1698	7902	7969
8589935369	494	496	-0.6329	7905	7960
21474837127	499	30064771552	-0.0174	6995	7983
4294967885	499	4294968146	-0.0000	7834	166
770	491	494	0.7371	7982	7985
21474836969	483	30064771552	-0.5038	6998	7902
612	494	508	-0.3825	7995	7872
8589935438	12884902713	17179870002	-0.0676	7308	7967
12884902380	491	12884902701	-0.0000	7141	859
526	496	508	-0.2782	8000	7892
837	476	499	0.6032	7976	7967
8589935487	499	514	-0.4576	7928	7964
25769804577	4294967903	30064771552	-0.3807	6998	7872
690	491	495	0.7498	7989	7975
4294968053	483	499	0.8851	7929	7994
21474837043	495	12884902713	-0.3856	7152	7958
798	508	514	0.1249	7980	7990
4294967880	496	514	-0.4296	7969	7984
4294968012	491	514	0.3224	7955	7977
4294967783	494	499	-0.2192	7950	7999
822	483	514	-0.2449	7977	7880
8589935299	491	499	-0.4813	7945	7807
592	483	491	-0.4076	7996	7826
4294968005	494	514	-0.2925	7960	7984
864	495	508	-0.4304	7974	7922
692	496	499	-0.5355	7989	7954
685	476	496	0.2073	7989	7974
4294967802	476	495	-0.0727	7964	7121
4294968144	483	494	-0.0103	7970	7911
634	491	496	0.1089	7993	7953
8589935376	508	4294967903	-0.2719	7613	7945
4294967907	476	514	-0.2936	7969	7837
830	476	483	-0.3989	7976	7986
4294967871	476	491	-0.4343	7893	7936
603	476	494	0.7069	7995	7959
4294968096	483	496	-0.7770	7962	7933
4294967927	494	495	0.9940	7907	7997
573	483	508	-0.5932	7997	7927
896	483	495	-0.1640	7965	7925
4294968177	495	514	-0.2406	7949	7777
606	491	508	0.8099	7995	7994
676	495	496	-0.7624	7990	7980
8589935335	476	4294967903	-0.4175	7683	7869
8589935458	496	4294967903	-0.3738	7699	7844
8589935218	494	4294967903	-0.1614	7698	7956
4294968093	491	4294967903	-0.3484	7697	7898
4294968189	483	4294967903	-0.3077	7672	7884
4294967846	499	4294967903	-0.3436	7692	7785
12884902663	514	4294967903	0.6572	7691	7998
12884902626	495	4294967903	-0.6172	7685	7997
17179869781	4294967903	12884902713	-0.3772	7318	7924
8589935357	496	12884902713	-0.3091	7334	7696
12884902561	476	12884902713	-0.4641	7320	7838
12884902390	514	12884902713	-0.4713	7324	7878
17179869682	508	17179870002	-0.0130	7549	7980
17179869812	494	17179870002	-0.2412	7543	7881
17179869832	4294967903	17179870002	-0.4260	7541	7967
8589935428	491	12884902713	-0.2108	7327	7801
17179869779	496	17179870002	-0.2978	7539	7743
21474836959	476	17179870002	-0.4884	7538	7949
12884902502	514	17179870002	0.2591	7535	7958
17179870034	483	17179870002	0.9920	7534	7996
21474837113	499	17179870002	-0.1235	7523	7992
12884902758	491	17179870002	-0.4132	7515	7921
17179869672	4294967903	12884902399	-0.1213	7399	7873
8589935481	494	12884902713	-0.1965	7331	7938
12884902726	495	17179870002	-0.2869	7489	7851
21474836990	499	12884902399	0.1498	7393	7924
12884902537	491	12884902399	-0.4123	7392	7932
17179869942	483	12884902399	-0.1315	7391	7981
12884902764	494	12884902399	-0.3566	7390	7987
17179869995	508	12884902399	-0.3471	7389	7924
8589935316	495	12884902399	-0.4714	7381	7950
12884902392	514	12884902399	-0.3210	7371	7933
12884902693	12884902399	17179870002	-0.4322	7367	7996
8589935234	496	12884902399	-0.4393	7356	7996
