# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	17204.6465	0.3186	10001	0.4000	1,1,3	0.5000	23
476	12706.3564	-0.2036	10001	0.4000	0,3,0	0.5000	12
514	14521.7354	0.1128	10001	0.4000	3,0,3	0.5000	51
30064771552	5136.5850	0.4931	9000	0.4000	0,1,2	0.5000	6
499	11110.5225	-0.2590	10001	0.4000	3,2,3	0.5000	59
495	11650.1260	0.2890	10001	0.4000	2,0,3	0.5000	35
508	15674.9443	0.0634	10001	0.4000	2,3,1	0.5000	45
496	6959.6719	0.1903	10001	0.4000	0,3,2	0.5000	14
483	5724.7451	0.2697	10001	0.4000	1,3,0	0.5000	28
491	11883.9961	-0.2138	10001	0.4000	3,2,3	0.5000	59
4294967903	8641.4648	0.2799	9700	0.4000	3,2,0	0.5000	56
17179870002	12812.4316	0.4585	9550	0.4000	3,1,3	0.5000	55
12884902399	9206.0273	0.2389	9400	0.4000	2,2,0	0.5000	40
12884902713	5651.2373	-0.0671	9350	0.4000	1,3,2	0.5000	30
21474837354	8611.2549	0.1311	8750	0.4000	0,2,0	0.5000	8
12884902507	9179.0996	0.4037	8550	0.4000	1,1,2	0.5000	22
12884902504	10240.8467	0.0421	8500	0.4000	3,0,2	0.5000	50
4294967932	8812.8574	-0.2965	8400	0.4000	3,2,2	0.5000	58
21474837216	6189.3555	-0.0335	8200	0.4000	1,1,2	0.5000	22
12884902766	4109.9224	0.1444	8150	0.4000	3,3,2	0.5000	62
21474837088	5991.3447	0.1256	7650	0.4000	2,1,0	0.5000	36
17179870052	4314.1475	0.1432	7700	0.4000	2,0,0	0.5000	32
21474837174	6927.8877	0.2146	7600	0.4000	1,0,2	0.5000	18
25769804444	9775.7822	-0.0602	7200	0.4000	1,3,3	0.5000	31
4294968070	5222.4160	-0.1506	6900	0.4000	2,0,3	0.5000	35
42949674303	107.2870	0.3536	1000	0.4000	0,2,0	0.5000	8
8589935309	12349.9287	0.2042	6700	0.4000	3,1,3	0.5000	55
12884902902	1796.3286	-0.1615	5300	0.4000	0,2,1	0.5000	9
12884902607	1869.3612	0.3380	6550	0.4000	2,2,0	0.5000	40
17179869721	6822.1021	0.0128	6500	0.4000	3,2,1	0.5000	57
4294968312	700.5535	0.2723	5550	0.4000	2,0,2	0.5000	34
64424510146	938.7954	-0.2813	5200	0.4000	2,2,0	0.5000	40
81604379530	2179.2737	-0.0703	3500	0.4000	3,0,2	0.5000	50
4294968367	2464.7969	0.2839	4550	0.4000	2,2,2	0.5000	42
4294968584	508.0491	-0.2693	2700	0.4000	1,0,1	0.5000	17
4294968476	1799.7048	0.1296	3600	0.4000	1,2,2	0.5000	26
30064772106	3246.3735	-0.2028	3400	0.4000	1,3,3	0.5000	31
25769804934	4546.3984	-0.1979	3100	0.4000	1,2,3	0.5000	27
8589935803	2392.1895	-0.1062	3050	0.4000	2,0,1	0.5000	33
4294968615	3013.6782	0.2357	2650	0.4000	0,2,1	0.5000	9
21474837739	864.0523	0.2663	1700	0.4000	3,3,1	0.5000	61
38654706957	316.5662	-0.0379	1100	0.4000	1,2,1	0.5000	25
25769805325	132.4895	0.4748	150	0.4000	1,2,0	0.5000	24
51539608758	99.1554	0.2770	50	0.4000	2,2,1	0.5000	41
34359739903	6.6686	-0.2183	100	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.3777	9954	9918
4294967797	499	508	-0.3301	9915	9860
12884902548	476	508	0.0684	9902	9824
8589935369	494	496	-0.6136	9905	9970
21474837127	499	30064771552	-0.3837	8995	9879
4294967885	499	4294968146	-0.0000	9834	166
770	491	494	0.9665	9982	9983
21474836969	483	30064771552	-0.4385	8998	9974
612	494	508	-0.2317	9995	9967
8589935438	12884902713	17179870002	0.4363	9308	9974
12884902380	491	12884902701	-0.0000	9141	859
526	496	508	0.8765	10000	9999
837	476	499	0.9569	9976	9978
8589935487	499	514	-0.4951	9928	9988
25769804577	4294967903	30064771552	0.3476	8998	9947
690	491	495	-0.3191	9989	9928
4294968053	483	499	0.9821	9929	9991
21474837043	495	12884902713	-0.2800	9152	9966
798	508	514	-0.4204	9980	9877
4294967880	496	514	-0.5629	9969	9991
4294968012	491	514	-0.4087	9955	9930
4294967783	494	499	-0.2011	9950	9948
822	483	514	-0.1671	9977	9711
8589935299	491	499	-0.1259	9945	9842
592	483	491	-0.2537	9996	9993
4294968005	494	514	-0.4030	9960	9953
864	495	508	-0.1254	9974	9807
692	496	499	-0.3009	9989	9952
685	476	496	0.4815	9989	9947
4294967802	476	495	-0.2640	9964	9975
4294968144	483	494	-0.4564	9970	9924
634	491	496	-0.4620	9993	9903
8589935376	508	4294967903	-0.0319	9613	9864
4294967907	476	514	-0.6098	9969	9945
830	476	483	-0.4484	9976	9908
4294967871	476	491	0.1247	9893	9607
603	476	494	-0.5620	9995	9968
4294968096	483	496	-0.3449	9962	9955
4294967927	494	495	-0.2014	9907	9948
573	483	508	-0.2054	9997	9813
896	483	495	-0.3813	9965	9996
4294968177	495	514	-0.3569	9949	9827
606	491	508	0.9861	9995	9993
676	495	496	-0.2795	9990	9953
8589935335	476	4294967903	-0.4195	9683	9847
8589935458	496	4294967903	0.9881	9699	9994
8589935218	494	4294967903	-0.2612	9698	9933
4294968093	491	4294967903	-0.4407	9697	9930
4294968189	483	4294967903	-0.4117	9672	9948
4294967846	499	4294967903	-0.4198	9692	9946
12884902663	514	4294967903	0.9608	9691	9980
12884902626	495	4294967903	-0.5709	9685	9992
17179869781	4294967903	12884902713	-0.3109	9318	9726
8589935357	496	12884902713	-0.2777	9334	9789
12884902561	476	12884902713	-0.5054	9320	9983
12884902390	514	12884902713	-0.2092	9324	9780
17179869682	508	17179870002	-0.0413	9549	9906
17179869812	494	17179870002	-0.4519	9543	9987
17179869832	4294967903	17179870002	-0.3939	9541	9902
8589935428	491	12884902713	-0.3402	9327	9970
17179869779	496	17179870002	-0.2982	9539	9921
21474836959	476	17179870002	-0.2677	9538	9952
12884902502	514	17179870002	-0.3105	9535	9878
17179870034	483	17179870002	0.9619	9534	10000
21474837113	499	17179870002	0.0811	9523	9971
12884902758	491	17179870002	-0.3017	9515	9980
17179869672	4294967903	12884902399	0.9900	9399	9995
8589935481	494	12884902713	-0.5753	9331	9972
12884902726	495	17179870002	-0.3875	9489	9931
21474836990	499	12884902399	-0.3964	9393	9854
12884902537	491	12884902399	-0.4061	9392	9918
17179869942	483	12884902399	-0.5823	9391	9922
12884902764	494	12884902399	-0.2877	9390	9869
17179869995	508	12884902399	0.0199	9389	9996
8589935316	495	12884902399	-0.7847	9381	9993
12884902392	514	12884902399	-0.2463	9371	9893
12884902693	12884902399	17179870002	-0.3675	9367	9974
8589935234	496	12884902399	-0.2960	9356	9772
12884902722	508	12884902713	1.0000	9347	10000
12884902742	12884902399	12884902713	-0.3950	9346	9942
8589935077	483	12884902713	-0.1546	9346	9981
12884902372	499	12884902713	-0.3966	9344	9928
17179869969	476	12884902399	-0.3227	9343	9991
25769804477	476	30064771552	0.3102	8993	9900
30064771913	12884902713	30064771552	-0.2288	8992	9887
17179869713	17179870002	30064771552	-0.2933	8989	9985
25769804283	495	30064771552	-0.3781	8985	9962
38654706157	508	30064771552	-0.0736	8981	9941
38654706367	496	30064771552	0.5209	8975	9975
12884902442	514	30064771552	0.6871	8970	10000
17179869871	494	30064771552	0.6121	8968	9982
21474837182	491	30064771552	0.9497	8960	9978
12884902593	12884902399	30064771552	-0.2944	8959	9978
25769804589	496	21474837354	-0.3100	8746	9745
21474837248	12884902399	21474837354	-0.4157	8747	9934
17179869746	499	21474837354	-0.2752	8743	9758
25769804636	491	21474837354	-0.6396	8742	9986
12884902759	495	21474837354	-0.3379	8741	9843
12884902424	494	21474837354	-0.0947	8740	9967
21474837109	514	21474837354	-0.2915	8739	9950
12884902650	4294967903	21474837354	-0.1497	8739	9813
21474837119	21474837354	30064771552	-0.3453	8732	9922
30064771695	17179870002	21474837354	0.0497	8723	9988
21474836961	12884902713	21474837354	-0.4033	8718	9933
21474837364	483	21474837354	-0.3982	8709	9912
17179869754	476	21474837354	0.9802	8703	9990
17179870084	508	21474837354	-0.1092	8700	9990
12884902602	12884902507	30064771552	-0.2315	8549	9861
21474837311	495	12884902507	0.6511	8542	9995
17179870036	12884902507	12884902713	-0.2601	8541	9909
38654706245	483	12884902507	-0.2759	8541	9687
17179870075	491	12884902507	-0.3781	8540	9906
30064771654	4294967903	12884902507	-0.5864	8538	9961
17179869693	12884902399	12884902507	1.0000	8537	10000
17179869715	12884902507	21474837354	-0.2130	8531	9696
42949673736	476	12884902507	-0.4911	8528	9941
30064771549	496	12884902507	-0.2787	8525	9836
21474837270	508	12884902507	-0.4722	8520	9993
34359739026	514	12884902507	-0.0129	8520	9954
34359739182	499	12884902507	-0.4049	8503	9818
8589935355	496	12884902504	-0.1212	8492	9850
12884902486	12884902504	21474837354	-0.3155	8492	9962
12884902482	12884902399	12884902504	0.1618	8491	9975
25769804579	12884902504	17179870002	-0.3342	8490	9935
34359739253	476	12884902504	-0.2947	8489	9762
38654706412	494	12884902507	-0.1937	8488	9841
34359738880	483	12884902504	-0.5355	8488	9898
21474836970	4294967903	12884902504	0.9920	8488	9996
8589935169	12884902507	17179870002	-0.3559	8487	9860
12884902770	495	12884902504	-0.2440	8485	9979
25769804509	494	12884902504	-0.2815	8485	9771
30064771819	12884902504	30064771552	-0.3770	8481	10000
30064771874	491	12884902504	-0.1776	8477	9943
47244641007	12884902504	12884902507	0.9704	8474	9985
30064771577	514	12884902504	-0.0456	8467	9924
38654706187	499	12884902504	-0.3135	8465	9917
25769804317	12884902504	12884902713	-0.4430	8459	9832
4294967973	4294967932	12884902399	-0.1970	8365	9819
4294968049	4294967932	12884902504	-0.0918	8399	9683
4294968123	491	4294967932	-0.4135	8375	9998
8589935451	4294967932	30064771552	-0.3798	8378	9966
12884902638	4294967932	12884902713	-0.4340	8379	9934
4294967793	508	12884902504	-0.3580	8383	9969
12884902366	483	4294967932	-0.3372	8384	9835
8589935388	496	4294967932	-0.3797	8387	9725
8589935344	514	4294967932	-0.2366	8387	9823
8589935415	476	4294967932	-0.3335	8387	9821
8589935346	4294967932	17179870002	-0.1061	8388	9968
12884902735	495	4294967932	-0.4077	8395	9976
4294968018	499	4294967932	-0.3885	8399	9968
12884902627	4294967932	12884902507	-0.3124	8363	9873
21474837300	12884902504	21474837216	-0.1700	8169	9983
8589935315	12884902507	21474837216	0.5864	8172	9973
12884902586	508	4294967932	-0.4624	8344	9982
17179869994	17179870002	21474837216	-0.2164	8173	9841
8589935472	4294967903	21474837216	-0.2871	8175	9981
8589935424	21474837216	21474837354	-0.2997	8180	9824
8589935371	508	21474837216	-0.0425	8181	9999
12884902493	494	4294967932	-0.2261	8298	9789
21474837301	12884902713	21474837216	-0.5918	8183	9965
12884902510	491	21474837216	-0.2259	8186	9956
8589935280	495	21474837216	-0.4519	8187	9934
12884902787	514	21474837216	0.2373	8189	9945
8589935074	494	21474837216	-0.2016	8190	9938
8589935365	4294967903	4294967932	-0.6948	8328	9996
8589935407	476	21474837216	-0.2861	8192	9749
8589935140	483	21474837216	-0.0930	8192	9897
12884902647	12884902399	21474837216	-0.1752	8197	9942
8589935254	4294967932	21474837354	-0.4149	8308	9872
21474837079	21474837216	30064771552	0.9821	8198	9991
17179869659	4294967932	21474837216	-0.4116	8198	9967
21474837171	476	12884902766	0.4660	8149	10000
12884902749	12884902766	21474837216	-0.2596	8147	9766
17179869701	495	12884902766	-0.2579	8145	9495
21474837012	12884902504	12884902766	-0.3429	8144	9990
17179869744	4294967903	12884902766	0.8499	8139	9988
21474837222	12884902507	12884902766	-0.5012	8139	9978
17179869739	494	12884902766	0.1665	8138	9919
17179870071	12884902766	30064771552	-0.2981	8135	9742
21474837246	12884902766	17179870002	-0.2763	8133	9928
21474837284	508	12884902766	-0.3441	8132	9965
17179869804	496	21474837216	-0.0041	8131	9670
21474837363	499	12884902766	-0.4557	8131	9991
21474837180	12884902766	21474837354	-0.4890	8121	9959
17179869864	12884902713	12884902766	-0.4320	8119	9917
17179870023	496	12884902766	-0.0880	8116	10000
17179869764	4294967932	12884902766	0.0999	8105	9956
8589935490	4294967932	21474837088	0.9849	7616	9996
4294967862	508	21474837088	0.2961	7619	9966
4294968007	491	12884902766	-0.4763	8098	9923
8589935478	483	12884902766	-0.2314	8050	9511
8589935213	514	21474837088	-0.3284	7619	9988
17179869830	12884902399	21474837088	-0.1045	7622	9775
17179869953	21474837088	21474837354	-0.3931	7623	9948
4294967830	12884902399	12884902766	-0.0738	8089	9883
12884902557	483	17179870052	-0.3613	7627	9748
17179869814	494	21474837088	-0.0569	7628	9993
4294968024	514	12884902766	0.8245	8080	9965
4294968021	499	21474837216	0.9940	8080	9997
17179869729	12884902507	21474837088	-0.5749	7632	9943
17179869945	17179870052	21474837088	0.2348	7635	9974
12884902505	499	17179870052	-0.5034	7667	9944
25769804420	12884902766	17179870052	-0.3880	7638	9835
17179869975	21474837088	30064771552	-0.1247	7640	9900
21474837154	494	17179870052	-0.0854	7641	9984
17179869740	21474837088	21474837216	-0.4360	7643	9977
21474837308	4294967903	21474837088	-0.3668	7647	9674
21474837315	12884902766	21474837088	-0.2934	7647	9847
