# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	17867.6465	0.3186	12001	0.4000	1,1,3	0.5000	23
476	13714.3564	-0.2036	12001	0.4000	0,3,0	0.5000	12
514	15776.7354	0.1128	12001	0.4000	3,0,3	0.5000	51
30064771552	7402.5850	0.4931	11000	0.4000	0,1,2	0.5000	6
499	13735.5225	-0.2590	12001	0.4000	3,2,3	0.5000	59
495	11772.1260	0.2890	12001	0.4000	2,0,3	0.5000	35
508	17962.9453	0.0634	12001	0.4000	2,3,1	0.5000	45
496	10130.6719	0.1903	12001	0.4000	0,3,2	0.5000	14
483	4928.7451	0.2697	12001	0.4000	1,3,0	0.5000	28
491	13479.9961	-0.2138	12001	0.4000	3,2,3	0.5000	59
4294967903	9030.4648	0.2799	11700	0.4000	3,2,0	0.5000	56
17179870002	15425.4316	0.4585	11550	0.4000	3,1,3	0.5000	55
12884902399	11172.0273	0.2389	11400	0.4000	2,2,0	0.5000	40
12884902713	4866.2373	-0.0671	11350	0.4000	1,3,2	0.5000	30
21474837354	9170.2549	0.1311	10750	0.4000	0,2,0	0.5000	8
12884902507	10064.0996	0.4037	10550	0.4000	1,1,2	0.5000	22
12884902504	11581.8467	0.0421	10500	0.4000	3,0,2	0.5000	50
4294967932	8576.8574	-0.2965	10400	0.4000	3,2,2	0.5000	58
21474837216	7190.3555	-0.0335	10200	0.4000	1,1,2	0.5000	22
12884902766	3629.9224	0.1444	10150	0.4000	3,3,2	0.5000	62
21474837088	6568.3447	0.1256	9650	0.4000	2,1,0	0.5000	36
17179870052	5331.1475	0.1432	9700	0.4000	2,0,0	0.5000	32
21474837174	8305.8877	0.2146	9600	0.4000	1,0,2	0.5000	18
25769804444	9789.7822	-0.0602	9200	0.4000	1,3,3	0.5000	31
4294968070	7191.4160	-0.1506	8900	0.4000	2,0,3	0.5000	35
42949674303	1663.2871	0.3536	3000	0.4000	0,2,0	0.5000	8
8589935309	13854.9287	0.2042	8700	0.4000	3,1,3	0.5000	55
12884902902	1589.3286	-0.1615	7300	0.4000	0,2,1	0.5000	9
12884902607	3351.3613	0.3380	8550	0.4000	2,2,0	0.5000	40
17179869721	7199.1021	0.0128	8500	0.4000	3,2,1	0.5000	57
4294968312	970.5535	0.2723	7550	0.4000	2,0,2	0.5000	34
64424510146	1736.7954	-0.2813	7200	0.4000	2,2,0	0.5000	40
81604379530	3812.2737	-0.0703	5500	0.4000	3,0,2	0.5000	50
4294968367	2701.7969	0.2839	6550	0.4000	2,2,2	0.5000	42
4294968584	1439.0491	-0.2693	4700	0.4000	1,0,1	0.5000	17
4294968476	3084.7048	0.1296	5600	0.4000	1,2,2	0.5000	26
30064772106	5757.3735	-0.2028	5400	0.4000	1,3,3	0.5000	31
25769804934	6277.3984	-0.1979	5100	0.4000	1,2,3	0.5000	27
8589935803	2172.1895	-0.1062	5050	0.4000	2,0,1	0.5000	33
4294968615	3355.6782	0.2357	4650	0.4000	0,2,1	0.5000	9
21474837739	2146.0522	0.2663	3700	0.4000	3,3,1	0.5000	61
38654706957	938.5662	-0.0379	3100	0.4000	1,2,1	0.5000	25
8589936044	580.9743	0.2885	1950	0.4000	2,0,1	0.5000	33
8589936087	2064.8901	0.2508	1500	0.4000	3,1,3	0.5000	55
77309412207	933.6608	0.3175	1350	0.4000	3,0,1	0.5000	49
4294969156	115.7846	0.2845	250	0.4000	0,3,2	0.5000	14
55834576380	678.2811	-0.0234	1000	0.4000	2,1,1	0.5000	37
8589936284	192.8602	-0.2131	650	0.4000	3,2,2	0.5000	58
38654707227	508.0213	0.3929	600	0.4000	1,1,0	0.5000	20
25769805437	115.4301	0.1671	50	0.4000	0,2,0	0.5000	8

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	0.1851	11954	11976
4294967797	499	508	-0.3678	11915	11984
12884902548	476	508	-0.2801	11902	11914
8589935369	494	496	-0.4077	11905	11903
21474837127	499	30064771552	-0.1581	10995	11784
4294967885	499	4294968146	-0.0000	11834	166
770	491	494	0.9512	11982	11975
21474836969	483	30064771552	0.2125	10998	11952
612	494	508	-0.2637	11995	11721
8589935438	12884902713	17179870002	0.8572	11308	11989
12884902380	491	12884902701	-0.0000	11141	859
526	496	508	0.0604	12000	11953
837	476	499	-0.4423	11976	11788
8589935487	499	514	-0.1491	11928	11952
25769804577	4294967903	30064771552	0.4230	10998	11950
690	491	495	-0.1356	11989	11867
4294968053	483	499	-0.0324	11929	11977
21474837043	495	12884902713	-0.6332	11152	11979
798	508	514	-0.1327	11980	11499
4294967880	496	514	-0.1639	11969	11668
4294968012	491	514	-0.4974	11955	11963
4294967783	494	499	-0.1992	11950	11860
822	483	514	-0.6687	11977	11996
8589935299	491	499	-0.6183	11945	11966
592	483	491	-0.3263	11996	11935
4294968005	494	514	-0.2517	11960	11989
864	495	508	-0.2764	11974	11902
692	496	499	0.0029	11989	11806
685	476	496	-0.4929	11989	11994
4294967802	476	495	-0.4580	11964	11970
4294968144	483	494	-0.4070	11970	11926
634	491	496	-0.0540	11993	11724
8589935376	508	4294967903	0.9920	11613	11996
4294967907	476	514	-0.2274	11969	11709
830	476	483	-0.4971	11976	11927
4294967871	476	491	-0.1153	11893	11974
603	476	494	0.1731	11995	11958
4294968096	483	496	-0.3648	11962	11850
4294967927	494	495	-0.4636	11907	11904
573	483	508	-0.2968	11997	11972
896	483	495	-0.2982	11965	11974
4294968177	495	514	-0.3583	11949	11828
606	491	508	-0.1539	11995	11894
676	495	496	0.1031	11990	11854
8589935335	476	4294967903	-0.5875	11683	11952
8589935458	496	4294967903	0.0505	11699	11850
8589935218	494	4294967903	-0.2876	11698	11852
4294968093	491	4294967903	-0.4973	11697	11909
4294968189	483	4294967903	-0.5006	11672	11995
4294967846	499	4294967903	-0.1556	11692	11682
12884902663	514	4294967903	-0.3181	11691	11777
12884902626	495	4294967903	-0.2841	11685	11741
17179869781	4294967903	12884902713	-0.3802	11318	11996
8589935357	496	12884902713	-0.3690	11334	11992
12884902561	476	12884902713	-0.5298	11320	11886
12884902390	514	12884902713	-0.4160	11324	11993
17179869682	508	17179870002	0.9398	11549	11969
17179869812	494	17179870002	-0.1698	11543	11760
17179869832	4294967903	17179870002	-0.0595	11541	11911
8589935428	491	12884902713	-0.3566	11327	11783
17179869779	496	17179870002	-0.6099	11539	11912
21474836959	476	17179870002	-0.2620	11538	11865
12884902502	514	17179870002	-0.4271	11535	11949
17179870034	483	17179870002	0.9980	11534	11999
21474837113	499	17179870002	0.9940	11523	11997
12884902758	491	17179870002	-0.3019	11515	11980
17179869672	4294967903	12884902399	-0.2509	11399	11848
8589935481	494	12884902713	-0.0411	11331	11978
12884902726	495	17179870002	-0.4517	11489	11991
21474836990	499	12884902399	-0.4066	11393	11771
12884902537	491	12884902399	0.5459	11392	11990
17179869942	483	12884902399	-0.0153	11391	11959
12884902764	494	12884902399	-0.7012	11390	11965
17179869995	508	12884902399	0.5663	11389	11947
8589935316	495	12884902399	-0.1389	11381	11987
12884902392	514	12884902399	0.0344	11371	11999
12884902693	12884902399	17179870002	-0.2913	11367	11938
8589935234	496	12884902399	-0.0804	11356	11871
12884902722	508	12884902713	0.7925	11347	11984
12884902742	12884902399	12884902713	-0.3491	11346	11941
8589935077	483	12884902713	-0.4505	11346	11942
12884902372	499	12884902713	-0.4878	11344	11908
17179869969	476	12884902399	-0.3316	11343	11805
25769804477	476	30064771552	-0.5381	10993	11931
30064771913	12884902713	30064771552	-0.3094	10992	11721
17179869713	17179870002	30064771552	-0.2856	10989	11915
25769804283	495	30064771552	-0.2326	10985	11800
38654706157	508	30064771552	0.9739	10981	12000
38654706367	496	30064771552	0.5593	10975	11911
12884902442	514	30064771552	-0.0588	10970	11960
17179869871	494	30064771552	0.9249	10968	11961
21474837182	491	30064771552	-0.0203	10960	11897
12884902593	12884902399	30064771552	0.9724	10959	11986
25769804589	496	21474837354	-0.4052	10746	11975
21474837248	12884902399	21474837354	-0.1253	10747	11667
17179869746	499	21474837354	-0.3555	10743	11931
25769804636	491	21474837354	-0.1937	10742	11981
12884902759	495	21474837354	0.1716	10741	11930
12884902424	494	21474837354	-0.1471	10740	11969
21474837109	514	21474837354	-0.2741	10739	11932
12884902650	4294967903	21474837354	-0.0960	10739	11924
21474837119	21474837354	30064771552	-0.2917	10732	11960
30064771695	17179870002	21474837354	-0.7113	10723	11993
21474836961	12884902713	21474837354	-0.3964	10718	11995
21474837364	483	21474837354	-0.4534	10709	11842
17179869754	476	21474837354	-0.4031	10703	11978
17179870084	508	21474837354	-0.2472	10700	11899
12884902602	12884902507	30064771552	-0.2450	10549	11896
21474837311	495	12884902507	-0.4251	10542	11998
