# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	18671.6465	0.3186	14001	0.4000	1,1,3	0.5000	23
476	15060.3564	-0.2036	14001	0.4000	0,3,0	0.5000	12
514	15996.7354	0.1128	14001	0.4000	3,0,3	0.5000	51
30064771552	8908.5850	0.4931	13000	0.4000	0,1,2	0.5000	6
499	14877.5225	-0.2590	14001	0.4000	3,2,3	0.5000	59
495	11452.1260	0.2890	14001	0.4000	2,0,3	0.5000	35
508	18370.9453	0.0634	14001	0.4000	2,3,1	0.5000	45
496	13172.6719	0.1903	14001	0.4000	0,3,2	0.5000	14
483	5093.7451	0.2697	14001	0.4000	1,3,0	0.5000	28
491	14852.9961	-0.2138	14001	0.4000	3,2,3	0.5000	59
4294967903	9748.4648	0.2799	13700	0.4000	3,2,0	0.5000	56
17179870002	18783.4316	0.4585	13550	0.4000	3,1,3	0.5000	55
12884902399	13937.0273	0.2389	13400	0.4000	2,2,0	0.5000	40
12884902713	4828.2373	-0.0671	13350	0.4000	1,3,2	0.5000	30
21474837354	10269.2549	0.1311	12750	0.4000	0,2,0	0.5000	8
12884902507	10467.0996	0.4037	12550	0.4000	1,1,2	0.5000	22
12884902504	12396.8467	0.0421	12500	0.4000	3,0,2	0.5000	50
4294967932	9583.8574	-0.2965	12400	0.4000	3,2,2	0.5000	58
21474837216	7595.3555	-0.0335	12200	0.4000	1,1,2	0.5000	22
12884902766	4488.9224	0.1444	12150	0.4000	3,3,2	0.5000	62
21474837088	7271.3447	0.1256	11650	0.4000	2,1,0	0.5000	36
17179870052	6462.1475	0.1432	11700	0.4000	2,0,0	0.5000	32
21474837174	8580.8877	0.2146	11600	0.4000	1,0,2	0.5000	18
25769804444	11057.7822	-0.0602	11200	0.4000	1,3,3	0.5000	31
4294968070	9767.4160	-0.1506	10900	0.4000	2,0,3	0.5000	35
42949674303	2954.2871	0.3536	5000	0.4000	0,2,0	0.5000	8
8589935309	14652.9287	0.2042	10700	0.4000	3,1,3	0.5000	55
12884902902	2216.3286	-0.1615	9300	0.4000	0,2,1	0.5000	9
12884902607	4379.3613	0.3380	10550	0.4000	2,2,0	0.5000	40
17179869721	7640.1021	0.0128	10500	0.4000	3,2,1	0.5000	57
4294968312	3722.5535	0.2723	9550	0.4000	2,0,2	0.5000	34
64424510146	3677.7954	-0.2813	9200	0.4000	2,2,0	0.5000	40
81604379530	5046.2734	-0.0703	7500	0.4000	3,0,2	0.5000	50
4294968367	1902.7969	0.2839	8550	0.4000	2,2,2	0.5000	42
4294968584	2924.0491	-0.2693	6700	0.4000	1,0,1	0.5000	17
4294968476	4723.7051	0.1296	7600	0.4000	1,2,2	0.5000	26
30064772106	6304.3735	-0.2028	7400	0.4000	1,3,3	0.5000	31
25769804934	7558.3984	-0.1979	7100	0.4000	1,2,3	0.5000	27
8589935803	3886.1895	-0.1062	7050	0.4000	2,0,1	0.5000	33
4294968615	3725.6782	0.2357	6650	0.4000	0,2,1	0.5000	9
21474837739	2807.0522	0.2663	5700	0.4000	3,3,1	0.5000	61
38654706957	2647.5662	-0.0379	5100	0.4000	1,2,1	0.5000	25
8589936044	845.9743	0.2885	3950	0.4000	2,0,1	0.5000	33
8589936087	4670.8901	0.2508	3500	0.4000	3,1,3	0.5000	55
77309412207	3528.6606	0.3175	3350	0.4000	3,0,1	0.5000	49
4294969156	1154.7847	0.2845	2250	0.4000	0,3,2	0.5000	14
55834576380	2547.2812	-0.0234	3000	0.4000	2,1,1	0.5000	37
8589936284	1314.8602	-0.2131	2650	0.4000	3,2,2	0.5000	58
38654707227	2225.0212	0.3929	2600	0.4000	1,1,0	0.5000	20
51539609291	63.2700	0.4853	250	0.4000	2,3,2	0.5000	46
42949674679	404.0255	-0.2262	1350	0.4000	2,0,2	0.5000	34
38654707579	226.3677	-0.0930	600	0.4000	1,2,0	0.5000	24
1969	137.6964	-0.0420	50	0.4000	2,0,0	0.5000	32

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.4265	13954	13902
4294967797	499	508	0.1935	13915	13830
12884902548	476	508	-0.4880	13902	13845
8589935369	494	496	-0.2217	13905	13904
21474837127	499	30064771552	-0.2945	12995	13810
4294967885	499	4294968146	-0.0000	13834	166
770	491	494	0.9861	13982	13993
21474836969	483	30064771552	-0.2398	12998	13724
612	494	508	-0.0886	13995	13931
8589935438	12884902713	17179870002	-0.0829	13308	13802
12884902380	491	12884902701	-0.0000	13141	859
526	496	508	-0.4195	14000	13887
837	476	499	0.1027	13976	13940
8589935487	499	514	-0.4914	13928	13986
25769804577	4294967903	30064771552	-0.3471	12998	13955
690	491	495	-0.3006	13989	13948
4294968053	483	499	-0.3580	13929	13832
21474837043	495	12884902713	-0.5349	13152	13888
798	508	514	-0.5918	13980	13961
4294967880	496	514	-0.1201	13969	13586
4294968012	491	514	-0.0031	13955	13944
4294967783	494	499	-0.1636	13950	13732
822	483	514	-0.2591	13977	13898
8589935299	491	499	-0.2565	13945	13908
592	483	491	-0.4191	13996	13986
4294968005	494	514	-0.2406	13960	13774
864	495	508	-0.2317	13974	13785
692	496	499	-0.3259	13989	13955
685	476	496	-0.2398	13989	13895
4294967802	476	495	0.0799	13964	13802
4294968144	483	494	-0.1120	13970	13890
634	491	496	-0.4525	13993	13999
8589935376	508	4294967903	-0.1360	13613	13991
4294967907	476	514	-0.5370	13969	13883
830	476	483	-0.4063	13976	13940
4294967871	476	491	-0.4344	13893	13948
603	476	494	-0.0499	13995	13961
4294968096	483	496	-0.4788	13962	13897
4294967927	494	495	-0.4434	13907	13942
573	483	508	-0.3170	13997	13909
896	483	495	-0.2465	13965	13985
4294968177	495	514	-0.1043	13949	13684
606	491	508	-0.4301	13995	13975
676	495	496	-0.2361	13990	13881
8589935335	476	4294967903	-0.1746	13683	13859
8589935458	496	4294967903	-0.3805	13699	13867
8589935218	494	4294967903	0.1723	13698	13959
4294968093	491	4294967903	-0.1193	13697	13946
4294968189	483	4294967903	-0.4441	13672	13937
4294967846	499	4294967903	-0.2308	13692	13987
12884902663	514	4294967903	-0.2193	13691	13863
12884902626	495	4294967903	-0.2356	13685	13956
17179869781	4294967903	12884902713	-0.3766	13318	13974
8589935357	496	12884902713	-0.1264	13334	13857
12884902561	476	12884902713	-0.4705	13320	13930
12884902390	514	12884902713	-0.0636	13324	13959
17179869682	508	17179870002	-0.1665	13549	13865
17179869812	494	17179870002	-0.1725	13543	13802
17179869832	4294967903	17179870002	-0.2547	13541	13883
8589935428	491	12884902713	-0.3454	13327	13840
17179869779	496	17179870002	-0.1232	13539	13880
21474836959	476	17179870002	-0.2112	13538	13617
12884902502	514	17179870002	-0.2631	13535	13997
17179870034	483	17179870002	0.9763	13534	13988
21474837113	499	17179870002	0.9920	13523	13996
12884902758	491	17179870002	-0.3266	13515	13977
17179869672	4294967903	12884902399	-0.4911	13399	13898
8589935481	494	12884902713	-0.1280	13331	13948
12884902726	495	17179870002	0.1368	13489	13973
21474836990	499	12884902399	-0.0563	13393	13823
12884902537	491	12884902399	0.9920	13392	13996
17179869942	483	12884902399	-0.3573	13391	13732
12884902764	494	12884902399	-0.4567	13390	13777
17179869995	508	12884902399	-0.4009	13389	13981
8589935316	495	12884902399	-0.4247	13381	13942
12884902392	514	12884902399	-0.3287	13371	13850
12884902693	12884902399	17179870002	-0.3142	13367	13713
8589935234	496	12884902399	-0.2744	13356	13985
12884902722	508	12884902713	0.8003	13347	14000
12884902742	12884902399	12884902713	-0.3354	13346	13945
8589935077	483	12884902713	-0.3957	13346	13942
12884902372	499	12884902713	-0.2452	13344	13999
17179869969	476	12884902399	-0.2184	13343	13756
25769804477	476	30064771552	-0.3510	12993	13942
30064771913	12884902713	30064771552	-0.2948	12992	13983
17179869713	17179870002	30064771552	-0.2043	12989	13636
25769804283	495	30064771552	-0.2719	12985	13965
38654706157	508	30064771552	0.2347	12981	13988
38654706367	496	30064771552	-0.0980	12975	13892
12884902442	514	30064771552	-0.3418	12970	13995
