# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	20282.6465	0.3186	16001	0.4000	1,1,3	0.5000	23
476	15788.3564	-0.2036	16001	0.4000	0,3,0	0.5000	12
514	16825.7344	0.1128	16001	0.4000	3,0,3	0.5000	51
30064771552	10014.5850	0.4931	15000	0.4000	0,1,2	0.5000	6
499	15607.5225	-0.2590	16001	0.4000	3,2,3	0.5000	59
495	12304.1260	0.2890	16001	0.4000	2,0,3	0.5000	35
508	18511.9453	0.0634	16001	0.4000	2,3,1	0.5000	45
496	15721.6719	0.1903	16001	0.4000	0,3,2	0.5000	14
483	4132.7451	0.2697	16001	0.4000	1,3,0	0.5000	28
491	15318.9961	-0.2138	16001	0.4000	3,2,3	0.5000	59
4294967903	10590.4648	0.2799	15700	0.4000	3,2,0	0.5000	56
17179870002	19253.4316	0.4585	15550	0.4000	3,1,3	0.5000	55
12884902399	14276.0273	0.2389	15400	0.4000	2,2,0	0.5000	40
12884902713	5601.2373	-0.0671	15350	0.4000	1,3,2	0.5000	30
21474837354	10262.2549	0.1311	14750	0.4000	0,2,0	0.5000	8
12884902507	11762.0996	0.4037	14550	0.4000	1,1,2	0.5000	22
12884902504	11472.8467	0.0421	14500	0.4000	3,0,2	0.5000	50
4294967932	10791.8574	-0.2965	14400	0.4000	3,2,2	0.5000	58
21474837216	7810.3555	-0.0335	14200	0.4000	1,1,2	0.5000	22
12884902766	6199.9224	0.1444	14150	0.4000	3,3,2	0.5000	62
21474837088	9823.3447	0.1256	13650	0.4000	2,1,0	0.5000	36
17179870052	7624.1475	0.1432	13700	0.4000	2,0,0	0.5000	32
21474837174	9293.8877	0.2146	13600	0.4000	1,0,2	0.5000	18
25769804444	12796.7822	-0.0602	13200	0.4000	1,3,3	0.5000	31
4294968070	11865.4160	-0.1506	12900	0.4000	2,0,3	0.5000	35
42949674303	4249.2871	0.3536	7000	0.4000	0,2,0	0.5000	8
8589935309	16703.9297	0.2042	12700	0.4000	3,1,3	0.5000	55
12884902902	4908.3286	-0.1615	11300	0.4000	0,2,1	0.5000	9
12884902607	4377.3613	0.3380	12550	0.4000	2,2,0	0.5000	40
17179869721	8043.1021	0.0128	12500	0.4000	3,2,1	0.5000	57
4294968312	6173.5537	0.2723	11550	0.4000	2,0,2	0.5000	34
64424510146	5669.7954	-0.2813	11200	0.4000	2,2,0	0.5000	40
81604379530	5380.2734	-0.0703	9500	0.4000	3,0,2	0.5000	50
4294968367	1708.7969	0.2839	10550	0.4000	2,2,2	0.5000	42
4294968584	4011.0488	-0.2693	8700	0.4000	1,0,1	0.5000	17
4294968476	6075.7051	0.1296	9600	0.4000	1,2,2	0.5000	26
30064772106	6309.3735	-0.2028	9400	0.4000	1,3,3	0.5000	31
25769804934	9631.3984	-0.1979	9100	0.4000	1,2,3	0.5000	27
8589935803	5419.1895	-0.1062	9050	0.4000	2,0,1	0.5000	33
4294968615	5223.6782	0.2357	8650	0.4000	0,2,1	0.5000	9
21474837739	3691.0522	0.2663	7700	0.4000	3,3,1	0.5000	61
38654706957	3556.5662	-0.0379	7100	0.4000	1,2,1	0.5000	25
8589936044	1127.9744	0.2885	5950	0.4000	2,0,1	0.5000	33
8589936087	6815.8901	0.2508	5500	0.4000	3,1,3	0.5000	55
77309412207	4744.6606	0.3175	5350	0.4000	3,0,1	0.5000	49
4294969156	685.7847	0.2845	4250	0.4000	0,3,2	0.5000	14
55834576380	3885.2812	-0.0234	5000	0.4000	2,1,1	0.5000	37
8589936284	1927.8602	-0.2131	4650	0.4000	3,2,2	0.5000	58
38654707227	3462.0212	0.3929	4600	0.4000	1,1,0	0.5000	20
85899347712	415.5115	-0.1871	1100	0.4000	1,3,0	0.5000	28
42949674679	2786.0254	-0.2262	3350	0.4000	2,0,2	0.5000	34
38654707579	1211.3677	-0.0930	2600	0.4000	1,2,0	0.5000	24
4294969322	1235.3289	0.3638	1700	0.4000	2,2,0	0.5000	40
17179871320	170.0916	0.1304	350	0.4000	2,2,2	0.5000	42
21474838479	111.3263	0.0609	300	0.4000	1,0,2	0.5000	18
68719478663	100.2704	0.2381	250	0.4000	1,2,2	0.5000	26
21474838459	37.2395	0.3831	200	0.4000	3,1,1	0.5000	53
8589936725	27.0911	0.2523	150	0.4000	0,0,1	0.5000	1
2184	121.4335	-0.1054	100	0.4000	3,2,1	0.5000	57
2229	68.6660	0.1686	50	0.4000	0,2,1	0.5000	9

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	0.1477	15954	15970
4294967797	499	508	0.8825	15915	15998
12884902548	476	508	-0.1976	15902	15770
8589935369	494	496	-0.2476	15905	15733
21474837127	499	30064771552	-0.3664	14995	15865
4294967885	499	4294968146	-0.0000	15834	166
770	491	494	0.9398	15982	15969
21474836969	483	30064771552	-0.1930	14998	15936
612	494	508	-0.3638	15995	15959
8589935438	12884902713	17179870002	0.3223	15308	15966
12884902380	491	12884902701	-0.0000	15141	859
526	496	508	0.5910	16000	15990
837	476	499	-0.2636	15976	15890
8589935487	499	514	-0.2810	15928	15882
25769804577	4294967903	30064771552	-0.5165	14998	15880
690	491	495	-0.3507	15989	15810
4294968053	483	499	-0.4788	15929	15983
21474837043	495	12884902713	-0.1148	15152	15885
798	508	514	-0.1960	15980	15899
4294967880	496	514	-0.6092	15969	15991
4294968012	491	514	-0.2752	15955	15989
4294967783	494	499	-0.2327	15950	15639
822	483	514	-0.3746	15977	15794
8589935299	491	499	-0.2715	15945	15870
592	483	491	0.0153	15996	15957
4294968005	494	514	-0.3095	15960	15993
864	495	508	-0.2444	15974	15652
692	496	499	0.0827	15989	15975
685	476	496	-0.4884	15989	15934
4294967802	476	495	-0.1934	15964	15920
4294968144	483	494	0.3037	15970	15948
634	491	496	-0.0984	15993	15172
8589935376	508	4294967903	0.0350	15613	16000
4294967907	476	514	-0.3552	15969	15921
830	476	483	-0.2753	15976	15899
4294967871	476	491	-0.5146	15893	15965
603	476	494	-0.1474	15995	15900
4294968096	483	496	-0.1314	15962	15908
4294967927	494	495	-0.4367	15907	15932
573	483	508	-0.1876	15997	15812
896	483	495	0.9841	15965	15992
4294968177	495	514	-0.2491	15949	15977
606	491	508	-0.2849	15995	15967
676	495	496	-0.1666	15990	15890
8589935335	476	4294967903	-0.5133	15683	15938
8589935458	496	4294967903	-0.1933	15699	15868
8589935218	494	4294967903	0.3702	15698	15883
4294968093	491	4294967903	-0.1571	15697	15544
4294968189	483	4294967903	-0.2875	15672	15875
4294967846	499	4294967903	-0.3056	15692	15924
12884902663	514	4294967903	-0.4438	15691	15879
12884902626	495	4294967903	-0.1467	15685	15722
17179869781	4294967903	12884902713	-0.0301	15318	15938
8589935357	496	12884902713	-0.3275	15334	15927
12884902561	476	12884902713	-0.1519	15320	15660
12884902390	514	12884902713	0.9512	15324	15975
17179869682	508	17179870002	-0.1111	15549	15993
17179869812	494	17179870002	-0.3109	15543	15967
17179869832	4294967903	17179870002	-0.2275	15541	15874
8589935428	491	12884902713	-0.2724	15327	15996
17179869779	496	17179870002	-0.0847	15539	15365
21474836959	476	17179870002	0.0049	15538	15934
12884902502	514	17179870002	-0.1933	15535	15971
17179870034	483	17179870002	0.2155	15534	15780
21474837113	499	17179870002	0.1694	15523	15997
12884902758	491	17179870002	-0.1068	15515	15993
17179869672	4294967903	12884902399	-0.1613	15399	15953
8589935481	494	12884902713	-0.4757	15331	15882
12884902726	495	17179870002	-0.1209	15489	15810
21474836990	499	12884902399	-0.3078	15393	15999
12884902537	491	12884902399	0.1642	15392	15999
17179869942	483	12884902399	-0.1423	15391	15985
12884902764	494	12884902399	-0.1080	15390	15982
17179869995	508	12884902399	-0.0993	15389	15875
8589935316	495	12884902399	-0.4061	15381	15934
12884902392	514	12884902399	-0.2453	15371	15944
12884902693	12884902399	17179870002	-0.4168	15367	15948
8589935234	496	12884902399	-0.5668	15356	15966
12884902722	508	12884902713	0.9940	15347	15997
12884902742	12884902399	12884902713	-0.1811	15346	15960
8589935077	483	12884902713	-0.2750	15346	15623
12884902372	499	12884902713	-0.3931	15344	15791
17179869969	476	12884902399	-0.4073	15343	15993
25769804477	476	30064771552	-0.1755	14993	15814
30064771913	12884902713	30064771552	-0.1697	14992	15688
17179869713	17179870002	30064771552	-0.2149	14989	15802
25769804283	495	30064771552	-0.4247	14985	15960
38654706157	508	30064771552	-0.1946	14981	15893
38654706367	496	30064771552	-0.3869	14975	15970
12884902442	514	30064771552	-0.0557	14970	15848
17179869871	494	30064771552	0.9474	14968	15973
21474837182	491	30064771552	-0.1523	14960	15812
12884902593	12884902399	30064771552	-0.5737	14959	15887
25769804589	496	21474837354	-0.2723	14746	15967
21474837248	12884902399	21474837354	0.1145	14747	15909
17179869746	499	21474837354	-0.6229	14743	15946
25769804636	491	21474837354	-0.2486	14742	15851
12884902759	495	21474837354	-0.2422	14741	15990
12884902424	494	21474837354	-0.1802	14740	15867
21474837109	514	21474837354	-0.2673	14739	15994
