# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	21288.6465	0.3186	18001	0.4000	1,1,3	0.5000	23
476	15365.3564	-0.2036	18001	0.4000	0,3,0	0.5000	12
514	17759.7344	0.1128	18001	0.4000	3,0,3	0.5000	51
30064771552	11441.5850	0.4931	17000	0.4000	0,1,2	0.5000	6
499	16533.5234	-0.2590	18001	0.4000	3,2,3	0.5000	59
495	14513.1260	0.2890	18001	0.4000	2,0,3	0.5000	35
508	19468.9453	0.0634	18001	0.4000	2,3,1	0.5000	45
496	17923.6719	0.1903	18001	0.4000	0,3,2	0.5000	14
483	3778.7451	0.2697	18001	0.4000	1,3,0	0.5000	28
491	16502.9961	-0.2138	18001	0.4000	3,2,3	0.5000	59
4294967903	9737.4648	0.2799	17700	0.4000	3,2,0	0.5000	56
17179870002	20012.4316	0.4585	17550	0.4000	3,1,3	0.5000	55
12884902399	14944.0273	0.2389	17400	0.4000	2,2,0	0.5000	40
12884902713	6614.2373	-0.0671	17350	0.4000	1,3,2	0.5000	30
21474837354	9723.2549	0.1311	16750	0.4000	0,2,0	0.5000	8
12884902507	14502.0996	0.4037	16550	0.4000	1,1,2	0.5000	22
12884902504	12760.8467	0.0421	16500	0.4000	3,0,2	0.5000	50
4294967932	11296.8574	-0.2965	16400	0.4000	3,2,2	0.5000	58
21474837216	8001.3555	-0.0335	16200	0.4000	1,1,2	0.5000	22
12884902766	6906.9224	0.1444	16150	0.4000	3,3,2	0.5000	62
21474837088	12550.3447	0.1256	15650	0.4000	2,1,0	0.5000	36
17179870052	9896.1475	0.1432	15700	0.4000	2,0,0	0.5000	32
21474837174	8581.8877	0.2146	15600	0.4000	1,0,2	0.5000	18
25769804444	14803.7822	-0.0602	15200	0.4000	1,3,3	0.5000	31
4294968070	13027.4160	-0.1506	14900	0.4000	2,0,3	0.5000	35
42949674303	5332.2871	0.3536	9000	0.4000	0,2,0	0.5000	8
8589935309	18343.9297	0.2042	14700	0.4000	3,1,3	0.5000	55
12884902902	7076.3286	-0.1615	13300	0.4000	0,2,1	0.5000	9
12884902607	4116.3613	0.3380	14550	0.4000	2,2,0	0.5000	40
17179869721	8971.1016	0.0128	14500	0.4000	3,2,1	0.5000	57
4294968312	8105.5537	0.2723	13550	0.4000	2,0,2	0.5000	34
64424510146	7238.7954	-0.2813	13200	0.4000	2,2,0	0.5000	40
81604379530	5933.2734	-0.0703	11500	0.4000	3,0,2	0.5000	50
4294968367	2553.7969	0.2839	12550	0.4000	2,2,2	0.5000	42
4294968584	2979.0488	-0.2693	10700	0.4000	1,0,1	0.5000	17
4294968476	6669.7051	0.1296	11600	0.4000	1,2,2	0.5000	26
30064772106	5752.3735	-0.2028	11400	0.4000	1,3,3	0.5000	31
25769804934	12273.3984	-0.1979	11100	0.4000	1,2,3	0.5000	27
8589935803	7347.1895	-0.1062	11050	0.4000	2,0,1	0.5000	33
4294968615	5293.6782	0.2357	10650	0.4000	0,2,1	0.5000	9
21474837739	4120.0522	0.2663	9700	0.4000	3,3,1	0.5000	61
38654706957	3265.5662	-0.0379	9100	0.4000	1,2,1	0.5000	25
8589936044	801.9744	0.2885	7950	0.4000	2,0,1	0.5000	33
8589936087	10069.8906	0.2508	7500	0.4000	3,1,3	0.5000	55
77309412207	5207.6606	0.3175	7350	0.4000	3,0,1	0.5000	49
4294969156	1017.7847	0.2845	6250	0.4000	0,3,2	0.5000	14
55834576380	4854.2812	-0.0234	7000	0.4000	2,1,1	0.5000	37
8589936284	2786.8604	-0.2131	6650	0.4000	3,2,2	0.5000	58
38654707227	3784.0212	0.3929	6600	0.4000	1,1,0	0.5000	20
55834576937	67.4150	0.3022	50	0.4000	0,3,2	0.5000	14
42949674679	4808.0254	-0.2262	5350	0.4000	2,0,2	0.5000	34
38654707579	2115.3677	-0.0930	4600	0.4000	1,2,0	0.5000	24
4294969322	1144.3289	0.3638	3700	0.4000	2,2,0	0.5000	40
17179871320	432.0917	0.1304	2350	0.4000	2,2,2	0.5000	42
47244642476	242.6530	0.1897	500	0.4000	1,2,0	0.5000	24

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.0491	17954	17790
4294967797	499	508	0.8334	17915	18000
12884902548	476	508	0.1183	17902	17982
8589935369	494	496	-0.1262	17905	17938
21474837127	499	30064771552	-0.1698	16995	17818
4294967885	499	4294968146	-0.0000	17834	166
770	491	494	0.3228	17982	17910
21474836969	483	30064771552	0.9436	16998	17971
612	494	508	-0.3296	17995	17789
8589935438	12884902713	17179870002	-0.2390	17308	17898
12884902380	491	12884902701	-0.0000	17141	859
526	496	508	0.9881	18000	17994
837	476	499	0.6791	17976	17973
8589935487	499	514	0.0456	17928	17989
25769804577	4294967903	30064771552	-0.2242	16998	17928
690	491	495	-0.0617	17989	17831
4294968053	483	499	-0.2996	17929	17903
21474837043	495	12884902713	0.1413	17152	17810
798	508	514	0.0208	17980	17876
4294967880	496	514	0.1223	17969	17996
4294968012	491	514	0.8557	17955	17987
4294967783	494	499	-0.1281	17950	17954
822	483	514	-0.2431	17977	17786
8589935299	491	499	-0.1953	17945	17835
592	483	491	0.3496	17996	17917
4294968005	494	514	-0.2152	17960	17726
864	495	508	-0.4276	17974	17930
692	496	499	0.2655	17989	17992
685	476	496	-0.2495	17989	17902
4294967802	476	495	-0.3248	17964	17910
4294968144	483	494	-0.2456	17970	17791
634	491	496	-0.1883	17993	17597
8589935376	508	4294967903	-0.3263	17613	17965
4294967907	476	514	-0.2624	17969	17782
830	476	483	-0.3820	17976	17892
4294967871	476	491	-0.1167	17893	17941
603	476	494	-0.2861	17995	17930
4294968096	483	496	-0.3874	17962	17996
4294967927	494	495	-0.1692	17907	17844
573	483	508	0.9920	17997	17996
896	483	495	0.8983	17965	18000
4294968177	495	514	-0.4316	17949	17846
606	491	508	-0.0314	17995	17967
676	495	496	-0.1117	17990	17489
8589935335	476	4294967903	-0.2987	17683	17736
8589935458	496	4294967903	-0.4389	17699	18000
8589935218	494	4294967903	-0.2145	17698	17959
4294968093	491	4294967903	-0.1918	17697	17672
4294968189	483	4294967903	-0.5009	17672	17973
4294967846	499	4294967903	-0.2988	17692	17917
12884902663	514	4294967903	-0.3187	17691	17939
12884902626	495	4294967903	-0.4109	17685	17901
17179869781	4294967903	12884902713	-0.3740	17318	17940
8589935357	496	12884902713	-0.3232	17334	17992
12884902561	476	12884902713	-0.0681	17320	17950
12884902390	514	12884902713	-0.0116	17324	17801
17179869682	508	17179870002	-0.3622	17549	17872
17179869812	494	17179870002	0.1087	17543	17992
17179869832	4294967903	17179870002	-0.3545	17541	17996
8589935428	491	12884902713	-0.3653	17327	17930
17179869779	496	17179870002	0.8530	17539	17981
21474836959	476	17179870002	-0.1241	17538	17959
12884902502	514	17179870002	-0.3106	17535	17951
17179870034	483	17179870002	-0.3378	17534	17982
21474837113	499	17179870002	-0.3996	17523	17803
12884902758	491	17179870002	-0.2772	17515	17670
17179869672	4294967903	12884902399	-0.4473	17399	17958
8589935481	494	12884902713	-0.2430	17331	17985
12884902726	495	17179870002	-0.3412	17489	17968
21474836990	499	12884902399	-0.3576	17393	17962
12884902537	491	12884902399	-0.0135	17392	17950
17179869942	483	12884902399	-0.3599	17391	17730
12884902764	494	12884902399	-0.3075	17390	17911
17179869995	508	12884902399	-0.1022	17389	17826
8589935316	495	12884902399	-0.3531	17381	17896
12884902392	514	12884902399	-0.3416	17371	17824
12884902693	12884902399	17179870002	-0.3645	17367	17968
8589935234	496	12884902399	-0.0263	17356	17918
12884902722	508	12884902713	0.9861	17347	17993
12884902742	12884902399	12884902713	-0.3709	17346	17931
8589935077	483	12884902713	-0.2070	17346	17862
12884902372	499	12884902713	-0.1945	17344	17935
17179869969	476	12884902399	-0.3445	17343	17959
25769804477	476	30064771552	-0.3380	16993	17993
30064771913	12884902713	30064771552	-0.4090	16992	17820
17179869713	17179870002	30064771552	-0.3302	16989	17884
25769804283	495	30064771552	-0.2579	16985	17939
38654706157	508	30064771552	-0.1344	16981	17936
38654706367	496	30064771552	-0.4290	16975	17897
12884902442	514	30064771552	-0.1127	16970	17816
17179869871	494	30064771552	0.6490	16968	17997
21474837182	491	30064771552	-0.2264	16960	17951
12884902593	12884902399	30064771552	-0.2035	16959	17940
