# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	22824.6465	0.3186	22001	0.4000	1,1,3	0.5000	23
476	17166.3555	-0.2036	22001	0.4000	0,3,0	0.5000	12
514	18710.7344	0.1128	22001	0.4000	3,0,3	0.5000	51
30064771552	14334.5850	0.4931	21000	0.4000	0,1,2	0.5000	6
499	17875.5234	-0.2590	22001	0.4000	3,2,3	0.5000	59
495	17982.1250	0.2890	22001	0.4000	2,0,3	0.5000	35
508	21579.9453	0.0634	22001	0.4000	2,3,1	0.5000	45
496	21828.6719	0.1903	22001	0.4000	0,3,2	0.5000	14
483	4796.7451	0.2697	22001	0.4000	1,3,0	0.5000	28
491	17702.9961	-0.2138	22001	0.4000	3,2,3	0.5000	59
4294967903	9843.4648	0.2799	21700	0.4000	3,2,0	0.5000	56
17179870002	22893.4316	0.4585	21550	0.4000	3,1,3	0.5000	55
12884902399	15708.0273	0.2389	21400	0.4000	2,2,0	0.5000	40
12884902713	8244.2373	-0.0671	21350	0.4000	1,3,2	0.5000	30
21474837354	11138.2549	0.1311	20750	0.4000	0,2,0	0.5000	8
12884902507	15565.0996	0.4037	20550	0.4000	1,1,2	0.5000	22
12884902504	13724.8467	0.0421	20500	0.4000	3,0,2	0.5000	50
4294967932	11941.8574	-0.2965	20400	0.4000	3,2,2	0.5000	58
21474837216	9611.3555	-0.0335	20200	0.4000	1,1,2	0.5000	22
12884902766	9761.9219	0.1444	20150	0.4000	3,3,2	0.5000	62
21474837088	18699.3438	0.1256	19650	0.4000	2,1,0	0.5000	36
17179870052	14139.1475	0.1432	19700	0.4000	2,0,0	0.5000	32
21474837174	9903.8877	0.2146	19600	0.4000	1,0,2	0.5000	18
25769804444	14868.7822	-0.0602	19200	0.4000	1,3,3	0.5000	31
4294968070	12605.4160	-0.1506	18900	0.4000	2,0,3	0.5000	35
42949674303	9950.2871	0.3536	13000	0.4000	0,2,0	0.5000	8
8589935309	20412.9297	0.2042	18700	0.4000	3,1,3	0.5000	55
12884902902	11333.3281	-0.1615	17300	0.4000	0,2,1	0.5000	9
12884902607	3628.3613	0.3380	18550	0.4000	2,2,0	0.5000	40
17179869721	13122.1016	0.0128	18500	0.4000	3,2,1	0.5000	57
4294968312	9649.5537	0.2723	17550	0.4000	2,0,2	0.5000	34
64424510146	8570.7949	-0.2813	17200	0.4000	2,2,0	0.5000	40
81604379530	7789.2734	-0.0703	15500	0.4000	3,0,2	0.5000	50
4294968367	3471.7969	0.2839	16550	0.4000	2,2,2	0.5000	42
4294968584	4747.0488	-0.2693	14700	0.4000	1,0,1	0.5000	17
4294968476	7959.7051	0.1296	15600	0.4000	1,2,2	0.5000	26
30064772106	9612.3730	-0.2028	15400	0.4000	1,3,3	0.5000	31
25769804934	16745.3984	-0.1979	15100	0.4000	1,2,3	0.5000	27
8589935803	5982.1895	-0.1062	15050	0.4000	2,0,1	0.5000	33
4294968615	5565.6782	0.2357	14650	0.4000	0,2,1	0.5000	9
21474837739	4496.0522	0.2663	13700	0.4000	3,3,1	0.5000	61
38654706957	4758.5664	-0.0379	13100	0.4000	1,2,1	0.5000	25
8589936044	2549.9744	0.2885	11950	0.4000	2,0,1	0.5000	33
8589936087	11490.8906	0.2508	11500	0.4000	3,1,3	0.5000	55
77309412207	6860.6606	0.3175	11350	0.4000	3,0,1	0.5000	49
4294969156	1448.7847	0.2845	10250	0.4000	0,3,2	0.5000	14
55834576380	9150.2812	-0.0234	11000	0.4000	2,1,1	0.5000	37
8589936284	3718.8604	-0.2131	10650	0.4000	3,2,2	0.5000	58
38654707227	3420.0212	0.3929	10600	0.4000	1,1,0	0.5000	20
30064773391	3656.0796	-0.1874	3950	0.4000	0,2,1	0.5000	9
42949674679	6440.0254	-0.2262	9350	0.4000	2,0,2	0.5000	34
38654707579	4596.3677	-0.0930	8600	0.4000	1,2,0	0.5000	24
4294969322	1242.3289	0.3638	7700	0.4000	2,2,0	0.5000	40
137438955721	32.2039	0.1219	100	0.4000	2,3,2	0.5000	46
47244642476	3444.6531	0.1897	4500	0.4000	1,2,0	0.5000	24
17179871308	622.8960	0.4107	3600	0.4000	2,2,1	0.5000	41
103079217242	24.3892	0.3097	50	0.4000	0,1,1	0.5000	5

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	0.1234	21954	21990
4294967797	499	508	-0.1810	21915	21673
12884902548	476	508	-0.6519	21902	21990
8589935369	494	496	-0.2539	21905	21684
21474837127	499	30064771552	-0.3403	20995	21974
4294967885	499	4294968146	-0.0000	21834	166
770	491	494	-0.3572	21982	21995
21474836969	483	30064771552	0.0837	20998	21901
612	494	508	-0.0446	21995	21964
8589935438	12884902713	17179870002	-0.2357	21308	21673
12884902380	491	12884902701	-0.0000	21141	859
526	496	508	-0.1775	22000	21880
837	476	499	-0.2885	21976	21890
8589935487	499	514	-0.2054	21928	21961
25769804577	4294967903	30064771552	-0.2743	20998	21970
690	491	495	-0.2506	21989	21779
4294968053	483	499	0.3648	21929	21959
21474837043	495	12884902713	-0.2469	21152	21941
798	508	514	-0.1455	21980	21932
4294967880	496	514	-0.0626	21969	21975
4294968012	491	514	0.5509	21955	21944
4294967783	494	499	-0.2135	21950	21893
822	483	514	-0.4710	21977	21943
8589935299	491	499	-0.1269	21945	21568
592	483	491	-0.1652	21996	21994
4294968005	494	514	-0.2833	21960	21909
864	495	508	-0.3430	21974	21982
692	496	499	-0.4341	21989	21871
685	476	496	-0.2416	21989	21928
4294967802	476	495	-0.4186	21964	21929
4294968144	483	494	-0.3563	21970	21975
634	491	496	-0.1788	21993	21731
8589935376	508	4294967903	0.9861	21613	21993
4294967907	476	514	-0.1070	21969	21804
830	476	483	-0.0659	21976	21974
4294967871	476	491	-0.2781	21893	21937
603	476	494	-0.1533	21995	21616
4294968096	483	496	-0.3848	21962	21983
4294967927	494	495	-0.1579	21907	21922
573	483	508	0.2673	21997	21978
896	483	495	0.4379	21965	21960
4294968177	495	514	-0.3453	21949	21750
606	491	508	0.2555	21995	21945
676	495	496	-0.2828	21990	21826
8589935335	476	4294967903	-0.2691	21683	21806
8589935458	496	4294967903	0.4176	21699	21982
8589935218	494	4294967903	-0.4386	21698	21968
4294968093	491	4294967903	-0.2567	21697	21977
4294968189	483	4294967903	-0.0310	21672	21704
4294967846	499	4294967903	-0.4147	21692	21959
12884902663	514	4294967903	-0.0275	21691	21739
12884902626	495	4294967903	-0.2976	21685	21783
17179869781	4294967903	12884902713	-0.2739	21318	21939
8589935357	496	12884902713	-0.1551	21334	21987
12884902561	476	12884902713	0.6079	21320	21958
12884902390	514	12884902713	-0.2416	21324	21995
17179869682	508	17179870002	-0.0292	21549	21942
17179869812	494	17179870002	0.1234	21543	21928
17179869832	4294967903	17179870002	-0.3201	21541	22000
8589935428	491	12884902713	-0.3328	21327	21895
17179869779	496	17179870002	0.6806	21539	21966
21474836959	476	17179870002	-0.3822	21538	21944
12884902502	514	17179870002	-0.1423	21535	21947
17179870034	483	17179870002	-0.2048	21534	22000
21474837113	499	17179870002	0.3405	21523	21951
12884902758	491	17179870002	-0.3976	21515	21934
17179869672	4294967903	12884902399	-0.0457	21399	21957
8589935481	494	12884902713	-0.1090	21331	21955
12884902726	495	17179870002	-0.3219	21489	21980
21474836990	499	12884902399	-0.3210	21393	21950
12884902537	491	12884902399	0.3541	21392	21992
17179869942	483	12884902399	-0.0182	21391	21799
12884902764	494	12884902399	-0.4230	21390	21993
17179869995	508	12884902399	0.0162	21389	21991
8589935316	495	12884902399	-0.3441	21381	21975
12884902392	514	12884902399	-0.1848	21371	21965
12884902693	12884902399	17179870002	-0.0268	21367	21997
8589935234	496	12884902399	-0.2764	21356	21713
12884902722	508	12884902713	-0.0031	21347	21983
12884902742	12884902399	12884902713	-0.1424	21346	21943
8589935077	483	12884902713	-0.3071	21346	21881
12884902372	499	12884902713	-0.4510	21344	21920
17179869969	476	12884902399	-0.3482	21343	21861
25769804477	476	30064771552	-0.1868	20993	21866
30064771913	12884902713	30064771552	-0.3004	20992	21966
17179869713	17179870002	30064771552	0.9724	20989	21986
25769804283	495	30064771552	-0.5029	20985	21948
38654706157	508	30064771552	0.9920	20981	21996
38654706367	496	30064771552	-0.1557	20975	21850
12884902442	514	30064771552	-0.3738	20970	21995
17179869871	494	30064771552	-0.2036	20968	21912
21474837182	491	30064771552	-0.4546	20960	21946
12884902593	12884902399	30064771552	-0.4128	20959	21949
25769804589	496	21474837354	-0.5111	20746	21890
21474837248	12884902399	21474837354	-0.2844	20747	21934
17179869746	499	21474837354	-0.2819	20743	21917
25769804636	491	21474837354	0.1878	20742	21996
12884902759	495	21474837354	-0.3507	20741	21962
12884902424	494	21474837354	-0.3937	20740	21966
21474837109	514	21474837354	-0.1782	20739	21985
12884902650	4294967903	21474837354	-0.2987	20739	21828
21474837119	21474837354	30064771552	-0.1630	20732	21975
30064771695	17179870002	21474837354	-0.2978	20723	21938
21474836961	12884902713	21474837354	-0.0250	20718	21926
21474837364	483	21474837354	-0.3153	20709	21993
17179869754	476	21474837354	-0.2330	20703	21880
17179870084	508	21474837354	0.0707	20700	21712
12884902602	12884902507	30064771552	-0.2737	20549	21880
21474837311	495	12884902507	-0.3492	20542	21791
17179870036	12884902507	12884902713	-0.1642	20541	21983
38654706245	483	12884902507	0.0188	20541	21969
17179870075	491	12884902507	-0.3066	20540	21750
30064771654	4294967903	12884902507	-0.2668	20538	21990
17179869693	12884902399	12884902507	-0.3092	20537	21929
17179869715	12884902507	21474837354	0.3906	20531	21949
42949673736	476	12884902507	-0.2941	20528	21981
30064771549	496	12884902507	-0.2312	20525	21941
21474837270	508	12884902507	0.8610	20520	21989
34359739026	514	12884902507	-0.2718	20520	21681
34359739182	499	12884902507	-0.3796	20503	21957
8589935355	496	12884902504	-0.1701	20492	21971
12884902486	12884902504	21474837354	-0.3951	20492	21917
12884902482	12884902399	12884902504	-0.0587	20491	21858
25769804579	12884902504	17179870002	-0.1219	20490	21741
34359739253	476	12884902504	-0.2516	20489	21960
38654706412	494	12884902507	0.0535	20488	21952
34359738880	483	12884902504	-0.3149	20488	21943
21474836970	4294967903	12884902504	-0.0608	20488	21930
8589935169	12884902507	17179870002	-0.0422	20487	21888
12884902770	495	12884902504	-0.1946	20485	21905
25769804509	494	12884902504	0.9323	20485	21965
30064771819	12884902504	30064771552	-0.3333	20481	21842
30064771874	491	12884902504	-0.1145	20477	21968
47244641007	12884902504	12884902507	-0.2222	20474	21572
30064771577	514	12884902504	-0.3499	20467	21777
38654706187	499	12884902504	-0.1652	20465	21852
25769804317	12884902504	12884902713	-0.2801	20459	21937
4294967973	4294967932	12884902399	-0.2067	20365	21989
4294968049	4294967932	12884902504	0.7131	20399	21996
4294968123	491	4294967932	-0.4929	20375	21938
8589935451	4294967932	30064771552	-0.1290	20378	21969
12884902638	4294967932	12884902713	-0.2243	20379	21906
4294967793	508	12884902504	-0.0864	20383	21830
12884902366	483	4294967932	-0.1336	20384	21684
8589935388	496	4294967932	0.9920	20387	21996
8589935344	514	4294967932	-0.0105	20387	21977
8589935415	476	4294967932	-0.1233	20387	21793
8589935346	4294967932	17179870002	-0.5362	20388	21873
12884902735	495	4294967932	-0.2225	20395	21926
4294968018	499	4294967932	0.2212	20399	21869
12884902627	4294967932	12884902507	-0.4244	20363	21833
21474837300	12884902504	21474837216	-0.2312	20169	21895
8589935315	12884902507	21474837216	-0.4823	20172	21933
12884902586	508	4294967932	-0.5281	20344	21974
17179869994	17179870002	21474837216	-0.4358	20173	21990
8589935472	4294967903	21474837216	-0.2097	20175	21981
8589935424	21474837216	21474837354	-0.2059	20180	21950
8589935371	508	21474837216	-0.4063	20181	21971
12884902493	494	4294967932	0.9802	20298	21990
21474837301	12884902713	21474837216	-0.4011	20183	21952
12884902510	491	21474837216	-0.1331	20186	21789
8589935280	495	21474837216	-0.0204	20187	21991
12884902787	514	21474837216	-0.3807	20189	21917
8589935074	494	21474837216	-0.3062	20190	21930
8589935365	4294967903	4294967932	-0.0850	20328	21961
8589935407	476	21474837216	-0.1921	20192	21838
8589935140	483	21474837216	-0.2375	20192	21941
12884902647	12884902399	21474837216	-0.4077	20197	21931
8589935254	4294967932	21474837354	0.9881	20308	21994
21474837079	21474837216	30064771552	-0.0901	20198	21843
17179869659	4294967932	21474837216	0.4199	20198	21935
21474837171	476	12884902766	-0.1710	20149	21605
12884902749	12884902766	21474837216	-0.4123	20147	21927
17179869701	495	12884902766	-0.3977	20145	21876
21474837012	12884902504	12884902766	-0.1364	20144	21916
17179869744	4294967903	12884902766	0.6216	20139	21979
21474837222	12884902507	12884902766	-0.0443	20139	21992
17179869739	494	12884902766	-0.4300	20138	21985
17179870071	12884902766	30064771552	-0.1959	20135	21763
21474837246	12884902766	17179870002	-0.0940	20133	21964
21474837284	508	12884902766	-0.0851	20132	21992
17179869804	496	21474837216	-0.2744	20131	21693
21474837363	499	12884902766	-0.4664	20131	21805
21474837180	12884902766	21474837354	-0.2942	20121	21865
17179869864	12884902713	12884902766	-0.0036	20119	21774
17179870023	496	12884902766	0.8902	20116	21999
17179869764	4294967932	12884902766	-0.3384	20105	21978
8589935490	4294967932	21474837088	-0.1181	19616	21947
4294967862	508	21474837088	-0.1217	19619	21988
4294968007	491	12884902766	-0.1985	20098	21852
8589935478	483	12884902766	-0.3494	20050	21977
8589935213	514	21474837088	-0.3577	19619	21994
17179869830	12884902399	21474837088	0.1472	19622	21985
17179869953	21474837088	21474837354	-0.5278	19623	21999
4294967830	12884902399	12884902766	-0.0062	20089	21944
12884902557	483	17179870052	-0.2008	19627	21916
17179869814	494	21474837088	0.9821	19628	21991
4294968024	514	12884902766	-0.1123	20080	21755
4294968021	499	21474837216	0.1650	20080	21855
17179869729	12884902507	21474837088	-0.2234	19632	21755
17179869945	17179870052	21474837088	0.8377	19635	21982
12884902505	499	17179870052	-0.2459	19667	21956
25769804420	12884902766	17179870052	-0.0383	19638	21992
17179869975	21474837088	30064771552	-0.2901	19640	21868
21474837154	494	17179870052	0.0194	19641	21965
17179869740	21474837088	21474837216	0.9980	19643	21999
21474837308	4294967903	21474837088	-0.4158	19647	21997
21474837315	12884902766	21474837088	-0.1029	19647	21388
21474837374	499	21474837088	-0.1411	19647	21883
21474837026	12884902399	17179870052	-0.2365	19649	21975
21474837152	4294967903	17179870052	-0.1603	19699	21582
17179869970	496	17179870052	-0.0479	19698	21361
42949673473	17179870052	21474837216	0.2973	19697	21992
25769804427	508	17179870052	-0.0169	19651	21878
21474837268	12884902713	17179870052	-0.4295	19696	21997
21474837015	491	17179870052	-0.3637	19693	21852
21474837273	4294967932	17179870052	0.3821	19692	21963
17179869756	476	17179870052	0.2961	19692	21987
25769804340	495	17179870052	-0.1984	19691	21909
25769804475	12884902504	17179870052	-0.3480	19687	21791
17179870035	17179870002	17179870052	-0.2338	19686	21733
21474836998	17179870052	21474837354	-0.3451	19661	21902
12884902633	514	17179870052	-0.0312	19674	21937
17179869855	17179870052	30064771552	-0.3920	19671	21843
17179869772	483	21474837088	-0.2925	19609	21914
21474836966	12884902504	21474837088	0.9163	19607	21997
34359739132	494	21474837174	0.3163	19599	21963
21474837368	17179870002	21474837174	-0.1728	19598	21978
25769804433	499	21474837174	0.3190	19597	21933
21474837132	12884902713	21474837088	-0.2724	19597	21959
