# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	23687.6465	0.3186	24001	0.4000	1,1,3	0.5000	23
476	18354.3555	-0.2036	24001	0.4000	0,3,0	0.5000	12
514	19308.7344	0.1128	24001	0.4000	3,0,3	0.5000	51
30064771552	14687.5850	0.4931	23000	0.4000	0,1,2	0.5000	6
499	18905.5234	-0.2590	24001	0.4000	3,2,3	0.5000	59
495	18210.1250	0.2890	24001	0.4000	2,0,3	0.5000	35
508	22255.9453	0.0634	24001	0.4000	2,3,1	0.5000	45
496	22740.6719	0.1903	24001	0.4000	0,3,2	0.5000	14
483	5340.7451	0.2697	24001	0.4000	1,3,0	0.5000	28
491	17898.9961	-0.2138	24001	0.4000	3,2,3	0.5000	59
4294967903	10831.4648	0.2799	23700	0.4000	3,2,0	0.5000	56
17179870002	25540.4316	0.4585	23550	0.4000	3,1,3	0.5000	55
12884902399	15348.0273	0.2389	23400	0.4000	2,2,0	0.5000	40
12884902713	8830.2373	-0.0671	23350	0.4000	1,3,2	0.5000	30
21474837354	11062.2549	0.1311	22750	0.4000	0,2,0	0.5000	8
12884902507	16494.0996	0.4037	22550	0.4000	1,1,2	0.5000	22
12884902504	14284.8467	0.0421	22500	0.4000	3,0,2	0.5000	50
4294967932	13185.8574	-0.2965	22400	0.4000	3,2,2	0.5000	58
21474837216	10382.3555	-0.0335	22200	0.4000	1,1,2	0.5000	22
12884902766	10980.9219	0.1444	22150	0.4000	3,3,2	0.5000	62
21474837088	20786.3438	0.1256	21650	0.4000	2,1,0	0.5000	36
17179870052	15537.1475	0.1432	21700	0.4000	2,0,0	0.5000	32
21474837174	10579.8877	0.2146	21600	0.4000	1,0,2	0.5000	18
25769804444	15137.7822	-0.0602	21200	0.4000	1,3,3	0.5000	31
4294968070	12038.4160	-0.1506	20900	0.4000	2,0,3	0.5000	35
42949674303	10989.2871	0.3536	15000	0.4000	0,2,0	0.5000	8
8589935309	21338.9297	0.2042	20700	0.4000	3,1,3	0.5000	55
12884902902	13079.3281	-0.1615	19300	0.4000	0,2,1	0.5000	9
12884902607	4769.3613	0.3380	20550	0.4000	2,2,0	0.5000	40
17179869721	16768.1016	0.0128	20500	0.4000	3,2,1	0.5000	57
4294968312	9877.5537	0.2723	19550	0.4000	2,0,2	0.5000	34
64424510146	9378.7949	-0.2813	19200	0.4000	2,2,0	0.5000	40
81604379530	9011.2734	-0.0703	17500	0.4000	3,0,2	0.5000	50
4294968367	4970.7969	0.2839	18550	0.4000	2,2,2	0.5000	42
4294968584	6514.0488	-0.2693	16700	0.4000	1,0,1	0.5000	17
4294968476	9213.7051	0.1296	17600	0.4000	1,2,2	0.5000	26
30064772106	11816.3730	-0.2028	17400	0.4000	1,3,3	0.5000	31
25769804934	17231.3984	-0.1979	17100	0.4000	1,2,3	0.5000	27
8589935803	6734.1895	-0.1062	17050	0.4000	2,0,1	0.5000	33
4294968615	6006.6782	0.2357	16650	0.4000	0,2,1	0.5000	9
21474837739	3543.0522	0.2663	15700	0.4000	3,3,1	0.5000	61
38654706957	6714.5664	-0.0379	15100	0.4000	1,2,1	0.5000	25
8589936044	3421.9744	0.2885	13950	0.4000	2,0,1	0.5000	33
8589936087	12578.8906	0.2508	13500	0.4000	3,1,3	0.5000	55
77309412207	7554.6606	0.3175	13350	0.4000	3,0,1	0.5000	49
4294969156	2157.7847	0.2845	12250	0.4000	0,3,2	0.5000	14
55834576380	11228.2812	-0.0234	13000	0.4000	2,1,1	0.5000	37
8589936284	3406.8604	-0.2131	12650	0.4000	3,2,2	0.5000	58
38654707227	2990.0212	0.3929	12600	0.4000	1,1,0	0.5000	20
30064773391	3685.0796	-0.1874	5950	0.4000	0,2,1	0.5000	9
42949674679	6195.0254	-0.2262	11350	0.4000	2,0,2	0.5000	34
38654707579	4711.3677	-0.0930	10600	0.4000	1,2,0	0.5000	24
4294969322	2928.3289	0.3638	9700	0.4000	2,2,0	0.5000	40
68719479099	132.7283	0.1805	50	0.4000	2,2,3	0.5000	43
47244642476	4029.6531	0.1897	6500	0.4000	1,2,0	0.5000	24
17179871308	1404.8960	0.4107	5600	0.4000	2,2,1	0.5000	41
111669151833	460.0472	0.4461	1500	0.4000	3,1,2	0.5000	54
154618824315	159.9424	0.3048	550	0.4000	1,3,0	0.5000	28

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	-0.4049	23954	23917
4294967797	499	508	-0.2337	23915	23924
12884902548	476	508	-0.1062	23902	23853
8589935369	494	496	-0.2443	23905	23820
21474837127	499	30064771552	-0.3171	22995	23998
4294967885	499	4294968146	-0.0000	23834	166
770	491	494	-0.4239	23982	23942
21474836969	483	30064771552	-0.2533	22998	23842
612	494	508	-0.3384	23995	23971
8589935438	12884902713	17179870002	-0.1370	23308	23600
12884902380	491	12884902701	-0.0000	23141	859
526	496	508	-0.0508	24000	23699
837	476	499	-0.2944	23976	23940
8589935487	499	514	-0.1109	23928	23938
25769804577	4294967903	30064771552	-0.6015	22998	23898
690	491	495	-0.3639	23989	23951
4294968053	483	499	-0.1673	23929	23960
21474837043	495	12884902713	-0.4397	23152	23922
798	508	514	-0.2374	23980	23797
4294967880	496	514	-0.3119	23969	23923
4294968012	491	514	0.2554	23955	23962
4294967783	494	499	-0.3095	23950	23946
822	483	514	-0.1988	23977	23873
8589935299	491	499	0.9569	23945	23978
592	483	491	-0.2371	23996	23857
4294968005	494	514	-0.4756	23960	23891
864	495	508	0.0008	23974	23847
692	496	499	-0.1454	23989	23683
685	476	496	-0.1526	23989	23892
4294967802	476	495	-0.0882	23964	23915
4294968144	483	494	-0.2085	23970	23753
634	491	496	-0.1695	23993	23916
8589935376	508	4294967903	0.9960	23613	23998
4294967907	476	514	-0.2291	23969	23935
830	476	483	0.2913	23976	23968
4294967871	476	491	-0.1905	23893	23494
603	476	494	-0.1411	23995	23847
4294968096	483	496	-0.0718	23962	23262
4294967927	494	495	-0.1956	23907	23942
573	483	508	-0.2480	23997	23992
896	483	495	0.9704	23965	23985
4294968177	495	514	-0.2625	23949	23796
606	491	508	0.0035	23995	23772
676	495	496	0.0763	23990	23820
8589935335	476	4294967903	-0.2584	23683	23988
8589935458	496	4294967903	-0.3546	23699	23928
8589935218	494	4294967903	-0.2906	23698	23922
4294968093	491	4294967903	-0.3380	23697	23955
4294968189	483	4294967903	-0.0587	23672	23921
4294967846	499	4294967903	-0.3479	23692	23988
12884902663	514	4294967903	-0.4727	23691	23975
12884902626	495	4294967903	-0.4259	23685	23956
17179869781	4294967903	12884902713	-0.0772	23318	23873
8589935357	496	12884902713	-0.0717	23334	23901
12884902561	476	12884902713	0.9743	23320	23987
12884902390	514	12884902713	-0.2102	23324	23822
17179869682	508	17179870002	-0.0730	23549	23798
17179869812	494	17179870002	-0.4060	23543	23996
17179869832	4294967903	17179870002	-0.2253	23541	23839
8589935428	491	12884902713	-0.2980	23327	23927
17179869779	496	17179870002	0.5912	23539	23975
21474836959	476	17179870002	-0.2383	23538	23858
12884902502	514	17179870002	0.4618	23535	23938
17179870034	483	17179870002	-0.1356	23534	23965
21474837113	499	17179870002	-0.1279	23523	23950
12884902758	491	17179870002	0.0501	23515	23924
17179869672	4294967903	12884902399	0.1576	23399	23908
8589935481	494	12884902713	-0.1651	23331	23960
12884902726	495	17179870002	-0.2492	23489	23812
21474836990	499	12884902399	0.0011	23393	23900
12884902537	491	12884902399	-0.2860	23392	23966
17179869942	483	12884902399	-0.0675	23391	23977
12884902764	494	12884902399	-0.4162	23390	23979
17179869995	508	12884902399	-0.2294	23389	23886
8589935316	495	12884902399	-0.3041	23381	23725
12884902392	514	12884902399	-0.4964	23371	23983
12884902693	12884902399	17179870002	-0.2105	23367	23893
8589935234	496	12884902399	-0.1897	23356	23939
12884902722	508	12884902713	-0.0091	23347	23995
12884902742	12884902399	12884902713	-0.4882	23346	23974
8589935077	483	12884902713	-0.2498	23346	23758
12884902372	499	12884902713	-0.0514	23344	23994
17179869969	476	12884902399	-0.2439	23343	23982
25769804477	476	30064771552	-0.2986	22993	23722
30064771913	12884902713	30064771552	-0.2925	22992	23908
17179869713	17179870002	30064771552	0.4891	22989	23997
25769804283	495	30064771552	-0.3332	22985	23738
38654706157	508	30064771552	-0.0101	22981	23883
38654706367	496	30064771552	-0.3389	22975	23967
12884902442	514	30064771552	-0.3343	22970	23916
17179869871	494	30064771552	-0.1444	22968	23996
21474837182	491	30064771552	-0.3418	22960	23996
12884902593	12884902399	30064771552	-0.1339	22959	23850
25769804589	496	21474837354	-0.5612	22746	23999
21474837248	12884902399	21474837354	-0.4461	22747	23787
17179869746	499	21474837354	-0.4496	22743	23940
25769804636	491	21474837354	-0.3894	22742	23974
12884902759	495	21474837354	-0.3203	22741	23999
12884902424	494	21474837354	0.0700	22740	23574
21474837109	514	21474837354	-0.2262	22739	23815
12884902650	4294967903	21474837354	-0.1682	22739	23919
21474837119	21474837354	30064771552	-0.0291	22732	23912
30064771695	17179870002	21474837354	-0.1117	22723	23973
21474836961	12884902713	21474837354	-0.2661	22718	23911
21474837364	483	21474837354	-0.2884	22709	23933
17179869754	476	21474837354	-0.3216	22703	23904
17179870084	508	21474837354	0.8296	22700	23976
12884902602	12884902507	30064771552	-0.1861	22549	23851
21474837311	495	12884902507	-0.1926	22542	23722
17179870036	12884902507	12884902713	0.2253	22541	23976
38654706245	483	12884902507	-0.3536	22541	23999
17179870075	491	12884902507	-0.2401	22540	23932
30064771654	4294967903	12884902507	-0.1592	22538	23627
17179869693	12884902399	12884902507	-0.1739	22537	23967
17179869715	12884902507	21474837354	-0.2612	22531	23938
42949673736	476	12884902507	-0.3778	22528	23892
30064771549	496	12884902507	-0.2480	22525	23856
21474837270	508	12884902507	0.7510	22520	23993
34359739026	514	12884902507	-0.0715	22520	23982
34359739182	499	12884902507	0.0446	22503	23948
8589935355	496	12884902504	-0.5142	22492	23880
12884902486	12884902504	21474837354	-0.2038	22492	23740
12884902482	12884902399	12884902504	-0.3954	22491	23925
25769804579	12884902504	17179870002	-0.2125	22490	23743
34359739253	476	12884902504	-0.1542	22489	23982
38654706412	494	12884902507	-0.0810	22488	23777
34359738880	483	12884902504	-0.0009	22488	23948
21474836970	4294967903	12884902504	-0.1846	22488	23901
8589935169	12884902507	17179870002	-0.2583	22487	23949
12884902770	495	12884902504	-0.1323	22485	23322
25769804509	494	12884902504	0.9861	22485	23993
