# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	24499.6465	0.3186	26001	0.4000	1,1,3	0.5000	23
476	18912.3555	-0.2036	26001	0.4000	0,3,0	0.5000	12
514	21337.7344	0.1128	26001	0.4000	3,0,3	0.5000	51
30064771552	13779.5850	0.4931	25000	0.4000	0,1,2	0.5000	6
499	21121.5234	-0.2590	26001	0.4000	3,2,3	0.5000	59
495	19477.1250	0.2890	26001	0.4000	2,0,3	0.5000	35
508	24079.9453	0.0634	26001	0.4000	2,3,1	0.5000	45
496	23426.6719	0.1903	26001	0.4000	0,3,2	0.5000	14
483	5001.7451	0.2697	26001	0.4000	1,3,0	0.5000	28
491	18826.9961	-0.2138	26001	0.4000	3,2,3	0.5000	59
4294967903	12296.4648	0.2799	25700	0.4000	3,2,0	0.5000	56
17179870002	25910.4316	0.4585	25550	0.4000	3,1,3	0.5000	55
12884902399	15437.0273	0.2389	25400	0.4000	2,2,0	0.5000	40
12884902713	8905.2373	-0.0671	25350	0.4000	1,3,2	0.5000	30
21474837354	12994.2549	0.1311	24750	0.4000	0,2,0	0.5000	8
12884902507	16919.0996	0.4037	24550	0.4000	1,1,2	0.5000	22
12884902504	14729.8467	0.0421	24500	0.4000	3,0,2	0.5000	50
4294967932	14130.8574	-0.2965	24400	0.4000	3,2,2	0.5000	58
21474837216	11654.3555	-0.0335	24200	0.4000	1,1,2	0.5000	22
12884902766	11703.9219	0.1444	24150	0.4000	3,3,2	0.5000	62
21474837088	22212.3438	0.1256	23650	0.4000	2,1,0	0.5000	36
17179870052	16275.1475	0.1432	23700	0.4000	2,0,0	0.5000	32
21474837174	11901.8877	0.2146	23600	0.4000	1,0,2	0.5000	18
25769804444	16096.7822	-0.0602	23200	0.4000	1,3,3	0.5000	31
4294968070	12542.4160	-0.1506	22900	0.4000	2,0,3	0.5000	35
42949674303	11453.2871	0.3536	17000	0.4000	0,2,0	0.5000	8
8589935309	22534.9297	0.2042	22700	0.4000	3,1,3	0.5000	55
12884902902	13357.3281	-0.1615	21300	0.4000	0,2,1	0.5000	9
12884902607	4712.3613	0.3380	22550	0.4000	2,2,0	0.5000	40
17179869721	18272.1016	0.0128	22500	0.4000	3,2,1	0.5000	57
4294968312	10815.5537	0.2723	21550	0.4000	2,0,2	0.5000	34
64424510146	10843.7949	-0.2813	21200	0.4000	2,2,0	0.5000	40
81604379530	10721.2734	-0.0703	19500	0.4000	3,0,2	0.5000	50
4294968367	6516.7969	0.2839	20550	0.4000	2,2,2	0.5000	42
4294968584	7444.0488	-0.2693	18700	0.4000	1,0,1	0.5000	17
4294968476	10474.7051	0.1296	19600	0.4000	1,2,2	0.5000	26
30064772106	14332.3730	-0.2028	19400	0.4000	1,3,3	0.5000	31
25769804934	16937.3984	-0.1979	19100	0.4000	1,2,3	0.5000	27
8589935803	7298.1895	-0.1062	19050	0.4000	2,0,1	0.5000	33
4294968615	6164.6782	0.2357	18650	0.4000	0,2,1	0.5000	9
21474837739	3757.0522	0.2663	17700	0.4000	3,3,1	0.5000	61
38654706957	6688.5664	-0.0379	17100	0.4000	1,2,1	0.5000	25
8589936044	3456.9744	0.2885	15950	0.4000	2,0,1	0.5000	33
8589936087	13650.8906	0.2508	15500	0.4000	3,1,3	0.5000	55
77309412207	8175.6606	0.3175	15350	0.4000	3,0,1	0.5000	49
4294969156	4004.7847	0.2845	14250	0.4000	0,3,2	0.5000	14
55834576380	12064.2812	-0.0234	15000	0.4000	2,1,1	0.5000	37
8589936284	3934.8604	-0.2131	14650	0.4000	3,2,2	0.5000	58
38654707227	2341.0212	0.3929	14600	0.4000	1,1,0	0.5000	20
30064773391	2968.0796	-0.1874	7950	0.4000	0,2,1	0.5000	9
42949674679	5823.0254	-0.2262	13350	0.4000	2,0,2	0.5000	34
38654707579	4410.3677	-0.0930	12600	0.4000	1,2,0	0.5000	24
4294969322	4513.3291	0.3638	11700	0.4000	2,2,0	0.5000	40
64424511839	937.4077	0.2117	1600	0.4000	3,1,1	0.5000	53
47244642476	4896.6533	0.1897	8500	0.4000	1,2,0	0.5000	24
17179871308	3052.8960	0.4107	7600	0.4000	2,2,1	0.5000	41
111669151833	600.0472	0.4461	3500	0.4000	3,1,2	0.5000	54
154618824315	1857.9424	0.3048	2550	0.4000	1,3,0	0.5000	28
55834577223	196.2467	-0.2387	1050	0.4000	1,0,1	0.5000	17
8589937050	70.6681	0.4652	400	0.4000	1,2,2	0.5000	26
2586	49.7586	0.2880	150	0.4000	1,2,0	0.5000	24
12884904334	83.1638	0.0912	100	0.4000	0,1,0	0.5000	4
4294969787	37.1161	-0.1991	50	0.4000	0,0,0	0.5000	0

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	0.0402	25954	25975
4294967797	499	508	0.4294	25915	25911
12884902548	476	508	0.0106	25902	25796
8589935369	494	496	-0.4586	25905	25986
21474837127	499	30064771552	-0.0779	24995	25899
4294967885	499	4294968146	-0.0000	25834	166
770	491	494	-0.2000	25982	25813
21474836969	483	30064771552	-0.2562	24998	25771
612	494	508	-0.2197	25995	25854
8589935438	12884902713	17179870002	-0.0923	25308	25890
12884902380	491	12884902701	-0.0000	25141	859
526	496	508	-0.2486	26000	25959
837	476	499	-0.0796	25976	25968
8589935487	499	514	-0.1921	25928	25768
25769804577	4294967903	30064771552	-0.1422	24998	25947
690	491	495	-0.3173	25989	25986
4294968053	483	499	-0.2736	25929	25900
21474837043	495	12884902713	-0.3071	25152	25901
798	508	514	0.9088	25980	25979
4294967880	496	514	-0.3176	25969	25896
4294968012	491	514	0.4663	25955	25977
4294967783	494	499	-0.1904	25950	25936
822	483	514	0.2071	25977	25939
8589935299	491	499	0.9417	25945	25970
592	483	491	-0.2477	25996	25990
4294968005	494	514	-0.3363	25960	25933
864	495	508	-0.2787	25974	25933
692	496	499	-0.1243	25989	25985
685	476	496	-0.2951	25989	25989
4294967802	476	495	-0.3553	25964	25914
4294968144	483	494	-0.2564	25970	25944
634	491	496	-0.2184	25993	25983
8589935376	508	4294967903	0.8619	25613	25994
4294967907	476	514	-0.2184	25969	25856
830	476	483	-0.2108	25976	25897
4294967871	476	491	-0.0322	25893	25961
603	476	494	-0.0856	25995	25978
4294968096	483	496	-0.2594	25962	25967
4294967927	494	495	-0.1715	25907	25583
573	483	508	-0.2331	25997	25862
896	483	495	-0.2379	25965	25990
4294968177	495	514	-0.2117	25949	25793
606	491	508	-0.1701	25995	25874
676	495	496	-0.0560	25990	25923
8589935335	476	4294967903	-0.3239	25683	25908
8589935458	496	4294967903	-0.0936	25699	25872
8589935218	494	4294967903	-0.2855	25698	25918
4294968093	491	4294967903	0.1710	25697	25916
4294968189	483	4294967903	-0.3474	25672	25962
4294967846	499	4294967903	-0.1551	25692	25987
12884902663	514	4294967903	-0.1987	25691	25902
12884902626	495	4294967903	-0.4700	25685	25835
17179869781	4294967903	12884902713	-0.1922	25318	25993
8589935357	496	12884902713	-0.1236	25334	25645
12884902561	476	12884902713	-0.2108	25320	25902
12884902390	514	12884902713	-0.2377	25324	25637
17179869682	508	17179870002	-0.1255	25549	25853
17179869812	494	17179870002	-0.1132	25543	25242
17179869832	4294967903	17179870002	-0.2956	25541	25867
8589935428	491	12884902713	-0.2581	25327	25859
17179869779	496	17179870002	-0.2104	25539	25998
21474836959	476	17179870002	-0.2311	25538	25832
12884902502	514	17179870002	0.1207	25535	25927
17179870034	483	17179870002	-0.3078	25534	25828
21474837113	499	17179870002	-0.2814	25523	25924
12884902758	491	17179870002	-0.0848	25515	25942
17179869672	4294967903	12884902399	0.7294	25399	25988
8589935481	494	12884902713	0.0612	25331	25584
12884902726	495	17179870002	-0.3251	25489	25952
21474836990	499	12884902399	0.3244	25393	25912
12884902537	491	12884902399	-0.3090	25392	25885
17179869942	483	12884902399	-0.1185	25391	25780
12884902764	494	12884902399	-0.1887	25390	25865
17179869995	508	12884902399	-0.2968	25389	25757
8589935316	495	12884902399	-0.2104	25381	25873
12884902392	514	12884902399	-0.2910	25371	25920
12884902693	12884902399	17179870002	-0.3494	25367	25987
8589935234	496	12884902399	-0.3617	25356	25963
12884902722	508	12884902713	1.0000	25347	26000
12884902742	12884902399	12884902713	-0.3423	25346	25990
8589935077	483	12884902713	0.1043	25346	25961
12884902372	499	12884902713	0.1218	25344	25981
17179869969	476	12884902399	-0.4969	25343	25974
25769804477	476	30064771552	-0.3331	24993	25962
30064771913	12884902713	30064771552	-0.5339	24992	25999
17179869713	17179870002	30064771552	-0.0266	24989	25911
25769804283	495	30064771552	-0.2585	24985	25884
38654706157	508	30064771552	-0.0241	24981	25670
38654706367	496	30064771552	-0.1073	24975	25951
12884902442	514	30064771552	-0.3477	24970	25768
17179869871	494	30064771552	0.2704	24968	25946
21474837182	491	30064771552	-0.4085	24960	25936
12884902593	12884902399	30064771552	-0.2748	24959	25906
25769804589	496	21474837354	0.2459	24746	25973
21474837248	12884902399	21474837354	-0.3843	24747	25916
17179869746	499	21474837354	-0.2402	24743	25798
25769804636	491	21474837354	-0.3277	24742	25978
12884902759	495	21474837354	-0.0243	24741	25825
12884902424	494	21474837354	-0.2519	24740	25672
21474837109	514	21474837354	-0.2288	24739	25862
12884902650	4294967903	21474837354	-0.0899	24739	25952
21474837119	21474837354	30064771552	0.8910	24732	25995
30064771695	17179870002	21474837354	-0.1663	24723	25356
21474836961	12884902713	21474837354	-0.2898	24718	25681
21474837364	483	21474837354	-0.1853	24709	25982
