# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
494	24953.6465	0.3186	28001	0.4000	1,1,3	0.5000	23
476	19405.3555	-0.2036	28001	0.4000	0,3,0	0.5000	12
514	22770.7344	0.1128	28001	0.4000	3,0,3	0.5000	51
30064771552	13012.5850	0.4931	27000	0.4000	0,1,2	0.5000	6
499	21714.5234	-0.2590	28001	0.4000	3,2,3	0.5000	59
495	20074.1250	0.2890	28001	0.4000	2,0,3	0.5000	35
508	25636.9453	0.0634	28001	0.4000	2,3,1	0.5000	45
496	23694.6719	0.1903	28001	0.4000	0,3,2	0.5000	14
483	5795.7451	0.2697	28001	0.4000	1,3,0	0.5000	28
491	19637.9961	-0.2138	28001	0.4000	3,2,3	0.5000	59
4294967903	13979.4648	0.2799	27700	0.4000	3,2,0	0.5000	56
17179870002	25544.4316	0.4585	27550	0.4000	3,1,3	0.5000	55
12884902399	15666.0273	0.2389	27400	0.4000	2,2,0	0.5000	40
12884902713	8950.2373	-0.0671	27350	0.4000	1,3,2	0.5000	30
21474837354	15088.2549	0.1311	26750	0.4000	0,2,0	0.5000	8
12884902507	15928.0996	0.4037	26550	0.4000	1,1,2	0.5000	22
12884902504	15790.8467	0.0421	26500	0.4000	3,0,2	0.5000	50
4294967932	14854.8574	-0.2965	26400	0.4000	3,2,2	0.5000	58
21474837216	12558.3555	-0.0335	26200	0.4000	1,1,2	0.5000	22
12884902766	11754.9219	0.1444	26150	0.4000	3,3,2	0.5000	62
21474837088	22263.3438	0.1256	25650	0.4000	2,1,0	0.5000	36
17179870052	16552.1484	0.1432	25700	0.4000	2,0,0	0.5000	32
21474837174	12321.8877	0.2146	25600	0.4000	1,0,2	0.5000	18
25769804444	17319.7812	-0.0602	25200	0.4000	1,3,3	0.5000	31
4294968070	12401.4160	-0.1506	24900	0.4000	2,0,3	0.5000	35
42949674303	12665.2871	0.3536	19000	0.4000	0,2,0	0.5000	8
8589935309	22658.9297	0.2042	24700	0.4000	3,1,3	0.5000	55
12884902902	14208.3281	-0.1615	23300	0.4000	0,2,1	0.5000	9
12884902607	4701.3613	0.3380	24550	0.4000	2,2,0	0.5000	40
17179869721	18848.1016	0.0128	24500	0.4000	3,2,1	0.5000	57
4294968312	9849.5537	0.2723	23550	0.4000	2,0,2	0.5000	34
64424510146	12425.7949	-0.2813	23200	0.4000	2,2,0	0.5000	40
81604379530	12274.2734	-0.0703	21500	0.4000	3,0,2	0.5000	50
4294968367	5842.7969	0.2839	22550	0.4000	2,2,2	0.5000	42
4294968584	7250.0488	-0.2693	20700	0.4000	1,0,1	0.5000	17
4294968476	11215.7051	0.1296	21600	0.4000	1,2,2	0.5000	26
30064772106	14055.3730	-0.2028	21400	0.4000	1,3,3	0.5000	31
25769804934	16891.3984	-0.1979	21100	0.4000	1,2,3	0.5000	27
8589935803	6991.1895	-0.1062	21050	0.4000	2,0,1	0.5000	33
4294968615	7261.6782	0.2357	20650	0.4000	0,2,1	0.5000	9
21474837739	5537.0522	0.2663	19700	0.4000	3,3,1	0.5000	61
38654706957	6576.5664	-0.0379	19100	0.4000	1,2,1	0.5000	25
8589936044	4031.9746	0.2885	17950	0.4000	2,0,1	0.5000	33
8589936087	14060.8906	0.2508	17500	0.4000	3,1,3	0.5000	55
77309412207	8031.6602	0.3175	17350	0.4000	3,0,1	0.5000	49
4294969156	4540.7847	0.2845	16250	0.4000	0,3,2	0.5000	14
55834576380	13543.2812	-0.0234	17000	0.4000	2,1,1	0.5000	37
8589936284	6402.8604	-0.2131	16650	0.4000	3,2,2	0.5000	58
38654707227	2188.0212	0.3929	16600	0.4000	1,1,0	0.5000	20
30064773391	2058.0796	-0.1874	9950	0.4000	0,2,1	0.5000	9
42949674679	5993.0254	-0.2262	15350	0.4000	2,0,2	0.5000	34
38654707579	4043.3677	-0.0930	14600	0.4000	1,2,0	0.5000	24
4294969322	4591.3291	0.3638	13700	0.4000	2,2,0	0.5000	40
64424511839	1991.4077	0.2117	3600	0.4000	3,1,1	0.5000	53
47244642476	4561.6533	0.1897	10500	0.4000	1,2,0	0.5000	24
17179871308	5174.8960	0.4107	9600	0.4000	2,2,1	0.5000	41
111669151833	739.0472	0.4461	5500	0.4000	3,1,2	0.5000	54
154618824315	1920.9424	0.3048	4550	0.4000	1,3,0	0.5000	28
55834577223	461.2467	-0.2387	3050	0.4000	1,0,1	0.5000	17
8589937050	726.6681	0.4652	2400	0.4000	1,2,2	0.5000	26
38654708241	149.2095	0.1080	650	0.4000	1,2,2	0.5000	26
12884904403	276.8034	0.0028	1500	0.4000	1,1,3	0.5000	23
12884904566	12.6501	0.2430	50	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967861	495	499	0.7880	27954	27971
4294967797	499	508	-0.0221	27915	27979
12884902548	476	508	-0.0910	27902	27761
8589935369	494	496	-0.4252	27905	27976
21474837127	499	30064771552	-0.3013	26995	27905
4294967885	499	4294968146	-0.0000	27834	166
770	491	494	-0.4034	27982	27870
21474836969	483	30064771552	-0.3571	26998	27950
612	494	508	0.3164	27995	27932
8589935438	12884902713	17179870002	-0.4738	27308	27993
12884902380	491	12884902701	-0.0000	27141	859
526	496	508	-0.4909	28000	27977
837	476	499	-0.3150	27976	27966
8589935487	499	514	-0.2186	27928	27959
25769804577	4294967903	30064771552	0.1696	26998	27900
690	491	495	-0.1773	27989	27911
4294968053	483	499	-0.3842	27929	27863
21474837043	495	12884902713	-0.4220	27152	27954
798	508	514	0.4098	27980	27892
4294967880	496	514	-0.0242	27969	27826
4294968012	491	514	-0.0214	27955	27987
4294967783	494	499	-0.4165	27950	27969
822	483	514	-0.0846	27977	27862
8589935299	491	499	0.1924	27945	27922
592	483	491	-0.1675	27996	27831
4294968005	494	514	-0.4200	27960	27938
864	495	508	-0.0627	27974	27454
692	496	499	-0.0622	27989	27986
685	476	496	-0.4425	27989	27928
4294967802	476	495	-0.1580	27964	27739
4294968144	483	494	0.4340	27970	27979
634	491	496	-0.2084	27993	27791
8589935376	508	4294967903	0.1505	27613	27996
4294967907	476	514	-0.3569	27969	27962
830	476	483	-0.0533	27976	27960
4294967871	476	491	0.2520	27893	27888
603	476	494	-0.3574	27995	27893
4294968096	483	496	-0.2445	27962	27870
4294967927	494	495	-0.4257	27907	27965
573	483	508	0.1923	27997	27991
896	483	495	-0.2475	27965	27866
4294968177	495	514	-0.6826	27949	27963
606	491	508	-0.1099	27995	27682
676	495	496	0.0107	27990	27865
8589935335	476	4294967903	-0.2122	27683	27855
8589935458	496	4294967903	-0.2403	27699	27858
8589935218	494	4294967903	-0.3738	27698	27851
4294968093	491	4294967903	-0.3208	27697	27995
4294968189	483	4294967903	-0.0153	27672	27505
4294967846	499	4294967903	-0.2344	27692	27852
12884902663	514	4294967903	0.1035	27691	27917
12884902626	495	4294967903	-0.4094	27685	27918
17179869781	4294967903	12884902713	-0.1476	27318	27965
8589935357	496	12884902713	-0.4089	27334	27991
12884902561	476	12884902713	-0.0621	27320	27963
12884902390	514	12884902713	-0.1676	27324	27947
17179869682	508	17179870002	-0.3133	27549	27994
17179869812	494	17179870002	-0.2339	27543	27559
17179869832	4294967903	17179870002	-0.2928	27541	27775
8589935428	491	12884902713	-0.2395	27327	27935
17179869779	496	17179870002	-0.0168	27539	27942
21474836959	476	17179870002	-0.2694	27538	27754
12884902502	514	17179870002	-0.1847	27535	27888
17179870034	483	17179870002	-0.0555	27534	27928
21474837113	499	17179870002	-0.1295	27523	27792
12884902758	491	17179870002	-0.0933	27515	27713
17179869672	4294967903	12884902399	0.1077	27399	27922
8589935481	494	12884902713	-0.5873	27331	27964
12884902726	495	17179870002	-0.2546	27489	27964
21474836990	499	12884902399	-0.2749	27393	27941
12884902537	491	12884902399	-0.1719	27392	27923
17179869942	483	12884902399	-0.3331	27391	27983
12884902764	494	12884902399	-0.1786	27390	27828
17179869995	508	12884902399	-0.2784	27389	27956
8589935316	495	12884902399	-0.3526	27381	27909
12884902392	514	12884902399	0.1116	27371	27985
12884902693	12884902399	17179870002	-0.1876	27367	27879
8589935234	496	12884902399	-0.4384	27356	27996
12884902722	508	12884902713	0.9802	27347	27990
12884902742	12884902399	12884902713	-0.4839	27346	27874
8589935077	483	12884902713	0.9032	27346	27985
12884902372	499	12884902713	-0.2149	27344	27715
17179869969	476	12884902399	-0.3095	27343	27940
25769804477	476	30064771552	-0.2107	26993	27755
30064771913	12884902713	30064771552	-0.1461	26992	27876
17179869713	17179870002	30064771552	-0.2510	26989	27857
25769804283	495	30064771552	-0.2003	26985	27933
38654706157	508	30064771552	0.5740	26981	27999
38654706367	496	30064771552	-0.2272	26975	27926
12884902442	514	30064771552	-0.0570	26970	27810
17179869871	494	30064771552	-0.0840	26968	27999
21474837182	491	30064771552	-0.2423	26960	27977
12884902593	12884902399	30064771552	0.2156	26959	27909
25769804589	496	21474837354	-0.2081	26746	27885
21474837248	12884902399	21474837354	-0.0428	26747	28000
17179869746	499	21474837354	-0.2734	26743	27857
25769804636	491	21474837354	-0.1931	26742	27978
12884902759	495	21474837354	-0.2709	26741	27888
12884902424	494	21474837354	-0.2727	26740	27849
21474837109	514	21474837354	0.0362	26739	27965
12884902650	4294967903	21474837354	0.8485	26739	27948
21474837119	21474837354	30064771552	0.9157	26732	27956
30064771695	17179870002	21474837354	-0.0701	26723	27952
21474836961	12884902713	21474837354	-0.1572	26718	27613
21474837364	483	21474837354	0.9512	26709	27975
