# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	1564.5513	0.0947	2001	0.4000	3,0,0	0.5000	48
476	1571.1144	-0.0761	2001	0.4000	1,2,1	0.5000	25
477	2664.7268	0.1402	2001	0.4000	3,0,1	0.5000	49
8589935337	3375.3767	0.2978	1950	0.4000	1,2,0	0.5000	24
479	4322.2510	0.2431	2001	0.4000	0,1,1	0.5000	5
506	3522.3679	-0.1478	2001	0.4000	3,3,3	0.5000	63
503	2425.6855	0.0661	2001	0.4000	3,3,1	0.5000	61
493	3576.5493	0.4461	2001	0.4000	3,3,1	0.5000	61
491	2095.9893	-0.2802	2001	0.4000	0,0,3	0.5000	3
484	1924.7943	-0.2044	2001	0.4000	3,2,2	0.5000	58
504	3896.1917	0.4670	2001	0.4000	0,3,3	0.5000	15
25769804288	2778.0161	-0.1127	1550	0.4000	2,2,0	0.5000	40
487	4671.1865	-0.1707	2001	0.4000	0,0,2	0.5000	2
488	2051.6658	0.2705	2001	0.4000	1,0,2	0.5000	18
489	2714.3945	0.1382	2001	0.4000	2,2,1	0.5000	41
510	5237.2715	0.1302	2001	0.4000	2,2,3	0.5000	43
8589935505	2491.2275	0.3973	1850	0.4000	0,2,3	0.5000	11
12884902408	1555.4893	0.2264	1800	0.4000	0,2,3	0.5000	11
34359738867	143.5802	0.1694	650	0.4000	1,2,1	0.5000	25
12884902586	621.5712	0.1304	450	0.4000	1,1,1	0.5000	21
21474837160	76.1243	0.1689	100	0.4000	3,1,2	0.5000	54

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0036	1665	335
4294968208	477	487	-0.6598	1881	1925
4294967830	488	510	-0.6646	1918	1878
4294967978	477	504	0.9763	1864	1988
771	491	493	0.9881	1981	1994
4294968022	476	488	-0.8554	1964	1922
4294967774	488	493	-0.6203	1905	1965
8589935270	484	496	-0.0022	1915	85
4294967836	475	491	-0.7199	1918	1985
4294968223	489	493	-0.3066	1884	1933
635	487	510	-0.2776	1992	1829
4294967809	503	506	-0.6612	1886	1956
12884902771	489	25769804288	0.9685	1524	1984
4294968177	491	506	1.0000	1948	2000
8589935260	493	8589935337	-0.5495	1908	1971
12884902797	491	17179869710	-0.0047	1524	476
531	475	488	0.8662	1999	1992
532	475	476	-0.5832	1999	1949
8589935432	503	8589935337	0.9802	1931	1990
4294967922	487	493	0.0505	1875	2000
8589935327	479	25769804288	-0.3055	1547	1998
666	484	489	-0.5214	1989	1916
4294967835	489	504	-0.6847	1955	1992
8589935404	491	503	-0.6422	1915	1986
8589935241	477	506	-0.6174	1930	1988
17179869939	475	25769804288	0.9980	1527	1999
4294967939	476	504	-0.4390	1869	1872
4294967832	489	506	0.7386	1955	1966
12884902658	510	25769804288	-0.3107	1529	1957
8589935240	475	504	-0.4540	1919	1689
8589935101	479	505	-0.0023	1893	107
4294967968	506	510	-0.4473	1938	1997
724	476	489	-0.5504	1985	1884
548	477	488	1.0000	1998	2000
8589935451	488	491	-0.4230	1920	1906
4294967957	479	506	-0.0792	1956	1968
4294968158	477	479	-0.4072	1960	1991
552	479	488	-0.7459	1998	1978
553	477	489	-0.3847	1998	1942
4294967786	479	491	-0.0596	1945	1996
725	493	503	-0.6258	1985	1979
8589935342	477	484	-0.6075	1950	1967
8589935193	477	493	-0.7119	1931	1951
4294967933	479	503	-0.4148	1920	1744
559	479	493	0.8866	1997	1987
874	487	504	0.3332	1972	1986
823	475	484	-0.1373	1976	1966
641	477	510	-0.4342	1991	1916
8589935392	493	12884902408	-0.2269	1788	1990
8589935245	479	504	-0.3198	1921	1756
8589935155	488	25769804288	-0.8466	1531	1983
709	487	488	0.9763	1986	1988
692	484	488	-0.2387	1987	1836
4294968164	484	487	0.9763	1933	1988
778	484	503	-0.4630	1980	1770
8589935442	504	8589935337	-0.4007	1896	1771
4294968195	504	510	-0.4765	1950	1895
738	476	503	-0.6392	1984	1962
4294968130	504	506	-0.4918	1896	1890
904	488	489	-0.3281	1968	1948
855	475	503	-0.7546	1974	2000
879	477	503	-0.4022	1971	1731
21474837173	506	25769804288	-0.5758	1549	1827
4294967990	477	491	-0.5839	1957	1769
4294968035	510	8589935337	-0.5775	1909	1966
4294968176	479	8589935337	0.6160	1897	1959
708	484	491	-0.8247	1986	1929
12884902652	477	8589935337	-0.2939	1942	1998
898	503	504	0.9960	1969	1998
4294967872	510	12884902408	0.6281	1788	1998
743	484	493	-0.4463	1983	1871
8589935169	475	506	-0.5989	1921	1956
587	475	477	-0.5702	1995	1944
916	491	510	-0.5615	1966	1928
4294968032	493	510	0.8908	1942	1996
915	487	503	-0.2959	1966	1839
849	489	491	-0.4597	1974	1975
4294967777	491	8589935337	-0.5932	1917	1917
902	476	477	-0.8836	1968	1999
4294967895	479	8589935505	0.8693	1788	1971
933	475	510	0.6509	1952	1995
4294968054	488	506	-0.5534	1938	1925
4294967820	504	12884902408	-0.3455	1748	1739
4294968085	475	479	-0.6746	1949	1844
4294967890	476	506	-0.4659	1941	1783
650	484	504	-0.5529	1990	1744
4294968123	493	506	-0.5009	1960	1991
893	479	484	-0.0181	1969	1983
816	475	487	-0.3765	1977	1900
4294968048	476	479	-0.2230	1924	1960
4294967904	489	503	-0.7339	1957	1988
8589935157	488	504	-0.0760	1940	1932
607	484	506	-0.5755	1994	1948
12884902564	484	8589935337	0.9980	1911	1999
825	479	489	-0.7073	1976	1827
4294967956	484	510	0.0804	1937	1966
878	476	487	-0.3415	1971	1969
4294967930	479	487	1.0000	1948	2000
776	476	484	-0.3925	1980	1879
4294968069	475	8589935337	-0.5011	1924	1928
4294967807	506	8589935337	-0.7884	1912	1987
804	476	491	-0.8428	1978	1992
4294968030	476	510	0.9861	1899	1993
4294967865	491	12884902408	-0.1404	1783	1991
4294967778	487	506	0.0795	1899	1942
8589935097	475	12884902408	-0.5965	1772	1880
4294967869	487	8589935337	-0.3892	1940	1900
730	489	510	0.8821	1985	2000
928	487	489	-0.2294	1953	1995
822	479	510	0.6185	1977	2000
8589935468	476	493	-0.3209	1947	1947
8589935353	476	8589935337	1.0000	1941	2000
932	503	510	-0.3500	1953	1897
4294968201	488	8589935337	-0.5470	1938	1949
4294968187	475	489	-0.2892	1965	1974
657	491	504	-0.7423	1990	1924
780	487	491	-0.2780	1980	1609
4294967967	489	8589935337	-0.5580	1949	1982
8589935413	491	8589935505	-0.6830	1778	1937
4294967826	475	493	-0.6819	1955	1923
8589935093	493	504	-0.4469	1860	1831
8589935251	488	503	-0.3690	1857	1827
4294967975	506	12884902408	-0.6374	1782	1859
8589935075	493	8589935505	-0.3874	1849	1911
12884902682	510	8589935505	-0.5549	1847	1875
8589935094	503	8589935505	-0.5225	1846	1998
8589935436	489	8589935505	-0.4805	1846	1962
8589935239	487	8589935505	0.9980	1844	1999
12884902583	475	8589935505	-0.3450	1843	1966
8589935090	506	8589935505	-0.4455	1842	1979
8589935369	488	8589935505	-0.5918	1840	1974
12884902417	8589935337	8589935505	-0.5262	1838	1960
8589935281	477	8589935505	0.9802	1823	1990
8589935276	476	8589935505	-0.3837	1807	1993
12884902751	504	8589935505	-0.5142	1807	1971
4294967896	484	8589935505	-0.1586	1799	1972
4294968095	487	12884902408	0.9436	1799	1971
4294968050	8589935337	12884902408	0.4299	1797	1995
8589935120	479	12884902408	-0.7841	1797	1952
4294967973	8589935505	12884902408	-0.7058	1796	1988
4294967858	488	12884902408	-0.2924	1795	1998
4294967960	477	12884902408	-0.4446	1794	1880
4294968088	476	12884902408	-0.5261	1792	1825
4294968000	489	12884902408	-0.3715	1791	1986
12884902520	484	12884902408	1.0000	1790	2000
8589935445	503	12884902408	-0.5258	1789	1984
8589935336	476	25769804288	0.9900	1540	1995
12884902413	491	25769804288	-0.6391	1548	1876
8589935452	503	25769804288	0.8635	1546	1986
12884902775	8589935337	25769804288	-0.2060	1547	1817
21474837006	504	25769804288	-0.3168	1518	1919
8589935440	12884902408	25769804288	-0.5082	1452	1999
17179870091	477	25769804288	-0.5953	1464	1845
21474836977	484	4294968056	-0.0068	1341	659
17179869670	484	25769804288	-0.6569	1491	1912
17179869900	493	25769804288	-0.5250	1478	1879
17179869788	8589935505	25769804288	-0.6172	1479	1965
4294968092	487	25769804288	-0.3855	1454	1883
12884902476	479	17179869871	-0.0079	1267	733
17179869979	510	47244640941	-0.0195	816	1184
34359739090	484	34359738867	-0.3777	647	1952
38654706242	510	34359738867	-0.4461	646	1924
47244641151	12884902408	34359738867	-0.6836	644	1978
25769804322	504	34359738867	-0.2817	641	1976
51539608384	503	34359738867	-0.4897	640	1878
34359739071	475	34359738867	0.8747	639	1998
47244640869	506	34359738867	0.4718	638	1993
38654706244	493	34359738867	-0.4533	633	1908
38654706371	8589935337	34359738867	-0.6135	632	1918
30064771712	477	34359738867	-0.4147	627	1929
60129542829	479	34359738867	-0.4950	624	1995
30064771772	25769804288	34359738867	-0.4125	623	1801
47244640943	489	34359738867	-0.8397	618	1985
34359739140	8589935505	34359738867	-0.7307	613	1996
51539608398	476	34359738867	-0.1082	613	1999
42949673531	491	34359738867	-0.2516	607	1949
30064771623	487	34359738867	-0.5601	602	1931
8589935478	12884902408	12884902586	-0.3793	427	1961
30064771587	488	34359738867	-0.7408	594	1993
8589935340	12884902586	34359738867	-0.0830	432	1969
8589935265	475	12884902586	-0.3306	433	1946
8589935462	488	12884902586	-0.4855	438	2000
8589935474	506	12884902586	-0.4456	440	1972
8589935216	8589935505	12884902586	-0.0966	442	1974
8589935448	487	12884902586	0.3369	443	1979
17179870002	489	12884902586	0.3797	446	1998
8589935380	493	12884902586	-0.4774	447	1945
17179869924	491	12884902586	-0.6382	448	1951
4294967852	510	12884902586	-0.3669	339	1918
25769804611	503	12884902586	0.9980	421	1999
42949673625	12884902586	25769804288	-0.4569	423	1949
21474837118	504	12884902586	1.0000	423	2000
8589935099	476	12884902586	-0.2444	424	1998
8589935313	484	12884902586	0.8849	425	1996
38654706238	477	12884902586	0.7701	426	1993
4294967889	479	12884902586	-0.4628	341	1986
8589935092	8589935337	12884902586	-0.3019	338	1930
12884902657	487	21474837160	0.1774	78	1985
17179869870	12884902586	21474837160	-0.4479	81	1960
12884902409	12884902408	21474837160	-0.2690	82	1984
17179869763	476	21474837160	-0.3549	83	1958
12884902469	21474837160	34359738867	0.1805	84	1961
17179869829	506	21474837160	0.1704	99	2000
42949673675	489	21474837160	0.0706	86	1997
55834575506	475	21474837160	-0.2773	86	1990
55834575749	21474837160	25769804288	0.0539	87	1958
17179869950	491	21474837160	-0.2645	89	1972
12884902742	503	21474837160	0.5005	90	1988
17179870015	510	21474837160	-0.4583	91	1995
12884902712	488	21474837160	0.0606	93	1992
42949673837	484	21474837160	0.0373	61	1977
64424510200	493	21474837160	0.1811	52	1961
17179869766	479	21474837160	-0.3785	51	1994
21474837226	8589935337	21474837160	-0.1893	34	1979
42949673826	504	21474837160	-0.0932	35	1965
38654706338	477	21474837160	0.1476	8	1992
