# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	4968.5513	0.0947	4001	0.4000	3,0,0	0.5000	48
476	3309.1143	-0.0761	4001	0.4000	1,2,1	0.5000	25
477	6197.7266	0.1402	4001	0.4000	3,0,1	0.5000	49
8589935337	7447.3770	0.2978	3950	0.4000	1,2,0	0.5000	24
479	7356.2510	0.2431	4001	0.4000	0,1,1	0.5000	5
506	7976.3682	-0.1478	4001	0.4000	3,3,3	0.5000	63
503	6225.6855	0.0661	4001	0.4000	3,3,1	0.5000	61
493	7482.5493	0.4461	4001	0.4000	3,3,1	0.5000	61
491	2865.9893	-0.2802	4001	0.4000	0,0,3	0.5000	3
484	5646.7944	-0.2044	4001	0.4000	3,2,2	0.5000	58
504	6033.1914	0.4670	4001	0.4000	0,3,3	0.5000	15
25769804288	5773.0161	-0.1127	3550	0.4000	2,2,0	0.5000	40
487	8772.1865	-0.1707	4001	0.4000	0,0,2	0.5000	2
488	3384.6658	0.2705	4001	0.4000	1,0,2	0.5000	18
489	6420.3945	0.1382	4001	0.4000	2,2,1	0.5000	41
510	9266.2715	0.1302	4001	0.4000	2,2,3	0.5000	43
8589935505	3901.2275	0.3973	3850	0.4000	0,2,3	0.5000	11
12884902408	4238.4893	0.2264	3800	0.4000	0,2,3	0.5000	11
34359738867	2562.5801	0.1694	2650	0.4000	1,2,1	0.5000	25
12884902586	5322.5713	0.1304	2450	0.4000	1,1,1	0.5000	21
21474837160	832.1243	0.1689	2100	0.4000	3,1,2	0.5000	54
30064771590	2230.0930	0.2966	2000	0.4000	0,0,3	0.5000	3
17179869925	2675.2954	0.2204	1550	0.4000	3,1,2	0.5000	54
25769804290	1454.0480	0.3340	1450	0.4000	1,1,2	0.5000	22
17179869706	1197.0786	-0.2957	950	0.4000	1,0,1	0.5000	17
21474837096	479.8476	-0.0103	850	0.4000	1,3,1	0.5000	29
21474837263	470.3687	0.0196	800	0.4000	0,2,0	0.5000	8
12884902396	547.1287	0.1703	750	0.4000	0,3,2	0.5000	14
17179870166	91.4646	0.2908	100	0.4000	1,0,2	0.5000	18
25769804342	87.0212	-0.0786	50	0.4000	0,1,3	0.5000	7

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0001	3665	335
4294968208	477	487	-0.4965	3881	3823
4294967830	488	510	-0.4029	3918	3902
4294967978	477	504	1.0000	3864	4000
771	491	493	0.9841	3981	3992
4294968022	476	488	-0.6185	3964	3993
4294967774	488	493	-0.6957	3905	3989
8589935270	484	496	-0.0000	3915	85
4294967836	475	491	-0.5621	3918	3964
4294968223	489	493	-0.4043	3884	3876
635	487	510	-0.3741	3992	3989
4294967809	503	506	-0.3408	3886	3616
12884902771	489	25769804288	0.9763	3524	3988
4294968177	491	506	0.8695	3948	3995
8589935260	493	8589935337	-0.5362	3908	3960
12884902797	491	17179869710	-0.0001	3524	476
531	475	488	-0.5781	3999	3984
532	475	476	-0.0186	3999	3969
8589935432	503	8589935337	-0.1391	3931	3997
4294967922	487	493	-0.3365	3875	3926
8589935327	479	25769804288	-0.3144	3547	3938
666	484	489	-0.4187	3989	3991
4294967835	489	504	-0.6141	3955	3954
8589935404	491	503	-0.4141	3915	3840
8589935241	477	506	-0.5780	3930	3918
17179869939	475	25769804288	0.9940	3527	3997
4294967939	476	504	-0.5907	3869	3909
4294967832	489	506	0.9881	3955	3994
12884902658	510	25769804288	-0.2032	3529	3949
8589935240	475	504	-0.0054	3919	3927
8589935101	479	505	-0.0000	3893	107
4294967968	506	510	-0.4127	3938	3950
724	476	489	-0.3455	3985	3834
548	477	488	0.9980	3998	3999
8589935451	488	491	-0.5582	3920	3998
4294967957	479	506	-0.4288	3956	3974
4294968158	477	479	-0.2500	3960	3836
552	479	488	-0.3510	3998	3907
553	477	489	-0.4138	3998	3955
4294967786	479	491	-0.6421	3945	3882
725	493	503	-0.8953	3985	3994
8589935342	477	484	-0.5192	3950	3941
8589935193	477	493	-0.4094	3931	3953
4294967933	479	503	-0.3735	3920	3922
559	479	493	0.8960	3997	4000
874	487	504	-0.5239	3972	3985
823	475	484	-0.3979	3976	3975
641	477	510	-0.0897	3991	3872
8589935392	493	12884902408	-0.4972	3788	3927
8589935245	479	504	-0.1965	3921	3792
8589935155	488	25769804288	-0.6001	3531	3955
709	487	488	0.7092	3986	3991
692	484	488	-0.3549	3987	3867
4294968164	484	487	0.7884	3933	3992
778	484	503	-0.4334	3980	3857
8589935442	504	8589935337	-0.4829	3896	3982
4294968195	504	510	-0.6631	3950	3964
738	476	503	-0.0765	3984	3846
4294968130	504	506	-0.5984	3896	3833
904	488	489	0.9861	3968	3993
855	475	503	-0.6321	3974	3960
879	477	503	-0.4803	3971	3873
