# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	8161.5513	0.0947	6001	0.4000	3,0,0	0.5000	48
476	4285.1143	-0.0761	6001	0.4000	1,2,1	0.5000	25
477	9270.7266	0.1402	6001	0.4000	3,0,1	0.5000	49
8589935337	9948.3770	0.2978	5950	0.4000	1,2,0	0.5000	24
479	9087.2510	0.2431	6001	0.4000	0,1,1	0.5000	5
506	11621.3682	-0.1478	6001	0.4000	3,3,3	0.5000	63
503	10296.6855	0.0661	6001	0.4000	3,3,1	0.5000	61
493	9600.5488	0.4461	6001	0.4000	3,3,1	0.5000	61
491	4106.9893	-0.2802	6001	0.4000	0,0,3	0.5000	3
484	7535.7944	-0.2044	6001	0.4000	3,2,2	0.5000	58
504	8781.1914	0.4670	6001	0.4000	0,3,3	0.5000	15
25769804288	7074.0161	-0.1127	5550	0.4000	2,2,0	0.5000	40
487	10928.1865	-0.1707	6001	0.4000	0,0,2	0.5000	2
488	2923.6658	0.2705	6001	0.4000	1,0,2	0.5000	18
489	9492.3945	0.1382	6001	0.4000	2,2,1	0.5000	41
510	13415.2715	0.1302	6001	0.4000	2,2,3	0.5000	43
8589935505	5530.2275	0.3973	5850	0.4000	0,2,3	0.5000	11
12884902408	7327.4893	0.2264	5800	0.4000	0,2,3	0.5000	11
34359738867	5899.5801	0.1694	4650	0.4000	1,2,1	0.5000	25
12884902586	7830.5713	0.1304	4450	0.4000	1,1,1	0.5000	21
21474837160	1087.1243	0.1689	4100	0.4000	3,1,2	0.5000	54
30064771590	4400.0928	0.2966	4000	0.4000	0,0,3	0.5000	3
17179869925	4914.2954	0.2204	3550	0.4000	3,1,2	0.5000	54
25769804290	3878.0479	0.3340	3450	0.4000	1,1,2	0.5000	22
17179869706	4004.0786	-0.2957	2950	0.4000	1,0,1	0.5000	17
21474837096	1942.8477	-0.0103	2850	0.4000	1,3,1	0.5000	29
21474837263	2212.3687	0.0196	2800	0.4000	0,2,0	0.5000	8
12884902396	2789.1287	0.1703	2750	0.4000	0,3,2	0.5000	14
42949673528	1582.4521	-0.2592	1100	0.4000	3,2,1	0.5000	57
30064772027	413.1760	0.4721	950	0.4000	1,0,2	0.5000	18
42949673923	859.3979	0.4141	800	0.4000	1,0,0	0.5000	16
1035	618.2651	-0.1958	700	0.4000	2,0,0	0.5000	32
38654706642	130.2769	-0.2211	750	0.4000	1,3,0	0.5000	28
1100	708.3800	0.2693	550	0.4000	0,1,2	0.5000	6
8589935670	201.1426	0.2715	250	0.4000	2,3,2	0.5000	46
8589935778	236.2582	-0.0480	200	0.4000	2,1,2	0.5000	38
12884903011	36.7786	-0.1964	150	0.4000	3,2,1	0.5000	57
8589935718	58.7823	0.1324	100	0.4000	3,3,3	0.5000	63
1210	102.6615	-0.1542	50	0.4000	1,3,2	0.5000	30

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	5665	335
4294968208	477	487	-0.3355	5881	5704
4294967830	488	510	-0.4364	5918	5949
4294967978	477	504	0.9512	5864	5975
771	491	493	0.9960	5981	5998
4294968022	476	488	-0.6901	5964	5987
4294967774	488	493	-0.1841	5905	5850
8589935270	484	496	-0.0000	5915	85
4294967836	475	491	-0.6459	5918	5930
4294968223	489	493	-0.3743	5884	5957
635	487	510	-0.2926	5992	5946
4294967809	503	506	-0.3541	5886	5936
12884902771	489	25769804288	1.0000	5524	6000
4294968177	491	506	-0.2353	5948	5755
8589935260	493	8589935337	-0.2870	5908	5883
12884902797	491	17179869710	-0.0000	5524	476
531	475	488	-0.3947	5999	5839
532	475	476	-0.4183	5999	5816
8589935432	503	8589935337	-0.4795	5931	5988
4294967922	487	493	-0.3818	5875	5948
8589935327	479	25769804288	-0.1044	5547	5955
666	484	489	0.0018	5989	5973
4294967835	489	504	-0.3202	5955	5978
8589935404	491	503	-0.2034	5915	5871
8589935241	477	506	-0.2021	5930	5855
17179869939	475	25769804288	0.9900	5527	5995
4294967939	476	504	-0.3993	5869	5834
4294967832	489	506	-0.3808	5955	5999
12884902658	510	25769804288	-0.4811	5529	5972
8589935240	475	504	0.5017	5919	5981
8589935101	479	505	-0.0000	5893	107
4294967968	506	510	-0.3461	5938	5865
724	476	489	-0.2035	5985	5918
548	477	488	0.5710	5998	5977
8589935451	488	491	-0.4305	5920	5937
4294967957	479	506	-0.6257	5956	5981
4294968158	477	479	-0.3604	5960	5934
552	479	488	-0.5530	5998	5981
553	477	489	-0.3569	5998	5935
4294967786	479	491	-0.4835	5945	5993
725	493	503	-0.4576	5985	5926
8589935342	477	484	0.0728	5950	5803
8589935193	477	493	-0.6252	5931	5934
4294967933	479	503	-0.4183	5920	5977
559	479	493	0.9588	5997	5979
874	487	504	-0.3724	5972	5830
823	475	484	-0.4130	5976	5891
641	477	510	-0.2378	5991	5989
8589935392	493	12884902408	-0.3994	5788	5974
8589935245	479	504	-0.4899	5921	5957
8589935155	488	25769804288	-0.5044	5531	5964
709	487	488	-0.2985	5986	5940
692	484	488	-0.4835	5987	5891
4294968164	484	487	-0.2211	5933	5927
778	484	503	-0.2671	5980	5839
8589935442	504	8589935337	-0.7264	5896	5995
4294968195	504	510	-0.3134	5950	5817
738	476	503	-0.5300	5984	5941
4294968130	504	506	-0.2079	5896	5604
904	488	489	-0.0686	5968	5718
855	475	503	-0.5220	5974	5911
879	477	503	-0.1020	5971	5834
21474837173	506	25769804288	-0.2230	5549	5938
4294967990	477	491	-0.3058	5957	5886
4294968035	510	8589935337	0.6713	5909	5991
4294968176	479	8589935337	0.9920	5897	5996
708	484	491	-0.2690	5986	5981
12884902652	477	8589935337	-0.4541	5942	5850
898	503	504	0.2637	5969	5940
4294967872	510	12884902408	0.8642	5788	5988
743	484	493	-0.3689	5983	5970
