# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11294.5508	0.0947	8001	0.4000	3,0,0	0.5000	48
476	4595.1143	-0.0761	8001	0.4000	1,2,1	0.5000	25
477	11473.7266	0.1402	8001	0.4000	3,0,1	0.5000	49
8589935337	11537.3770	0.2978	7950	0.4000	1,2,0	0.5000	24
479	8421.2510	0.2431	8001	0.4000	0,1,1	0.5000	5
506	13969.3682	-0.1478	8001	0.4000	3,3,3	0.5000	63
503	11680.6855	0.0661	8001	0.4000	3,3,1	0.5000	61
493	12677.5488	0.4461	8001	0.4000	3,3,1	0.5000	61
491	4946.9893	-0.2802	8001	0.4000	0,0,3	0.5000	3
484	9115.7949	-0.2044	8001	0.4000	3,2,2	0.5000	58
504	11516.1914	0.4670	8001	0.4000	0,3,3	0.5000	15
25769804288	9029.0156	-0.1127	7550	0.4000	2,2,0	0.5000	40
487	10614.1865	-0.1707	8001	0.4000	0,0,2	0.5000	2
488	4355.6660	0.2705	8001	0.4000	1,0,2	0.5000	18
489	12555.3945	0.1382	8001	0.4000	2,2,1	0.5000	41
510	16610.2715	0.1302	8001	0.4000	2,2,3	0.5000	43
8589935505	7200.2275	0.3973	7850	0.4000	0,2,3	0.5000	11
12884902408	9003.4893	0.2264	7800	0.4000	0,2,3	0.5000	11
34359738867	9234.5801	0.1694	6650	0.4000	1,2,1	0.5000	25
12884902586	7952.5713	0.1304	6450	0.4000	1,1,1	0.5000	21
21474837160	2159.1243	0.1689	6100	0.4000	3,1,2	0.5000	54
30064771590	5624.0928	0.2966	6000	0.4000	0,0,3	0.5000	3
17179869925	7177.2954	0.2204	5550	0.4000	3,1,2	0.5000	54
25769804290	5442.0479	0.3340	5450	0.4000	1,1,2	0.5000	22
17179869706	6774.0786	-0.2957	4950	0.4000	1,0,1	0.5000	17
21474837096	3185.8477	-0.0103	4850	0.4000	1,3,1	0.5000	29
21474837263	5287.3687	0.0196	4800	0.4000	0,2,0	0.5000	8
12884902396	5703.1289	0.1703	4750	0.4000	0,3,2	0.5000	14
42949673528	3097.4521	-0.2592	3100	0.4000	3,2,1	0.5000	57
30064772027	406.1760	0.4721	2950	0.4000	1,0,2	0.5000	18
42949673923	4251.3979	0.4141	2800	0.4000	1,0,0	0.5000	16
1035	2018.2651	-0.1958	2700	0.4000	2,0,0	0.5000	32
38654706642	2635.2769	-0.2211	2750	0.4000	1,3,0	0.5000	28
1100	5098.3799	0.2693	2550	0.4000	0,1,2	0.5000	6
8589935670	3045.1426	0.2715	2250	0.4000	2,3,2	0.5000	46
8589935778	4928.2583	-0.0480	2200	0.4000	2,1,2	0.5000	38
21474837573	2198.8496	0.4538	1900	0.4000	3,0,0	0.5000	48
38654706917	205.7272	-0.2880	300	0.4000	0,0,1	0.5000	1
42949674220	47.8461	-0.2729	250	0.4000	0,2,1	0.5000	9
25769805085	222.5049	0.2570	200	0.4000	1,3,2	0.5000	30
4294968663	90.2631	0.3359	50	0.4000	0,2,2	0.5000	10

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	7665	335
4294968208	477	487	-0.3142	7881	7951
4294967830	488	510	-0.0089	7918	7935
4294967978	477	504	0.6190	7864	7998
771	491	493	0.9622	7981	7992
4294968022	476	488	0.8468	7964	7974
4294967774	488	493	-0.2572	7905	7854
8589935270	484	496	-0.0000	7915	85
4294967836	475	491	-0.5343	7918	7949
4294968223	489	493	0.9724	7884	7986
635	487	510	-0.3555	7992	7928
4294967809	503	506	-0.2606	7886	7955
12884902771	489	25769804288	0.9920	7524	7996
4294968177	491	506	-0.3168	7948	7909
8589935260	493	8589935337	0.6598	7908	7960
12884902797	491	17179869710	-0.0000	7524	476
531	475	488	-0.3091	7999	7785
532	475	476	-0.5106	7999	7902
8589935432	503	8589935337	-0.4238	7931	7863
4294967922	487	493	-0.5000	7875	7944
8589935327	479	25769804288	-0.4560	7547	7980
666	484	489	-0.2529	7989	7740
4294967835	489	504	-0.3447	7955	7913
8589935404	491	503	-0.2108	7915	7939
8589935241	477	506	0.0414	7930	7946
17179869939	475	25769804288	0.8980	7527	8000
4294967939	476	504	-0.5759	7869	7986
4294967832	489	506	-0.4991	7955	7895
12884902658	510	25769804288	-0.5059	7529	7864
8589935240	475	504	0.8345	7919	7923
8589935101	479	505	-0.0000	7893	107
4294967968	506	510	-0.2693	7938	7998
724	476	489	-0.2444	7985	7911
548	477	488	-0.4009	7998	7804
8589935451	488	491	-0.3335	7920	7740
4294967957	479	506	-0.4872	7956	7972
4294968158	477	479	-0.3171	7960	7800
552	479	488	-0.5969	7998	7995
553	477	489	-0.0333	7998	7884
4294967786	479	491	-0.5475	7945	7977
725	493	503	-0.3666	7985	7972
8589935342	477	484	0.9802	7950	7990
8589935193	477	493	-0.3260	7931	7959
4294967933	479	503	-0.0897	7920	7997
559	479	493	0.7870	7997	7989
874	487	504	-0.3224	7972	7761
823	475	484	0.1226	7976	7942
641	477	510	-0.4978	7991	7910
8589935392	493	12884902408	-0.2328	7788	7943
8589935245	479	504	0.1981	7921	7978
8589935155	488	25769804288	-0.2269	7531	7754
709	487	488	-0.0912	7986	7999
692	484	488	-0.4183	7987	7734
4294968164	484	487	-0.5779	7933	7952
778	484	503	-0.2504	7980	7930
8589935442	504	8589935337	0.0889	7896	7950
4294968195	504	510	-0.0866	7950	7874
738	476	503	-0.4030	7984	7954
4294968130	504	506	-0.1842	7896	7983
904	488	489	-0.1073	7968	7921
855	475	503	-0.3281	7974	7880
879	477	503	-0.5578	7971	7994
21474837173	506	25769804288	0.2855	7549	7987
4294967990	477	491	-0.3946	7957	7890
4294968035	510	8589935337	-0.4371	7909	7870
4294968176	479	8589935337	0.0246	7897	7941
708	484	491	-0.3827	7986	7927
12884902652	477	8589935337	0.9646	7942	7982
898	503	504	-0.2214	7969	7821
4294967872	510	12884902408	-0.3296	7788	7984
743	484	493	-0.3340	7983	7711
8589935169	475	506	0.1240	7921	7942
587	475	477	0.9493	7995	7974
916	491	510	-0.2797	7966	7795
4294968032	493	510	0.4969	7942	7995
915	487	503	-0.5101	7966	7862
