# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	14729.5508	0.0947	10001	0.4000	3,0,0	0.5000	48
476	5868.1143	-0.0761	10001	0.4000	1,2,1	0.5000	25
477	13924.7266	0.1402	10001	0.4000	3,0,1	0.5000	49
8589935337	13209.3770	0.2978	9950	0.4000	1,2,0	0.5000	24
479	8842.2510	0.2431	10001	0.4000	0,1,1	0.5000	5
506	15028.3682	-0.1478	10001	0.4000	3,3,3	0.5000	63
503	11721.6855	0.0661	10001	0.4000	3,3,1	0.5000	61
493	14562.5488	0.4461	10001	0.4000	3,3,1	0.5000	61
491	5634.9893	-0.2802	10001	0.4000	0,0,3	0.5000	3
484	10829.7949	-0.2044	10001	0.4000	3,2,2	0.5000	58
504	14095.1914	0.4670	10001	0.4000	0,3,3	0.5000	15
25769804288	11662.0156	-0.1127	9550	0.4000	2,2,0	0.5000	40
487	11955.1865	-0.1707	10001	0.4000	0,0,2	0.5000	2
488	5653.6660	0.2705	10001	0.4000	1,0,2	0.5000	18
489	14159.3945	0.1382	10001	0.4000	2,2,1	0.5000	41
510	16645.2715	0.1302	10001	0.4000	2,2,3	0.5000	43
8589935505	8568.2275	0.3973	9850	0.4000	0,2,3	0.5000	11
12884902408	10553.4893	0.2264	9800	0.4000	0,2,3	0.5000	11
34359738867	11823.5801	0.1694	8650	0.4000	1,2,1	0.5000	25
12884902586	9268.5713	0.1304	8450	0.4000	1,1,1	0.5000	21
21474837160	2698.1243	0.1689	8100	0.4000	3,1,2	0.5000	54
30064771590	5877.0928	0.2966	8000	0.4000	0,0,3	0.5000	3
17179869925	9349.2949	0.2204	7550	0.4000	3,1,2	0.5000	54
25769804290	7193.0479	0.3340	7450	0.4000	1,1,2	0.5000	22
17179869706	8882.0781	-0.2957	6950	0.4000	1,0,1	0.5000	17
21474837096	5164.8477	-0.0103	6850	0.4000	1,3,1	0.5000	29
21474837263	9077.3691	0.0196	6800	0.4000	0,2,0	0.5000	8
12884902396	8925.1289	0.1703	6750	0.4000	0,3,2	0.5000	14
42949673528	5475.4521	-0.2592	5100	0.4000	3,2,1	0.5000	57
30064772027	1076.1760	0.4721	4950	0.4000	1,0,2	0.5000	18
42949673923	6773.3979	0.4141	4800	0.4000	1,0,0	0.5000	16
1035	4266.2651	-0.1958	4700	0.4000	2,0,0	0.5000	32
38654706642	4977.2769	-0.2211	4750	0.4000	1,3,0	0.5000	28
1100	9572.3799	0.2693	4550	0.4000	0,1,2	0.5000	6
8589935670	5300.1426	0.2715	4250	0.4000	2,3,2	0.5000	46
8589935778	8931.2578	-0.0480	4200	0.4000	2,1,2	0.5000	38
21474837573	4911.8496	0.4538	3900	0.4000	3,0,0	0.5000	48
38654706917	1306.7272	-0.2880	2300	0.4000	0,0,1	0.5000	1
42949674220	610.8461	-0.2729	2250	0.4000	0,2,1	0.5000	9
21474837960	202.5705	-0.2765	850	0.4000	0,1,3	0.5000	7
4294968701	2067.4314	0.2739	1850	0.4000	2,2,2	0.5000	42
8589935991	595.8310	0.1963	1250	0.4000	0,2,1	0.5000	9
12884903424	13.3746	0.4002	50	0.4000	0,3,0	0.5000	12

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	9665	335
4294968208	477	487	0.0129	9881	9936
4294967830	488	510	-0.1439	9918	9877
4294967978	477	504	-0.0978	9864	9972
771	491	493	0.3743	9981	10000
4294968022	476	488	-0.2404	9964	9942
4294967774	488	493	-0.3020	9905	9928
8589935270	484	496	-0.0000	9915	85
4294967836	475	491	-0.2444	9918	9894
4294968223	489	493	-0.5418	9884	10000
635	487	510	-0.3868	9992	9796
4294967809	503	506	-0.3372	9886	9893
12884902771	489	25769804288	-0.1928	9524	9769
4294968177	491	506	-0.2563	9948	9887
8589935260	493	8589935337	0.3506	9908	9994
12884902797	491	17179869710	-0.0000	9524	476
531	475	488	0.0207	9999	9928
532	475	476	-0.3090	9999	9909
8589935432	503	8589935337	-0.4111	9931	9807
4294967922	487	493	0.8885	9875	9998
8589935327	479	25769804288	-0.2759	9547	9994
666	484	489	-0.4972	9989	9945
4294967835	489	504	-0.6299	9955	9981
8589935404	491	503	-0.4293	9915	9948
8589935241	477	506	-0.2978	9930	9854
17179869939	475	25769804288	0.0564	9527	9999
4294967939	476	504	-0.4447	9869	9981
4294967832	489	506	-0.2359	9955	9991
12884902658	510	25769804288	-0.4173	9529	9959
8589935240	475	504	0.8712	9919	9996
8589935101	479	505	-0.0000	9893	107
4294967968	506	510	-0.2768	9938	9986
724	476	489	-0.5394	9985	9944
548	477	488	-0.4224	9998	9965
8589935451	488	491	-0.1428	9920	9974
4294967957	479	506	-0.1583	9956	9562
4294968158	477	479	-0.3159	9960	9950
552	479	488	-0.2468	9998	9797
553	477	489	-0.8624	9998	9994
4294967786	479	491	-0.4716	9945	9953
725	493	503	0.0042	9985	9983
8589935342	477	484	-0.2703	9950	9773
8589935193	477	493	-0.2798	9931	9803
4294967933	479	503	-0.4316	9920	9928
559	479	493	-0.0297	9997	9981
874	487	504	-0.6263	9972	9972
823	475	484	-0.2570	9976	9932
641	477	510	-0.3619	9991	9980
8589935392	493	12884902408	-0.1499	9788	9996
8589935245	479	504	0.4540	9921	9913
8589935155	488	25769804288	-0.3246	9531	9993
709	487	488	-0.1639	9986	9899
692	484	488	-0.3693	9987	9744
4294968164	484	487	-0.1984	9933	9835
778	484	503	-0.3166	9980	9909
8589935442	504	8589935337	-0.3178	9896	9966
4294968195	504	510	-0.0672	9950	9970
738	476	503	-0.5176	9984	9992
4294968130	504	506	-0.4135	9896	9983
904	488	489	0.0629	9968	9966
855	475	503	-0.4176	9974	9978
879	477	503	-0.1851	9971	9975
21474837173	506	25769804288	-0.3464	9549	9962
4294967990	477	491	0.4906	9957	9998
4294968035	510	8589935337	-0.3836	9909	9892
4294968176	479	8589935337	-0.4395	9897	9987
708	484	491	-0.3615	9986	9868
12884902652	477	8589935337	-0.5157	9942	9982
898	503	504	0.0358	9969	9990
4294967872	510	12884902408	-0.1930	9788	9498
743	484	493	-0.3734	9983	9947
8589935169	475	506	1.0000	9921	10000
587	475	477	0.3764	9995	9969
916	491	510	-0.2680	9966	9822
4294968032	493	510	-0.1420	9942	9737
915	487	503	-0.4455	9966	9913
849	489	491	-0.3823	9974	9935
4294967777	491	8589935337	0.1437	9917	9998
902	476	477	-0.5628	9968	9973
4294967895	479	8589935505	-0.2135	9788	9673
