# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	16589.5508	0.0947	12001	0.4000	3,0,0	0.5000	48
476	5774.1143	-0.0761	12001	0.4000	1,2,1	0.5000	25
477	16355.7266	0.1402	12001	0.4000	3,0,1	0.5000	49
8589935337	14614.3770	0.2978	11950	0.4000	1,2,0	0.5000	24
479	9298.2510	0.2431	12001	0.4000	0,1,1	0.5000	5
506	18143.3672	-0.1478	12001	0.4000	3,3,3	0.5000	63
503	12495.6855	0.0661	12001	0.4000	3,3,1	0.5000	61
493	15478.5488	0.4461	12001	0.4000	3,3,1	0.5000	61
491	7995.9893	-0.2802	12001	0.4000	0,0,3	0.5000	3
484	11687.7949	-0.2044	12001	0.4000	3,2,2	0.5000	58
504	16566.1914	0.4670	12001	0.4000	0,3,3	0.5000	15
25769804288	13609.0156	-0.1127	11550	0.4000	2,2,0	0.5000	40
487	14067.1865	-0.1707	12001	0.4000	0,0,2	0.5000	2
488	6639.6660	0.2705	12001	0.4000	1,0,2	0.5000	18
489	14151.3945	0.1382	12001	0.4000	2,2,1	0.5000	41
510	17127.2715	0.1302	12001	0.4000	2,2,3	0.5000	43
8589935505	10193.2275	0.3973	11850	0.4000	0,2,3	0.5000	11
12884902408	12958.4893	0.2264	11800	0.4000	0,2,3	0.5000	11
34359738867	12657.5801	0.1694	10650	0.4000	1,2,1	0.5000	25
12884902586	9974.5713	0.1304	10450	0.4000	1,1,1	0.5000	21
21474837160	3470.1243	0.1689	10100	0.4000	3,1,2	0.5000	54
30064771590	7158.0928	0.2966	10000	0.4000	0,0,3	0.5000	3
17179869925	11057.2949	0.2204	9550	0.4000	3,1,2	0.5000	54
25769804290	9310.0479	0.3340	9450	0.4000	1,1,2	0.5000	22
17179869706	12300.0781	-0.2957	8950	0.4000	1,0,1	0.5000	17
21474837096	7611.8477	-0.0103	8850	0.4000	1,3,1	0.5000	29
21474837263	11699.3691	0.0196	8800	0.4000	0,2,0	0.5000	8
12884902396	10222.1289	0.1703	8750	0.4000	0,3,2	0.5000	14
42949673528	9311.4521	-0.2592	7100	0.4000	3,2,1	0.5000	57
30064772027	2969.1760	0.4721	6950	0.4000	1,0,2	0.5000	18
42949673923	7688.3979	0.4141	6800	0.4000	1,0,0	0.5000	16
1035	6407.2651	-0.1958	6700	0.4000	2,0,0	0.5000	32
38654706642	8385.2773	-0.2211	6750	0.4000	1,3,0	0.5000	28
1100	13768.3799	0.2693	6550	0.4000	0,1,2	0.5000	6
8589935670	7691.1426	0.2715	6250	0.4000	2,3,2	0.5000	46
8589935778	12397.2578	-0.0480	6200	0.4000	2,1,2	0.5000	38
21474837573	6220.8496	0.4538	5900	0.4000	3,0,0	0.5000	48
38654706917	2620.7271	-0.2880	4300	0.4000	0,0,1	0.5000	1
42949674220	3162.8462	-0.2729	4250	0.4000	0,2,1	0.5000	9
21474837960	860.5706	-0.2765	2850	0.4000	0,1,3	0.5000	7
4294968701	4504.4316	0.2739	3850	0.4000	2,2,2	0.5000	42
8589935991	2623.8311	0.1963	3250	0.4000	0,2,1	0.5000	9
64424510863	1280.2087	-0.1037	1600	0.4000	0,3,1	0.5000	13
34359740000	49.9013	0.2608	200	0.4000	3,1,0	0.5000	52
77309412529	436.3978	0.3063	700	0.4000	1,2,2	0.5000	26
81604380150	205.1275	0.3217	250	0.4000	1,0,3	0.5000	19
60129543672	79.4713	0.0261	350	0.4000	3,0,1	0.5000	49
30064772624	28.7952	0.1080	150	0.4000	1,3,3	0.5000	31
115964118227	208.4091	0.4760	100	0.4000	3,1,3	0.5000	55
1708	67.5804	0.4442	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	11665	335
4294968208	477	487	0.0180	11881	11962
4294967830	488	510	-0.1409	11918	11875
4294967978	477	504	-0.6609	11864	11992
771	491	493	0.9920	11981	11996
4294968022	476	488	-0.2226	11964	11975
4294967774	488	493	-0.0944	11905	11919
8589935270	484	496	-0.0000	11915	85
4294967836	475	491	-0.3864	11918	11844
4294968223	489	493	-0.1811	11884	11933
635	487	510	-0.2816	11992	11865
4294967809	503	506	-0.3669	11886	11893
12884902771	489	25769804288	-0.3902	11524	11765
4294968177	491	506	-0.2774	11948	11871
8589935260	493	8589935337	0.8486	11908	11994
12884902797	491	17179869710	-0.0000	11524	476
531	475	488	-0.0397	11999	11957
532	475	476	0.2553	11999	11926
8589935432	503	8589935337	-0.1993	11931	11916
4294967922	487	493	0.3667	11875	11967
8589935327	479	25769804288	-0.2686	11547	11700
666	484	489	-0.2539	11989	11959
4294967835	489	504	-0.3637	11955	11936
8589935404	491	503	-0.2153	11915	11980
8589935241	477	506	-0.0253	11930	11733
17179869939	475	25769804288	-0.4898	11527	11926
4294967939	476	504	-0.1922	11869	11998
4294967832	489	506	-0.2184	11955	11977
12884902658	510	25769804288	-0.1726	11529	11864
8589935240	475	504	0.8317	11919	11990
8589935101	479	505	-0.0000	11893	107
4294967968	506	510	-0.3294	11938	11993
724	476	489	-0.6068	11985	11984
548	477	488	-0.1659	11998	11927
8589935451	488	491	-0.1517	11920	11962
4294967957	479	506	0.4617	11956	11994
4294968158	477	479	-0.1922	11960	11950
552	479	488	-0.4829	11998	11996
553	477	489	0.1307	11998	11916
4294967786	479	491	-0.2229	11945	11951
725	493	503	-0.0177	11985	11980
8589935342	477	484	-0.0832	11950	11945
8589935193	477	493	0.0026	11931	11970
4294967933	479	503	-0.2045	11920	11947
559	479	493	-0.5395	11997	11930
874	487	504	-0.5157	11972	11950
823	475	484	-0.3139	11976	11757
641	477	510	-0.4508	11991	11976
8589935392	493	12884902408	-0.2941	11788	11735
8589935245	479	504	0.0875	11921	11970
8589935155	488	25769804288	-0.2307	11531	11857
709	487	488	-0.2419	11986	11986
692	484	488	-0.3058	11987	11997
4294968164	484	487	-0.2916	11933	11915
778	484	503	-0.3806	11980	11960
8589935442	504	8589935337	-0.4275	11896	11979
4294968195	504	510	-0.3502	11950	11942
738	476	503	-0.3732	11984	11786
4294968130	504	506	-0.1376	11896	11969
904	488	489	-0.2338	11968	11974
855	475	503	0.0254	11974	11993
879	477	503	-0.3807	11971	11948
21474837173	506	25769804288	-0.2834	11549	11980
4294967990	477	491	0.2114	11957	11950
4294968035	510	8589935337	-0.4523	11909	11985
4294968176	479	8589935337	-0.4187	11897	11936
708	484	491	-0.3631	11986	11843
12884902652	477	8589935337	-0.1504	11942	11980
898	503	504	-0.1750	11969	11970
4294967872	510	12884902408	0.2428	11788	11913
743	484	493	-0.1857	11983	11975
8589935169	475	506	-0.1918	11921	11864
587	475	477	-0.2867	11995	11889
916	491	510	-0.6221	11966	12000
4294968032	493	510	-0.1764	11942	11674
915	487	503	-0.1686	11966	11970
849	489	491	0.0962	11974	11945
4294967777	491	8589935337	-0.2822	11917	11987
902	476	477	-0.1072	11968	11743
4294967895	479	8589935505	-0.1284	11788	11977
933	475	510	-0.3294	11952	11892
4294968054	488	506	0.9665	11938	11983
4294967820	504	12884902408	0.4855	11748	11982
4294968085	475	479	-0.1892	11949	11934
4294967890	476	506	-0.4188	11941	11916
650	484	504	-0.0463	11990	11615
4294968123	493	506	0.2163	11960	11993
893	479	484	0.9802	11969	11990
816	475	487	-0.1732	11977	11683
4294968048	476	479	-0.4559	11924	11995
4294967904	489	503	0.0097	11957	11981
8589935157	488	504	0.1201	11940	11983
607	484	506	-0.3492	11994	11993
12884902564	484	8589935337	0.0044	11911	11885
825	479	489	-0.1514	11976	11798
4294967956	484	510	-0.3175	11937	11884
878	476	487	-0.3523	11971	11975
4294967930	479	487	-0.3263	11948	11884
776	476	484	-0.4374	11980	11971
4294968069	475	8589935337	-0.0977	11924	11886
4294967807	506	8589935337	-0.1758	11912	11969
804	476	491	-0.3589	11978	11824
4294968030	476	510	0.6515	11899	11996
4294967865	491	12884902408	-0.3618	11783	11873
4294967778	487	506	-0.1766	11899	11854
8589935097	475	12884902408	-0.1841	11772	11902
4294967869	487	8589935337	-0.4470	11940	11945
730	489	510	0.2235	11985	11968
928	487	489	-0.3930	11953	11809
822	479	510	-0.3736	11977	11851
8589935468	476	493	-0.0361	11947	11995
8589935353	476	8589935337	0.4940	11941	11945
932	503	510	-0.2764	11953	11906
4294968201	488	8589935337	-0.2630	11938	11922
4294968187	475	489	-0.4094	11965	11991
657	491	504	0.2638	11990	11968
780	487	491	0.0534	11980	11929
4294967967	489	8589935337	-0.3205	11949	11934
8589935413	491	8589935505	-0.3993	11778	11776
4294967826	475	493	-0.2610	11955	11985
8589935093	493	504	-0.3537	11860	11862
8589935251	488	503	-0.5024	11857	11973
4294967975	506	12884902408	-0.0909	11782	11860
8589935075	493	8589935505	-0.1268	11849	11507
12884902682	510	8589935505	0.0936	11847	11956
8589935094	503	8589935505	-0.4368	11846	11975
8589935436	489	8589935505	-0.2078	11846	11902
8589935239	487	8589935505	0.3407	11844	11980
12884902583	475	8589935505	-0.1611	11843	11974
8589935090	506	8589935505	-0.0593	11842	11987
8589935369	488	8589935505	-0.2371	11840	11882
12884902417	8589935337	8589935505	0.8818	11838	11992
8589935281	477	8589935505	-0.3726	11823	11995
8589935276	476	8589935505	-0.2531	11807	11974
12884902751	504	8589935505	-0.2000	11807	11868
4294967896	484	8589935505	-0.2417	11799	11867
4294968095	487	12884902408	-0.1818	11799	11690
4294968050	8589935337	12884902408	-0.4012	11797	11814
8589935120	479	12884902408	-0.2960	11797	11859
4294967973	8589935505	12884902408	-0.2170	11796	11915
4294967858	488	12884902408	-0.3460	11795	11907
4294967960	477	12884902408	-0.0951	11794	11798
4294968088	476	12884902408	-0.2811	11792	11848
4294968000	489	12884902408	-0.4218	11791	11966
12884902520	484	12884902408	-0.4828	11790	11978
8589935445	503	12884902408	-0.2213	11789	11909
8589935336	476	25769804288	-0.2045	11540	11984
12884902413	491	25769804288	0.1875	11548	11962
8589935452	503	25769804288	0.9627	11546	11981
12884902775	8589935337	25769804288	-0.3047	11547	11907
21474837006	504	25769804288	-0.1169	11518	11970
8589935440	12884902408	25769804288	0.9960	11452	11998
17179870091	477	25769804288	-0.4710	11464	11976
21474836977	484	4294968056	-0.0000	11341	659
17179869670	484	25769804288	-0.0707	11491	11999
17179869900	493	25769804288	-0.2929	11478	11833
17179869788	8589935505	25769804288	-0.3834	11479	11941
4294968092	487	25769804288	-0.3435	11454	11979
12884902476	479	17179869871	-0.0000	11267	733
17179869979	510	47244640941	-0.0000	10816	1184
34359739090	484	34359738867	-0.0189	10647	11958
38654706242	510	34359738867	0.1037	10646	11868
47244641151	12884902408	34359738867	-0.1946	10644	11955
25769804322	504	34359738867	-0.3547	10641	11827
51539608384	503	34359738867	-0.5030	10640	11979
34359739071	475	34359738867	0.9398	10639	11969
47244640869	506	34359738867	-0.2839	10638	11992
38654706244	493	34359738867	-0.4289	10633	11944
38654706371	8589935337	34359738867	-0.1321	10632	11502
30064771712	477	34359738867	0.8600	10627	11929
60129542829	479	34359738867	-0.4004	10624	11941
30064771772	25769804288	34359738867	-0.5047	10623	11834
47244640943	489	34359738867	-0.3465	10618	11970
34359739140	8589935505	34359738867	0.0598	10613	11996
51539608398	476	34359738867	-0.1762	10613	11919
42949673531	491	34359738867	-0.4175	10607	11989
30064771623	487	34359738867	-0.4023	10602	11980
8589935478	12884902408	12884902586	-0.1293	10427	11894
30064771587	488	34359738867	0.6191	10594	11966
8589935340	12884902586	34359738867	-0.1930	10432	11979
8589935265	475	12884902586	-0.2499	10433	11947
8589935462	488	12884902586	-0.3488	10438	11965
8589935474	506	12884902586	-0.2332	10440	11825
