# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	18238.5508	0.0947	14001	0.4000	3,0,0	0.5000	48
476	4895.1143	-0.0761	14001	0.4000	1,2,1	0.5000	25
477	15943.7266	0.1402	14001	0.4000	3,0,1	0.5000	49
8589935337	15359.3770	0.2978	13950	0.4000	1,2,0	0.5000	24
479	9474.2510	0.2431	14001	0.4000	0,1,1	0.5000	5
506	20861.3672	-0.1478	14001	0.4000	3,3,3	0.5000	63
503	13991.6855	0.0661	14001	0.4000	3,3,1	0.5000	61
493	15780.5488	0.4461	14001	0.4000	3,3,1	0.5000	61
491	9878.9893	-0.2802	14001	0.4000	0,0,3	0.5000	3
484	11703.7949	-0.2044	14001	0.4000	3,2,2	0.5000	58
504	17909.1914	0.4670	14001	0.4000	0,3,3	0.5000	15
25769804288	15209.0156	-0.1127	13550	0.4000	2,2,0	0.5000	40
487	14683.1865	-0.1707	14001	0.4000	0,0,2	0.5000	2
488	7911.6660	0.2705	14001	0.4000	1,0,2	0.5000	18
489	14750.3945	0.1382	14001	0.4000	2,2,1	0.5000	41
510	19669.2715	0.1302	14001	0.4000	2,2,3	0.5000	43
8589935505	12456.2275	0.3973	13850	0.4000	0,2,3	0.5000	11
12884902408	14868.4893	0.2264	13800	0.4000	0,2,3	0.5000	11
34359738867	11741.5801	0.1694	12650	0.4000	1,2,1	0.5000	25
12884902586	9914.5713	0.1304	12450	0.4000	1,1,1	0.5000	21
21474837160	3852.1243	0.1689	12100	0.4000	3,1,2	0.5000	54
30064771590	7235.0928	0.2966	12000	0.4000	0,0,3	0.5000	3
17179869925	12087.2949	0.2204	11550	0.4000	3,1,2	0.5000	54
25769804290	11550.0479	0.3340	11450	0.4000	1,1,2	0.5000	22
17179869706	15695.0781	-0.2957	10950	0.4000	1,0,1	0.5000	17
21474837096	9003.8477	-0.0103	10850	0.4000	1,3,1	0.5000	29
21474837263	14717.3691	0.0196	10800	0.4000	0,2,0	0.5000	8
12884902396	12969.1289	0.1703	10750	0.4000	0,3,2	0.5000	14
42949673528	10654.4521	-0.2592	9100	0.4000	3,2,1	0.5000	57
30064772027	4935.1758	0.4721	8950	0.4000	1,0,2	0.5000	18
42949673923	8562.3984	0.4141	8800	0.4000	1,0,0	0.5000	16
1035	8214.2656	-0.1958	8700	0.4000	2,0,0	0.5000	32
38654706642	10179.2773	-0.2211	8750	0.4000	1,3,0	0.5000	28
1100	16824.3789	0.2693	8550	0.4000	0,1,2	0.5000	6
8589935670	8555.1426	0.2715	8250	0.4000	2,3,2	0.5000	46
8589935778	14189.2578	-0.0480	8200	0.4000	2,1,2	0.5000	38
21474837573	6382.8496	0.4538	7900	0.4000	3,0,0	0.5000	48
38654706917	3618.7271	-0.2880	6300	0.4000	0,0,1	0.5000	1
42949674220	7173.8462	-0.2729	6250	0.4000	0,2,1	0.5000	9
21474837960	1999.5706	-0.2765	4850	0.4000	0,1,3	0.5000	7
4294968701	6212.4316	0.2739	5850	0.4000	2,2,2	0.5000	42
8589935991	3014.8311	0.1963	5250	0.4000	0,2,1	0.5000	9
64424510863	1743.2087	-0.1037	3600	0.4000	0,3,1	0.5000	13
25769805512	548.7686	-0.0706	600	0.4000	0,3,0	0.5000	12
77309412529	1861.3978	0.3063	2700	0.4000	1,2,2	0.5000	26
81604380150	519.1276	0.3217	2250	0.4000	1,0,3	0.5000	19
60129543672	224.4713	0.0261	2350	0.4000	3,0,1	0.5000	49
115964118200	677.2924	0.0385	1000	0.4000	3,0,3	0.5000	51

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	13665	335
4294968208	477	487	-0.4009	13881	13803
4294967830	488	510	-0.3912	13918	13988
4294967978	477	504	-0.2874	13864	13600
771	491	493	0.8256	13981	13975
4294968022	476	488	-0.1558	13964	13827
4294967774	488	493	-0.1132	13905	13861
8589935270	484	496	-0.0000	13915	85
4294967836	475	491	0.0179	13918	13833
4294968223	489	493	-0.1673	13884	13921
635	487	510	-0.0216	13992	13930
4294967809	503	506	-0.0068	13886	13855
12884902771	489	25769804288	-0.4077	13524	13918
4294968177	491	506	-0.3696	13948	13901
8589935260	493	8589935337	-0.2062	13908	13714
12884902797	491	17179869710	-0.0000	13524	476
531	475	488	-0.0404	13999	13979
532	475	476	-0.4720	13999	13950
8589935432	503	8589935337	-0.3012	13931	13990
4294967922	487	493	0.5986	13875	13978
8589935327	479	25769804288	-0.3077	13547	13923
666	484	489	-0.3944	13989	13943
4294967835	489	504	-0.1017	13955	13928
8589935404	491	503	-0.5545	13915	13999
8589935241	477	506	-0.6991	13930	13962
17179869939	475	25769804288	0.9940	13527	13997
4294967939	476	504	-0.2847	13869	13739
4294967832	489	506	-0.3877	13955	13942
12884902658	510	25769804288	-0.2629	13529	13919
8589935240	475	504	0.9940	13919	13997
8589935101	479	505	-0.0000	13893	107
4294967968	506	510	-0.2196	13938	13842
724	476	489	-0.5740	13985	13962
548	477	488	-0.3054	13998	13952
8589935451	488	491	-0.1718	13920	13956
4294967957	479	506	-0.3879	13956	13970
4294968158	477	479	-0.1002	13960	13721
552	479	488	-0.2580	13998	13951
553	477	489	-0.1953	13998	13911
4294967786	479	491	-0.2126	13945	13462
725	493	503	0.9920	13985	13996
8589935342	477	484	-0.3141	13950	13673
8589935193	477	493	-0.6180	13931	13920
4294967933	479	503	-0.4886	13920	13916
559	479	493	-0.3864	13997	13911
874	487	504	-0.3801	13972	13813
823	475	484	-0.3824	13976	13964
641	477	510	-0.2777	13991	13778
8589935392	493	12884902408	-0.6176	13788	13951
8589935245	479	504	0.9940	13921	13997
8589935155	488	25769804288	-0.2000	13531	13756
709	487	488	-0.3256	13986	13940
692	484	488	-0.6544	13987	13995
4294968164	484	487	-0.3945	13933	13988
778	484	503	-0.3315	13980	13709
8589935442	504	8589935337	-0.1241	13896	13935
4294968195	504	510	-0.1314	13950	13727
738	476	503	0.0911	13984	13987
4294968130	504	506	0.0071	13896	13844
904	488	489	0.2138	13968	13998
855	475	503	-0.2216	13974	13998
879	477	503	-0.4272	13971	13861
21474837173	506	25769804288	-0.1736	13549	13949
4294967990	477	491	-0.2722	13957	13990
4294968035	510	8589935337	-0.0784	13909	13808
4294968176	479	8589935337	-0.1875	13897	13721
708	484	491	0.2293	13986	13985
12884902652	477	8589935337	-0.2538	13942	13837
898	503	504	-0.2463	13969	13519
4294967872	510	12884902408	-0.3537	13788	13957
743	484	493	-0.4780	13983	13999
8589935169	475	506	-0.1443	13921	13710
587	475	477	-0.0998	13995	13923
916	491	510	0.0450	13966	13972
4294968032	493	510	-0.1980	13942	13742
915	487	503	0.7919	13966	13945
849	489	491	0.1424	13974	13945
4294967777	491	8589935337	-0.2278	13917	13966
902	476	477	-0.4204	13968	13970
4294967895	479	8589935505	0.9940	13788	13997
933	475	510	-0.1851	13952	13908
4294968054	488	506	0.9980	13938	13999
4294967820	504	12884902408	-0.2040	13748	13890
4294968085	475	479	-0.3050	13949	13659
4294967890	476	506	-0.3350	13941	13892
650	484	504	-0.2017	13990	13842
4294968123	493	506	-0.1525	13960	13984
893	479	484	-0.3075	13969	13776
816	475	487	-0.1772	13977	13941
