# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20484.5508	0.0947	16001	0.4000	3,0,0	0.5000	48
476	5453.1143	-0.0761	16001	0.4000	1,2,1	0.5000	25
477	16028.7266	0.1402	16001	0.4000	3,0,1	0.5000	49
8589935337	16329.3770	0.2978	15950	0.4000	1,2,0	0.5000	24
479	9381.2510	0.2431	16001	0.4000	0,1,1	0.5000	5
506	24017.3672	-0.1478	16001	0.4000	3,3,3	0.5000	63
503	15899.6855	0.0661	16001	0.4000	3,3,1	0.5000	61
493	15460.5488	0.4461	16001	0.4000	3,3,1	0.5000	61
491	11726.9893	-0.2802	16001	0.4000	0,0,3	0.5000	3
484	11146.7949	-0.2044	16001	0.4000	3,2,2	0.5000	58
504	21076.1914	0.4670	16001	0.4000	0,3,3	0.5000	15
25769804288	18187.0156	-0.1127	15550	0.4000	2,2,0	0.5000	40
487	16787.1875	-0.1707	16001	0.4000	0,0,2	0.5000	2
488	8683.6660	0.2705	16001	0.4000	1,0,2	0.5000	18
489	15318.3945	0.1382	16001	0.4000	2,2,1	0.5000	41
510	22261.2715	0.1302	16001	0.4000	2,2,3	0.5000	43
8589935505	12324.2275	0.3973	15850	0.4000	0,2,3	0.5000	11
12884902408	16674.4883	0.2264	15800	0.4000	0,2,3	0.5000	11
34359738867	10931.5801	0.1694	14650	0.4000	1,2,1	0.5000	25
12884902586	8836.5713	0.1304	14450	0.4000	1,1,1	0.5000	21
21474837160	3767.1240	0.1689	14100	0.4000	3,1,2	0.5000	54
30064771590	8275.0928	0.2966	14000	0.4000	0,0,3	0.5000	3
17179869925	12862.2949	0.2204	13550	0.4000	3,1,2	0.5000	54
25769804290	13642.0479	0.3340	13450	0.4000	1,1,2	0.5000	22
17179869706	18966.0781	-0.2957	12950	0.4000	1,0,1	0.5000	17
21474837096	9557.8477	-0.0103	12850	0.4000	1,3,1	0.5000	29
21474837263	17732.3691	0.0196	12800	0.4000	0,2,0	0.5000	8
12884902396	15317.1289	0.1703	12750	0.4000	0,3,2	0.5000	14
42949673528	11087.4521	-0.2592	11100	0.4000	3,2,1	0.5000	57
30064772027	8312.1758	0.4721	10950	0.4000	1,0,2	0.5000	18
42949673923	9656.3984	0.4141	10800	0.4000	1,0,0	0.5000	16
1035	9842.2656	-0.1958	10700	0.4000	2,0,0	0.5000	32
38654706642	10822.2773	-0.2211	10750	0.4000	1,3,0	0.5000	28
1100	20597.3789	0.2693	10550	0.4000	0,1,2	0.5000	6
8589935670	9230.1426	0.2715	10250	0.4000	2,3,2	0.5000	46
8589935778	17126.2578	-0.0480	10200	0.4000	2,1,2	0.5000	38
21474837573	8601.8496	0.4538	9900	0.4000	3,0,0	0.5000	48
38654706917	5195.7271	-0.2880	8300	0.4000	0,0,1	0.5000	1
42949674220	10376.8457	-0.2729	8250	0.4000	0,2,1	0.5000	9
21474837960	3933.5706	-0.2765	6850	0.4000	0,1,3	0.5000	7
4294968701	9089.4316	0.2739	7850	0.4000	2,2,2	0.5000	42
8589935991	3610.8311	0.1963	7250	0.4000	0,2,1	0.5000	9
64424510863	2027.2087	-0.1037	5600	0.4000	0,3,1	0.5000	13
25769805512	3068.7686	-0.0706	2600	0.4000	0,3,0	0.5000	12
77309412529	2440.3979	0.3063	4700	0.4000	1,2,2	0.5000	26
81604380150	1029.1276	0.3217	4250	0.4000	1,0,3	0.5000	19
60129543672	280.4713	0.0261	4350	0.4000	3,0,1	0.5000	49
115964118200	2075.2925	0.0385	3000	0.4000	3,0,3	0.5000	51
60129543864	1711.8872	-0.0068	1600	0.4000	0,2,1	0.5000	9
60129543909	93.2459	-0.1860	350	0.4000	1,1,3	0.5000	23
81604380341	177.6588	0.3585	250	0.4000	3,1,1	0.5000	53
21474838365	64.9128	0.1973	100	0.4000	2,1,3	0.5000	39
68719478506	54.8429	-0.1991	50	0.4000	1,0,1	0.5000	17

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	15665	335
4294968208	477	487	0.3331	15881	15980
4294967830	488	510	-0.0088	15918	15925
4294967978	477	504	-0.4954	15864	15927
771	491	493	0.9861	15981	15993
4294968022	476	488	-0.1516	15964	15997
4294967774	488	493	-0.3241	15905	15744
8589935270	484	496	-0.0000	15915	85
4294967836	475	491	-0.2762	15918	16000
4294968223	489	493	-0.3797	15884	15769
635	487	510	-0.3811	15992	15923
4294967809	503	506	-0.3477	15886	15913
12884902771	489	25769804288	-0.1079	15524	15891
4294968177	491	506	0.5908	15948	15988
8589935260	493	8589935337	-0.4307	15908	15930
12884902797	491	17179869710	-0.0000	15524	476
531	475	488	-0.1088	15999	15742
532	475	476	-0.2119	15999	15954
8589935432	503	8589935337	-0.2864	15931	15861
4294967922	487	493	-0.4339	15875	15932
8589935327	479	25769804288	-0.4222	15547	15921
666	484	489	-0.4296	15989	15969
4294967835	489	504	-0.0871	15955	15925
8589935404	491	503	-0.3045	15915	15868
8589935241	477	506	-0.2910	15930	15820
17179869939	475	25769804288	0.4407	15527	15996
4294967939	476	504	-0.2638	15869	15900
4294967832	489	506	-0.1960	15955	15921
12884902658	510	25769804288	-0.0261	15529	15799
8589935240	475	504	0.4994	15919	15998
8589935101	479	505	-0.0000	15893	107
4294967968	506	510	-0.3499	15938	15874
724	476	489	0.3798	15985	15983
548	477	488	0.7861	15998	15997
8589935451	488	491	-0.0747	15920	15760
4294967957	479	506	-0.4610	15956	15995
4294968158	477	479	-0.3151	15960	15917
552	479	488	-0.6437	15998	15981
553	477	489	-0.3709	15998	15970
4294967786	479	491	-0.4822	15945	15979
725	493	503	0.9743	15985	15987
8589935342	477	484	0.1249	15950	15868
8589935193	477	493	-0.4406	15931	15949
4294967933	479	503	-0.3903	15920	15967
559	479	493	-0.1625	15997	15986
874	487	504	0.0864	15972	15966
823	475	484	-0.0673	15976	15699
641	477	510	-0.4136	15991	15977
8589935392	493	12884902408	0.0099	15788	15978
8589935245	479	504	-0.4049	15921	15977
8589935155	488	25769804288	-0.1219	15531	15942
709	487	488	-0.3479	15986	15895
692	484	488	0.1437	15987	15976
4294968164	484	487	0.4437	15933	15972
778	484	503	-0.0490	15980	15956
8589935442	504	8589935337	-0.0732	15896	15963
4294968195	504	510	-0.1185	15950	15961
738	476	503	0.9980	15984	15999
4294968130	504	506	-0.0487	15896	15954
904	488	489	0.9608	15968	15980
855	475	503	0.0460	15974	15996
879	477	503	0.9802	15971	15990
21474837173	506	25769804288	-0.4213	15549	15988
4294967990	477	491	-0.3087	15957	15771
4294968035	510	8589935337	-0.1467	15909	15618
4294968176	479	8589935337	-0.4133	15897	15831
708	484	491	-0.2977	15986	15973
12884902652	477	8589935337	-0.1505	15942	15500
898	503	504	-0.4657	15969	15923
4294967872	510	12884902408	0.9861	15788	15993
743	484	493	-0.5656	15983	15949
8589935169	475	506	-0.1929	15921	15911
587	475	477	0.0513	15995	15914
916	491	510	0.5442	15966	15943
4294968032	493	510	-0.2680	15942	15900
915	487	503	0.7979	15966	15951
849	489	491	-0.2196	15974	15884
4294967777	491	8589935337	-0.2111	15917	15970
902	476	477	-0.5323	15968	15921
4294967895	479	8589935505	-0.3248	15788	15972
933	475	510	-0.0770	15952	15799
4294968054	488	506	0.9763	15938	15988
4294967820	504	12884902408	-0.1645	15748	15838
4294968085	475	479	-0.2605	15949	15893
4294967890	476	506	-0.0230	15941	15820
650	484	504	-0.2886	15990	15904
4294968123	493	506	-0.2397	15960	15883
893	479	484	-0.6779	15969	15919
816	475	487	-0.2005	15977	15720
4294968048	476	479	-0.0627	15924	15945
4294967904	489	503	-0.2971	15957	15989
8589935157	488	504	-0.0776	15940	15967
607	484	506	-0.2526	15994	15880
12884902564	484	8589935337	-0.3156	15911	15647
825	479	489	0.2269	15976	15752
4294967956	484	510	-0.2330	15937	15935
878	476	487	-0.2456	15971	15914
4294967930	479	487	-0.0154	15948	15960
776	476	484	-0.3941	15980	15877
