# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	21541.5508	0.0947	18001	0.4000	3,0,0	0.5000	48
476	6249.1143	-0.0761	18001	0.4000	1,2,1	0.5000	25
477	18091.7266	0.1402	18001	0.4000	3,0,1	0.5000	49
8589935337	16531.3770	0.2978	17950	0.4000	1,2,0	0.5000	24
479	8415.2510	0.2431	18001	0.4000	0,1,1	0.5000	5
506	26193.3672	-0.1478	18001	0.4000	3,3,3	0.5000	63
503	19287.6855	0.0661	18001	0.4000	3,3,1	0.5000	61
493	16118.5488	0.4461	18001	0.4000	3,3,1	0.5000	61
491	13143.9893	-0.2802	18001	0.4000	0,0,3	0.5000	3
484	10835.7949	-0.2044	18001	0.4000	3,2,2	0.5000	58
504	22715.1914	0.4670	18001	0.4000	0,3,3	0.5000	15
25769804288	20943.0156	-0.1127	17550	0.4000	2,2,0	0.5000	40
487	18644.1875	-0.1707	18001	0.4000	0,0,2	0.5000	2
488	10633.6660	0.2705	18001	0.4000	1,0,2	0.5000	18
489	16050.3945	0.1382	18001	0.4000	2,2,1	0.5000	41
510	24504.2715	0.1302	18001	0.4000	2,2,3	0.5000	43
8589935505	14541.2275	0.3973	17850	0.4000	0,2,3	0.5000	11
12884902408	17093.4883	0.2264	17800	0.4000	0,2,3	0.5000	11
34359738867	11846.5801	0.1694	16650	0.4000	1,2,1	0.5000	25
12884902586	9432.5713	0.1304	16450	0.4000	1,1,1	0.5000	21
21474837160	4690.1240	0.1689	16100	0.4000	3,1,2	0.5000	54
30064771590	8533.0928	0.2966	16000	0.4000	0,0,3	0.5000	3
17179869925	14106.2949	0.2204	15550	0.4000	3,1,2	0.5000	54
25769804290	15484.0479	0.3340	15450	0.4000	1,1,2	0.5000	22
17179869706	20778.0781	-0.2957	14950	0.4000	1,0,1	0.5000	17
21474837096	10274.8477	-0.0103	14850	0.4000	1,3,1	0.5000	29
21474837263	19910.3691	0.0196	14800	0.4000	0,2,0	0.5000	8
12884902396	16049.1289	0.1703	14750	0.4000	0,3,2	0.5000	14
42949673528	11899.4521	-0.2592	13100	0.4000	3,2,1	0.5000	57
30064772027	11045.1758	0.4721	12950	0.4000	1,0,2	0.5000	18
42949673923	9904.3984	0.4141	12800	0.4000	1,0,0	0.5000	16
1035	11486.2656	-0.1958	12700	0.4000	2,0,0	0.5000	32
38654706642	12116.2773	-0.2211	12750	0.4000	1,3,0	0.5000	28
1100	23478.3789	0.2693	12550	0.4000	0,1,2	0.5000	6
8589935670	11212.1426	0.2715	12250	0.4000	2,3,2	0.5000	46
8589935778	18163.2578	-0.0480	12200	0.4000	2,1,2	0.5000	38
21474837573	9893.8496	0.4538	11900	0.4000	3,0,0	0.5000	48
38654706917	7314.7271	-0.2880	10300	0.4000	0,0,1	0.5000	1
42949674220	10991.8457	-0.2729	10250	0.4000	0,2,1	0.5000	9
21474837960	5734.5703	-0.2765	8850	0.4000	0,1,3	0.5000	7
4294968701	11387.4316	0.2739	9850	0.4000	2,2,2	0.5000	42
8589935991	3814.8311	0.1963	9250	0.4000	0,2,1	0.5000	9
64424510863	2738.2087	-0.1037	7600	0.4000	0,3,1	0.5000	13
25769805512	4723.7686	-0.0706	4600	0.4000	0,3,0	0.5000	12
77309412529	3065.3979	0.3063	6700	0.4000	1,2,2	0.5000	26
81604380150	2684.1274	0.3217	6250	0.4000	1,0,3	0.5000	19
60129543672	1939.4713	0.0261	6350	0.4000	3,0,1	0.5000	49
115964118200	3186.2925	0.0385	5000	0.4000	3,0,3	0.5000	51
60129543864	2271.8872	-0.0068	3600	0.4000	0,2,1	0.5000	9
60129543909	2725.2458	-0.1860	2350	0.4000	1,1,3	0.5000	23
81604380341	1146.6588	0.3585	2250	0.4000	3,1,1	0.5000	53
38654707616	29.7610	-0.1254	250	0.4000	2,3,2	0.5000	46
158913791716	76.9602	0.1277	50	0.4000	2,2,0	0.5000	40

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	17665	335
4294968208	477	487	-0.2847	17881	17780
4294967830	488	510	0.1218	17918	17880
4294967978	477	504	-0.1684	17864	17652
771	491	493	0.9881	17981	17994
4294968022	476	488	-0.4023	17964	17998
4294967774	488	493	-0.4869	17905	17978
8589935270	484	496	-0.0000	17915	85
4294967836	475	491	-0.2573	17918	17868
4294968223	489	493	-0.3114	17884	17839
635	487	510	-0.0553	17992	17975
4294967809	503	506	-0.4220	17886	17972
12884902771	489	25769804288	-0.2429	17524	17876
4294968177	491	506	0.4505	17948	17990
8589935260	493	8589935337	-0.2722	17908	17834
12884902797	491	17179869710	-0.0000	17524	476
531	475	488	-0.1934	17999	17844
532	475	476	-0.2165	17999	17911
8589935432	503	8589935337	-0.3188	17931	17979
4294967922	487	493	-0.1484	17875	17999
8589935327	479	25769804288	-0.5449	17547	17949
666	484	489	0.0527	17989	17980
4294967835	489	504	-0.2933	17955	17957
8589935404	491	503	-0.0951	17915	17682
8589935241	477	506	-0.2499	17930	17902
17179869939	475	25769804288	-0.2727	17527	17869
4294967939	476	504	-0.2062	17869	17774
4294967832	489	506	0.0008	17955	17912
12884902658	510	25769804288	-0.1351	17529	17960
8589935240	475	504	-0.2065	17919	17775
8589935101	479	505	-0.0000	17893	107
4294967968	506	510	-0.1900	17938	17962
724	476	489	-0.0758	17985	17776
548	477	488	0.9940	17998	17997
8589935451	488	491	0.9920	17920	17996
4294967957	479	506	-0.4471	17956	17809
4294968158	477	479	-0.1423	17960	17910
552	479	488	-0.2259	17998	17628
553	477	489	-0.1734	17998	17823
4294967786	479	491	-0.2331	17945	17934
725	493	503	0.9881	17985	17994
8589935342	477	484	-0.1383	17950	17980
8589935193	477	493	-0.1067	17931	17728
4294967933	479	503	-0.3011	17920	17647
559	479	493	-0.5462	17997	17998
874	487	504	-0.2539	17972	18000
823	475	484	-0.2206	17976	17660
641	477	510	-0.3207	17991	17946
8589935392	493	12884902408	-0.3204	17788	17945
8589935245	479	504	-0.1639	17921	17938
8589935155	488	25769804288	-0.3888	17531	17855
709	487	488	0.0299	17986	17865
692	484	488	-0.0004	17987	17973
4294968164	484	487	0.6508	17933	17994
778	484	503	0.8699	17980	17993
8589935442	504	8589935337	0.1640	17896	17985
4294968195	504	510	-0.1974	17950	17720
738	476	503	0.9802	17984	17990
4294968130	504	506	-0.1642	17896	17854
904	488	489	0.6946	17968	17996
855	475	503	-0.3496	17974	17940
879	477	503	0.9361	17971	17967
21474837173	506	25769804288	-0.1425	17549	17943
4294967990	477	491	-0.1871	17957	17998
4294968035	510	8589935337	-0.0862	17909	17872
4294968176	479	8589935337	-0.2992	17897	17870
708	484	491	-0.4499	17986	17881
12884902652	477	8589935337	-0.3769	17942	17950
898	503	504	-0.0704	17969	17792
4294967872	510	12884902408	0.9960	17788	17998
743	484	493	-0.0292	17983	17915
8589935169	475	506	-0.3891	17921	17848
587	475	477	-0.6162	17995	18000
916	491	510	-0.3218	17966	17898
4294968032	493	510	-0.2566	17942	17980
915	487	503	-0.0370	17966	17933
849	489	491	-0.2121	17974	17956
4294967777	491	8589935337	-0.0401	17917	17977
902	476	477	-0.5319	17968	17812
4294967895	479	8589935505	-0.3517	17788	17890
933	475	510	-0.0276	17952	17987
4294968054	488	506	0.7959	17938	17886
4294967820	504	12884902408	-0.2303	17748	17946
4294968085	475	479	-0.4685	17949	17974
4294967890	476	506	-0.0170	17941	17981
650	484	504	-0.2123	17990	17917
4294968123	493	506	0.2852	17960	18000
893	479	484	-0.3364	17969	17729
816	475	487	-0.0305	17977	17846
4294968048	476	479	-0.3029	17924	17885
4294967904	489	503	-0.2920	17957	17976
8589935157	488	504	-0.2562	17940	17970
607	484	506	0.0742	17994	17997
12884902564	484	8589935337	-0.1782	17911	17971
825	479	489	-0.5596	17976	17991
4294967956	484	510	-0.1313	17937	17917
878	476	487	-0.2491	17971	17967
4294967930	479	487	-0.4972	17948	17978
776	476	484	-0.3483	17980	17838
