# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20938.5508	0.0947	20001	0.4000	3,0,0	0.5000	48
476	6947.1143	-0.0761	20001	0.4000	1,2,1	0.5000	25
477	19680.7266	0.1402	20001	0.4000	3,0,1	0.5000	49
8589935337	16743.3770	0.2978	19950	0.4000	1,2,0	0.5000	24
479	8926.2510	0.2431	20001	0.4000	0,1,1	0.5000	5
506	26409.3672	-0.1478	20001	0.4000	3,3,3	0.5000	63
503	21859.6855	0.0661	20001	0.4000	3,3,1	0.5000	61
493	16331.5488	0.4461	20001	0.4000	3,3,1	0.5000	61
491	14716.9893	-0.2802	20001	0.4000	0,0,3	0.5000	3
484	10517.7949	-0.2044	20001	0.4000	3,2,2	0.5000	58
504	23130.1914	0.4670	20001	0.4000	0,3,3	0.5000	15
25769804288	22469.0156	-0.1127	19550	0.4000	2,2,0	0.5000	40
487	19860.1875	-0.1707	20001	0.4000	0,0,2	0.5000	2
488	12875.6660	0.2705	20001	0.4000	1,0,2	0.5000	18
489	16781.3945	0.1382	20001	0.4000	2,2,1	0.5000	41
510	25652.2715	0.1302	20001	0.4000	2,2,3	0.5000	43
8589935505	15657.2275	0.3973	19850	0.4000	0,2,3	0.5000	11
12884902408	18132.4883	0.2264	19800	0.4000	0,2,3	0.5000	11
34359738867	14059.5801	0.1694	18650	0.4000	1,2,1	0.5000	25
12884902586	10115.5713	0.1304	18450	0.4000	1,1,1	0.5000	21
21474837160	7104.1240	0.1689	18100	0.4000	3,1,2	0.5000	54
30064771590	10179.0928	0.2966	18000	0.4000	0,0,3	0.5000	3
17179869925	14332.2949	0.2204	17550	0.4000	3,1,2	0.5000	54
25769804290	15753.0479	0.3340	17450	0.4000	1,1,2	0.5000	22
17179869706	21001.0781	-0.2957	16950	0.4000	1,0,1	0.5000	17
21474837096	10244.8477	-0.0103	16850	0.4000	1,3,1	0.5000	29
21474837263	21093.3691	0.0196	16800	0.4000	0,2,0	0.5000	8
12884902396	17111.1289	0.1703	16750	0.4000	0,3,2	0.5000	14
42949673528	12642.4521	-0.2592	15100	0.4000	3,2,1	0.5000	57
30064772027	13011.1758	0.4721	14950	0.4000	1,0,2	0.5000	18
42949673923	10236.3984	0.4141	14800	0.4000	1,0,0	0.5000	16
1035	12748.2656	-0.1958	14700	0.4000	2,0,0	0.5000	32
38654706642	12944.2773	-0.2211	14750	0.4000	1,3,0	0.5000	28
1100	24335.3789	0.2693	14550	0.4000	0,1,2	0.5000	6
8589935670	10502.1426	0.2715	14250	0.4000	2,3,2	0.5000	46
8589935778	18503.2578	-0.0480	14200	0.4000	2,1,2	0.5000	38
21474837573	13066.8496	0.4538	13900	0.4000	3,0,0	0.5000	48
38654706917	9036.7266	-0.2880	12300	0.4000	0,0,1	0.5000	1
42949674220	11725.8457	-0.2729	12250	0.4000	0,2,1	0.5000	9
21474837960	7352.5703	-0.2765	10850	0.4000	0,1,3	0.5000	7
4294968701	13676.4316	0.2739	11850	0.4000	2,2,2	0.5000	42
8589935991	4499.8311	0.1963	11250	0.4000	0,2,1	0.5000	9
64424510863	3695.2087	-0.1037	9600	0.4000	0,3,1	0.5000	13
25769805512	6823.7686	-0.0706	6600	0.4000	0,3,0	0.5000	12
77309412529	4274.3979	0.3063	8700	0.4000	1,2,2	0.5000	26
81604380150	3282.1274	0.3217	8250	0.4000	1,0,3	0.5000	19
60129543672	3938.4712	0.0261	8350	0.4000	3,0,1	0.5000	49
115964118200	4392.2925	0.0385	7000	0.4000	3,0,3	0.5000	51
60129543864	3775.8872	-0.0068	5600	0.4000	0,2,1	0.5000	9
60129543909	6334.2461	-0.1860	4350	0.4000	1,1,3	0.5000	23
81604380341	1249.6588	0.3585	4250	0.4000	3,1,1	0.5000	53
47244642254	703.6431	0.1878	1550	0.4000	1,1,1	0.5000	21
30064773027	343.0761	-0.2324	1700	0.4000	1,3,3	0.5000	31
38654707591	308.2921	-0.2709	1450	0.4000	2,1,2	0.5000	38
4294969680	66.3755	0.0279	50	0.4000	0,3,0	0.5000	12
8589936758	369.8475	0.4068	750	0.4000	0,3,2	0.5000	14
17179871345	67.5611	0.4147	700	0.4000	1,2,2	0.5000	26
2213	308.5313	-0.1946	600	0.4000	1,0,0	0.5000	16
4294969684	89.4139	-0.2201	100	0.4000	0,0,0	0.5000	0

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	19665	335
4294968208	477	487	-0.1153	19881	19689
4294967830	488	510	-0.2882	19918	19985
4294967978	477	504	-0.3876	19864	19989
771	491	493	0.9646	19981	19982
4294968022	476	488	-0.1543	19964	19986
4294967774	488	493	-0.3249	19905	19855
8589935270	484	496	-0.0000	19915	85
4294967836	475	491	-0.4789	19918	19985
4294968223	489	493	-0.2208	19884	19905
635	487	510	-0.4040	19992	19708
4294967809	503	506	-0.2819	19886	19964
12884902771	489	25769804288	0.1420	19524	19909
4294968177	491	506	0.1106	19948	19861
8589935260	493	8589935337	0.8146	19908	19987
12884902797	491	17179869710	-0.0000	19524	476
531	475	488	0.8143	19999	19988
532	475	476	-0.2716	19999	19753
8589935432	503	8589935337	-0.3497	19931	19993
4294967922	487	493	0.2755	19875	19860
8589935327	479	25769804288	-0.2219	19547	19634
666	484	489	0.0569	19989	19953
4294967835	489	504	-0.2662	19955	19940
8589935404	491	503	-0.2255	19915	19714
8589935241	477	506	-0.3898	19930	19871
17179869939	475	25769804288	-0.2663	19527	19692
4294967939	476	504	-0.3885	19869	19985
4294967832	489	506	-0.3166	19955	19932
12884902658	510	25769804288	-0.3093	19529	19795
8589935240	475	504	-0.1683	19919	19888
8589935101	479	505	-0.0000	19893	107
4294967968	506	510	-0.1485	19938	19941
724	476	489	-0.0731	19985	19569
548	477	488	0.9398	19998	19969
8589935451	488	491	0.3199	19920	19964
4294967957	479	506	0.1672	19956	19891
4294968158	477	479	0.8539	19960	19986
552	479	488	-0.3165	19998	19922
553	477	489	0.9474	19998	19973
4294967786	479	491	-0.1345	19945	19751
725	493	503	-0.1246	19985	19857
8589935342	477	484	0.0502	19950	19777
8589935193	477	493	-0.4787	19931	19935
4294967933	479	503	-0.2131	19920	19831
559	479	493	-0.3079	19997	19814
874	487	504	-0.2848	19972	19996
823	475	484	-0.1129	19976	19977
641	477	510	-0.1873	19991	19879
8589935392	493	12884902408	-0.1379	19788	19925
8589935245	479	504	-0.3622	19921	19928
8589935155	488	25769804288	0.3918	19531	19985
709	487	488	-0.2981	19986	19967
692	484	488	-0.1979	19987	19846
4294968164	484	487	0.7999	19933	19979
778	484	503	0.1145	19980	19790
8589935442	504	8589935337	0.0536	19896	19958
4294968195	504	510	0.2243	19950	19922
738	476	503	0.8752	19984	20000
4294968130	504	506	-0.0953	19896	19948
904	488	489	-0.2065	19968	19826
855	475	503	-0.3266	19974	19818
879	477	503	0.5027	19971	19970
21474837173	506	25769804288	-0.3918	19549	19945
4294967990	477	491	0.2784	19957	19991
4294968035	510	8589935337	-0.3714	19909	19912
4294968176	479	8589935337	-0.3263	19897	19729
708	484	491	0.1772	19986	19807
12884902652	477	8589935337	-0.0741	19942	19503
898	503	504	-0.3462	19969	19858
4294967872	510	12884902408	0.0706	19788	19928
743	484	493	-0.2178	19983	19849
8589935169	475	506	-0.3044	19921	19985
587	475	477	0.1729	19995	19951
916	491	510	-0.2108	19966	19960
4294968032	493	510	-0.1260	19942	19988
915	487	503	-0.2385	19966	19952
849	489	491	-0.2936	19974	19940
4294967777	491	8589935337	-0.4355	19917	19793
902	476	477	-0.2051	19968	19991
4294967895	479	8589935505	-0.0860	19788	19892
933	475	510	-0.3467	19952	19799
4294968054	488	506	-0.0878	19938	19819
4294967820	504	12884902408	-0.1518	19748	19679
4294968085	475	479	-0.2498	19949	19954
4294967890	476	506	-0.5294	19941	19979
650	484	504	-0.4427	19990	19975
4294968123	493	506	-0.3264	19960	19999
893	479	484	-0.3401	19969	19948
816	475	487	-0.2443	19977	19909
4294968048	476	479	-0.4436	19924	19982
4294967904	489	503	0.9980	19957	19999
8589935157	488	504	-0.1967	19940	19880
607	484	506	-0.2439	19994	19768
12884902564	484	8589935337	-0.1118	19911	19966
825	479	489	-0.2085	19976	19749
4294967956	484	510	-0.2643	19937	19997
878	476	487	-0.2747	19971	19985
4294967930	479	487	-0.3382	19948	19787
776	476	484	-0.2394	19980	19980
4294968069	475	8589935337	-0.3184	19924	19856
4294967807	506	8589935337	-0.0080	19912	19979
804	476	491	-0.3624	19978	19962
4294968030	476	510	-0.3186	19899	19946
4294967865	491	12884902408	-0.1637	19783	19982
4294967778	487	506	-0.2091	19899	19874
8589935097	475	12884902408	0.9286	19772	19963
4294967869	487	8589935337	-0.3940	19940	19900
730	489	510	-0.2182	19985	19901
928	487	489	-0.0009	19953	19994
