# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20466.5508	0.0947	22001	0.4000	3,0,0	0.5000	48
476	7041.1143	-0.0761	22001	0.4000	1,2,1	0.5000	25
477	21008.7266	0.1402	22001	0.4000	3,0,1	0.5000	49
8589935337	17158.3770	0.2978	21950	0.4000	1,2,0	0.5000	24
479	9651.2510	0.2431	22001	0.4000	0,1,1	0.5000	5
506	27791.3672	-0.1478	22001	0.4000	3,3,3	0.5000	63
503	23121.6855	0.0661	22001	0.4000	3,3,1	0.5000	61
493	16594.5488	0.4461	22001	0.4000	3,3,1	0.5000	61
491	14899.9893	-0.2802	22001	0.4000	0,0,3	0.5000	3
484	12107.7949	-0.2044	22001	0.4000	3,2,2	0.5000	58
504	23750.1914	0.4670	22001	0.4000	0,3,3	0.5000	15
25769804288	23909.0156	-0.1127	21550	0.4000	2,2,0	0.5000	40
487	21173.1875	-0.1707	22001	0.4000	0,0,2	0.5000	2
488	14037.6660	0.2705	22001	0.4000	1,0,2	0.5000	18
489	18107.3945	0.1382	22001	0.4000	2,2,1	0.5000	41
510	25348.2715	0.1302	22001	0.4000	2,2,3	0.5000	43
8589935505	17623.2266	0.3973	21850	0.4000	0,2,3	0.5000	11
12884902408	18084.4883	0.2264	21800	0.4000	0,2,3	0.5000	11
34359738867	14895.5801	0.1694	20650	0.4000	1,2,1	0.5000	25
12884902586	11722.5713	0.1304	20450	0.4000	1,1,1	0.5000	21
21474837160	8917.1240	0.1689	20100	0.4000	3,1,2	0.5000	54
30064771590	11392.0928	0.2966	20000	0.4000	0,0,3	0.5000	3
17179869925	15379.2949	0.2204	19550	0.4000	3,1,2	0.5000	54
25769804290	16275.0479	0.3340	19450	0.4000	1,1,2	0.5000	22
17179869706	20905.0781	-0.2957	18950	0.4000	1,0,1	0.5000	17
21474837096	9987.8477	-0.0103	18850	0.4000	1,3,1	0.5000	29
21474837263	21498.3691	0.0196	18800	0.4000	0,2,0	0.5000	8
12884902396	17847.1289	0.1703	18750	0.4000	0,3,2	0.5000	14
42949673528	13865.4521	-0.2592	17100	0.4000	3,2,1	0.5000	57
30064772027	14936.1758	0.4721	16950	0.4000	1,0,2	0.5000	18
42949673923	10485.3984	0.4141	16800	0.4000	1,0,0	0.5000	16
1035	14110.2656	-0.1958	16700	0.4000	2,0,0	0.5000	32
38654706642	11882.2773	-0.2211	16750	0.4000	1,3,0	0.5000	28
1100	25241.3789	0.2693	16550	0.4000	0,1,2	0.5000	6
8589935670	10608.1426	0.2715	16250	0.4000	2,3,2	0.5000	46
8589935778	18434.2578	-0.0480	16200	0.4000	2,1,2	0.5000	38
21474837573	15154.8496	0.4538	15900	0.4000	3,0,0	0.5000	48
38654706917	10402.7266	-0.2880	14300	0.4000	0,0,1	0.5000	1
42949674220	11330.8457	-0.2729	14250	0.4000	0,2,1	0.5000	9
21474837960	7133.5703	-0.2765	12850	0.4000	0,1,3	0.5000	7
4294968701	14491.4316	0.2739	13850	0.4000	2,2,2	0.5000	42
8589935991	4751.8311	0.1963	13250	0.4000	0,2,1	0.5000	9
64424510863	4579.2090	-0.1037	11600	0.4000	0,3,1	0.5000	13
25769805512	8043.7686	-0.0706	8600	0.4000	0,3,0	0.5000	12
77309412529	5455.3979	0.3063	10700	0.4000	1,2,2	0.5000	26
81604380150	4671.1274	0.3217	10250	0.4000	1,0,3	0.5000	19
60129543672	5608.4712	0.0261	10350	0.4000	3,0,1	0.5000	49
115964118200	6304.2925	0.0385	9000	0.4000	3,0,3	0.5000	51
60129543864	3587.8872	-0.0068	7600	0.4000	0,2,1	0.5000	9
60129543909	10096.2461	-0.1860	6350	0.4000	1,1,3	0.5000	23
81604380341	1798.6588	0.3585	6250	0.4000	3,1,1	0.5000	53
47244642254	3051.6431	0.1878	3550	0.4000	1,1,1	0.5000	21
30064773027	576.0762	-0.2324	3700	0.4000	1,3,3	0.5000	31
38654707591	1236.2920	-0.2709	3450	0.4000	2,1,2	0.5000	38
2213	530.5313	-0.1946	2600	0.4000	1,0,0	0.5000	16
8589936758	1229.8474	0.4068	2750	0.4000	0,3,2	0.5000	14
17179871345	1166.5610	0.4147	2700	0.4000	1,2,2	0.5000	26
64424511811	111.7082	-0.0838	50	0.4000	3,1,1	0.5000	53
73014446457	14.2150	-0.0746	100	0.4000	0,1,1	0.5000	5

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	21665	335
4294968208	477	487	-0.1962	21881	21934
4294967830	488	510	-0.3300	21918	21998
4294967978	477	504	-0.2351	21864	21706
771	491	493	1.0000	21981	22000
4294968022	476	488	-0.1253	21964	21730
4294967774	488	493	-0.3041	21905	21979
8589935270	484	496	-0.0000	21915	85
4294967836	475	491	-0.4284	21918	21780
4294968223	489	493	-0.2705	21884	21782
635	487	510	-0.3496	21992	21956
4294967809	503	506	-0.3864	21886	21951
12884902771	489	25769804288	-0.0644	21524	21517
4294968177	491	506	0.0372	21948	21920
8589935260	493	8589935337	-0.1388	21908	21996
12884902797	491	17179869710	-0.0000	21524	476
531	475	488	-0.1775	21999	21908
532	475	476	-0.0173	21999	21899
8589935432	503	8589935337	-0.1260	21931	21839
4294967922	487	493	-0.2788	21875	21789
8589935327	479	25769804288	-0.1365	21547	21986
666	484	489	-0.3149	21989	21913
4294967835	489	504	-0.2722	21955	21831
8589935404	491	503	-0.1884	21915	21979
8589935241	477	506	-0.2620	21930	21953
17179869939	475	25769804288	-0.2390	21527	21973
4294967939	476	504	0.0469	21869	21880
4294967832	489	506	-0.4489	21955	21915
12884902658	510	25769804288	0.9803	21529	21999
8589935240	475	504	0.1490	21919	21847
8589935101	479	505	-0.0000	21893	107
4294967968	506	510	-0.1637	21938	21598
724	476	489	-0.2182	21985	21753
548	477	488	0.7295	21998	21971
8589935451	488	491	-0.1619	21920	21882
4294967957	479	506	-0.3413	21956	21999
4294968158	477	479	0.4724	21960	21997
552	479	488	0.3439	21998	21979
553	477	489	0.9584	21998	21987
4294967786	479	491	-0.2888	21945	21922
725	493	503	-0.2053	21985	21827
8589935342	477	484	-0.3457	21950	21989
8589935193	477	493	0.3169	21931	21999
4294967933	479	503	-0.1374	21920	21892
559	479	493	-0.2820	21997	21978
874	487	504	-0.0166	21972	21993
823	475	484	-0.0587	21976	21927
641	477	510	0.9940	21991	21997
8589935392	493	12884902408	-0.1950	21788	21939
8589935245	479	504	-0.1862	21921	21625
8589935155	488	25769804288	-0.1895	21531	21830
709	487	488	-0.5111	21986	21943
692	484	488	0.5921	21987	21995
4294968164	484	487	0.9980	21933	21999
778	484	503	0.9960	21980	21998
8589935442	504	8589935337	-0.2705	21896	21855
4294968195	504	510	-0.4485	21950	21895
738	476	503	0.7031	21984	21997
4294968130	504	506	-0.0541	21896	21946
904	488	489	-0.3004	21968	21849
855	475	503	-0.1069	21974	22000
879	477	503	0.0104	21971	21929
21474837173	506	25769804288	-0.4008	21549	21885
4294967990	477	491	-0.2998	21957	21957
4294968035	510	8589935337	-0.2150	21909	21977
4294968176	479	8589935337	-0.6362	21897	21923
708	484	491	-0.4425	21986	21950
12884902652	477	8589935337	0.0499	21942	21842
898	503	504	-0.4444	21969	21984
4294967872	510	12884902408	-0.0311	21788	21985
743	484	493	-0.2287	21983	21930
8589935169	475	506	-0.2573	21921	21762
587	475	477	0.2089	21995	21956
916	491	510	-0.3770	21966	21967
4294968032	493	510	0.0258	21942	21985
915	487	503	-0.2558	21966	21961
849	489	491	-0.3298	21974	21839
4294967777	491	8589935337	-0.1107	21917	21982
902	476	477	-0.2729	21968	21910
4294967895	479	8589935505	-0.2362	21788	21810
933	475	510	-0.0517	21952	21815
4294968054	488	506	-0.5040	21938	21941
4294967820	504	12884902408	-0.3004	21748	21912
4294968085	475	479	-0.2865	21949	21932
4294967890	476	506	0.0221	21941	21867
650	484	504	-0.1698	21990	21557
4294968123	493	506	-0.1898	21960	21765
893	479	484	-0.3715	21969	21987
816	475	487	-0.3999	21977	21931
4294968048	476	479	-0.2899	21924	21662
4294967904	489	503	-0.1293	21957	21596
8589935157	488	504	0.2212	21940	21883
607	484	506	-0.3312	21994	21884
12884902564	484	8589935337	-0.1944	21911	21948
825	479	489	0.0803	21976	21867
4294967956	484	510	-0.2299	21937	21934
878	476	487	-0.4074	21971	21983
4294967930	479	487	0.1969	21948	21977
776	476	484	-0.2870	21980	21914
4294968069	475	8589935337	-0.0820	21924	21930
4294967807	506	8589935337	-0.1651	21912	21702
804	476	491	-0.1677	21978	21560
4294968030	476	510	-0.1334	21899	21900
4294967865	491	12884902408	-0.3226	21783	21971
4294967778	487	506	0.4797	21899	21991
8589935097	475	12884902408	-0.0803	21772	21985
4294967869	487	8589935337	-0.0851	21940	21685
730	489	510	0.0672	21985	21958
928	487	489	-0.3057	21953	21969
