# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	18212.5508	0.0947	24001	0.4000	3,0,0	0.5000	48
476	6323.1143	-0.0761	24001	0.4000	1,2,1	0.5000	25
477	22429.7266	0.1402	24001	0.4000	3,0,1	0.5000	49
8589935337	16174.3770	0.2978	23950	0.4000	1,2,0	0.5000	24
479	11446.2510	0.2431	24001	0.4000	0,1,1	0.5000	5
506	29357.3672	-0.1478	24001	0.4000	3,3,3	0.5000	63
503	24778.6855	0.0661	24001	0.4000	3,3,1	0.5000	61
493	16838.5488	0.4461	24001	0.4000	3,3,1	0.5000	61
491	15154.9893	-0.2802	24001	0.4000	0,0,3	0.5000	3
484	13776.7949	-0.2044	24001	0.4000	3,2,2	0.5000	58
504	23648.1914	0.4670	24001	0.4000	0,3,3	0.5000	15
25769804288	25328.0156	-0.1127	23550	0.4000	2,2,0	0.5000	40
487	20674.1875	-0.1707	24001	0.4000	0,0,2	0.5000	2
488	15097.6660	0.2705	24001	0.4000	1,0,2	0.5000	18
489	18683.3945	0.1382	24001	0.4000	2,2,1	0.5000	41
510	26634.2715	0.1302	24001	0.4000	2,2,3	0.5000	43
8589935505	19260.2266	0.3973	23850	0.4000	0,2,3	0.5000	11
12884902408	17809.4883	0.2264	23800	0.4000	0,2,3	0.5000	11
34359738867	15647.5801	0.1694	22650	0.4000	1,2,1	0.5000	25
12884902586	13590.5713	0.1304	22450	0.4000	1,1,1	0.5000	21
21474837160	9730.1240	0.1689	22100	0.4000	3,1,2	0.5000	54
30064771590	12296.0928	0.2966	22000	0.4000	0,0,3	0.5000	3
17179869925	16809.2949	0.2204	21550	0.4000	3,1,2	0.5000	54
25769804290	15611.0479	0.3340	21450	0.4000	1,1,2	0.5000	22
17179869706	20629.0781	-0.2957	20950	0.4000	1,0,1	0.5000	17
21474837096	11527.8477	-0.0103	20850	0.4000	1,3,1	0.5000	29
21474837263	21360.3691	0.0196	20800	0.4000	0,2,0	0.5000	8
12884902396	19197.1289	0.1703	20750	0.4000	0,3,2	0.5000	14
42949673528	13562.4521	-0.2592	19100	0.4000	3,2,1	0.5000	57
30064772027	14902.1758	0.4721	18950	0.4000	1,0,2	0.5000	18
42949673923	10758.3984	0.4141	18800	0.4000	1,0,0	0.5000	16
1035	15956.2656	-0.1958	18700	0.4000	2,0,0	0.5000	32
38654706642	10482.2773	-0.2211	18750	0.4000	1,3,0	0.5000	28
1100	24008.3789	0.2693	18550	0.4000	0,1,2	0.5000	6
8589935670	10932.1426	0.2715	18250	0.4000	2,3,2	0.5000	46
8589935778	19672.2578	-0.0480	18200	0.4000	2,1,2	0.5000	38
21474837573	15932.8496	0.4538	17900	0.4000	3,0,0	0.5000	48
38654706917	10674.7266	-0.2880	16300	0.4000	0,0,1	0.5000	1
42949674220	11854.8457	-0.2729	16250	0.4000	0,2,1	0.5000	9
21474837960	7727.5703	-0.2765	14850	0.4000	0,1,3	0.5000	7
4294968701	14379.4316	0.2739	15850	0.4000	2,2,2	0.5000	42
8589935991	6582.8311	0.1963	15250	0.4000	0,2,1	0.5000	9
64424510863	5816.2090	-0.1037	13600	0.4000	0,3,1	0.5000	13
25769805512	10441.7686	-0.0706	10600	0.4000	0,3,0	0.5000	12
77309412529	6587.3979	0.3063	12700	0.4000	1,2,2	0.5000	26
81604380150	4770.1274	0.3217	12250	0.4000	1,0,3	0.5000	19
60129543672	7606.4712	0.0261	12350	0.4000	3,0,1	0.5000	49
115964118200	7131.2925	0.0385	11000	0.4000	3,0,3	0.5000	51
60129543864	5180.8872	-0.0068	9600	0.4000	0,2,1	0.5000	9
60129543909	11053.2461	-0.1860	8350	0.4000	1,1,3	0.5000	23
81604380341	3666.6587	0.3585	8250	0.4000	3,1,1	0.5000	53
47244642254	6138.6431	0.1878	5550	0.4000	1,1,1	0.5000	21
30064773027	1211.0762	-0.2324	5700	0.4000	1,3,3	0.5000	31
38654707591	917.2920	-0.2709	5450	0.4000	2,1,2	0.5000	38
2213	1432.5312	-0.1946	4600	0.4000	1,0,0	0.5000	16
8589936758	2986.8474	0.4068	4750	0.4000	0,3,2	0.5000	14
17179871345	2025.5610	0.4147	4700	0.4000	1,2,2	0.5000	26
55834577233	156.5374	0.4712	350	0.4000	3,1,0	0.5000	52
94489282579	92.4124	-0.1881	100	0.4000	3,1,3	0.5000	55
30064773391	26.0777	0.2697	150	0.4000	3,1,2	0.5000	54
21474838946	64.7930	-0.1755	50	0.4000	3,1,3	0.5000	55

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	23665	335
4294968208	477	487	-0.1673	23881	23755
4294967830	488	510	-0.4517	23918	23998
4294967978	477	504	-0.1845	23864	23900
771	491	493	-0.1608	23981	23772
4294968022	476	488	-0.1384	23964	23914
4294967774	488	493	0.2502	23905	23903
8589935270	484	496	-0.0000	23915	85
4294967836	475	491	-0.5232	23918	23969
4294968223	489	493	-0.4147	23884	23960
635	487	510	0.2499	23992	23999
4294967809	503	506	-0.3818	23886	23900
12884902771	489	25769804288	-0.3530	23524	23859
4294968177	491	506	-0.4841	23948	23850
8589935260	493	8589935337	-0.3907	23908	23963
12884902797	491	17179869710	-0.0000	23524	476
531	475	488	-0.2266	23999	23995
532	475	476	-0.1947	23999	23985
8589935432	503	8589935337	0.1480	23931	23954
4294967922	487	493	-0.0036	23875	23984
8589935327	479	25769804288	-0.3076	23547	23992
666	484	489	-0.3662	23989	23873
4294967835	489	504	-0.1184	23955	23866
8589935404	491	503	-0.0646	23915	23923
8589935241	477	506	-0.4261	23930	23965
17179869939	475	25769804288	-0.2570	23527	23918
4294967939	476	504	-0.3241	23869	23898
4294967832	489	506	-0.0045	23955	23790
12884902658	510	25769804288	0.8855	23529	23993
8589935240	475	504	-0.1261	23919	23827
8589935101	479	505	-0.0000	23893	107
4294967968	506	510	-0.1572	23938	23990
724	476	489	-0.3445	23985	23893
548	477	488	0.0495	23998	23778
8589935451	488	491	-0.4432	23920	23958
4294967957	479	506	-0.0221	23956	23815
4294968158	477	479	0.0777	23960	23717
552	479	488	1.0000	23998	24000
553	477	489	0.7089	23998	23968
4294967786	479	491	0.1689	23945	23992
725	493	503	-0.1102	23985	23992
8589935342	477	484	-0.2996	23950	24000
8589935193	477	493	-0.3888	23931	23804
4294967933	479	503	-0.3741	23920	23929
559	479	493	0.9980	23997	23999
874	487	504	-0.2916	23972	23813
823	475	484	-0.1280	23976	23932
641	477	510	0.7441	23991	24000
8589935392	493	12884902408	-0.3216	23788	23731
8589935245	479	504	-0.4476	23921	23991
8589935155	488	25769804288	-0.4252	23531	23962
709	487	488	-0.2239	23986	23421
692	484	488	0.2728	23987	23999
4294968164	484	487	-0.0336	23933	23931
778	484	503	0.1921	23980	23997
8589935442	504	8589935337	-0.6317	23896	23880
4294968195	504	510	-0.2623	23950	23910
738	476	503	-0.2517	23984	23937
4294968130	504	506	-0.4277	23896	23920
904	488	489	-0.1341	23968	23982
855	475	503	-0.4033	23974	23964
879	477	503	-0.4385	23971	23993
21474837173	506	25769804288	-0.0336	23549	23810
4294967990	477	491	-0.4966	23957	23989
4294968035	510	8589935337	-0.4613	23909	23895
4294968176	479	8589935337	-0.3487	23897	23974
708	484	491	-0.4701	23986	23898
12884902652	477	8589935337	-0.2896	23942	23976
898	503	504	-0.1190	23969	23948
4294967872	510	12884902408	-0.0599	23788	23910
743	484	493	-0.1912	23983	23680
8589935169	475	506	-0.3207	23921	23941
587	475	477	-0.4770	23995	23946
916	491	510	-0.3463	23966	23784
4294968032	493	510	0.0026	23942	23749
915	487	503	-0.4959	23966	23904
849	489	491	-0.3846	23974	23892
4294967777	491	8589935337	-0.2387	23917	23787
902	476	477	-0.2405	23968	23953
4294967895	479	8589935505	0.7825	23788	23993
933	475	510	-0.0663	23952	23922
4294968054	488	506	-0.0437	23938	23955
4294967820	504	12884902408	0.1141	23748	23970
4294968085	475	479	-0.1390	23949	23952
4294967890	476	506	-0.4581	23941	23845
650	484	504	0.1587	23990	23977
4294968123	493	506	-0.0304	23960	23988
893	479	484	-0.0860	23969	23964
816	475	487	-0.2569	23977	23902
4294968048	476	479	-0.2538	23924	23952
4294967904	489	503	0.9550	23957	23977
8589935157	488	504	-0.5261	23940	23878
607	484	506	-0.1397	23994	23880
12884902564	484	8589935337	-0.2966	23911	23989
825	479	489	-0.3582	23976	23937
4294967956	484	510	-0.1347	23937	23494
878	476	487	-0.2978	23971	23773
4294967930	479	487	-0.2382	23948	23927
776	476	484	-0.2307	23980	23960
4294968069	475	8589935337	-0.4696	23924	23965
4294967807	506	8589935337	-0.2391	23912	23894
804	476	491	-0.2082	23978	23738
4294968030	476	510	-0.1628	23899	23861
4294967865	491	12884902408	0.5622	23783	23980
4294967778	487	506	0.5087	23899	23990
8589935097	475	12884902408	-0.4883	23772	23988
4294967869	487	8589935337	-0.3163	23940	23892
730	489	510	-0.2568	23985	23920
928	487	489	0.0137	23953	23972
822	479	510	-0.1563	23977	23918
8589935468	476	493	-0.1025	23947	23901
8589935353	476	8589935337	-0.2623	23941	23926
932	503	510	-0.0848	23953	23809
4294968201	488	8589935337	-0.4239	23938	23973
4294968187	475	489	-0.3094	23965	23846
657	491	504	-0.2900	23990	23952
780	487	491	-0.1167	23980	23982
4294967967	489	8589935337	-0.5120	23949	23996
8589935413	491	8589935505	-0.1044	23778	23891
4294967826	475	493	-0.3766	23955	23886
8589935093	493	504	-0.3529	23860	23922
8589935251	488	503	-0.2829	23857	23839
4294967975	506	12884902408	-0.3829	23782	23990
8589935075	493	8589935505	-0.2616	23849	23994
12884902682	510	8589935505	0.0029	23847	23962
8589935094	503	8589935505	0.9175	23846	23957
8589935436	489	8589935505	-0.2895	23846	23990
8589935239	487	8589935505	0.1615	23844	23934
12884902583	475	8589935505	0.0309	23843	23874
8589935090	506	8589935505	0.0800	23842	23956
8589935369	488	8589935505	-0.1666	23840	23967
12884902417	8589935337	8589935505	-0.2263	23838	23797
8589935281	477	8589935505	-0.3334	23823	23991
8589935276	476	8589935505	0.0089	23807	23983
12884902751	504	8589935505	-0.1474	23807	23828
4294967896	484	8589935505	-0.1230	23799	23623
4294968095	487	12884902408	-0.4071	23799	23949
4294968050	8589935337	12884902408	-0.7598	23797	23927
8589935120	479	12884902408	0.9212	23797	23959
4294967973	8589935505	12884902408	-0.1349	23796	23894
4294967858	488	12884902408	-0.0654	23795	23849
4294967960	477	12884902408	-0.3108	23794	23993
4294968088	476	12884902408	-0.2717	23792	23940
4294968000	489	12884902408	-0.1438	23791	23838
12884902520	484	12884902408	-0.3601	23790	24000
8589935445	503	12884902408	-0.4644	23789	23932
8589935336	476	25769804288	-0.2456	23540	23992
12884902413	491	25769804288	-0.2442	23548	23914
8589935452	503	25769804288	0.0471	23546	23990
12884902775	8589935337	25769804288	-0.3549	23547	23930
21474837006	504	25769804288	-0.1468	23518	23831
8589935440	12884902408	25769804288	0.4634	23452	23964
17179870091	477	25769804288	0.6610	23464	23995
21474836977	484	4294968056	-0.0000	23341	659
17179869670	484	25769804288	-0.2770	23491	23848
17179869900	493	25769804288	-0.1009	23478	23983
17179869788	8589935505	25769804288	-0.2503	23479	23905
4294968092	487	25769804288	-0.3777	23454	23951
12884902476	479	17179869871	-0.0000	23267	733
17179869979	510	47244640941	-0.0000	22816	1184
34359739090	484	34359738867	-0.2260	22647	23798
38654706242	510	34359738867	-0.2281	22646	23745
47244641151	12884902408	34359738867	-0.0079	22644	23867
25769804322	504	34359738867	-0.4233	22641	23994
51539608384	503	34359738867	-0.0399	22640	23967
34359739071	475	34359738867	-0.3380	22639	23906
47244640869	506	34359738867	-0.1628	22638	23894
38654706244	493	34359738867	0.0258	22633	23849
38654706371	8589935337	34359738867	-0.2274	22632	23997
30064771712	477	34359738867	-0.1457	22627	23788
60129542829	479	34359738867	-0.2700	22624	23875
30064771772	25769804288	34359738867	-0.2368	22623	23964
47244640943	489	34359738867	-0.0503	22618	23999
34359739140	8589935505	34359738867	-0.1491	22613	23366
51539608398	476	34359738867	-0.4983	22613	23996
42949673531	491	34359738867	-0.2427	22607	23889
30064771623	487	34359738867	-0.1267	22602	23881
8589935478	12884902408	12884902586	0.2655	22427	23907
30064771587	488	34359738867	-0.4762	22594	23988
8589935340	12884902586	34359738867	0.3461	22432	23882
8589935265	475	12884902586	-0.4478	22433	23854
8589935462	488	12884902586	0.0666	22438	23938
8589935474	506	12884902586	-0.2929	22440	23934
8589935216	8589935505	12884902586	-0.0837	22442	23988
8589935448	487	12884902586	-0.4708	22443	23990
17179870002	489	12884902586	-0.2209	22446	23994
8589935380	493	12884902586	0.3588	22447	23953
17179869924	491	12884902586	-0.3026	22448	23913
4294967852	510	12884902586	-0.1445	22339	23993
25769804611	503	12884902586	-0.2201	22421	23949
42949673625	12884902586	25769804288	0.9493	22423	23974
21474837118	504	12884902586	0.9821	22423	23991
8589935099	476	12884902586	0.0430	22424	23933
8589935313	484	12884902586	-0.0444	22425	23914
38654706238	477	12884902586	-0.0019	22426	23911
4294967889	479	12884902586	0.8922	22341	23994
8589935092	8589935337	12884902586	-0.4064	22338	23961
12884902657	487	21474837160	-0.3089	22078	23947
17179869870	12884902586	21474837160	-0.1921	22081	23806
12884902409	12884902408	21474837160	-0.3318	22082	23945
17179869763	476	21474837160	-0.2098	22083	23990
12884902469	21474837160	34359738867	-0.1638	22084	23823
17179869829	506	21474837160	0.0073	22099	23900
42949673675	489	21474837160	-0.3577	22086	23920
55834575506	475	21474837160	-0.3072	22086	23938
55834575749	21474837160	25769804288	-0.2722	22087	23922
17179869950	491	21474837160	-0.1662	22089	23972
12884902742	503	21474837160	-0.0365	22090	23803
17179870015	510	21474837160	-0.1551	22091	23897
12884902712	488	21474837160	0.7413	22093	24000
42949673837	484	21474837160	0.0870	22061	23905
64424510200	493	21474837160	-0.1712	22052	23967
17179869766	479	21474837160	-0.1143	22051	23981
21474837226	8589935337	21474837160	-0.3602	22034	23969
42949673826	504	21474837160	-0.2872	22035	23945
38654706338	477	21474837160	-0.5433	22008	23906
51539608107	8589935505	30064771590	0.0242	21999	23925
21474837243	503	30064771590	-0.0551	21996	23973
17179869987	510	30064771590	-0.1978	21991	23662
17179870022	477	30064771590	0.7805	21991	23977
21474837192	484	30064771590	-0.2244	21989	23807
68719477517	8589935337	30064771590	-0.2611	21988	23986
30064771716	479	30064771590	-0.2317	21987	23852
47244640973	8589935505	21474837160	-0.2861	21978	23982
34359738891	30064771590	34359738867	-0.2080	21978	23965
25769804682	487	30064771590	-0.1912	21977	23832
51539608093	21474837160	30064771590	0.5364	21976	23996
42949673751	489	30064771590	0.9900	21975	23995
60129543079	491	30064771590	-0.2094	21974	23765
30064771936	476	30064771590	0.0973	21972	23982
55834575645	475	30064771590	-0.1080	21971	23889
42949673775	12884902586	30064771590	-0.2513	21966	23650
38654706234	504	30064771590	-0.3548	21959	23914
55834575748	493	30064771590	-0.3079	21958	23885
51539608154	488	30064771590	-0.3224	21954	23756
34359739174	12884902408	30064771590	-0.2278	21951	23871
12884902431	12884902761	34359738867	-0.0000	21918	2082
17179869676	25769804288	30064771590	-0.1896	21923	23923
42949673577	506	30064771590	-0.1337	21936	23882
12884902579	493	8589935294	-0.0000	21661	2339
17179869915	488	8589935294	-0.0000	21661	2339
21474837309	510	17179869925	-0.1112	21545	23952
17179869756	12884902408	17179869925	-0.3199	21546	23911
34359739198	17179869925	34359738867	-0.2073	21547	23844
12884902698	504	17179869925	-0.1795	21542	23766
21474837135	503	17179869925	-0.0958	21542	23880
25769804615	12884902586	17179869925	-0.6143	21541	23981
38654706383	488	17179869925	-0.3331	21540	23938
21474837182	484	17179869925	0.1945	21539	23946
25769804698	475	17179869925	0.7195	21521	23978
21474837095	477	17179869925	-0.3821	21520	23942
17179869912	489	17179869925	-0.2538	21520	23947
17179870012	17179869925	21474837160	-0.5215	21513	23953
21474837297	506	17179869925	0.0028	21500	23985
25769804555	8589935337	17179869925	-0.4653	21496	23934
21474837100	479	17179869925	0.2866	21496	23950
60129542930	25769804648	30064771590	-0.0000	21448	2552
73014444799	479	25769804290	-0.0126	21449	23787
47244641057	12884902586	25769804290	0.1374	21449	23929
55834575471	477	25769804290	0.0220	21449	23944
17179869993	491	17179869925	-0.3093	21472	23834
34359739241	17179869925	30064771590	-0.1708	21475	23918
