# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	16760.5508	0.0947	26001	0.4000	3,0,0	0.5000	48
476	5862.1143	-0.0761	26001	0.4000	1,2,1	0.5000	25
477	23598.7266	0.1402	26001	0.4000	3,0,1	0.5000	49
8589935337	16461.3770	0.2978	25950	0.4000	1,2,0	0.5000	24
479	12479.2510	0.2431	26001	0.4000	0,1,1	0.5000	5
506	30877.3672	-0.1478	26001	0.4000	3,3,3	0.5000	63
503	25860.6855	0.0661	26001	0.4000	3,3,1	0.5000	61
493	17417.5488	0.4461	26001	0.4000	3,3,1	0.5000	61
491	16168.9893	-0.2802	26001	0.4000	0,0,3	0.5000	3
484	15560.7949	-0.2044	26001	0.4000	3,2,2	0.5000	58
504	22315.1914	0.4670	26001	0.4000	0,3,3	0.5000	15
25769804288	26557.0156	-0.1127	25550	0.4000	2,2,0	0.5000	40
487	19338.1875	-0.1707	26001	0.4000	0,0,2	0.5000	2
488	16520.6660	0.2705	26001	0.4000	1,0,2	0.5000	18
489	19664.3945	0.1382	26001	0.4000	2,2,1	0.5000	41
510	28139.2715	0.1302	26001	0.4000	2,2,3	0.5000	43
8589935505	19726.2266	0.3973	25850	0.4000	0,2,3	0.5000	11
12884902408	16914.4883	0.2264	25800	0.4000	0,2,3	0.5000	11
34359738867	15625.5801	0.1694	24650	0.4000	1,2,1	0.5000	25
12884902586	14682.5713	0.1304	24450	0.4000	1,1,1	0.5000	21
21474837160	8895.1240	0.1689	24100	0.4000	3,1,2	0.5000	54
30064771590	13502.0928	0.2966	24000	0.4000	0,0,3	0.5000	3
17179869925	16986.2949	0.2204	23550	0.4000	3,1,2	0.5000	54
25769804290	15205.0479	0.3340	23450	0.4000	1,1,2	0.5000	22
17179869706	21522.0781	-0.2957	22950	0.4000	1,0,1	0.5000	17
21474837096	13281.8477	-0.0103	22850	0.4000	1,3,1	0.5000	29
21474837263	21564.3691	0.0196	22800	0.4000	0,2,0	0.5000	8
12884902396	19565.1289	0.1703	22750	0.4000	0,3,2	0.5000	14
42949673528	13292.4521	-0.2592	21100	0.4000	3,2,1	0.5000	57
30064772027	15291.1758	0.4721	20950	0.4000	1,0,2	0.5000	18
42949673923	10525.3984	0.4141	20800	0.4000	1,0,0	0.5000	16
1035	18569.2656	-0.1958	20700	0.4000	2,0,0	0.5000	32
38654706642	9875.2773	-0.2211	20750	0.4000	1,3,0	0.5000	28
1100	23663.3789	0.2693	20550	0.4000	0,1,2	0.5000	6
8589935670	10732.1426	0.2715	20250	0.4000	2,3,2	0.5000	46
8589935778	19883.2578	-0.0480	20200	0.4000	2,1,2	0.5000	38
21474837573	17295.8496	0.4538	19900	0.4000	3,0,0	0.5000	48
38654706917	10728.7266	-0.2880	18300	0.4000	0,0,1	0.5000	1
42949674220	12467.8457	-0.2729	18250	0.4000	0,2,1	0.5000	9
21474837960	7681.5703	-0.2765	16850	0.4000	0,1,3	0.5000	7
4294968701	14415.4316	0.2739	17850	0.4000	2,2,2	0.5000	42
8589935991	8009.8311	0.1963	17250	0.4000	0,2,1	0.5000	9
64424510863	6220.2090	-0.1037	15600	0.4000	0,3,1	0.5000	13
25769805512	12335.7686	-0.0706	12600	0.4000	0,3,0	0.5000	12
77309412529	8903.3984	0.3063	14700	0.4000	1,2,2	0.5000	26
81604380150	6019.1274	0.3217	14250	0.4000	1,0,3	0.5000	19
60129543672	8385.4707	0.0261	14350	0.4000	3,0,1	0.5000	49
115964118200	7590.2925	0.0385	13000	0.4000	3,0,3	0.5000	51
60129543864	6656.8872	-0.0068	11600	0.4000	0,2,1	0.5000	9
60129543909	11326.2461	-0.1860	10350	0.4000	1,1,3	0.5000	23
81604380341	5438.6587	0.3585	10250	0.4000	3,1,1	0.5000	53
47244642254	6148.6431	0.1878	7550	0.4000	1,1,1	0.5000	21
30064773027	1866.0762	-0.2324	7700	0.4000	1,3,3	0.5000	31
38654707591	384.2920	-0.2709	7450	0.4000	2,1,2	0.5000	38
2213	2278.5312	-0.1946	6600	0.4000	1,0,0	0.5000	16
8589936758	4178.8477	0.4068	6750	0.4000	0,3,2	0.5000	14
17179871345	3193.5610	0.4147	6700	0.4000	1,2,2	0.5000	26
47244642712	116.1519	-0.0001	600	0.4000	0,3,3	0.5000	15
94489282579	524.4124	-0.1881	2100	0.4000	3,1,3	0.5000	55
111669152017	75.1268	0.4463	100	0.4000	2,2,3	0.5000	43
115964119407	922.0344	0.4165	1350	0.4000	3,3,3	0.5000	63
17179871812	244.2942	0.0324	250	0.4000	2,3,0	0.5000	44
64424511714	71.3481	-0.0825	50	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	25665	335
4294968208	477	487	-0.1094	25881	25839
4294967830	488	510	-0.2230	25918	25857
4294967978	477	504	-0.2482	25864	25862
771	491	493	-0.1220	25981	25878
4294968022	476	488	-0.1652	25964	25912
4294967774	488	493	0.9841	25905	25992
8589935270	484	496	-0.0000	25915	85
4294967836	475	491	-0.3600	25918	25949
4294968223	489	493	-0.3001	25884	25886
635	487	510	-0.1059	25992	25599
4294967809	503	506	-0.0135	25886	25992
12884902771	489	25769804288	-0.0697	25524	25981
4294968177	491	506	-0.2927	25948	25832
8589935260	493	8589935337	-0.1227	25908	25986
12884902797	491	17179869710	-0.0000	25524	476
531	475	488	-0.2911	25999	25846
532	475	476	-0.3468	25999	25830
8589935432	503	8589935337	-0.3253	25931	25704
4294967922	487	493	-0.5056	25875	25942
8589935327	479	25769804288	-0.1028	25547	25954
666	484	489	-0.4149	25989	25995
4294967835	489	504	0.5836	25955	25972
8589935404	491	503	-0.2897	25915	25913
8589935241	477	506	-0.5147	25930	25990
17179869939	475	25769804288	-0.1406	25527	25942
4294967939	476	504	-0.3570	25869	25853
4294967832	489	506	-0.1719	25955	25901
12884902658	510	25769804288	0.0060	25529	25890
8589935240	475	504	-0.1611	25919	25955
8589935101	479	505	-0.0000	25893	107
4294967968	506	510	-0.2535	25938	25982
724	476	489	-0.4551	25985	25929
548	477	488	-0.0858	25998	25936
8589935451	488	491	-0.3204	25920	25680
4294967957	479	506	0.3629	25956	25978
4294968158	477	479	-0.1593	25960	25895
552	479	488	-0.1061	25998	25520
553	477	489	-0.2317	25998	25825
4294967786	479	491	-0.2231	25945	25955
725	493	503	-0.3169	25985	25967
8589935342	477	484	-0.1211	25950	25705
8589935193	477	493	-0.4016	25931	25968
4294967933	479	503	-0.2033	25920	25651
559	479	493	0.9960	25997	25998
874	487	504	-0.1693	25972	25768
823	475	484	-0.3116	25976	25847
641	477	510	0.9861	25991	25993
8589935392	493	12884902408	-0.4078	25788	25952
8589935245	479	504	-0.3600	25921	25857
8589935155	488	25769804288	-0.0691	25531	25960
709	487	488	-0.4190	25986	25862
692	484	488	-0.0642	25987	25993
4294968164	484	487	-0.2567	25933	25994
778	484	503	0.9802	25980	25990
8589935442	504	8589935337	-0.2535	25896	25999
4294968195	504	510	-0.3738	25950	25791
738	476	503	-0.0472	25984	25908
4294968130	504	506	-0.2384	25896	25859
904	488	489	-0.2813	25968	25846
855	475	503	-0.0462	25974	25977
879	477	503	-0.2379	25971	25886
21474837173	506	25769804288	-0.2220	25549	25716
4294967990	477	491	-0.1926	25957	25890
4294968035	510	8589935337	-0.3909	25909	25883
4294968176	479	8589935337	-0.1523	25897	25573
708	484	491	-0.2390	25986	25979
12884902652	477	8589935337	-0.4908	25942	25988
898	503	504	-0.2568	25969	25960
4294967872	510	12884902408	0.0428	25788	25980
743	484	493	-0.2297	25983	25915
8589935169	475	506	-0.6108	25921	25957
587	475	477	-0.2242	25995	25689
916	491	510	-0.3539	25966	25995
4294968032	493	510	-0.2548	25942	25991
915	487	503	-0.5951	25966	25993
849	489	491	-0.2292	25974	25973
4294967777	491	8589935337	-0.1576	25917	25990
902	476	477	-0.3331	25968	25971
4294967895	479	8589935505	-0.1475	25788	25922
933	475	510	-0.1039	25952	25895
4294968054	488	506	-0.2681	25938	25767
4294967820	504	12884902408	-0.2354	25748	25770
4294968085	475	479	-0.1448	25949	25895
4294967890	476	506	-0.1073	25941	25829
650	484	504	-0.4597	25990	25919
4294968123	493	506	-0.2560	25960	25920
893	479	484	-0.1968	25969	25600
816	475	487	0.0122	25977	25810
4294968048	476	479	-0.5163	25924	25968
4294967904	489	503	0.9881	25957	25994
8589935157	488	504	-0.5369	25940	25955
607	484	506	-0.2633	25994	25985
12884902564	484	8589935337	-0.2756	25911	25964
825	479	489	-0.1969	25976	25917
4294967956	484	510	-0.0623	25937	25972
878	476	487	-0.0921	25971	25944
4294967930	479	487	-0.3273	25948	25836
776	476	484	-0.3643	25980	25818
4294968069	475	8589935337	-0.4209	25924	25994
4294967807	506	8589935337	-0.2500	25912	25870
804	476	491	-0.0405	25978	25980
4294968030	476	510	-0.2603	25899	25788
4294967865	491	12884902408	-0.5099	25783	25982
4294967778	487	506	0.9980	25899	25999
8589935097	475	12884902408	-0.3973	25772	25900
4294967869	487	8589935337	-0.2309	25940	25916
730	489	510	-0.2385	25985	25927
928	487	489	-0.1384	25953	26000
822	479	510	-0.3148	25977	25975
8589935468	476	493	-0.3761	25947	25977
8589935353	476	8589935337	-0.3204	25941	25821
932	503	510	-0.4605	25953	25995
4294968201	488	8589935337	-0.2957	25938	25975
4294968187	475	489	-0.2063	25965	25775
657	491	504	-0.3023	25990	25952
