# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	16155.5508	0.0947	28001	0.4000	3,0,0	0.5000	48
476	6907.1143	-0.0761	28001	0.4000	1,2,1	0.5000	25
477	23824.7266	0.1402	28001	0.4000	3,0,1	0.5000	49
8589935337	15921.3770	0.2978	27950	0.4000	1,2,0	0.5000	24
479	12706.2510	0.2431	28001	0.4000	0,1,1	0.5000	5
506	32501.3672	-0.1478	28001	0.4000	3,3,3	0.5000	63
503	26413.6855	0.0661	28001	0.4000	3,3,1	0.5000	61
493	17116.5488	0.4461	28001	0.4000	3,3,1	0.5000	61
491	15569.9893	-0.2802	28001	0.4000	0,0,3	0.5000	3
484	16581.7949	-0.2044	28001	0.4000	3,2,2	0.5000	58
504	22358.1914	0.4670	28001	0.4000	0,3,3	0.5000	15
25769804288	27883.0156	-0.1127	27550	0.4000	2,2,0	0.5000	40
487	19502.1875	-0.1707	28001	0.4000	0,0,2	0.5000	2
488	17545.6660	0.2705	28001	0.4000	1,0,2	0.5000	18
489	20989.3945	0.1382	28001	0.4000	2,2,1	0.5000	41
510	27638.2715	0.1302	28001	0.4000	2,2,3	0.5000	43
8589935505	20717.2266	0.3973	27850	0.4000	0,2,3	0.5000	11
12884902408	17104.4883	0.2264	27800	0.4000	0,2,3	0.5000	11
34359738867	15404.5801	0.1694	26650	0.4000	1,2,1	0.5000	25
12884902586	15117.5713	0.1304	26450	0.4000	1,1,1	0.5000	21
21474837160	9140.1240	0.1689	26100	0.4000	3,1,2	0.5000	54
30064771590	12775.0928	0.2966	26000	0.4000	0,0,3	0.5000	3
17179869925	18094.2949	0.2204	25550	0.4000	3,1,2	0.5000	54
25769804290	15526.0479	0.3340	25450	0.4000	1,1,2	0.5000	22
17179869706	21590.0781	-0.2957	24950	0.4000	1,0,1	0.5000	17
21474837096	13816.8477	-0.0103	24850	0.4000	1,3,1	0.5000	29
21474837263	22778.3691	0.0196	24800	0.4000	0,2,0	0.5000	8
12884902396	20722.1289	0.1703	24750	0.4000	0,3,2	0.5000	14
42949673528	13472.4521	-0.2592	23100	0.4000	3,2,1	0.5000	57
30064772027	15768.1758	0.4721	22950	0.4000	1,0,2	0.5000	18
42949673923	9789.3984	0.4141	22800	0.4000	1,0,0	0.5000	16
1035	21620.2656	-0.1958	22700	0.4000	2,0,0	0.5000	32
38654706642	10746.2773	-0.2211	22750	0.4000	1,3,0	0.5000	28
1100	23782.3789	0.2693	22550	0.4000	0,1,2	0.5000	6
8589935670	11221.1426	0.2715	22250	0.4000	2,3,2	0.5000	46
8589935778	19301.2578	-0.0480	22200	0.4000	2,1,2	0.5000	38
21474837573	18857.8496	0.4538	21900	0.4000	3,0,0	0.5000	48
38654706917	11194.7266	-0.2880	20300	0.4000	0,0,1	0.5000	1
42949674220	14958.8457	-0.2729	20250	0.4000	0,2,1	0.5000	9
21474837960	8289.5703	-0.2765	18850	0.4000	0,1,3	0.5000	7
4294968701	15307.4316	0.2739	19850	0.4000	2,2,2	0.5000	42
8589935991	8628.8311	0.1963	19250	0.4000	0,2,1	0.5000	9
64424510863	6971.2090	-0.1037	17600	0.4000	0,3,1	0.5000	13
25769805512	13280.7686	-0.0706	14600	0.4000	0,3,0	0.5000	12
77309412529	10796.3984	0.3063	16700	0.4000	1,2,2	0.5000	26
81604380150	7524.1274	0.3217	16250	0.4000	1,0,3	0.5000	19
60129543672	7955.4707	0.0261	16350	0.4000	3,0,1	0.5000	49
115964118200	8757.2930	0.0385	15000	0.4000	3,0,3	0.5000	51
60129543864	8431.8867	-0.0068	13600	0.4000	0,2,1	0.5000	9
60129543909	10861.2461	-0.1860	12350	0.4000	1,1,3	0.5000	23
81604380341	5784.6587	0.3585	12250	0.4000	3,1,1	0.5000	53
47244642254	5101.6431	0.1878	9550	0.4000	1,1,1	0.5000	21
30064773027	2314.0762	-0.2324	9700	0.4000	1,3,3	0.5000	31
38654707591	712.2920	-0.2709	9450	0.4000	2,1,2	0.5000	38
2213	3623.5312	-0.1946	8600	0.4000	1,0,0	0.5000	16
8589936758	5135.8477	0.4068	8750	0.4000	0,3,2	0.5000	14
17179871345	5030.5610	0.4147	8700	0.4000	1,2,2	0.5000	26
17179871812	367.2942	0.0324	2250	0.4000	2,3,0	0.5000	44
94489282579	1110.4124	-0.1881	4100	0.4000	3,1,3	0.5000	55
17179871712	797.0392	0.0128	1300	0.4000	3,3,3	0.5000	63
115964119407	1430.0344	0.4165	3350	0.4000	3,3,3	0.5000	63
163208759622	143.8689	-0.1642	300	0.4000	3,2,0	0.5000	56
98784250247	14.9897	-0.2116	100	0.4000	0,1,2	0.5000	6
107374184855	6.7727	0.4953	50	0.4000	2,2,1	0.5000	41

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935394	510	4294967821	-0.0000	27665	335
4294968208	477	487	0.1037	27881	27973
4294967830	488	510	-0.1385	27918	27840
4294967978	477	504	-0.2602	27864	27956
771	491	493	-0.3411	27981	27919
4294968022	476	488	-0.4141	27964	27914
4294967774	488	493	-0.2347	27905	27931
8589935270	484	496	-0.0000	27915	85
4294967836	475	491	-0.3056	27918	27924
4294968223	489	493	-0.3534	27884	27982
635	487	510	-0.4443	27992	27979
4294967809	503	506	-0.2855	27886	27956
12884902771	489	25769804288	-0.3184	27524	27878
4294968177	491	506	-0.3664	27948	27949
8589935260	493	8589935337	-0.3802	27908	27920
12884902797	491	17179869710	-0.0000	27524	476
531	475	488	-0.3366	27999	27891
532	475	476	0.5450	27999	27940
8589935432	503	8589935337	-0.0429	27931	27918
4294967922	487	493	-0.0181	27875	27711
8589935327	479	25769804288	-0.2516	27547	27955
666	484	489	0.1519	27989	27954
4294967835	489	504	-0.2736	27955	27808
8589935404	491	503	-0.5216	27915	28000
8589935241	477	506	-0.3170	27930	27997
17179869939	475	25769804288	-0.0012	27527	27964
4294967939	476	504	-0.3795	27869	27924
4294967832	489	506	-0.3258	27955	27913
12884902658	510	25769804288	0.1252	27529	27992
8589935240	475	504	-0.3848	27919	27882
8589935101	479	505	-0.0000	27893	107
4294967968	506	510	0.1237	27938	27973
724	476	489	0.1391	27985	27878
548	477	488	-0.1049	27998	27444
8589935451	488	491	-0.0836	27920	27992
4294967957	479	506	0.6247	27956	27969
4294968158	477	479	-0.0469	27960	27954
552	479	488	-0.2874	27998	27941
553	477	489	-0.1441	27998	27925
4294967786	479	491	-0.0614	27945	27910
725	493	503	-0.3446	27985	27952
8589935342	477	484	0.0378	27950	27802
8589935193	477	493	-0.0383	27931	27936
4294967933	479	503	0.0878	27920	27860
559	479	493	0.8421	27997	28000
874	487	504	-0.4693	27972	27845
823	475	484	-0.4387	27976	27997
641	477	510	-0.0815	27991	27881
8589935392	493	12884902408	-0.0764	27788	27976
8589935245	479	504	-0.0551	27921	27768
8589935155	488	25769804288	-0.3041	27531	27965
709	487	488	-0.1806	27986	27886
692	484	488	-0.0976	27987	27684
4294968164	484	487	-0.0831	27933	27961
778	484	503	-0.0244	27980	27964
8589935442	504	8589935337	-0.2717	27896	27911
4294968195	504	510	-0.2346	27950	27983
738	476	503	-0.1241	27984	27685
4294968130	504	506	-0.4841	27896	27962
904	488	489	-0.3863	27968	27940
855	475	503	-0.2501	27974	27966
879	477	503	-0.2119	27971	27972
21474837173	506	25769804288	0.2271	27549	27948
4294967990	477	491	-0.1651	27957	27799
4294968035	510	8589935337	-0.2864	27909	27738
4294968176	479	8589935337	0.0137	27897	27915
708	484	491	0.3654	27986	27981
12884902652	477	8589935337	0.0789	27942	27731
898	503	504	-0.2889	27969	27988
4294967872	510	12884902408	-0.0633	27788	27774
743	484	493	-0.1196	27983	27969
8589935169	475	506	-0.2797	27921	27861
587	475	477	-0.1243	27995	27990
916	491	510	-0.7441	27966	27986
4294968032	493	510	0.0200	27942	27957
915	487	503	-0.1802	27966	27639
849	489	491	-0.1981	27974	27874
4294967777	491	8589935337	-0.1714	27917	27991
902	476	477	-0.2408	27968	27963
4294967895	479	8589935505	-0.2030	27788	27591
933	475	510	-0.6305	27952	27970
4294968054	488	506	-0.3094	27938	27866
4294967820	504	12884902408	-0.2083	27748	27992
4294968085	475	479	0.0189	27949	27983
4294967890	476	506	-0.2373	27941	27668
650	484	504	-0.3581	27990	27876
4294968123	493	506	-0.4036	27960	27996
893	479	484	-0.3433	27969	27989
816	475	487	-0.1002	27977	27968
4294968048	476	479	-0.3739	27924	27945
4294967904	489	503	0.9286	27957	27963
8589935157	488	504	0.1084	27940	27979
607	484	506	-0.4996	27994	27998
12884902564	484	8589935337	-0.1949	27911	27860
825	479	489	-0.2783	27976	27842
4294967956	484	510	-0.0566	27937	27867
878	476	487	0.9821	27971	27991
4294967930	479	487	0.0652	27948	27982
776	476	484	-0.1535	27980	27810
4294968069	475	8589935337	0.1864	27924	27995
4294967807	506	8589935337	-0.2846	27912	27969
804	476	491	-0.3759	27978	27946
4294968030	476	510	-0.2668	27899	27978
4294967865	491	12884902408	-0.2694	27783	27880
4294967778	487	506	-0.1967	27899	27824
8589935097	475	12884902408	0.0206	27772	27600
4294967869	487	8589935337	-0.2593	27940	27992
730	489	510	0.8466	27985	27975
928	487	489	0.1358	27953	27902
822	479	510	-0.4898	27977	27985
8589935468	476	493	-0.2401	27947	27999
8589935353	476	8589935337	-0.1548	27941	27812
932	503	510	-0.4879	27953	27906
4294968201	488	8589935337	-0.1835	27938	27937
4294968187	475	489	-0.2278	27965	27886
657	491	504	0.1684	27990	27976
780	487	491	-0.1540	27980	27854
4294967967	489	8589935337	-0.0846	27949	27862
8589935413	491	8589935505	-0.1954	27778	27963
4294967826	475	493	-0.2382	27955	27899
8589935093	493	504	-0.1113	27860	27861
8589935251	488	503	-0.1931	27857	27902
4294967975	506	12884902408	-0.3020	27782	27858
8589935075	493	8589935505	-0.3259	27849	27921
12884902682	510	8589935505	-0.3490	27847	27929
8589935094	503	8589935505	-0.4218	27846	27853
8589935436	489	8589935505	-0.1350	27846	27865
8589935239	487	8589935505	0.1956	27844	27942
12884902583	475	8589935505	-0.1763	27843	27988
8589935090	506	8589935505	-0.2654	27842	27985
8589935369	488	8589935505	-0.0512	27840	27987
12884902417	8589935337	8589935505	-0.1485	27838	27955
8589935281	477	8589935505	0.1240	27823	27970
8589935276	476	8589935505	-0.1326	27807	27895
12884902751	504	8589935505	-0.2751	27807	27866
4294967896	484	8589935505	-0.0371	27799	27699
4294968095	487	12884902408	-0.2109	27799	27836
4294968050	8589935337	12884902408	-0.4779	27797	27934
8589935120	479	12884902408	-0.4519	27797	27920
4294967973	8589935505	12884902408	-0.2108	27796	27999
4294967858	488	12884902408	-0.2329	27795	27936
4294967960	477	12884902408	-0.2485	27794	27986
4294968088	476	12884902408	-0.4398	27792	27994
4294968000	489	12884902408	-0.0842	27791	27904
12884902520	484	12884902408	-0.2202	27790	27941
8589935445	503	12884902408	-0.0691	27789	27512
8589935336	476	25769804288	0.7515	27540	27995
12884902413	491	25769804288	-0.2833	27548	27981
8589935452	503	25769804288	-0.0758	27546	27775
12884902775	8589935337	25769804288	-0.2306	27547	27908
21474837006	504	25769804288	-0.2491	27518	27852
8589935440	12884902408	25769804288	-0.2761	27452	27999
17179870091	477	25769804288	0.9724	27464	27986
21474836977	484	4294968056	-0.0000	27341	659
17179869670	484	25769804288	-0.0535	27491	27768
17179869900	493	25769804288	-0.2976	27478	27936
17179869788	8589935505	25769804288	-0.4821	27479	28000
4294968092	487	25769804288	-0.1721	27454	27895
12884902476	479	17179869871	-0.0000	27267	733
17179869979	510	47244640941	-0.0000	26816	1184
34359739090	484	34359738867	-0.3825	26647	27996
38654706242	510	34359738867	-0.3592	26646	27760
47244641151	12884902408	34359738867	-0.1607	26644	27931
25769804322	504	34359738867	0.5110	26641	27986
51539608384	503	34359738867	-0.3501	26640	27986
34359739071	475	34359738867	0.0779	26639	27977
47244640869	506	34359738867	-0.3497	26638	27887
38654706244	493	34359738867	-0.3415	26633	27965
38654706371	8589935337	34359738867	-0.1648	26632	27969
30064771712	477	34359738867	-0.2459	26627	27988
