# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	4158.7871	0.1711	2001	0.4000	2,2,1	0.5000	41
500	454.3793	0.1045	2001	0.4000	0,1,3	0.5000	7
12884902787	1766.6981	0.4503	1200	0.4000	2,1,3	0.5000	39
4294968105	956.6719	-0.1682	1850	0.4000	2,3,3	0.5000	47
479	2465.2437	0.1763	2001	0.4000	3,2,1	0.5000	57
480	3915.9893	0.2939	2001	0.4000	0,3,1	0.5000	13
481	1249.5940	-0.2736	2001	0.4000	2,1,2	0.5000	38
4294967788	1703.4771	0.4313	1900	0.4000	2,1,1	0.5000	37
483	1716.7261	0.4194	2001	0.4000	1,0,1	0.5000	17
484	2946.9133	-0.0540	2001	0.4000	3,1,2	0.5000	54
497	4788.5049	0.3911	2001	0.4000	2,0,0	0.5000	32
502	3540.1147	0.4262	2001	0.4000	3,3,1	0.5000	61
487	2320.6846	0.1583	2001	0.4000	3,2,1	0.5000	57
488	4068.9011	0.1989	2001	0.4000	2,3,3	0.5000	47
489	2101.3301	-0.1029	2001	0.4000	0,1,2	0.5000	6
507	4606.8687	-0.2373	2001	0.4000	3,1,3	0.5000	55
499	552.4808	-0.2882	2001	0.4000	3,0,3	0.5000	51
4294968162	2970.0938	0.4433	1500	0.4000	0,1,1	0.5000	5
17179870079	2955.4927	0.4990	1550	0.4000	1,0,0	0.5000	16
12884902562	836.5799	0.3413	1250	0.4000	1,1,0	0.5000	20
17179870044	1362.2281	-0.1736	1000	0.4000	1,2,2	0.5000	26
8589935295	543.5350	0.1317	600	0.4000	1,0,2	0.5000	18
17179869734	207.8853	0.1796	400	0.4000	2,1,3	0.5000	39
25769804538	82.7217	0.0339	100	0.4000	2,1,0	0.5000	36
25769804429	73.5634	0.0826	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.5878	1904	1951
4294968208	488	4294968105	-0.2824	1848	1973
8589935257	481	502	-0.6392	1846	1961
4294967774	483	487	-0.6081	1846	1909
4294968015	500	4294968105	-0.8922	1844	1943
8589935384	489	4294968105	-0.8892	1823	1994
4294968026	483	507	-0.6848	1883	1880
4294967905	487	497	-0.4200	1865	1955
4294968108	480	499	-0.7756	1868	1939
970	479	489	-0.7785	1936	1952
4294968149	475	489	-0.5747	1914	1971
4294968069	499	507	-0.3656	1946	1985
527	483	500	-0.7056	2000	1981
4294967993	489	4294967788	-0.4124	1756	1908
905	489	507	-0.5150	1970	1848
4294968168	487	500	-0.7058	1911	1977
963	484	497	0.9724	1962	1986
4294967773	481	507	-0.5996	1814	1902
861	487	507	-0.4123	1975	2000
4294968106	507	4294967924	-0.0021	1927	73
12884902550	12884902562	12884902787	-0.1721	1174	1902
8589935102	507	4294968105	-0.6171	1827	1988
4294967772	481	488	-0.7086	1902	1964
8589935542	499	12884902787	0.9821	1175	1991
4294968021	502	4294967788	-0.4697	1872	1712
804	479	500	-0.6954	1981	1926
8589935352	480	12884902787	0.5756	1178	1994
973	475	487	-0.3696	1936	1951
8589935377	500	4294967788	-0.3028	1857	1959
4294968249	497	4294967788	-0.4294	1899	1982
4294968238	479	4294967788	-0.4997	1884	1994
4294968164	479	487	-0.6534	1858	1948
702	479	481	-0.5218	1988	1942
4294967964	499	4294967788	-0.6753	1802	1986
859	475	481	-0.9568	1975	1985
8589935225	497	502	-0.5228	1921	1986
954	500	507	-0.3883	1963	1862
902	475	479	-0.6875	1970	1971
4294968072	475	480	-0.5078	1893	1999
837	480	502	1.0000	1977	2000
4294968271	475	4294967788	-0.6150	1893	1939
4294967845	4294968105	12884902787	-0.7099	1182	1968
557	475	497	0.3111	1997	1903
8589935196	507	4294967788	0.9802	1850	1990
8589935480	483	4294968105	-0.5229	1828	1942
4294968183	480	4294967788	-0.3499	1877	1898
765	500	502	-0.5031	1984	1940
17179870150	488	4294967788	-0.5933	1852	1988
563	481	487	-0.6086	1997	1992
4294968153	475	488	0.1028	1885	1998
4294967808	479	4294968105	-0.3117	1809	2000
944	475	499	-0.1277	1965	1986
4294968207	481	4294967788	1.0000	1894	2000
834	483	499	-0.4881	1978	1882
8589935303	480	497	-0.6884	1921	1919
658	488	497	-0.5386	1991	1925
8589935174	480	4294968105	0.8743	1844	2000
4294968116	481	483	-0.4787	1927	1918
930	479	488	-0.3743	1966	1662
8589935370	481	500	-0.5458	1912	1874
673	479	480	-0.6386	1990	1973
940	480	481	0.3424	1965	1967
4294968248	483	488	0.0192	1906	2000
12884902487	484	499	-0.4088	1921	1968
4294968205	489	502	-0.5354	1959	1851
8589935136	483	4294967788	-0.7121	1797	1874
581	484	488	-0.3123	1996	1956
672	479	484	-0.2508	1990	1967
8589935362	479	502	0.8865	1913	1983
584	484	487	-0.3860	1996	1970
781	479	499	-0.4347	1982	1877
746	480	489	-0.4957	1985	1962
709	497	500	1.0000	1988	2000
4294968141	4294967788	4294968105	-0.5663	1830	1976
4294967986	480	483	0.7705	1953	1996
21474837421	497	4294968162	-0.3228	1403	1923
591	475	507	0.6151	1995	1969
4294967897	475	4294968105	-0.7340	1831	1983
4294968033	475	484	1.0000	1940	2000
4294968233	487	4294967788	-0.3833	1771	1940
8589935146	502	4294968105	0.8835	1833	1993
4294968018	488	507	0.1712	1945	1991
597	484	500	-0.7352	1995	1912
8589935502	481	4294968105	-0.6585	1835	1941
17179869687	489	4294968162	-0.0880	1415	1992
600	480	488	-0.6106	1995	1982
8589935306	480	487	-0.5988	1779	1917
4294968095	475	483	0.9743	1954	1987
4294968211	487	488	0.9782	1960	1989
771	489	500	-0.4666	1983	1884
605	497	499	-0.6565	1995	1955
682	488	500	-0.5003	1990	1995
21474836985	502	4294968162	-0.3630	1441	1975
4294967981	481	499	-0.8029	1953	1979
666	487	502	-0.4599	1991	1949
689	479	483	-0.1412	1989	1939
830	483	484	-0.4379	1978	1852
4294968062	484	4294967788	-0.5826	1880	1991
979	489	497	-0.5411	1934	1965
4294968200	475	502	-0.4333	1956	1986
615	480	484	-0.7491	1994	1902
4294968263	483	497	-0.3308	1949	1918
4294967922	499	4294968105	-0.5667	1839	1974
8589935100	484	4294968105	-0.2919	1839	1990
12884902702	507	4294968162	-0.5041	1437	1975
4294967839	499	500	-0.6245	1937	1910
4294967802	479	497	0.7763	1960	1995
622	488	499	-0.3891	1994	1925
956	479	507	-0.4879	1963	1968
4294968031	480	507	-0.4408	1945	1951
4294967787	487	4294968105	-0.6112	1845	1998
852	487	489	0.8606	1976	1991
884	488	502	-0.6375	1973	1945
21474837033	500	17179870079	-0.5165	1452	1950
807	502	507	0.4713	1981	1989
630	481	484	-0.5722	1993	1901
631	484	489	0.9980	1993	1999
898	499	502	-0.6355	1971	1983
784	483	502	-0.7673	1982	1985
4294968228	481	489	-0.7477	1955	1945
635	497	507	0.9569	1993	1978
12884902711	489	499	-0.4654	1895	1889
8589935431	497	4294968105	-0.3939	1839	1940
718	488	489	-0.5788	1987	1931
4294967832	484	502	-0.4930	1949	1899
704	484	507	0.8458	1988	1989
641	475	500	-0.8411	1992	1928
8589935085	483	489	-0.5366	1957	1947
696	481	497	-0.5217	1989	1939
17179870105	480	500	-0.1212	1730	1999
4294968136	497	17179870079	-0.5107	1527	1964
4294967815	487	17179870079	0.9861	1529	1993
12884902646	499	17179870079	-0.5852	1531	1975
8589935077	488	17179870079	0.9940	1516	1997
4294968169	499	4294968162	-0.4355	1459	1826
8589935280	484	17179870079	-0.7476	1540	1997
4294968203	475	4294968162	-0.5038	1464	1973
4294967994	487	4294968162	0.9960	1465	1998
17179870033	489	17179870079	-0.4491	1470	1890
8589935319	481	17179870079	-0.4299	1541	1943
4294967800	4294968105	4294968162	-0.5468	1470	1981
4294968011	4294967788	4294968162	-0.3642	1477	1963
12884902408	481	4294968162	0.4874	1484	2000
8589935519	500	4294968162	-0.5908	1485	1758
8589935082	4294968105	17179870079	-0.6858	1524	1895
8589935202	480	4294968162	-0.4975	1490	1971
4294968040	488	4294968162	-0.5980	1492	1944
4294968025	4294968162	17179870079	0.5115	1492	1957
12884902684	502	17179870079	-0.4060	1543	1819
4294967909	484	4294968162	-0.4972	1497	1795
4294968117	483	4294968162	-0.4984	1498	1925
4294968002	479	4294968162	0.8745	1499	1999
12884902810	4294967788	17179870079	-0.5009	1549	1962
8589935333	483	17179870079	-0.7081	1543	2000
8589935349	507	17179870079	-0.3615	1545	1907
17179869739	475	17179870079	-0.2401	1547	1833
8589935106	479	17179870079	0.9685	1546	1984
12884902821	480	17179870079	-0.3744	1545	1992
8589935328	489	12884902787	-0.3948	1182	1811
8589935315	4294967788	12884902787	0.9960	1182	1998
4294967855	483	12884902787	-0.4697	1184	1941
4294967884	12884902787	17179870079	-0.5618	1186	1976
8589935470	479	12884902787	-0.4347	1187	1999
8589935195	484	12884902562	-0.7977	1187	1962
17179870129	4294968105	12884902562	-0.6572	1213	1833
30064771570	484	12884902787	-0.1767	1192	1813
30064771889	487	12884902787	-0.5145	1194	1916
25769804323	480	12884902562	-0.4406	1195	1943
12884902444	4294967788	12884902562	-0.5611	1248	1964
17179870058	479	12884902562	-0.7551	1248	1968
25769804311	481	12884902562	-0.2689	1247	1999
34359739022	499	12884902562	-0.2916	1247	1935
25769804351	489	12884902562	-0.7008	1247	1957
21474836966	12884902562	17179870079	0.9960	1246	1998
12884902726	4294968162	12884902787	0.8802	1197	1990
25769804425	500	12884902562	-0.6816	1242	1946
21474837041	4294968162	12884902562	0.9940	1237	1997
21474837234	475	12884902562	-0.9260	1236	1985
25769804710	487	12884902562	-0.7169	1234	1994
30064771732	488	12884902562	-0.5095	1230	1970
17179869791	497	12884902562	-0.4855	1204	1981
21474836989	483	12884902562	-0.2104	1216	1998
25769804537	507	12884902562	-0.3501	1221	1840
21474837268	497	12884902787	-0.3357	1172	1930
12884902389	502	12884902787	-0.3768	1171	1935
17179869910	500	12884902787	-0.5180	1167	1958
25769804289	507	12884902787	-0.4514	1161	1974
8589935553	497	17179870044	0.9940	993	1997
42949673762	17179870044	17179870079	-0.2332	968	1860
17179869725	475	12884902787	-0.0894	1142	1949
30064771753	502	17179870044	-0.3940	969	1798
8589935467	499	17179870044	-0.4816	969	1952
8589935570	489	17179870044	1.0000	969	2000
12884902643	484	17179870044	-0.5896	998	1862
21474837373	483	17179870044	-0.2614	997	1920
12884902767	4294967788	17179870044	-0.6941	987	1962
4294968278	481	12884902787	-0.7503	1092	1998
17179869892	481	17179870044	-0.2195	994	1973
12884902525	502	12884902562	-0.2230	1039	1976
8589935486	479	17179870044	-0.1321	990	2000
17179870165	488	12884902787	-0.3850	1049	1978
8589935360	500	17179870044	-0.4761	995	1997
8589935439	487	17179870044	-0.4250	992	1985
17179869916	12884902562	17179870044	-0.4989	998	1988
21474837109	480	17179870044	-0.4129	961	1767
8589935243	475	17179870044	-0.6002	954	1934
12884902404	507	17179870044	0.9881	952	1994
21474837122	480	8589935361	-0.0176	867	1133
30064771867	4294968105	17179870044	-0.4118	912	1848
