# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	5970.7871	0.1711	4001	0.4000	2,2,1	0.5000	41
500	1757.3793	0.1045	4001	0.4000	0,1,3	0.5000	7
12884902787	5078.6982	0.4503	3200	0.4000	2,1,3	0.5000	39
4294968105	2621.6719	-0.1682	3850	0.4000	2,3,3	0.5000	47
479	4060.2437	0.1763	4001	0.4000	3,2,1	0.5000	57
480	7217.9893	0.2939	4001	0.4000	0,3,1	0.5000	13
481	245.5940	-0.2736	4001	0.4000	2,1,2	0.5000	38
4294967788	4239.4771	0.4313	3900	0.4000	2,1,1	0.5000	37
483	1514.7261	0.4194	4001	0.4000	1,0,1	0.5000	17
484	3892.9133	-0.0540	4001	0.4000	3,1,2	0.5000	54
497	8940.5049	0.3911	4001	0.4000	2,0,0	0.5000	32
502	5884.1147	0.4262	4001	0.4000	3,3,1	0.5000	61
487	4313.6846	0.1583	4001	0.4000	3,2,1	0.5000	57
488	5731.9014	0.1989	4001	0.4000	2,3,3	0.5000	47
489	3699.3301	-0.1029	4001	0.4000	0,1,2	0.5000	6
507	11150.8691	-0.2373	4001	0.4000	3,1,3	0.5000	55
499	128.4808	-0.2882	4001	0.4000	3,0,3	0.5000	51
4294968162	7089.0938	0.4433	3500	0.4000	0,1,1	0.5000	5
17179870079	6872.4927	0.4990	3550	0.4000	1,0,0	0.5000	16
12884902562	2871.5798	0.3413	3250	0.4000	1,1,0	0.5000	20
17179870044	3446.2280	-0.1736	3000	0.4000	1,2,2	0.5000	26
8589935295	2276.5352	0.1317	2600	0.4000	1,0,2	0.5000	18
17179869734	1162.8853	0.1796	2400	0.4000	2,1,3	0.5000	39
25769804538	2437.7217	0.0339	2100	0.4000	2,1,0	0.5000	36
25769804429	2268.5635	0.0826	2050	0.4000	1,1,3	0.5000	23
4294968009	1340.7775	0.2084	1850	0.4000	0,3,1	0.5000	13
12884902807	4133.2842	0.2854	1750	0.4000	2,1,1	0.5000	37
12884902827	1416.6302	-0.0581	1550	0.4000	1,1,1	0.5000	21
21474837009	1216.5675	0.2480	1250	0.4000	3,2,3	0.5000	59
12884902462	2388.8164	0.0539	1200	0.4000	3,3,0	0.5000	60
4294968386	15.9812	-0.1301	100	0.4000	0,1,3	0.5000	7
42949673719	153.1062	-0.1628	700	0.4000	3,0,2	0.5000	50
12884902665	93.4699	0.4069	600	0.4000	2,0,3	0.5000	35
12884903007	93.5558	0.4617	50	0.4000	2,1,3	0.5000	39
1061	81.7625	-0.1584	350	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.5434	3904	3959
4294968208	488	4294968105	-0.4213	3848	3879
8589935257	481	502	-0.6010	3846	3974
4294967774	483	487	-0.4011	3846	3927
4294968015	500	4294968105	-0.1187	3844	3768
8589935384	489	4294968105	-0.4761	3823	3978
4294968026	483	507	-0.5925	3883	3933
4294967905	487	497	-0.4611	3865	3958
4294968108	480	499	-0.4549	3868	3966
970	479	489	-0.3318	3936	3931
4294968149	475	489	-0.3448	3914	3890
4294968069	499	507	-0.6577	3946	3993
527	483	500	-0.5169	4000	3855
4294967993	489	4294967788	-0.2678	3756	3735
905	489	507	0.8786	3970	3998
4294968168	487	500	-0.5272	3911	3943
963	484	497	0.8572	3962	3993
4294967773	481	507	-0.4015	3814	3818
861	487	507	-0.1514	3975	3921
4294968106	507	4294967924	-0.0000	3927	73
12884902550	12884902562	12884902787	-0.3406	3174	3724
8589935102	507	4294968105	-0.4120	3827	3865
4294967772	481	488	-0.2443	3902	3927
8589935542	499	12884902787	0.9841	3175	3992
4294968021	502	4294967788	-0.4256	3872	3984
804	479	500	-0.5113	3981	3924
8589935352	480	12884902787	0.8400	3178	3970
973	475	487	0.8794	3936	3994
8589935377	500	4294967788	-0.4402	3857	3927
4294968249	497	4294967788	-0.1844	3899	3882
4294968238	479	4294967788	-0.7414	3884	3991
4294968164	479	487	-0.4031	3858	3885
702	479	481	-0.2528	3988	3933
4294967964	499	4294967788	-0.5070	3802	3947
859	475	481	-0.4271	3975	3764
8589935225	497	502	-0.0910	3921	3999
954	500	507	-0.4748	3963	3884
902	475	479	-0.3248	3970	3899
4294968072	475	480	-0.4212	3893	3924
837	480	502	-0.6942	3977	3973
4294968271	475	4294967788	-0.4165	3893	3907
4294967845	4294968105	12884902787	0.0446	3182	3996
557	475	497	0.9920	3997	3996
8589935196	507	4294967788	0.3414	3850	3967
8589935480	483	4294968105	-0.2287	3828	3986
4294968183	480	4294967788	-0.6021	3877	3968
765	500	502	-0.3205	3984	3919
17179870150	488	4294967788	-0.4399	3852	3828
563	481	487	-0.5325	3997	3832
4294968153	475	488	-0.1299	3885	3975
4294967808	479	4294968105	-0.5655	3809	3921
944	475	499	1.0000	3965	4000
4294968207	481	4294967788	-0.6103	3894	3958
834	483	499	-0.5353	3978	3920
8589935303	480	497	-0.4388	3921	3933
658	488	497	-0.4249	3991	3943
8589935174	480	4294968105	0.7300	3844	4000
4294968116	481	483	-0.4361	3927	3990
930	479	488	-0.5798	3966	3982
8589935370	481	500	-0.4540	3912	3940
673	479	480	-0.4494	3990	3919
940	480	481	0.9763	3965	3988
4294968248	483	488	-0.3326	3906	3892
