# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	9113.7871	0.1711	6001	0.4000	2,2,1	0.5000	41
500	3465.3794	0.1045	6001	0.4000	0,1,3	0.5000	7
12884902787	6183.6982	0.4503	5200	0.4000	2,1,3	0.5000	39
4294968105	4738.6719	-0.1682	5850	0.4000	2,3,3	0.5000	47
479	4206.2437	0.1763	6001	0.4000	3,2,1	0.5000	57
480	9819.9893	0.2939	6001	0.4000	0,3,1	0.5000	13
481	890.5940	-0.2736	6001	0.4000	2,1,2	0.5000	38
4294967788	6253.4771	0.4313	5900	0.4000	2,1,1	0.5000	37
483	2213.7261	0.4194	6001	0.4000	1,0,1	0.5000	17
484	4892.9131	-0.0540	6001	0.4000	3,1,2	0.5000	54
497	13059.5049	0.3911	6001	0.4000	2,0,0	0.5000	32
502	6740.1147	0.4262	6001	0.4000	3,3,1	0.5000	61
487	6271.6846	0.1583	6001	0.4000	3,2,1	0.5000	57
488	7975.9014	0.1989	6001	0.4000	2,3,3	0.5000	47
489	5270.3301	-0.1029	6001	0.4000	0,1,2	0.5000	6
507	14061.8691	-0.2373	6001	0.4000	3,1,3	0.5000	55
499	1081.4808	-0.2882	6001	0.4000	3,0,3	0.5000	51
4294968162	9693.0938	0.4433	5500	0.4000	0,1,1	0.5000	5
17179870079	10015.4922	0.4990	5550	0.4000	1,0,0	0.5000	16
12884902562	4598.5801	0.3413	5250	0.4000	1,1,0	0.5000	20
17179870044	4340.2280	-0.1736	5000	0.4000	1,2,2	0.5000	26
8589935295	1484.5352	0.1317	4600	0.4000	1,0,2	0.5000	18
17179869734	592.8853	0.1796	4400	0.4000	2,1,3	0.5000	39
25769804538	3641.7217	0.0339	4100	0.4000	2,1,0	0.5000	36
25769804429	3209.5635	0.0826	4050	0.4000	1,1,3	0.5000	23
4294968009	1732.7775	0.2084	3850	0.4000	0,3,1	0.5000	13
12884902807	8586.2842	0.2854	3750	0.4000	2,1,1	0.5000	37
12884902827	5018.6304	-0.0581	3550	0.4000	1,1,1	0.5000	21
21474837009	2779.5674	0.2480	3250	0.4000	3,2,3	0.5000	59
12884902462	6300.8164	0.0539	3200	0.4000	3,3,0	0.5000	60
21474837564	2019.9778	-0.0846	1700	0.4000	0,2,0	0.5000	8
42949673719	1622.1062	-0.1628	2700	0.4000	3,0,2	0.5000	50
12884902665	1090.4700	0.4069	2600	0.4000	2,0,3	0.5000	35
25769804895	1603.0601	0.0559	1600	0.4000	3,2,3	0.5000	59
1061	3151.7627	-0.1584	2350	0.4000	2,0,1	0.5000	33
12884903038	1220.7640	0.4396	1650	0.4000	1,2,1	0.5000	25
17179870273	986.0648	0.3756	1550	0.4000	2,2,1	0.5000	41
4294968512	1255.6377	-0.0936	1250	0.4000	1,2,3	0.5000	27
8589935839	787.6349	0.1154	1200	0.4000	0,2,0	0.5000	8
8589936010	390.6645	0.2921	550	0.4000	2,3,3	0.5000	47
8589935902	793.4562	0.1143	1000	0.4000	0,2,0	0.5000	8
17179870491	66.7633	0.2504	200	0.4000	0,2,0	0.5000	8
1445	679.1428	-0.1497	750	0.4000	2,3,1	0.5000	45
8589936073	254.4691	-0.0455	700	0.4000	0,1,0	0.5000	4
4294968622	51.6442	-0.2882	50	0.4000	3,0,1	0.5000	49
12884903158	47.9879	0.3507	100	0.4000	0,0,0	0.5000	0

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.2644	5904	6000
4294968208	488	4294968105	-0.1845	5848	5955
8589935257	481	502	-0.4475	5846	5769
4294967774	483	487	-0.1709	5846	5937
4294968015	500	4294968105	0.0836	5844	5893
8589935384	489	4294968105	0.1340	5823	5956
4294968026	483	507	0.0319	5883	5948
4294967905	487	497	-0.0904	5865	5942
4294968108	480	499	-0.1891	5868	6000
970	479	489	-0.3141	5936	5742
4294968149	475	489	-0.1775	5914	5593
4294968069	499	507	-0.4236	5946	5959
527	483	500	-0.1892	6000	5858
4294967993	489	4294967788	-0.2139	5756	5910
905	489	507	-0.1657	5970	5677
4294968168	487	500	-0.6066	5911	5955
963	484	497	-0.1717	5962	5982
4294967773	481	507	-0.3284	5814	5920
861	487	507	-0.0231	5975	5895
4294968106	507	4294967924	-0.0000	5927	73
12884902550	12884902562	12884902787	-0.4467	5174	5908
8589935102	507	4294968105	-0.2322	5827	5841
4294967772	481	488	0.2082	5902	5915
8589935542	499	12884902787	-0.0521	5175	5935
4294968021	502	4294967788	-0.3479	5872	5805
804	479	500	-0.0950	5981	5985
8589935352	480	12884902787	0.9152	5178	5973
973	475	487	0.9480	5936	5993
8589935377	500	4294967788	-0.1889	5857	5955
4294968249	497	4294967788	0.1530	5899	5923
4294968238	479	4294967788	-0.3436	5884	5986
4294968164	479	487	-0.2270	5858	5964
702	479	481	-0.2118	5988	5696
4294967964	499	4294967788	-0.5294	5802	5937
859	475	481	-0.3232	5975	5741
8589935225	497	502	-0.3508	5921	5990
954	500	507	-0.3420	5963	5839
902	475	479	0.1066	5970	5935
4294968072	475	480	-0.2465	5893	5874
837	480	502	0.6260	5977	5936
4294968271	475	4294967788	-0.4965	5893	5949
4294967845	4294968105	12884902787	-0.2790	5182	5970
557	475	497	0.9980	5997	5999
8589935196	507	4294967788	0.0485	5850	5966
8589935480	483	4294968105	-0.3002	5828	5905
4294968183	480	4294967788	-0.5289	5877	5905
765	500	502	0.1259	5984	5825
17179870150	488	4294967788	-0.3896	5852	5952
563	481	487	-0.2668	5997	5936
4294968153	475	488	-0.0958	5885	5871
4294967808	479	4294968105	-0.1396	5809	5821
944	475	499	0.7580	5965	5995
4294968207	481	4294967788	-0.3093	5894	5967
834	483	499	-0.4558	5978	5951
8589935303	480	497	-0.1944	5921	5887
658	488	497	-0.0398	5991	5808
8589935174	480	4294968105	0.8873	5844	5981
4294968116	481	483	-0.0069	5927	5831
930	479	488	-0.3700	5966	5911
8589935370	481	500	-0.3082	5912	5981
673	479	480	-0.2866	5990	5777
940	480	481	0.8689	5965	5998
4294968248	483	488	0.1291	5906	5935
12884902487	484	499	0.2605	5921	5952
4294968205	489	502	-0.5816	5959	5961
8589935136	483	4294967788	-0.2368	5797	5789
581	484	488	-0.4908	5996	5948
672	479	484	-0.3343	5990	5701
8589935362	479	502	-0.4935	5913	5793
584	484	487	-0.1671	5996	5979
781	479	499	-0.4870	5982	5974
746	480	489	-0.4772	5985	5950
709	497	500	-0.1579	5988	5991
4294968141	4294967788	4294968105	-0.3492	5830	5798
4294967986	480	483	0.7410	5953	5991
21474837421	497	4294968162	0.0428	5403	5781
591	475	507	1.0000	5995	6000
4294967897	475	4294968105	-0.2463	5831	5998
4294968033	475	484	-0.3982	5940	5960
4294968233	487	4294967788	-0.0300	5771	5856
8589935146	502	4294968105	0.9920	5833	5996
4294968018	488	507	-0.1748	5945	5503
597	484	500	-0.1536	5995	5846
