# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11593.7871	0.1711	8001	0.4000	2,2,1	0.5000	41
500	4743.3794	0.1045	8001	0.4000	0,1,3	0.5000	7
12884902787	5803.6982	0.4503	7200	0.4000	2,1,3	0.5000	39
4294968105	6880.6719	-0.1682	7850	0.4000	2,3,3	0.5000	47
479	4346.2437	0.1763	8001	0.4000	3,2,1	0.5000	57
480	11410.9893	0.2939	8001	0.4000	0,3,1	0.5000	13
481	499.5940	-0.2736	8001	0.4000	2,1,2	0.5000	38
4294967788	8769.4766	0.4313	7900	0.4000	2,1,1	0.5000	37
483	3031.7261	0.4194	8001	0.4000	1,0,1	0.5000	17
484	3849.9131	-0.0540	8001	0.4000	3,1,2	0.5000	54
497	13924.5049	0.3911	8001	0.4000	2,0,0	0.5000	32
502	7225.1147	0.4262	8001	0.4000	3,3,1	0.5000	61
487	6692.6846	0.1583	8001	0.4000	3,2,1	0.5000	57
488	9605.9014	0.1989	8001	0.4000	2,3,3	0.5000	47
489	7655.3301	-0.1029	8001	0.4000	0,1,2	0.5000	6
507	17091.8691	-0.2373	8001	0.4000	3,1,3	0.5000	55
499	2563.4810	-0.2882	8001	0.4000	3,0,3	0.5000	51
4294968162	10966.0938	0.4433	7500	0.4000	0,1,1	0.5000	5
17179870079	13892.4922	0.4990	7550	0.4000	1,0,0	0.5000	16
12884902562	7066.5801	0.3413	7250	0.4000	1,1,0	0.5000	20
17179870044	5079.2280	-0.1736	7000	0.4000	1,2,2	0.5000	26
8589935295	1662.5352	0.1317	6600	0.4000	1,0,2	0.5000	18
4294968975	96.9786	-0.2931	300	0.4000	2,2,1	0.5000	41
25769804538	4274.7217	0.0339	6100	0.4000	2,1,0	0.5000	36
25769804429	5652.5635	0.0826	6050	0.4000	1,1,3	0.5000	23
4294968009	2261.7773	0.2084	5850	0.4000	0,3,1	0.5000	13
12884902807	11530.2842	0.2854	5750	0.4000	2,1,1	0.5000	37
12884902827	8122.6304	-0.0581	5550	0.4000	1,1,1	0.5000	21
21474837009	3097.5674	0.2480	5250	0.4000	3,2,3	0.5000	59
12884902462	9202.8164	0.0539	5200	0.4000	3,3,0	0.5000	60
21474837564	4356.9775	-0.0846	3700	0.4000	0,2,0	0.5000	8
42949673719	2601.1062	-0.1628	4700	0.4000	3,0,2	0.5000	50
12884902665	2160.4700	0.4069	4600	0.4000	2,0,3	0.5000	35
25769804895	4402.0601	0.0559	3600	0.4000	3,2,3	0.5000	59
1061	4124.7627	-0.1584	4350	0.4000	2,0,1	0.5000	33
12884903038	1627.7640	0.4396	3650	0.4000	1,2,1	0.5000	25
17179870273	4110.0645	0.3756	3550	0.4000	2,2,1	0.5000	41
4294968512	2396.6377	-0.0936	3250	0.4000	1,2,3	0.5000	27
8589935839	1400.6350	0.1154	3200	0.4000	0,2,0	0.5000	8
8589936010	1682.6646	0.2921	2550	0.4000	2,3,3	0.5000	47
8589935902	2104.4563	0.1143	3000	0.4000	0,2,0	0.5000	8
17179870491	2207.7632	0.2504	2200	0.4000	0,2,0	0.5000	8
1445	2118.1428	-0.1497	2750	0.4000	2,3,1	0.5000	45
8589936073	69.4691	-0.0455	2700	0.4000	0,1,0	0.5000	4
21474837976	1040.3793	0.2004	1350	0.4000	3,0,2	0.5000	50
30064772543	31.3769	0.1098	50	0.4000	3,2,3	0.5000	59
42949674530	31.6292	-0.1021	200	0.4000	2,0,1	0.5000	33
30064771861	96.8867	-0.0481	150	0.4000	3,3,1	0.5000	61
12884903455	58.9253	-0.2599	100	0.4000	3,2,0	0.5000	56

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.1059	7904	7594
4294968208	488	4294968105	-0.4842	7848	7919
8589935257	481	502	-0.3043	7846	7703
4294967774	483	487	-0.3464	7846	7921
4294968015	500	4294968105	-0.4362	7844	7948
8589935384	489	4294968105	-0.1833	7823	7889
4294968026	483	507	-0.1216	7883	7896
4294967905	487	497	-0.5356	7865	7928
4294968108	480	499	0.9900	7868	7995
970	479	489	-0.1959	7936	7964
4294968149	475	489	-0.4796	7914	7899
4294968069	499	507	-0.6999	7946	7950
527	483	500	-0.1491	8000	7979
4294967993	489	4294967788	-0.2568	7756	7957
905	489	507	-0.4343	7970	7996
4294968168	487	500	-0.3361	7911	7978
963	484	497	-0.3135	7962	7762
4294967773	481	507	-0.3075	7814	7816
861	487	507	-0.1581	7975	7694
4294968106	507	4294967924	-0.0000	7927	73
12884902550	12884902562	12884902787	-0.2040	7174	7870
8589935102	507	4294968105	-0.2834	7827	7928
4294967772	481	488	-0.2819	7902	7820
8589935542	499	12884902787	0.2361	7175	7977
4294968021	502	4294967788	-0.1611	7872	7782
804	479	500	-0.3953	7981	7861
8589935352	480	12884902787	1.0000	7178	8000
973	475	487	0.8800	7936	7991
8589935377	500	4294967788	-0.3021	7857	7888
4294968249	497	4294967788	0.9665	7899	7983
4294968238	479	4294967788	-0.2141	7884	7975
4294968164	479	487	-0.0476	7858	7791
702	479	481	-0.2360	7988	7616
4294967964	499	4294967788	0.1959	7802	7983
859	475	481	-0.5858	7975	7923
8589935225	497	502	-0.4980	7921	7950
954	500	507	-0.4310	7963	7710
902	475	479	-0.3839	7970	7995
4294968072	475	480	-0.1571	7893	7970
837	480	502	0.1242	7977	7968
4294968271	475	4294967788	-0.0211	7893	7970
4294967845	4294968105	12884902787	-0.4678	7182	7969
557	475	497	0.9960	7997	7998
8589935196	507	4294967788	-0.2814	7850	7741
8589935480	483	4294968105	0.9550	7828	7977
4294968183	480	4294967788	-0.2004	7877	7906
765	500	502	-0.3475	7984	7649
17179870150	488	4294967788	-0.3160	7852	7838
563	481	487	-0.3372	7997	7707
4294968153	475	488	-0.2494	7885	7674
4294967808	479	4294968105	-0.1730	7809	7855
944	475	499	0.8619	7965	7994
4294968207	481	4294967788	-0.3241	7894	7955
834	483	499	-0.0486	7978	7994
8589935303	480	497	-0.5608	7921	7911
658	488	497	-0.4121	7991	7863
8589935174	480	4294968105	-0.3595	7844	7800
4294968116	481	483	-0.5870	7927	7929
930	479	488	-0.3965	7966	7847
8589935370	481	500	-0.3286	7912	7864
673	479	480	-0.3818	7990	7847
940	480	481	0.7351	7965	7960
4294968248	483	488	-0.3798	7906	7986
12884902487	484	499	-0.2966	7921	7928
4294968205	489	502	-0.3056	7959	7938
8589935136	483	4294967788	-0.4003	7797	7871
581	484	488	-0.6177	7996	7820
672	479	484	-0.5410	7990	7943
8589935362	479	502	-0.4626	7913	7994
584	484	487	-0.4533	7996	7994
781	479	499	-0.3730	7982	7851
746	480	489	-0.2803	7985	7929
709	497	500	-0.2087	7988	7949
4294968141	4294967788	4294968105	-0.3031	7830	7973
4294967986	480	483	-0.2836	7953	7870
21474837421	497	4294968162	-0.3671	7403	7969
591	475	507	0.0360	7995	7926
4294967897	475	4294968105	-0.3826	7831	7906
4294968033	475	484	-0.0535	7940	7999
4294968233	487	4294967788	-0.1074	7771	7949
8589935146	502	4294968105	0.8868	7833	7940
4294968018	488	507	-0.1745	7945	7942
597	484	500	-0.3123	7995	7910
8589935502	481	4294968105	-0.1274	7835	7884
17179869687	489	4294968162	-0.3555	7415	7982
600	480	488	-0.2605	7995	7850
8589935306	480	487	-0.1843	7779	7748
4294968095	475	483	-0.3396	7954	7773
4294968211	487	488	-0.0438	7960	7930
771	489	500	0.3246	7983	7986
605	497	499	-0.4861	7995	7888
682	488	500	-0.2668	7990	7796
21474836985	502	4294968162	-0.1177	7441	7955
4294967981	481	499	-0.2746	7953	8000
666	487	502	0.0251	7991	7996
689	479	483	-0.4868	7989	7971
830	483	484	0.9900	7978	7995
4294968062	484	4294967788	-0.1945	7880	7978
979	489	497	-0.2622	7934	7918
4294968200	475	502	-0.2504	7956	7959
615	480	484	-0.3956	7994	7987
4294968263	483	497	-0.4126	7949	7810
4294967922	499	4294968105	-0.2630	7839	7726
8589935100	484	4294968105	-0.7089	7839	7908
