# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	12836.7871	0.1711	10001	0.4000	2,2,1	0.5000	41
500	5819.3794	0.1045	10001	0.4000	0,1,3	0.5000	7
12884902787	8060.6982	0.4503	9200	0.4000	2,1,3	0.5000	39
4294968105	7342.6719	-0.1682	9850	0.4000	2,3,3	0.5000	47
479	4432.2437	0.1763	10001	0.4000	3,2,1	0.5000	57
480	12314.9893	0.2939	10001	0.4000	0,3,1	0.5000	13
481	308.5940	-0.2736	10001	0.4000	2,1,2	0.5000	38
4294967788	11388.4766	0.4313	9900	0.4000	2,1,1	0.5000	37
483	4197.7261	0.4194	10001	0.4000	1,0,1	0.5000	17
484	2948.9131	-0.0540	10001	0.4000	3,1,2	0.5000	54
497	14559.5049	0.3911	10001	0.4000	2,0,0	0.5000	32
502	8783.1152	0.4262	10001	0.4000	3,3,1	0.5000	61
487	8047.6846	0.1583	10001	0.4000	3,2,1	0.5000	57
488	11536.9014	0.1989	10001	0.4000	2,3,3	0.5000	47
489	7612.3301	-0.1029	10001	0.4000	0,1,2	0.5000	6
507	18705.8691	-0.2373	10001	0.4000	3,1,3	0.5000	55
499	5350.4810	-0.2882	10001	0.4000	3,0,3	0.5000	51
4294968162	11964.0938	0.4433	9500	0.4000	0,1,1	0.5000	5
17179870079	16643.4922	0.4990	9550	0.4000	1,0,0	0.5000	16
12884902562	9124.5801	0.3413	9250	0.4000	1,1,0	0.5000	20
17179870044	6292.2280	-0.1736	9000	0.4000	1,2,2	0.5000	26
8589935295	2528.5352	0.1317	8600	0.4000	1,0,2	0.5000	18
4294968975	819.9786	-0.2931	2300	0.4000	2,2,1	0.5000	41
25769804538	5702.7217	0.0339	8100	0.4000	2,1,0	0.5000	36
25769804429	7331.5635	0.0826	8050	0.4000	1,1,3	0.5000	23
4294968009	2732.7773	0.2084	7850	0.4000	0,3,1	0.5000	13
12884902807	13999.2842	0.2854	7750	0.4000	2,1,1	0.5000	37
12884902827	10082.6309	-0.0581	7550	0.4000	1,1,1	0.5000	21
21474837009	5581.5674	0.2480	7250	0.4000	3,2,3	0.5000	59
12884902462	12152.8164	0.0539	7200	0.4000	3,3,0	0.5000	60
21474837564	5395.9775	-0.0846	5700	0.4000	0,2,0	0.5000	8
42949673719	3525.1062	-0.1628	6700	0.4000	3,0,2	0.5000	50
12884902665	3468.4700	0.4069	6600	0.4000	2,0,3	0.5000	35
25769804895	6366.0601	0.0559	5600	0.4000	3,2,3	0.5000	59
1061	5540.7627	-0.1584	6350	0.4000	2,0,1	0.5000	33
12884903038	2292.7642	0.4396	5650	0.4000	1,2,1	0.5000	25
17179870273	5578.0645	0.3756	5550	0.4000	2,2,1	0.5000	41
4294968512	2500.6377	-0.0936	5250	0.4000	1,2,3	0.5000	27
8589935839	2950.6350	0.1154	5200	0.4000	0,2,0	0.5000	8
8589936010	2680.6646	0.2921	4550	0.4000	2,3,3	0.5000	47
8589935902	3549.4563	0.1143	5000	0.4000	0,2,0	0.5000	8
17179870491	3562.7632	0.2504	4200	0.4000	0,2,0	0.5000	8
1445	4095.1426	-0.1497	4750	0.4000	2,3,1	0.5000	45
8589936073	867.4691	-0.0455	4700	0.4000	0,1,0	0.5000	4
21474837976	4452.3794	0.2004	3350	0.4000	3,0,2	0.5000	50
103079216619	258.0378	0.3819	850	0.4000	0,1,0	0.5000	4
42949674530	1004.6293	-0.1021	2200	0.4000	2,0,1	0.5000	33
30064771861	1313.8867	-0.0481	2150	0.4000	3,3,1	0.5000	61
60129543108	221.3711	-0.1299	350	0.4000	2,0,1	0.5000	33
77309412820	19.6742	-0.0771	50	0.4000	3,2,3	0.5000	59
103079216710	39.5371	0.4791	150	0.4000	0,1,1	0.5000	5

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.3714	9904	9990
4294968208	488	4294968105	-0.4022	9848	9924
8589935257	481	502	-0.2865	9846	9973
4294967774	483	487	-0.4102	9846	9863
4294968015	500	4294968105	-0.4458	9844	9982
8589935384	489	4294968105	0.8716	9823	9984
4294968026	483	507	-0.2970	9883	9882
4294967905	487	497	0.0208	9865	9987
4294968108	480	499	0.8887	9868	9997
970	479	489	-0.4369	9936	9970
4294968149	475	489	-0.3852	9914	9846
4294968069	499	507	-0.2159	9946	9906
527	483	500	0.9841	10000	9992
4294967993	489	4294967788	-0.3320	9756	9905
905	489	507	-0.1933	9970	9969
4294968168	487	500	-0.3394	9911	9925
963	484	497	-0.4443	9962	9963
4294967773	481	507	-0.1187	9814	9854
861	487	507	-0.0891	9975	9953
4294968106	507	4294967924	-0.0000	9927	73
12884902550	12884902562	12884902787	0.9940	9174	9997
8589935102	507	4294968105	-0.2786	9827	9812
4294967772	481	488	-0.4500	9902	9990
8589935542	499	12884902787	-0.1542	9175	9559
4294968021	502	4294967788	-0.4449	9872	9996
804	479	500	-0.1603	9981	10000
8589935352	480	12884902787	0.9900	9178	9995
973	475	487	0.0295	9936	9968
8589935377	500	4294967788	-0.4314	9857	9977
4294968249	497	4294967788	-0.1492	9899	9981
4294968238	479	4294967788	-0.2139	9884	9931
4294968164	479	487	-0.5753	9858	9979
702	479	481	-0.4813	9988	9928
4294967964	499	4294967788	-0.3087	9802	9934
859	475	481	-0.2889	9975	10000
8589935225	497	502	-0.1277	9921	9857
954	500	507	-0.2909	9963	9898
902	475	479	0.0049	9970	9992
4294968072	475	480	-0.1516	9893	9935
837	480	502	-0.0557	9977	9970
4294968271	475	4294967788	-0.2716	9893	9770
4294967845	4294968105	12884902787	-0.1670	9182	9550
557	475	497	0.9436	9997	9971
8589935196	507	4294967788	-0.3052	9850	9683
8589935480	483	4294968105	0.6366	9828	9977
4294968183	480	4294967788	-0.2166	9877	9821
765	500	502	-0.1217	9984	9906
17179870150	488	4294967788	-0.4543	9852	9945
563	481	487	-0.3815	9997	9804
4294968153	475	488	-0.2838	9885	9659
4294967808	479	4294968105	-0.4151	9809	9995
944	475	499	0.5398	9965	9917
4294968207	481	4294967788	-0.1356	9894	9940
834	483	499	-0.1300	9978	9904
8589935303	480	497	-0.4855	9921	9994
658	488	497	-0.5461	9991	9999
8589935174	480	4294968105	-0.2706	9844	9911
4294968116	481	483	-0.2958	9927	9860
930	479	488	-0.4234	9966	9896
8589935370	481	500	-0.4970	9912	9961
673	479	480	0.0232	9990	9992
940	480	481	0.0080	9965	9946
4294968248	483	488	-0.4467	9906	9911
12884902487	484	499	-0.2105	9921	9736
4294968205	489	502	-0.5303	9959	9935
8589935136	483	4294967788	-0.2627	9797	9801
581	484	488	-0.2866	9996	9923
672	479	484	-0.2913	9990	9571
8589935362	479	502	-0.3903	9913	9997
584	484	487	-0.2442	9996	9922
781	479	499	-0.2318	9982	9926
746	480	489	-0.2120	9985	9578
709	497	500	-0.2530	9988	9810
4294968141	4294967788	4294968105	0.1587	9830	9829
4294967986	480	483	-0.0447	9953	9982
21474837421	497	4294968162	-0.0098	9403	9945
591	475	507	-0.3240	9995	9980
4294967897	475	4294968105	-0.0386	9831	9985
4294968033	475	484	0.0080	9940	10000
4294968233	487	4294967788	1.0000	9771	10000
8589935146	502	4294968105	0.0623	9833	9997
4294968018	488	507	0.0905	9945	9797
597	484	500	-0.3310	9995	9884
8589935502	481	4294968105	-0.4798	9835	9960
17179869687	489	4294968162	-0.3399	9415	9797
600	480	488	-0.3017	9995	9912
8589935306	480	487	-0.4459	9779	9956
4294968095	475	483	-0.4057	9954	9924
4294968211	487	488	-0.2925	9960	9983
771	489	500	-0.3779	9983	9960
605	497	499	-0.3067	9995	9931
682	488	500	-0.4104	9990	9942
