# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	16153.7871	0.1711	12001	0.4000	2,2,1	0.5000	41
500	6832.3794	0.1045	12001	0.4000	0,1,3	0.5000	7
12884902787	10338.6982	0.4503	11200	0.4000	2,1,3	0.5000	39
4294968105	9627.6719	-0.1682	11850	0.4000	2,3,3	0.5000	47
479	4375.2437	0.1763	12001	0.4000	3,2,1	0.5000	57
480	14097.9893	0.2939	12001	0.4000	0,3,1	0.5000	13
4294969280	444.9886	-0.2792	1350	0.4000	2,3,3	0.5000	47
4294967788	14296.4766	0.4313	11900	0.4000	2,1,1	0.5000	37
483	5104.7261	0.4194	12001	0.4000	1,0,1	0.5000	17
484	2878.9131	-0.0540	12001	0.4000	3,1,2	0.5000	54
497	15026.5049	0.3911	12001	0.4000	2,0,0	0.5000	32
502	10437.1152	0.4262	12001	0.4000	3,3,1	0.5000	61
487	7967.6846	0.1583	12001	0.4000	3,2,1	0.5000	57
488	12328.9014	0.1989	12001	0.4000	2,3,3	0.5000	47
489	8340.3301	-0.1029	12001	0.4000	0,1,2	0.5000	6
507	20456.8691	-0.2373	12001	0.4000	3,1,3	0.5000	55
499	6762.4810	-0.2882	12001	0.4000	3,0,3	0.5000	51
4294968162	13253.0938	0.4433	11500	0.4000	0,1,1	0.5000	5
17179870079	18247.4922	0.4990	11550	0.4000	1,0,0	0.5000	16
12884902562	11218.5801	0.3413	11250	0.4000	1,1,0	0.5000	20
17179870044	6344.2280	-0.1736	11000	0.4000	1,2,2	0.5000	26
8589935295	3422.5352	0.1317	10600	0.4000	1,0,2	0.5000	18
4294968975	942.9786	-0.2931	4300	0.4000	2,2,1	0.5000	41
25769804538	4343.7217	0.0339	10100	0.4000	2,1,0	0.5000	36
25769804429	9934.5635	0.0826	10050	0.4000	1,1,3	0.5000	23
4294968009	4007.7773	0.2084	9850	0.4000	0,3,1	0.5000	13
12884902807	16028.2842	0.2854	9750	0.4000	2,1,1	0.5000	37
12884902827	11631.6309	-0.0581	9550	0.4000	1,1,1	0.5000	21
21474837009	7510.5674	0.2480	9250	0.4000	3,2,3	0.5000	59
12884902462	16138.8164	0.0539	9200	0.4000	3,3,0	0.5000	60
21474837564	6824.9775	-0.0846	7700	0.4000	0,2,0	0.5000	8
42949673719	2553.1062	-0.1628	8700	0.4000	3,0,2	0.5000	50
12884902665	6242.4697	0.4069	8600	0.4000	2,0,3	0.5000	35
25769804895	7354.0601	0.0559	7600	0.4000	3,2,3	0.5000	59
1061	6303.7627	-0.1584	8350	0.4000	2,0,1	0.5000	33
12884903038	2616.7642	0.4396	7650	0.4000	1,2,1	0.5000	25
17179870273	8144.0645	0.3756	7550	0.4000	2,2,1	0.5000	41
4294968512	2861.6377	-0.0936	7250	0.4000	1,2,3	0.5000	27
8589935839	3239.6350	0.1154	7200	0.4000	0,2,0	0.5000	8
8589936010	3477.6646	0.2921	6550	0.4000	2,3,3	0.5000	47
8589935902	4834.4561	0.1143	7000	0.4000	0,2,0	0.5000	8
17179870491	4971.7632	0.2504	6200	0.4000	0,2,0	0.5000	8
1445	6509.1426	-0.1497	6750	0.4000	2,3,1	0.5000	45
8589936073	718.4691	-0.0455	6700	0.4000	0,1,0	0.5000	4
21474837976	6777.3794	0.2004	5350	0.4000	3,0,2	0.5000	50
103079216619	1469.0378	0.3819	2850	0.4000	0,1,0	0.5000	4
42949674530	3718.6294	-0.1021	4200	0.4000	2,0,1	0.5000	33
30064771861	3594.8867	-0.0481	4150	0.4000	3,3,1	0.5000	61
60129543108	1727.3711	-0.1299	2350	0.4000	2,0,1	0.5000	33
34359740310	11.3021	-0.1876	250	0.4000	3,1,0	0.5000	52
103079216710	1877.5371	0.4791	2150	0.4000	0,1,1	0.5000	5
1932	343.8936	0.4944	1600	0.4000	1,1,1	0.5000	21
68719477486	53.4710	0.4504	50	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.3140	11904	11906
4294968208	488	4294968105	-0.3100	11848	11984
4294968383	4294969280	42949673719	-0.3150	1252	11937
4294967774	483	487	-0.2993	11846	11999
4294968015	500	4294968105	-0.2169	11844	11681
8589935384	489	4294968105	0.9704	11823	11985
4294968026	483	507	-0.0776	11883	11861
4294967905	487	497	-0.3440	11865	11910
4294968108	480	499	0.1032	11868	11961
970	479	489	-0.2249	11936	11819
4294968149	475	489	-0.3479	11914	11697
4294968069	499	507	-0.1977	11946	11782
527	483	500	0.0119	12000	11859
4294967993	489	4294967788	-0.0912	11756	11905
905	489	507	0.3203	11970	11813
4294968168	487	500	-0.4353	11911	11998
963	484	497	-0.4203	11962	11973
34359740209	4294969280	17179870044	-0.3370	1279	11884
861	487	507	-0.0878	11975	11923
4294968106	507	4294967924	-0.0000	11927	73
12884902550	12884902562	12884902787	0.4307	11174	11965
8589935102	507	4294968105	-0.2531	11827	11916
30064772877	1932	4294969280	-0.4097	1280	11901
8589935542	499	12884902787	0.2182	11175	11806
4294968021	502	4294967788	-0.2204	11872	11963
804	479	500	-0.3409	11981	11908
8589935352	480	12884902787	1.0000	11178	12000
973	475	487	-0.0372	11936	11999
8589935377	500	4294967788	-0.1257	11857	11830
4294968249	497	4294967788	-0.5927	11899	11993
4294968238	479	4294967788	-0.2675	11884	11862
4294968164	479	487	0.0270	11858	11943
4294969180	1932	4294968009	-0.3217	1561	11968
4294967964	499	4294967788	-0.2604	11802	11605
30064772880	1932	42949673719	-0.4402	1474	11950
8589935225	497	502	-0.1859	11921	11842
954	500	507	-0.4057	11963	11873
902	475	479	-0.2733	11970	11827
4294968072	475	480	-0.3940	11893	11919
837	480	502	-0.3750	11977	11955
4294968271	475	4294967788	-0.0883	11893	11795
4294967845	4294968105	12884902787	-0.1047	11182	11336
557	475	497	0.9960	11997	11998
8589935196	507	4294967788	-0.3291	11850	11804
8589935480	483	4294968105	0.9841	11828	11992
4294968183	480	4294967788	-0.2558	11877	11959
765	500	502	-0.1964	11984	11993
17179870150	488	4294967788	-0.3948	11852	11915
8589936556	497	4294969280	-0.3838	1282	11983
4294968153	475	488	-0.3292	11885	11891
4294967808	479	4294968105	0.1115	11809	11923
944	475	499	0.7393	11965	11998
30064772845	4294968162	4294969280	-0.3145	1340	11908
834	483	499	-0.2446	11978	11817
8589935303	480	497	-0.2781	11921	11776
658	488	497	-0.2438	11991	11742
8589935174	480	4294968105	-0.1080	11844	11898
60129543937	1932	34359740310	-0.0998	1	11999
930	479	488	-0.2705	11966	11592
8589936457	4294969280	103079216710	-0.3332	1340	11987
673	479	480	-0.2940	11990	11964
17179871044	507	4294969280	-0.3368	1329	11839
4294968248	483	488	-0.4635	11906	11859
12884902487	484	499	-0.2444	11921	11895
4294968205	489	502	0.1882	11959	11951
8589935136	483	4294967788	-0.2712	11797	11962
581	484	488	-0.2980	11996	11856
672	479	484	-0.1002	11990	11886
8589935362	479	502	-0.3416	11913	11751
584	484	487	-0.2323	11996	11991
781	479	499	-0.1692	11982	11884
746	480	489	-0.2802	11985	11770
709	497	500	-0.3631	11988	11929
4294968141	4294967788	4294968105	0.5401	11830	11953
4294967986	480	483	-0.2679	11953	11912
21474837421	497	4294968162	-0.0492	11403	11875
591	475	507	-0.4714	11995	11984
4294967897	475	4294968105	-0.1865	11831	11829
4294968033	475	484	-0.4109	11940	11970
4294968233	487	4294967788	0.8482	11771	11996
8589935146	502	4294968105	0.7990	11833	11974
4294968018	488	507	0.2246	11945	11985
597	484	500	-0.2445	11995	11725
4294969271	4294969280	25769804538	-0.3157	1341	11933
17179869687	489	4294968162	-0.4758	11415	11945
600	480	488	-0.3484	11995	11913
8589935306	480	487	-0.5636	11779	11977
4294968095	475	483	0.9249	11954	11961
4294968211	487	488	-0.4790	11960	12000
771	489	500	-0.1487	11983	11905
605	497	499	-0.2811	11995	11732
682	488	500	-0.2013	11990	11995
21474836985	502	4294968162	-0.0636	11441	11861
