# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	18147.7871	0.1711	14001	0.4000	2,2,1	0.5000	41
500	6760.3794	0.1045	14001	0.4000	0,1,3	0.5000	7
12884902787	11322.6982	0.4503	13200	0.4000	2,1,3	0.5000	39
4294968105	10825.6719	-0.1682	13850	0.4000	2,3,3	0.5000	47
479	4742.2437	0.1763	14001	0.4000	3,2,1	0.5000	57
480	14773.9893	0.2939	14001	0.4000	0,3,1	0.5000	13
4294969280	2422.9888	-0.2792	3350	0.4000	2,3,3	0.5000	47
4294967788	17876.4766	0.4313	13900	0.4000	2,1,1	0.5000	37
483	7814.7261	0.4194	14001	0.4000	1,0,1	0.5000	17
484	5075.9131	-0.0540	14001	0.4000	3,1,2	0.5000	54
497	15816.5049	0.3911	14001	0.4000	2,0,0	0.5000	32
502	10549.1152	0.4262	14001	0.4000	3,3,1	0.5000	61
487	10440.6846	0.1583	14001	0.4000	3,2,1	0.5000	57
488	12347.9014	0.1989	14001	0.4000	2,3,3	0.5000	47
489	10447.3301	-0.1029	14001	0.4000	0,1,2	0.5000	6
507	21512.8691	-0.2373	14001	0.4000	3,1,3	0.5000	55
499	9588.4805	-0.2882	14001	0.4000	3,0,3	0.5000	51
4294968162	14614.0938	0.4433	13500	0.4000	0,1,1	0.5000	5
17179870079	19050.4922	0.4990	13550	0.4000	1,0,0	0.5000	16
12884902562	12729.5801	0.3413	13250	0.4000	1,1,0	0.5000	20
17179870044	6388.2280	-0.1736	13000	0.4000	1,2,2	0.5000	26
8589935295	4685.5352	0.1317	12600	0.4000	1,0,2	0.5000	18
4294968975	1105.9786	-0.2931	6300	0.4000	2,2,1	0.5000	41
25769804538	3341.7217	0.0339	12100	0.4000	2,1,0	0.5000	36
25769804429	12846.5635	0.0826	12050	0.4000	1,1,3	0.5000	23
4294968009	5090.7773	0.2084	11850	0.4000	0,3,1	0.5000	13
12884902807	17813.2852	0.2854	11750	0.4000	2,1,1	0.5000	37
12884902827	14816.6309	-0.0581	11550	0.4000	1,1,1	0.5000	21
21474837009	8630.5674	0.2480	11250	0.4000	3,2,3	0.5000	59
12884902462	19137.8164	0.0539	11200	0.4000	3,3,0	0.5000	60
21474837564	8205.9775	-0.0846	9700	0.4000	0,2,0	0.5000	8
42949673719	1578.1062	-0.1628	10700	0.4000	3,0,2	0.5000	50
12884902665	8998.4697	0.4069	10600	0.4000	2,0,3	0.5000	35
25769804895	7157.0601	0.0559	9600	0.4000	3,2,3	0.5000	59
1061	8249.7627	-0.1584	10350	0.4000	2,0,1	0.5000	33
12884903038	2729.7642	0.4396	9650	0.4000	1,2,1	0.5000	25
17179870273	10732.0645	0.3756	9550	0.4000	2,2,1	0.5000	41
4294968512	2801.6377	-0.0936	9250	0.4000	1,2,3	0.5000	27
8589935839	2297.6350	0.1154	9200	0.4000	0,2,0	0.5000	8
8589936010	3886.6646	0.2921	8550	0.4000	2,3,3	0.5000	47
8589935902	5444.4561	0.1143	9000	0.4000	0,2,0	0.5000	8
17179870491	7923.7632	0.2504	8200	0.4000	0,2,0	0.5000	8
1445	8354.1426	-0.1497	8750	0.4000	2,3,1	0.5000	45
8589936073	2255.4692	-0.0455	8700	0.4000	0,1,0	0.5000	4
21474837976	7446.3794	0.2004	7350	0.4000	3,0,2	0.5000	50
103079216619	2934.0378	0.3819	4850	0.4000	0,1,0	0.5000	4
42949674530	6951.6294	-0.1021	6200	0.4000	2,0,1	0.5000	33
30064771861	6367.8867	-0.0481	6150	0.4000	3,3,1	0.5000	61
60129543108	3459.3711	-0.1299	4350	0.4000	2,0,1	0.5000	33
1932	1811.8936	0.4944	3600	0.4000	1,1,1	0.5000	21
103079216710	3520.5371	0.4791	4150	0.4000	0,1,1	0.5000	5
42949674828	456.8792	-0.2486	1350	0.4000	1,3,3	0.5000	31
98784249624	4.8434	0.0720	100	0.4000	3,0,3	0.5000	51
98784249777	6.2968	0.4466	50	0.4000	3,2,0	0.5000	56

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.2381	13904	13948
4294968208	488	4294968105	-0.0110	13848	13978
4294968383	4294969280	42949673719	-0.3158	3252	13953
4294967774	483	487	0.0643	13846	13997
4294968015	500	4294968105	-0.3957	13844	13987
8589935384	489	4294968105	-0.1690	13823	13685
4294968026	483	507	-0.2882	13883	13930
4294967905	487	497	-0.4489	13865	13978
4294968108	480	499	-0.2144	13868	13736
970	479	489	-0.4301	13936	13913
4294968149	475	489	-0.0781	13914	13964
4294968069	499	507	-0.0519	13946	13778
527	483	500	-0.1718	14000	13835
4294967993	489	4294967788	-0.3009	13756	13839
905	489	507	0.0109	13970	13708
4294968168	487	500	-0.2060	13911	13770
963	484	497	-0.0992	13962	13648
34359740209	4294969280	17179870044	-0.4794	3279	13970
861	487	507	-0.2776	13975	13960
4294968106	507	4294967924	-0.0000	13927	73
12884902550	12884902562	12884902787	0.8835	13174	13993
8589935102	507	4294968105	-0.1991	13827	13828
30064772877	1932	4294969280	-0.0686	3280	13769
8589935542	499	12884902787	-0.1121	13175	13781
4294968021	502	4294967788	0.1273	13872	13890
804	479	500	-0.1361	13981	13941
8589935352	480	12884902787	-0.2528	13178	13884
973	475	487	-0.1857	13936	13836
8589935377	500	4294967788	-0.2590	13857	13856
4294968249	497	4294967788	-0.4764	13899	13965
4294968238	479	4294967788	0.1427	13884	13980
4294968164	479	487	0.6619	13858	13979
4294969180	1932	4294968009	-0.6233	3561	13994
4294967964	499	4294967788	-0.0939	13802	13386
30064772880	1932	42949673719	-0.3689	3474	14000
8589935225	497	502	0.2666	13921	13992
954	500	507	0.1391	13963	13962
902	475	479	-0.1752	13970	13861
4294968072	475	480	-0.2117	13893	13997
837	480	502	-0.5479	13977	14000
4294968271	475	4294967788	-0.3771	13893	13963
4294967845	4294968105	12884902787	-0.0871	13182	13919
557	475	497	1.0000	13997	14000
8589935196	507	4294967788	-0.0363	13850	13968
8589935480	483	4294968105	-0.1335	13828	13962
4294968183	480	4294967788	-0.2723	13877	13896
765	500	502	-0.1414	13984	13973
17179870150	488	4294967788	-0.2237	13852	13936
8589936556	497	4294969280	-0.1017	3282	13823
4294968153	475	488	-0.4794	13885	13951
4294967808	479	4294968105	-0.1893	13809	13980
944	475	499	0.0260	13965	13931
30064772845	4294968162	4294969280	-0.1970	3340	13663
834	483	499	-0.4240	13978	13982
8589935303	480	497	-0.2722	13921	13939
658	488	497	-0.1643	13991	13838
8589935174	480	4294968105	-0.3123	13844	13909
25769804635	497	38654707537	-0.0022	1911	12089
930	479	488	0.9383	13966	13983
8589936457	4294969280	103079216710	-0.5454	3340	13932
673	479	480	-0.0164	13990	13970
17179871044	507	4294969280	-0.0792	3329	13535
4294968248	483	488	-0.2853	13906	13667
12884902487	484	499	-0.0190	13921	13571
4294968205	489	502	0.2297	13959	13902
8589935136	483	4294967788	-0.0868	13797	13936
581	484	488	-0.0495	13996	13950
672	479	484	0.0278	13990	13993
8589935362	479	502	-0.3369	13913	13907
584	484	487	-0.1377	13996	13732
781	479	499	-0.4356	13982	13998
746	480	489	-0.5250	13985	13958
709	497	500	-0.1330	13988	13971
4294968141	4294967788	4294968105	-0.4397	13830	13996
4294967986	480	483	-0.1960	13953	13798
21474837421	497	4294968162	-0.2271	13403	13947
591	475	507	-0.2389	13995	13956
4294967897	475	4294968105	-0.3978	13831	13974
4294968033	475	484	0.6755	13940	13999
4294968233	487	4294967788	0.8887	13771	13997
8589935146	502	4294968105	-0.1266	13833	13730
4294968018	488	507	0.2244	13945	13981
597	484	500	-0.2111	13995	13924
4294969271	4294969280	25769804538	-0.0623	3341	13985
17179869687	489	4294968162	-0.2626	13415	13959
600	480	488	-0.3547	13995	13904
8589935306	480	487	-0.4436	13779	13944
4294968095	475	483	0.0610	13954	13978
4294968211	487	488	-0.1198	13960	13815
771	489	500	0.0441	13983	13793
605	497	499	-0.2650	13995	13572
682	488	500	-0.1318	13990	13975
21474836985	502	4294968162	0.0111	13441	13937
8589936470	499	4294969280	0.1230	3341	13941
666	487	502	-0.3479	13991	13737
