# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20170.7871	0.1711	16001	0.4000	2,2,1	0.5000	41
500	6837.3794	0.1045	16001	0.4000	0,1,3	0.5000	7
12884902787	12930.6982	0.4503	15200	0.4000	2,1,3	0.5000	39
4294968105	11492.6719	-0.1682	15850	0.4000	2,3,3	0.5000	47
479	4518.2437	0.1763	16001	0.4000	3,2,1	0.5000	57
480	15898.9893	0.2939	16001	0.4000	0,3,1	0.5000	13
4294969280	4596.9888	-0.2792	5350	0.4000	2,3,3	0.5000	47
4294967788	19541.4766	0.4313	15900	0.4000	2,1,1	0.5000	37
483	10066.7266	0.4194	16001	0.4000	1,0,1	0.5000	17
484	6688.9131	-0.0540	16001	0.4000	3,1,2	0.5000	54
497	16140.5049	0.3911	16001	0.4000	2,0,0	0.5000	32
502	11088.1152	0.4262	16001	0.4000	3,3,1	0.5000	61
487	11402.6846	0.1583	16001	0.4000	3,2,1	0.5000	57
488	11471.9014	0.1989	16001	0.4000	2,3,3	0.5000	47
489	12700.3301	-0.1029	16001	0.4000	0,1,2	0.5000	6
507	21255.8691	-0.2373	16001	0.4000	3,1,3	0.5000	55
499	11405.4805	-0.2882	16001	0.4000	3,0,3	0.5000	51
4294968162	14859.0938	0.4433	15500	0.4000	0,1,1	0.5000	5
17179870079	19116.4922	0.4990	15550	0.4000	1,0,0	0.5000	16
12884902562	13718.5801	0.3413	15250	0.4000	1,1,0	0.5000	20
17179870044	7194.2280	-0.1736	15000	0.4000	1,2,2	0.5000	26
8589935295	7260.5352	0.1317	14600	0.4000	1,0,2	0.5000	18
4294968975	285.9786	-0.2931	8300	0.4000	2,2,1	0.5000	41
25769804538	3745.7217	0.0339	14100	0.4000	2,1,0	0.5000	36
25769804429	13709.5635	0.0826	14050	0.4000	1,1,3	0.5000	23
4294968009	5621.7773	0.2084	13850	0.4000	0,3,1	0.5000	13
12884902807	19667.2852	0.2854	13750	0.4000	2,1,1	0.5000	37
12884902827	17902.6309	-0.0581	13550	0.4000	1,1,1	0.5000	21
21474837009	9088.5674	0.2480	13250	0.4000	3,2,3	0.5000	59
12884902462	20654.8164	0.0539	13200	0.4000	3,3,0	0.5000	60
21474837564	8874.9775	-0.0846	11700	0.4000	0,2,0	0.5000	8
42949673719	2404.1062	-0.1628	12700	0.4000	3,0,2	0.5000	50
12884902665	10014.4697	0.4069	12600	0.4000	2,0,3	0.5000	35
25769804895	6839.0601	0.0559	11600	0.4000	3,2,3	0.5000	59
1061	10687.7627	-0.1584	12350	0.4000	2,0,1	0.5000	33
12884903038	2722.7642	0.4396	11650	0.4000	1,2,1	0.5000	25
17179870273	9713.0645	0.3756	11550	0.4000	2,2,1	0.5000	41
4294968512	3381.6377	-0.0936	11250	0.4000	1,2,3	0.5000	27
8589935839	2069.6350	0.1154	11200	0.4000	0,2,0	0.5000	8
8589936010	4692.6646	0.2921	10550	0.4000	2,3,3	0.5000	47
8589935902	6031.4561	0.1143	11000	0.4000	0,2,0	0.5000	8
17179870491	11168.7637	0.2504	10200	0.4000	0,2,0	0.5000	8
1445	9764.1426	-0.1497	10750	0.4000	2,3,1	0.5000	45
8589936073	2194.4692	-0.0455	10700	0.4000	0,1,0	0.5000	4
21474837976	8051.3794	0.2004	9350	0.4000	3,0,2	0.5000	50
103079216619	3693.0378	0.3819	6850	0.4000	0,1,0	0.5000	4
42949674530	9398.6289	-0.1021	8200	0.4000	2,0,1	0.5000	33
30064771861	6869.8867	-0.0481	8150	0.4000	3,3,1	0.5000	61
60129543108	6347.3711	-0.1299	6350	0.4000	2,0,1	0.5000	33
1932	3586.8936	0.4944	5600	0.4000	1,1,1	0.5000	21
103079216710	4166.5371	0.4791	6150	0.4000	0,1,1	0.5000	5
42949674828	1852.8792	-0.2486	3350	0.4000	1,3,3	0.5000	31
34359740364	2219.5098	-0.1910	2000	0.4000	0,3,0	0.5000	12
42949674830	900.8361	0.1631	1950	0.4000	2,2,2	0.5000	42
4294969482	131.0944	0.3861	150	0.4000	1,1,1	0.5000	21
25769805868	49.0804	-0.2711	100	0.4000	1,0,0	0.5000	16
51539609635	111.4185	-0.1243	50	0.4000	0,3,2	0.5000	14

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.4252	15904	15994
4294968208	488	4294968105	-0.0611	15848	15994
4294968383	4294969280	42949673719	0.5217	5252	15954
4294967774	483	487	-0.2806	15846	15761
4294968015	500	4294968105	-0.2884	15844	15820
8589935384	489	4294968105	-0.2925	15823	15838
4294968026	483	507	-0.5667	15883	15962
4294967905	487	497	-0.2871	15865	15847
4294968108	480	499	-0.2024	15868	15852
970	479	489	-0.2855	15936	15967
4294968149	475	489	0.4192	15914	15998
4294968069	499	507	-0.1941	15946	15987
527	483	500	-0.2899	16000	15981
4294967993	489	4294967788	-0.3179	15756	15863
905	489	507	-0.2963	15970	15956
4294968168	487	500	-0.3551	15911	15934
963	484	497	-0.4872	15962	16000
34359740209	4294969280	17179870044	-0.1004	5279	15882
861	487	507	-0.2665	15975	15927
4294968106	507	4294967924	-0.0000	15927	73
12884902550	12884902562	12884902787	-0.4373	15174	15966
8589935102	507	4294968105	-0.0578	15827	15988
30064772877	1932	4294969280	-0.0928	5280	15930
8589935542	499	12884902787	-0.5341	15175	15937
4294968021	502	4294967788	-0.0679	15872	15961
804	479	500	-0.5223	15981	15972
8589935352	480	12884902787	-0.2270	15178	15978
973	475	487	0.1589	15936	15903
8589935377	500	4294967788	0.4812	15857	15986
4294968249	497	4294967788	-0.3388	15899	15817
4294968238	479	4294967788	-0.1017	15884	15882
4294968164	479	487	0.9861	15858	15993
4294969180	1932	4294968009	-0.1849	5561	15792
4294967964	499	4294967788	-0.3375	15802	15929
30064772880	1932	42949673719	-0.3891	5474	15898
8589935225	497	502	-0.4299	15921	15961
954	500	507	-0.0725	15963	15986
902	475	479	0.2927	15970	15944
4294968072	475	480	-0.2939	15893	15819
837	480	502	-0.2844	15977	15986
4294968271	475	4294967788	-0.1507	15893	15707
4294967845	4294968105	12884902787	-0.2907	15182	15911
557	475	497	0.9490	15997	15994
8589935196	507	4294967788	0.1594	15850	15968
8589935480	483	4294968105	-0.2712	15828	15964
4294968183	480	4294967788	-0.4407	15877	15990
765	500	502	-0.1545	15984	15888
17179870150	488	4294967788	-0.2794	15852	15978
8589936556	497	4294969280	-0.3335	5282	15975
4294968153	475	488	-0.4462	15885	15930
4294967808	479	4294968105	-0.1107	15809	15930
944	475	499	-0.1866	15965	15826
30064772845	4294968162	4294969280	-0.2389	5340	15981
834	483	499	-0.2967	15978	15795
8589935303	480	497	0.0493	15921	15944
658	488	497	-0.3966	15991	15872
8589935174	480	4294968105	-0.2344	15844	15643
25769804635	497	38654707537	-0.0000	3911	12089
930	479	488	-0.3426	15966	15917
8589936457	4294969280	103079216710	-0.4420	5340	15989
673	479	480	-0.1831	15990	15628
17179871044	507	4294969280	-0.2469	5329	15676
4294968248	483	488	-0.3477	15906	15984
12884902487	484	499	-0.4666	15921	15983
4294968205	489	502	-0.2761	15959	15934
8589935136	483	4294967788	-0.2704	15797	15898
581	484	488	-0.0856	15996	15719
672	479	484	-0.2178	15990	15906
8589935362	479	502	-0.1622	15913	15819
584	484	487	0.1233	15996	15775
781	479	499	-0.2458	15982	15938
746	480	489	-0.1917	15985	15950
709	497	500	-0.2892	15988	15846
4294968141	4294967788	4294968105	-0.1516	15830	15985
4294967986	480	483	0.9861	15953	15993
21474837421	497	4294968162	-0.2959	15403	15732
591	475	507	-0.1171	15995	15979
4294967897	475	4294968105	-0.4293	15831	15904
4294968033	475	484	0.0007	15940	15724
4294968233	487	4294967788	-0.2927	15771	15971
8589935146	502	4294968105	-0.4321	15833	15957
4294968018	488	507	-0.4045	15945	15944
597	484	500	-0.3065	15995	15979
4294969271	4294969280	25769804538	-0.0488	5341	15956
17179869687	489	4294968162	-0.0966	15415	15543
600	480	488	-0.2545	15995	15817
8589935306	480	487	-0.2331	15779	15825
4294968095	475	483	-0.2948	15954	15977
4294968211	487	488	-0.1591	15960	15916
771	489	500	0.5034	15983	15957
605	497	499	-0.2285	15995	15863
682	488	500	-0.1115	15990	15537
21474836985	502	4294968162	-0.2512	15441	15921
8589936470	499	4294969280	-0.2566	5341	15899
666	487	502	-0.3082	15991	15891
689	479	483	-0.3300	15989	15868
830	483	484	0.1829	15978	15987
4294968062	484	4294967788	-0.2384	15880	15941
979	489	497	-0.1152	15934	15983
4294968200	475	502	0.0043	15956	15952
615	480	484	-0.3231	15994	15874
4294968263	483	497	-0.3369	15949	15989
4294967922	499	4294968105	-0.1972	15839	15982
8589935100	484	4294968105	-0.3239	15839	15837
12884902702	507	4294968162	-0.4051	15437	15984
4294967839	499	500	0.1121	15937	15900
4294967802	479	497	-0.5204	15960	15928
622	488	499	-0.2208	15994	15939
956	479	507	-0.2971	15963	15868
4294968031	480	507	-0.3796	15945	15939
4294967787	487	4294968105	0.1466	15845	15973
852	487	489	-0.2360	15976	15828
884	488	502	-0.2597	15973	15830
21474837033	500	17179870079	-0.2058	15452	15936
807	502	507	-0.0959	15981	15864
8589936474	4294969280	21474837009	-0.0367	5344	15955
631	484	489	-0.1166	15993	16000
898	499	502	-0.3400	15971	15901
784	483	502	-0.2905	15982	15945
107374183944	4294969280	12884903038	-0.1561	5321	15989
635	497	507	-0.3468	15993	15761
12884902711	489	499	-0.1892	15895	15983
8589935431	497	4294968105	-0.3451	15839	15950
718	488	489	-0.1608	15987	15940
4294967832	484	502	-0.2186	15949	15860
704	484	507	-0.0408	15988	15867
641	475	500	-0.5574	15992	15968
8589935085	483	489	-0.2910	15957	15991
47244641816	1932	8589936073	-0.3176	5524	15723
17179870105	480	500	-0.3657	15730	15975
4294968136	497	17179870079	-0.1778	15527	15974
4294967815	487	17179870079	0.8029	15529	15980
12884902646	499	17179870079	-0.0102	15531	15876
8589935077	488	17179870079	-0.2160	15516	15918
4294968169	499	4294968162	-0.4264	15459	15960
8589935280	484	17179870079	-0.0437	15540	15948
4294968203	475	4294968162	-0.1996	15464	15830
4294967994	487	4294968162	-0.2972	15465	15987
17179870033	489	17179870079	-0.1525	15470	15785
85899347635	487	42949674804	-0.0000	4488	11512
4294967800	4294968105	4294968162	-0.2182	15470	15709
4294968011	4294967788	4294968162	0.3999	15477	15973
38654707491	4294969280	12884902562	-0.1371	5330	15922
8589935519	500	4294968162	-0.3045	15485	15906
8589935082	4294968105	17179870079	0.8500	15524	15977
8589935202	480	4294968162	-0.1524	15490	15952
4294968040	488	4294968162	-0.1805	15492	15535
4294968025	4294968162	17179870079	-0.2666	15492	15836
12884902684	502	17179870079	-0.4188	15543	15983
4294967909	484	4294968162	-0.3153	15497	15849
4294968117	483	4294968162	-0.3752	15498	15967
4294968002	479	4294968162	0.9861	15499	15993
12884902810	4294967788	17179870079	-0.1886	15549	15889
8589935333	483	17179870079	-0.4907	15543	15933
8589935349	507	17179870079	-0.4074	15545	15888
17179869739	475	17179870079	-0.2219	15547	15677
8589935106	479	17179870079	-0.2790	15546	15988
12884902821	480	17179870079	-0.1992	15545	15910
8589935328	489	12884902787	0.0182	15182	15929
8589935315	4294967788	12884902787	-0.1647	15182	15895
4294967855	483	12884902787	-0.4092	15184	15994
4294967884	12884902787	17179870079	-0.3227	15186	15981
8589935470	479	12884902787	0.0982	15187	15974
8589935195	484	12884902562	-0.2548	15187	15969
17179870129	4294968105	12884902562	0.8843	15213	15999
30064771570	484	12884902787	-0.4089	15192	15944
30064771889	487	12884902787	-0.2024	15194	15875
25769804323	480	12884902562	-0.4406	15195	15950
12884902444	4294967788	12884902562	-0.0746	15248	15971
17179870058	479	12884902562	-0.2376	15248	15818
12884903764	502	4294969280	0.9607	5347	15995
34359739022	499	12884902562	-0.2033	15247	15853
25769804351	489	12884902562	-0.1625	15247	15965
21474836966	12884902562	17179870079	0.0499	15246	15861
12884902726	4294968162	12884902787	-0.0879	15197	15969
25769804425	500	12884902562	-0.4105	15242	15962
21474837041	4294968162	12884902562	-0.3389	15237	15855
21474837234	475	12884902562	0.0025	15236	15977
25769804710	487	12884902562	-0.2534	15234	15785
30064771732	488	12884902562	-0.2379	15230	15951
17179869791	497	12884902562	-0.2347	15204	15766
21474836989	483	12884902562	-0.1644	15216	15999
25769804537	507	12884902562	-0.2549	15221	15957
21474837268	497	12884902787	-0.2834	15172	15719
12884902389	502	12884902787	0.0562	15171	15918
17179869910	500	12884902787	0.0247	15167	15962
25769804289	507	12884902787	-0.3284	15161	15899
8589935553	497	17179870044	-0.2690	14993	15730
42949673762	17179870044	17179870079	-0.1337	14968	15805
17179869725	475	12884902787	-0.0592	15142	16000
30064771753	502	17179870044	-0.1211	14969	15497
8589935467	499	17179870044	-0.3426	14969	15794
8589935570	489	17179870044	0.0128	14969	15941
12884902643	484	17179870044	-0.4492	14998	15966
21474837373	483	17179870044	0.2619	14997	15965
12884902767	4294967788	17179870044	-0.2293	14987	15873
12884903760	4294969280	12884902462	-0.3153	5349	15968
4294969276	4294969280	12884902807	0.0174	5349	15928
12884902525	502	12884902562	-0.1125	15039	15897
8589935486	479	17179870044	-0.3433	14990	15983
17179870165	488	12884902787	-0.0782	15049	15746
8589935360	500	17179870044	-0.1381	14995	15979
8589935439	487	17179870044	-0.0197	14992	15885
17179869916	12884902562	17179870044	-0.1058	14998	15951
21474837109	480	17179870044	-0.3058	14961	15916
8589935243	475	17179870044	-0.4181	14954	15988
12884902404	507	17179870044	-0.1365	14952	15892
21474837122	480	8589935361	-0.0000	14867	1133
