# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20841.7871	0.1711	18001	0.4000	2,2,1	0.5000	41
500	7693.3794	0.1045	18001	0.4000	0,1,3	0.5000	7
12884902787	12652.6982	0.4503	17200	0.4000	2,1,3	0.5000	39
4294968105	11605.6719	-0.1682	17850	0.4000	2,3,3	0.5000	47
479	4562.2437	0.1763	18001	0.4000	3,2,1	0.5000	57
480	17631.9883	0.2939	18001	0.4000	0,3,1	0.5000	13
4294969280	5642.9888	-0.2792	7350	0.4000	2,3,3	0.5000	47
4294967788	19742.4766	0.4313	17900	0.4000	2,1,1	0.5000	37
483	11630.7266	0.4194	18001	0.4000	1,0,1	0.5000	17
484	8354.9131	-0.0540	18001	0.4000	3,1,2	0.5000	54
497	16029.5049	0.3911	18001	0.4000	2,0,0	0.5000	32
502	11302.1152	0.4262	18001	0.4000	3,3,1	0.5000	61
487	13581.6846	0.1583	18001	0.4000	3,2,1	0.5000	57
488	11020.9014	0.1989	18001	0.4000	2,3,3	0.5000	47
489	13699.3301	-0.1029	18001	0.4000	0,1,2	0.5000	6
507	21072.8691	-0.2373	18001	0.4000	3,1,3	0.5000	55
499	12889.4805	-0.2882	18001	0.4000	3,0,3	0.5000	51
4294968162	16605.0938	0.4433	17500	0.4000	0,1,1	0.5000	5
17179870079	20193.4922	0.4990	17550	0.4000	1,0,0	0.5000	16
12884902562	14325.5801	0.3413	17250	0.4000	1,1,0	0.5000	20
17179870044	8905.2285	-0.1736	17000	0.4000	1,2,2	0.5000	26
8589935295	8520.5352	0.1317	16600	0.4000	1,0,2	0.5000	18
8589936867	70.9679	0.1654	50	0.4000	3,0,2	0.5000	50
25769804538	4797.7217	0.0339	16100	0.4000	2,1,0	0.5000	36
25769804429	13332.5635	0.0826	16050	0.4000	1,1,3	0.5000	23
4294968009	7345.7773	0.2084	15850	0.4000	0,3,1	0.5000	13
12884902807	21407.2852	0.2854	15750	0.4000	2,1,1	0.5000	37
12884902827	20416.6309	-0.0581	15550	0.4000	1,1,1	0.5000	21
21474837009	9104.5674	0.2480	15250	0.4000	3,2,3	0.5000	59
12884902462	22621.8164	0.0539	15200	0.4000	3,3,0	0.5000	60
21474837564	10409.9775	-0.0846	13700	0.4000	0,2,0	0.5000	8
42949673719	1048.1062	-0.1628	14700	0.4000	3,0,2	0.5000	50
12884902665	12015.4697	0.4069	14600	0.4000	2,0,3	0.5000	35
25769804895	6855.0601	0.0559	13600	0.4000	3,2,3	0.5000	59
1061	11551.7627	-0.1584	14350	0.4000	2,0,1	0.5000	33
12884903038	5035.7642	0.4396	13650	0.4000	1,2,1	0.5000	25
17179870273	8445.0645	0.3756	13550	0.4000	2,2,1	0.5000	41
4294968512	4049.6377	-0.0936	13250	0.4000	1,2,3	0.5000	27
8589935839	3270.6350	0.1154	13200	0.4000	0,2,0	0.5000	8
8589936010	4859.6646	0.2921	12550	0.4000	2,3,3	0.5000	47
8589935902	6505.4561	0.1143	13000	0.4000	0,2,0	0.5000	8
17179870491	13651.7637	0.2504	12200	0.4000	0,2,0	0.5000	8
1445	11576.1426	-0.1497	12750	0.4000	2,3,1	0.5000	45
8589936073	1606.4692	-0.0455	12700	0.4000	0,1,0	0.5000	4
21474837976	7369.3794	0.2004	11350	0.4000	3,0,2	0.5000	50
103079216619	4162.0381	0.3819	8850	0.4000	0,1,0	0.5000	4
42949674530	12127.6289	-0.1021	10200	0.4000	2,0,1	0.5000	33
30064771861	6863.8867	-0.0481	10150	0.4000	3,3,1	0.5000	61
60129543108	8958.3711	-0.1299	8350	0.4000	2,0,1	0.5000	33
1932	4754.8936	0.4944	7600	0.4000	1,1,1	0.5000	21
103079216710	5554.5371	0.4791	8150	0.4000	0,1,1	0.5000	5
42949674828	3139.8792	-0.2486	5350	0.4000	1,3,3	0.5000	31
34359740364	5461.5098	-0.1910	4000	0.4000	0,3,0	0.5000	12
42949674830	3279.8362	0.1631	3950	0.4000	2,2,2	0.5000	42
128849019820	368.6454	-0.1789	800	0.4000	1,3,0	0.5000	28

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.3579	17904	17873
4294968208	488	4294968105	0.2402	17848	17984
4294968383	4294969280	42949673719	-0.2465	7252	17792
4294967774	483	487	0.0330	17846	17932
4294968015	500	4294968105	-0.4991	17844	17966
8589935384	489	4294968105	-0.1260	17823	17874
4294968026	483	507	-0.1951	17883	17952
4294967905	487	497	0.0618	17865	17988
4294968108	480	499	-0.1290	17868	17778
970	479	489	0.0059	17936	17987
4294968149	475	489	0.6454	17914	17946
4294968069	499	507	-0.3627	17946	17982
527	483	500	0.2239	18000	17964
4294967993	489	4294967788	-0.2140	17756	17652
905	489	507	-0.2790	17970	17767
4294968168	487	500	-0.1354	17911	17579
963	484	497	-0.1769	17962	17761
34359740209	4294969280	17179870044	-0.2351	7279	17970
861	487	507	-0.1934	17975	17839
4294968106	507	4294967924	-0.0000	17927	73
12884902550	12884902562	12884902787	-0.3541	17174	17983
8589935102	507	4294968105	-0.2557	17827	17866
30064772877	1932	4294969280	-0.2173	7280	17843
8589935542	499	12884902787	-0.2170	17175	17869
4294968021	502	4294967788	-0.2757	17872	17972
804	479	500	-0.1237	17981	17846
8589935352	480	12884902787	-0.3566	17178	17883
973	475	487	0.7823	17936	17958
8589935377	500	4294967788	-0.2135	17857	17714
4294968249	497	4294967788	-0.2888	17899	17860
4294968238	479	4294967788	-0.3832	17884	17980
4294968164	479	487	0.0956	17858	17994
4294969180	1932	4294968009	-0.3565	7561	17957
4294967964	499	4294967788	-0.3684	17802	17902
30064772880	1932	42949673719	-0.3079	7474	17898
8589935225	497	502	-0.3416	17921	17845
954	500	507	0.8447	17963	17993
902	475	479	-0.2268	17970	17954
4294968072	475	480	-0.1194	17893	17483
837	480	502	0.0557	17977	17999
4294968271	475	4294967788	0.1050	17893	17997
4294967845	4294968105	12884902787	-0.2668	17182	17892
557	475	497	0.3108	17997	17944
8589935196	507	4294967788	-0.0550	17850	17901
8589935480	483	4294968105	-0.0617	17828	17793
4294968183	480	4294967788	-0.3842	17877	17993
765	500	502	-0.3614	17984	17851
17179870150	488	4294967788	-0.3098	17852	17995
8589936556	497	4294969280	0.0064	7282	17999
4294968153	475	488	-0.1860	17885	17825
4294967808	479	4294968105	0.3716	17809	17991
944	475	499	0.1004	17965	17798
30064772845	4294968162	4294969280	-0.1972	7340	17936
834	483	499	-0.1876	17978	17932
8589935303	480	497	-0.2440	17921	17955
658	488	497	-0.1956	17991	17881
8589935174	480	4294968105	-0.2743	17844	17923
25769804635	497	38654707537	-0.0000	5911	12089
930	479	488	-0.3999	17966	17938
8589936457	4294969280	103079216710	-0.2346	7340	17930
673	479	480	-0.0855	17990	17912
17179871044	507	4294969280	-0.1427	7329	17793
4294968248	483	488	0.0306	17906	17858
12884902487	484	499	-0.3594	17921	17984
4294968205	489	502	-0.1401	17959	17997
8589935136	483	4294967788	0.0289	17797	17850
581	484	488	0.4831	17996	17974
672	479	484	-0.0821	17990	17968
8589935362	479	502	-0.6693	17913	17941
584	484	487	0.6740	17996	17991
781	479	499	-0.4556	17982	17989
746	480	489	0.1422	17985	17925
709	497	500	-0.2185	17988	17834
4294968141	4294967788	4294968105	-0.2055	17830	17771
4294967986	480	483	-0.2319	17953	17953
21474837421	497	4294968162	-0.2273	17403	17851
591	475	507	-0.2848	17995	17983
4294967897	475	4294968105	-0.3798	17831	17978
4294968033	475	484	-0.3484	17940	17988
4294968233	487	4294967788	0.4819	17771	17974
8589935146	502	4294968105	-0.3715	17833	17885
4294968018	488	507	-0.1176	17945	17989
597	484	500	-0.0818	17995	17999
4294969271	4294969280	25769804538	-0.1355	7341	17734
17179869687	489	4294968162	0.0098	17415	17880
600	480	488	-0.2752	17995	17998
8589935306	480	487	-0.1012	17779	17951
4294968095	475	483	-0.3733	17954	17899
4294968211	487	488	-0.0470	17960	17969
771	489	500	-0.1823	17983	17968
605	497	499	-0.3803	17995	17984
682	488	500	-0.2573	17990	17928
21474836985	502	4294968162	0.3649	17441	17995
8589936470	499	4294969280	-0.3015	7341	17854
666	487	502	-0.2441	17991	17889
689	479	483	-0.2339	17989	17848
830	483	484	0.9841	17978	17992
