# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	23230.7871	0.1711	20001	0.4000	2,2,1	0.5000	41
500	8677.3789	0.1045	20001	0.4000	0,1,3	0.5000	7
12884902787	12561.6982	0.4503	19200	0.4000	2,1,3	0.5000	39
4294968105	11928.6719	-0.1682	19850	0.4000	2,3,3	0.5000	47
479	3486.2437	0.1763	20001	0.4000	3,2,1	0.5000	57
480	17764.9883	0.2939	20001	0.4000	0,3,1	0.5000	13
4294969280	6307.9888	-0.2792	9350	0.4000	2,3,3	0.5000	47
4294967788	18881.4766	0.4313	19900	0.4000	2,1,1	0.5000	37
483	12168.7266	0.4194	20001	0.4000	1,0,1	0.5000	17
484	9578.9131	-0.0540	20001	0.4000	3,1,2	0.5000	54
497	16787.5039	0.3911	20001	0.4000	2,0,0	0.5000	32
502	12311.1152	0.4262	20001	0.4000	3,3,1	0.5000	61
487	16604.6836	0.1583	20001	0.4000	3,2,1	0.5000	57
488	10536.9014	0.1989	20001	0.4000	2,3,3	0.5000	47
489	15474.3301	-0.1029	20001	0.4000	0,1,2	0.5000	6
507	20859.8691	-0.2373	20001	0.4000	3,1,3	0.5000	55
499	15294.4805	-0.2882	20001	0.4000	3,0,3	0.5000	51
4294968162	18531.0938	0.4433	19500	0.4000	0,1,1	0.5000	5
17179870079	21350.4922	0.4990	19550	0.4000	1,0,0	0.5000	16
12884902562	16156.5801	0.3413	19250	0.4000	1,1,0	0.5000	20
17179870044	10320.2285	-0.1736	19000	0.4000	1,2,2	0.5000	26
8589935295	9238.5352	0.1317	18600	0.4000	1,0,2	0.5000	18
42949674638	1535.2531	0.2069	1900	0.4000	3,3,1	0.5000	61
25769804538	6363.7217	0.0339	18100	0.4000	2,1,0	0.5000	36
25769804429	13356.5635	0.0826	18050	0.4000	1,1,3	0.5000	23
4294968009	8027.7773	0.2084	17850	0.4000	0,3,1	0.5000	13
12884902807	22240.2852	0.2854	17750	0.4000	2,1,1	0.5000	37
12884902827	21874.6309	-0.0581	17550	0.4000	1,1,1	0.5000	21
21474837009	10295.5674	0.2480	17250	0.4000	3,2,3	0.5000	59
12884902462	21246.8164	0.0539	17200	0.4000	3,3,0	0.5000	60
21474837564	10876.9775	-0.0846	15700	0.4000	0,2,0	0.5000	8
111669151758	20.0337	0.3693	100	0.4000	3,0,0	0.5000	48
12884902665	14665.4697	0.4069	16600	0.4000	2,0,3	0.5000	35
25769804895	7806.0601	0.0559	15600	0.4000	3,2,3	0.5000	59
1061	12685.7627	-0.1584	16350	0.4000	2,0,1	0.5000	33
12884903038	6881.7642	0.4396	15650	0.4000	1,2,1	0.5000	25
17179870273	8788.0645	0.3756	15550	0.4000	2,2,1	0.5000	41
4294968512	5314.6377	-0.0936	15250	0.4000	1,2,3	0.5000	27
8589935839	5366.6348	0.1154	15200	0.4000	0,2,0	0.5000	8
8589936010	5457.6646	0.2921	14550	0.4000	2,3,3	0.5000	47
8589935902	5722.4561	0.1143	15000	0.4000	0,2,0	0.5000	8
17179870491	15448.7637	0.2504	14200	0.4000	0,2,0	0.5000	8
1445	13015.1426	-0.1497	14750	0.4000	2,3,1	0.5000	45
8589936073	2210.4692	-0.0455	14700	0.4000	0,1,0	0.5000	4
21474837976	8015.3794	0.2004	13350	0.4000	3,0,2	0.5000	50
103079216619	4982.0381	0.3819	10850	0.4000	0,1,0	0.5000	4
42949674530	13912.6289	-0.1021	12200	0.4000	2,0,1	0.5000	33
30064771861	6425.8867	-0.0481	12150	0.4000	3,3,1	0.5000	61
60129543108	11491.3711	-0.1299	10350	0.4000	2,0,1	0.5000	33
1932	4959.8936	0.4944	9600	0.4000	1,1,1	0.5000	21
103079216710	6118.5371	0.4791	10150	0.4000	0,1,1	0.5000	5
42949674828	4507.8789	-0.2486	7350	0.4000	1,3,3	0.5000	31
34359740364	5165.5098	-0.1910	6000	0.4000	0,3,0	0.5000	12
42949674830	5888.8359	0.1631	5950	0.4000	2,2,2	0.5000	42
128849019820	1717.6454	-0.1789	2800	0.4000	1,3,0	0.5000	28
73014446058	65.0469	0.0396	50	0.4000	0,2,0	0.5000	8

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.1709	19904	19937
4294968208	488	4294968105	0.0140	19848	19989
64424511663	42949674828	73014446058	-0.0988	6	19994
4294967774	483	487	0.9627	19846	19981
4294968015	500	4294968105	-0.1889	19844	19958
8589935384	489	4294968105	-0.3353	19823	19951
4294968026	483	507	-0.2690	19883	19876
4294967905	487	497	0.7699	19865	19990
4294968108	480	499	-0.3515	19868	19899
970	479	489	0.0510	19936	19810
4294968149	475	489	0.6923	19914	19962
4294968069	499	507	-0.2294	19946	19824
527	483	500	0.0445	20000	19980
4294967993	489	4294967788	-0.3482	19756	19900
905	489	507	-0.1055	19970	19848
4294968168	487	500	-0.2206	19911	19612
963	484	497	-0.2693	19962	19579
34359740209	4294969280	17179870044	-0.3732	9279	19932
861	487	507	-0.0690	19975	19831
4294968106	507	4294967924	-0.0000	19927	73
12884902550	12884902562	12884902787	-0.1377	19174	19945
8589935102	507	4294968105	-0.2939	19827	19941
30064772877	1932	4294969280	-0.2948	9280	19886
8589935542	499	12884902787	0.2712	19175	19989
4294968021	502	4294967788	-0.2475	19872	19923
804	479	500	-0.4846	19981	19910
8589935352	480	12884902787	0.9205	19178	19995
973	475	487	-0.2337	19936	19951
8589935377	500	4294967788	-0.3336	19857	19779
4294968249	497	4294967788	-0.2008	19899	19997
4294968238	479	4294967788	-0.4079	19884	19958
4294968164	479	487	-0.4116	19858	20000
4294969180	1932	4294968009	-0.0581	9561	19942
4294967964	499	4294967788	-0.2917	19802	19880
90194315414	34359740364	73014446058	-0.1871	45	19978
8589935225	497	502	-0.2491	19921	19903
954	500	507	0.1608	19963	19999
902	475	479	-0.2356	19970	19965
4294968072	475	480	0.2436	19893	19958
837	480	502	-0.4051	19977	19970
4294968271	475	4294967788	-0.0960	19893	19854
4294967845	4294968105	12884902787	-0.3144	19182	19756
557	475	497	-0.2022	19997	19737
8589935196	507	4294967788	-0.2585	19850	19814
8589935480	483	4294968105	-0.1804	19828	19905
4294968183	480	4294967788	-0.4797	19877	19948
765	500	502	-0.3215	19984	19835
17179870150	488	4294967788	0.0204	19852	19616
8589936556	497	4294969280	-0.2933	9282	19956
4294968153	475	488	0.0389	19885	19953
4294967808	479	4294968105	-0.1793	19809	19847
944	475	499	-0.5344	19965	19982
30064772845	4294968162	4294969280	-0.4706	9340	19971
834	483	499	-0.0552	19978	19844
8589935303	480	497	-0.4810	19921	19950
658	488	497	-0.2452	19991	19951
8589935174	480	4294968105	0.1754	19844	19882
25769804635	497	38654707537	-0.0000	7911	12089
930	479	488	-0.7457	19966	19945
8589936457	4294969280	103079216710	0.1659	9340	20000
673	479	480	-0.1831	19990	19995
17179871044	507	4294969280	-0.3404	9329	19895
4294968248	483	488	-0.3975	19906	19994
12884902487	484	499	0.1952	19921	20000
4294968205	489	502	-0.1177	19959	19396
8589935136	483	4294967788	-0.2014	19797	19989
581	484	488	-0.3692	19996	19833
672	479	484	-0.3969	19990	19933
8589935362	479	502	-0.0763	19913	19882
584	484	487	0.6830	19996	19985
781	479	499	0.1575	19982	19975
746	480	489	-0.0125	19985	19936
709	497	500	-0.2414	19988	20000
4294968141	4294967788	4294968105	-0.2846	19830	19999
4294967986	480	483	-0.1676	19953	19950
21474837421	497	4294968162	-0.2162	19403	19708
591	475	507	-0.1192	19995	19798
4294967897	475	4294968105	-0.3204	19831	19971
4294968033	475	484	-0.1827	19940	19723
4294968233	487	4294967788	-0.3649	19771	19982
8589935146	502	4294968105	-0.0047	19833	19954
4294968018	488	507	-0.2695	19945	19984
597	484	500	-0.2660	19995	19908
4294969271	4294969280	25769804538	-0.0956	9341	19963
17179869687	489	4294968162	-0.2288	19415	19757
600	480	488	-0.1015	19995	19720
8589935306	480	487	0.2579	19779	19987
4294968095	475	483	-0.1528	19954	19954
4294968211	487	488	-0.3039	19960	19873
771	489	500	-0.2309	19983	19688
605	497	499	-0.2490	19995	19975
682	488	500	-0.3418	19990	19964
21474836985	502	4294968162	0.9980	19441	19999
8589936470	499	4294969280	-0.1746	9341	19880
666	487	502	-0.0984	19991	19946
689	479	483	-0.6420	19989	19967
830	483	484	0.5098	19978	19975
4294968062	484	4294967788	-0.4676	19880	19981
979	489	497	-0.3593	19934	19858
