# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	25074.7871	0.1711	22001	0.4000	2,2,1	0.5000	41
500	9104.3789	0.1045	22001	0.4000	0,1,3	0.5000	7
12884902787	13067.6982	0.4503	21200	0.4000	2,1,3	0.5000	39
4294968105	12305.6719	-0.1682	21850	0.4000	2,3,3	0.5000	47
479	3522.2437	0.1763	22001	0.4000	3,2,1	0.5000	57
480	19108.9883	0.2939	22001	0.4000	0,3,1	0.5000	13
4294969280	6567.9888	-0.2792	11350	0.4000	2,3,3	0.5000	47
4294967788	17496.4766	0.4313	21900	0.4000	2,1,1	0.5000	37
483	14122.7266	0.4194	22001	0.4000	1,0,1	0.5000	17
484	9345.9131	-0.0540	22001	0.4000	3,1,2	0.5000	54
497	16785.5039	0.3911	22001	0.4000	2,0,0	0.5000	32
502	12848.1152	0.4262	22001	0.4000	3,3,1	0.5000	61
487	19914.6836	0.1583	22001	0.4000	3,2,1	0.5000	57
488	9186.9014	0.1989	22001	0.4000	2,3,3	0.5000	47
489	15027.3301	-0.1029	22001	0.4000	0,1,2	0.5000	6
507	21338.8691	-0.2373	22001	0.4000	3,1,3	0.5000	55
499	17077.4805	-0.2882	22001	0.4000	3,0,3	0.5000	51
4294968162	19746.0938	0.4433	21500	0.4000	0,1,1	0.5000	5
17179870079	22018.4922	0.4990	21550	0.4000	1,0,0	0.5000	16
12884902562	16413.5801	0.3413	21250	0.4000	1,1,0	0.5000	20
17179870044	12519.2285	-0.1736	21000	0.4000	1,2,2	0.5000	26
8589935295	9587.5352	0.1317	20600	0.4000	1,0,2	0.5000	18
42949674638	3189.2529	0.2069	3900	0.4000	3,3,1	0.5000	61
25769804538	5673.7217	0.0339	20100	0.4000	2,1,0	0.5000	36
25769804429	12982.5635	0.0826	20050	0.4000	1,1,3	0.5000	23
4294968009	8781.7773	0.2084	19850	0.4000	0,3,1	0.5000	13
12884902807	21317.2852	0.2854	19750	0.4000	2,1,1	0.5000	37
12884902827	22949.6309	-0.0581	19550	0.4000	1,1,1	0.5000	21
21474837009	13708.5674	0.2480	19250	0.4000	3,2,3	0.5000	59
12884902462	19816.8164	0.0539	19200	0.4000	3,3,0	0.5000	60
21474837564	12415.9775	-0.0846	17700	0.4000	0,2,0	0.5000	8
128849019820	1282.6454	-0.1789	4800	0.4000	1,3,0	0.5000	28
12884902665	17021.4688	0.4069	18600	0.4000	2,0,3	0.5000	35
25769804895	8713.0605	0.0559	17600	0.4000	3,2,3	0.5000	59
1061	14463.7627	-0.1584	18350	0.4000	2,0,1	0.5000	33
12884903038	7472.7642	0.4396	17650	0.4000	1,2,1	0.5000	25
17179870273	10170.0645	0.3756	17550	0.4000	2,2,1	0.5000	41
4294968512	6061.6377	-0.0936	17250	0.4000	1,2,3	0.5000	27
8589935839	6337.6348	0.1154	17200	0.4000	0,2,0	0.5000	8
8589936010	6819.6646	0.2921	16550	0.4000	2,3,3	0.5000	47
8589935902	5747.4561	0.1143	17000	0.4000	0,2,0	0.5000	8
17179870491	16484.7637	0.2504	16200	0.4000	0,2,0	0.5000	8
1445	15353.1426	-0.1497	16750	0.4000	2,3,1	0.5000	45
8589936073	3361.4692	-0.0455	16700	0.4000	0,1,0	0.5000	4
21474837976	8849.3789	0.2004	15350	0.4000	3,0,2	0.5000	50
103079216619	6338.0381	0.3819	12850	0.4000	0,1,0	0.5000	4
42949674530	14238.6289	-0.1021	14200	0.4000	2,0,1	0.5000	33
30064771861	7009.8867	-0.0481	14150	0.4000	3,3,1	0.5000	61
60129543108	13482.3711	-0.1299	12350	0.4000	2,0,1	0.5000	33
1932	4774.8936	0.4944	11600	0.4000	1,1,1	0.5000	21
103079216710	6727.5371	0.4791	12150	0.4000	0,1,1	0.5000	5
42949674828	4791.8789	-0.2486	9350	0.4000	1,3,3	0.5000	31
34359740364	5436.5098	-0.1910	8000	0.4000	0,3,0	0.5000	12
42949674830	7665.8359	0.1631	7950	0.4000	2,2,2	0.5000	42
4294969635	47.5495	-0.2509	100	0.4000	0,1,0	0.5000	4
150323856616	881.2526	-0.2699	1550	0.4000	3,3,2	0.5000	62
64424511671	22.7713	-0.1698	250	0.4000	3,2,1	0.5000	57
163208759459	80.2805	0.4719	50	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.5426	21904	21929
4294968208	488	4294968105	-0.3601	21848	21927
73014445868	8589936073	73014446058	-0.0021	1924	20076
4294967774	483	487	-0.1313	21846	21761
4294968015	500	4294968105	-0.4040	21844	21982
8589935384	489	4294968105	-0.0541	21823	21798
4294968026	483	507	-0.0560	21883	21837
4294967905	487	497	0.6157	21865	21930
4294968108	480	499	-0.1447	21868	21876
970	479	489	-0.3379	21936	21994
4294968149	475	489	0.9900	21914	21995
4294968069	499	507	-0.1961	21946	21979
527	483	500	-0.3262	22000	21894
4294967993	489	4294967788	-0.4023	21756	21978
905	489	507	0.9920	21970	21996
4294968168	487	500	-0.3597	21911	21958
963	484	497	-0.6412	21962	21959
34359740209	4294969280	17179870044	-0.2712	11279	21944
861	487	507	-0.2754	21975	21979
4294968106	507	4294967924	-0.0000	21927	73
12884902550	12884902562	12884902787	-0.2411	21174	21891
8589935102	507	4294968105	-0.3494	21827	21875
30064772877	1932	4294969280	0.3835	11280	21950
8589935542	499	12884902787	-0.0009	21175	21882
4294968021	502	4294967788	-0.2141	21872	21889
804	479	500	-0.3063	21981	21890
8589935352	480	12884902787	0.8773	21178	21995
973	475	487	-0.1484	21936	21875
8589935377	500	4294967788	0.0570	21857	21976
4294968249	497	4294967788	-0.4731	21899	21964
4294968238	479	4294967788	-0.1248	21884	21977
4294968164	479	487	-0.2729	21858	21950
4294969180	1932	4294968009	-0.2624	11561	22000
4294967964	499	4294967788	-0.2427	21802	21879
42949675157	8589935295	77309413520	-0.0023	1881	20119
8589935225	497	502	-0.3240	21921	21877
954	500	507	-0.0644	21963	21942
902	475	479	-0.4019	21970	21997
4294968072	475	480	-0.1850	21893	21984
837	480	502	-0.0305	21977	21974
4294968271	475	4294967788	-0.2455	21893	21780
4294967845	4294968105	12884902787	-0.5572	21182	21908
557	475	497	-0.3422	21997	21788
8589935196	507	4294967788	-0.2832	21850	21751
8589935480	483	4294968105	0.0267	21828	21967
4294968183	480	4294967788	-0.2535	21877	21942
765	500	502	0.1497	21984	21652
17179870150	488	4294967788	-0.6837	21852	21961
8589936556	497	4294969280	-0.3394	11282	21722
4294968153	475	488	-0.1087	21885	21937
4294967808	479	4294968105	-0.2521	21809	21910
944	475	499	0.0234	21965	21977
30064772845	4294968162	4294969280	0.0376	11340	21965
834	483	499	-0.0825	21978	21743
8589935303	480	497	-0.0061	21921	21979
658	488	497	-0.3250	21991	21885
8589935174	480	4294968105	-0.1391	21844	21937
25769804635	497	38654707537	-0.0000	9911	12089
930	479	488	-0.2036	21966	21962
8589936457	4294969280	103079216710	-0.3510	11340	22000
673	479	480	-0.3719	21990	21922
17179871044	507	4294969280	-0.3804	11329	21906
4294968248	483	488	-0.3451	21906	21864
12884902487	484	499	-0.1727	21921	21804
4294968205	489	502	-0.2284	21959	21977
8589935136	483	4294967788	-0.1868	21797	21628
581	484	488	-0.4384	21996	21922
672	479	484	-0.4583	21990	21972
8589935362	479	502	-0.1239	21913	21893
584	484	487	-0.1704	21996	21900
781	479	499	0.9083	21982	21983
746	480	489	0.9743	21985	21987
709	497	500	-0.3687	21988	21925
4294968141	4294967788	4294968105	-0.2802	21830	21846
4294967986	480	483	-0.0818	21953	21811
21474837421	497	4294968162	-0.0620	21403	21614
591	475	507	-0.2376	21995	21855
4294967897	475	4294968105	0.1640	21831	21966
4294968033	475	484	-0.2537	21940	21903
4294968233	487	4294967788	-0.2951	21771	21739
8589935146	502	4294968105	0.1933	21833	21959
4294968018	488	507	-0.2753	21945	21822
597	484	500	-0.1874	21995	21970
4294969271	4294969280	25769804538	-0.1932	11341	22000
17179869687	489	4294968162	-0.5309	21415	22000
600	480	488	-0.1770	21995	21968
8589935306	480	487	-0.0303	21779	21964
4294968095	475	483	-0.1568	21954	21563
4294968211	487	488	0.0912	21960	21909
771	489	500	-0.6660	21983	21967
605	497	499	-0.1827	21995	21962
682	488	500	-0.1403	21990	21960
21474836985	502	4294968162	-0.3099	21441	21969
8589936470	499	4294969280	-0.4178	11341	21774
666	487	502	-0.4956	21991	21833
689	479	483	-0.1879	21989	21476
830	483	484	-0.3631	21978	21688
4294968062	484	4294967788	-0.4467	21880	21985
979	489	497	-0.4821	21934	21976
4294968200	475	502	-0.3947	21956	21869
615	480	484	-0.3305	21994	21833
4294968263	483	497	0.9861	21949	21993
