# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	27114.7871	0.1711	24001	0.4000	2,2,1	0.5000	41
500	8563.3789	0.1045	24001	0.4000	0,1,3	0.5000	7
12884902787	15312.6982	0.4503	23200	0.4000	2,1,3	0.5000	39
4294968105	14076.6719	-0.1682	23850	0.4000	2,3,3	0.5000	47
479	3471.2437	0.1763	24001	0.4000	3,2,1	0.5000	57
480	20791.9883	0.2939	24001	0.4000	0,3,1	0.5000	13
4294969280	5317.9888	-0.2792	13350	0.4000	2,3,3	0.5000	47
4294967788	16270.4766	0.4313	23900	0.4000	2,1,1	0.5000	37
483	16064.7266	0.4194	24001	0.4000	1,0,1	0.5000	17
484	9602.9131	-0.0540	24001	0.4000	3,1,2	0.5000	54
497	17884.5039	0.3911	24001	0.4000	2,0,0	0.5000	32
502	14123.1152	0.4262	24001	0.4000	3,3,1	0.5000	61
487	21537.6836	0.1583	24001	0.4000	3,2,1	0.5000	57
488	7278.9014	0.1989	24001	0.4000	2,3,3	0.5000	47
489	16036.3301	-0.1029	24001	0.4000	0,1,2	0.5000	6
507	22528.8691	-0.2373	24001	0.4000	3,1,3	0.5000	55
499	18255.4805	-0.2882	24001	0.4000	3,0,3	0.5000	51
4294968162	20441.0938	0.4433	23500	0.4000	0,1,1	0.5000	5
17179870079	24122.4922	0.4990	23550	0.4000	1,0,0	0.5000	16
12884902562	17132.5801	0.3413	23250	0.4000	1,1,0	0.5000	20
17179870044	14109.2285	-0.1736	23000	0.4000	1,2,2	0.5000	26
8589935295	10522.5352	0.1317	22600	0.4000	1,0,2	0.5000	18
42949674638	4341.2529	0.2069	5900	0.4000	3,3,1	0.5000	61
25769804538	5266.7217	0.0339	22100	0.4000	2,1,0	0.5000	36
25769804429	11045.5635	0.0826	22050	0.4000	1,1,3	0.5000	23
4294968009	9493.7773	0.2084	21850	0.4000	0,3,1	0.5000	13
12884902807	19830.2852	0.2854	21750	0.4000	2,1,1	0.5000	37
12884902827	22538.6309	-0.0581	21550	0.4000	1,1,1	0.5000	21
21474837009	16730.5664	0.2480	21250	0.4000	3,2,3	0.5000	59
12884902462	20616.8164	0.0539	21200	0.4000	3,3,0	0.5000	60
21474837564	13523.9775	-0.0846	19700	0.4000	0,2,0	0.5000	8
128849019820	757.6454	-0.1789	6800	0.4000	1,3,0	0.5000	28
12884902665	20111.4688	0.4069	20600	0.4000	2,0,3	0.5000	35
25769804895	10223.0605	0.0559	19600	0.4000	3,2,3	0.5000	59
1061	17386.7617	-0.1584	20350	0.4000	2,0,1	0.5000	33
12884903038	8363.7637	0.4396	19650	0.4000	1,2,1	0.5000	25
17179870273	11412.0645	0.3756	19550	0.4000	2,2,1	0.5000	41
4294968512	7108.6377	-0.0936	19250	0.4000	1,2,3	0.5000	27
8589935839	7181.6348	0.1154	19200	0.4000	0,2,0	0.5000	8
8589936010	8161.6641	0.2921	18550	0.4000	2,3,3	0.5000	47
8589935902	6819.4561	0.1143	19000	0.4000	0,2,0	0.5000	8
17179870491	17351.7637	0.2504	18200	0.4000	0,2,0	0.5000	8
1445	16475.1426	-0.1497	18750	0.4000	2,3,1	0.5000	45
8589936073	3790.4692	-0.0455	18700	0.4000	0,1,0	0.5000	4
21474837976	9322.3789	0.2004	17350	0.4000	3,0,2	0.5000	50
103079216619	7048.0381	0.3819	14850	0.4000	0,1,0	0.5000	4
42949674530	16368.6289	-0.1021	16200	0.4000	2,0,1	0.5000	33
30064771861	9018.8867	-0.0481	16150	0.4000	3,3,1	0.5000	61
60129543108	13737.3711	-0.1299	14350	0.4000	2,0,1	0.5000	33
1932	5174.8936	0.4944	13600	0.4000	1,1,1	0.5000	21
103079216710	7531.5371	0.4791	14150	0.4000	0,1,1	0.5000	5
42949674828	5272.8789	-0.2486	11350	0.4000	1,3,3	0.5000	31
34359740364	5507.5098	-0.1910	10000	0.4000	0,3,0	0.5000	12
42949674830	8540.8359	0.1631	9950	0.4000	2,2,2	0.5000	42
85899346907	65.1799	0.1472	250	0.4000	1,1,0	0.5000	20
150323856616	1318.2526	-0.2699	3550	0.4000	3,3,2	0.5000	62
111669151481	54.1005	-0.0357	50	0.4000	3,1,3	0.5000	55
42949675268	84.9147	0.3791	100	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.3120	23904	23884
4294968208	488	4294968105	0.6705	23848	23997
73014445868	8589936073	73014446058	-0.0000	3924	20076
4294967774	483	487	-0.3294	23846	23982
4294968015	500	4294968105	-0.2677	23844	23809
8589935384	489	4294968105	0.0373	23823	23961
4294968026	483	507	-0.0941	23883	23945
4294967905	487	497	-0.2239	23865	23942
4294968108	480	499	-0.3083	23868	23911
970	479	489	-0.1931	23936	23790
4294968149	475	489	0.8401	23914	23989
4294968069	499	507	-0.3426	23946	23756
527	483	500	-0.1511	24000	23644
4294967993	489	4294967788	0.9960	23756	23998
905	489	507	0.9724	23970	23986
4294968168	487	500	-0.1923	23911	23870
963	484	497	-0.3056	23962	23808
34359740209	4294969280	17179870044	-0.2294	13279	23845
861	487	507	-0.4159	23975	23989
4294968106	507	4294967924	-0.0000	23927	73
12884902550	12884902562	12884902787	-0.2074	23174	23997
8589935102	507	4294968105	-0.3170	23827	23945
30064772877	1932	4294969280	-0.1859	13280	23940
8589935542	499	12884902787	-0.1965	23175	23993
4294968021	502	4294967788	-0.2346	23872	23961
804	479	500	-0.3685	23981	23940
8589935352	480	12884902787	0.9305	23178	23964
973	475	487	-0.2263	23936	23972
8589935377	500	4294967788	-0.0966	23857	23970
4294968249	497	4294967788	-0.3111	23899	23771
4294968238	479	4294967788	-0.2191	23884	23926
4294968164	479	487	0.0925	23858	23921
4294969180	1932	4294968009	-0.2297	13561	23739
4294967964	499	4294967788	-0.3478	23802	23969
42949675157	8589935295	77309413520	-0.0000	3881	20119
8589935225	497	502	0.0305	23921	23965
954	500	507	0.0739	23963	23987
902	475	479	-0.3825	23970	23994
4294968072	475	480	-0.2985	23893	23864
837	480	502	0.0157	23977	23671
4294968271	475	4294967788	-0.1838	23893	23994
4294967845	4294968105	12884902787	-0.2608	23182	23976
557	475	497	-0.0979	23997	23279
8589935196	507	4294967788	-0.2794	23850	23999
8589935480	483	4294968105	0.0231	23828	23974
4294968183	480	4294967788	-0.3594	23877	23982
765	500	502	1.0000	23984	24000
17179870150	488	4294967788	-0.3710	23852	23931
8589936556	497	4294969280	-0.2173	13282	23938
4294968153	475	488	-0.2151	23885	23748
4294967808	479	4294968105	-0.0222	23809	23871
944	475	499	-0.1904	23965	23818
30064772845	4294968162	4294969280	-0.3126	13340	23813
834	483	499	-0.2476	23978	23866
8589935303	480	497	-0.1644	23921	23986
658	488	497	-0.1123	23991	23884
8589935174	480	4294968105	-0.2973	23844	23951
25769804635	497	38654707537	-0.0000	11911	12089
930	479	488	0.8606	23966	23991
8589936457	4294969280	103079216710	-0.3254	13340	23877
673	479	480	-0.3880	23990	23775
17179871044	507	4294969280	-0.2987	13329	23985
4294968248	483	488	-0.3310	23906	23895
12884902487	484	499	0.2488	23921	23998
4294968205	489	502	0.1106	23959	23948
8589935136	483	4294967788	-0.2288	23797	23736
581	484	488	-0.3398	23996	23841
672	479	484	-0.3474	23990	23980
8589935362	479	502	-0.2887	23913	23995
584	484	487	-0.3790	23996	23985
781	479	499	-0.1019	23982	24000
746	480	489	0.8334	23985	23985
709	497	500	-0.3296	23988	23949
4294968141	4294967788	4294968105	-0.4076	23830	23972
4294967986	480	483	-0.3771	23953	23997
21474837421	497	4294968162	-0.1683	23403	23929
591	475	507	-0.3666	23995	23939
4294967897	475	4294968105	0.6544	23831	24000
4294968033	475	484	-0.4447	23940	23826
4294968233	487	4294967788	-0.2532	23771	23881
8589935146	502	4294968105	-0.3595	23833	23975
4294968018	488	507	-0.2248	23945	23763
597	484	500	-0.5390	23995	23920
4294969271	4294969280	25769804538	0.2319	13341	23970
17179869687	489	4294968162	-0.3930	23415	23888
600	480	488	-0.3749	23995	23949
8589935306	480	487	-0.4397	23779	23979
4294968095	475	483	-0.1051	23954	23879
4294968211	487	488	-0.4752	23960	23968
771	489	500	0.0780	23983	23991
605	497	499	-0.1023	23995	23911
682	488	500	-0.2224	23990	23755
21474836985	502	4294968162	0.0830	23441	23997
8589936470	499	4294969280	-0.4583	13341	23956
666	487	502	-0.0767	23991	23710
689	479	483	0.1101	23989	23971
830	483	484	-0.0212	23978	23978
4294968062	484	4294967788	-0.6725	23880	23979
979	489	497	0.0887	23934	23867
4294968200	475	502	-0.2069	23956	23982
615	480	484	-0.4065	23994	23996
4294968263	483	497	0.3527	23949	23960
