# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	27451.7871	0.1711	26001	0.4000	2,2,1	0.5000	41
500	7773.3789	0.1045	26001	0.4000	0,1,3	0.5000	7
12884902787	15200.6982	0.4503	25200	0.4000	2,1,3	0.5000	39
4294968105	14989.6719	-0.1682	25850	0.4000	2,3,3	0.5000	47
479	2971.2437	0.1763	26001	0.4000	3,2,1	0.5000	57
480	22530.9883	0.2939	26001	0.4000	0,3,1	0.5000	13
4294969280	5017.9888	-0.2792	15350	0.4000	2,3,3	0.5000	47
4294967788	14365.4766	0.4313	25900	0.4000	2,1,1	0.5000	37
483	18241.7266	0.4194	26001	0.4000	1,0,1	0.5000	17
484	10141.9131	-0.0540	26001	0.4000	3,1,2	0.5000	54
497	18257.5039	0.3911	26001	0.4000	2,0,0	0.5000	32
502	16365.1152	0.4262	26001	0.4000	3,3,1	0.5000	61
487	22761.6836	0.1583	26001	0.4000	3,2,1	0.5000	57
488	7283.9014	0.1989	26001	0.4000	2,3,3	0.5000	47
489	16460.3301	-0.1029	26001	0.4000	0,1,2	0.5000	6
507	24898.8691	-0.2373	26001	0.4000	3,1,3	0.5000	55
499	18680.4805	-0.2882	26001	0.4000	3,0,3	0.5000	51
4294968162	21088.0938	0.4433	25500	0.4000	0,1,1	0.5000	5
17179870079	27165.4922	0.4990	25550	0.4000	1,0,0	0.5000	16
12884902562	18232.5801	0.3413	25250	0.4000	1,1,0	0.5000	20
17179870044	16282.2285	-0.1736	25000	0.4000	1,2,2	0.5000	26
8589935295	11906.5352	0.1317	24600	0.4000	1,0,2	0.5000	18
42949674638	5912.2529	0.2069	7900	0.4000	3,3,1	0.5000	61
25769804538	5925.7217	0.0339	24100	0.4000	2,1,0	0.5000	36
25769804429	10052.5635	0.0826	24050	0.4000	1,1,3	0.5000	23
4294968009	9783.7773	0.2084	23850	0.4000	0,3,1	0.5000	13
12884902807	18798.2852	0.2854	23750	0.4000	2,1,1	0.5000	37
12884902827	23155.6309	-0.0581	23550	0.4000	1,1,1	0.5000	21
21474837009	18269.5664	0.2480	23250	0.4000	3,2,3	0.5000	59
12884902462	21963.8164	0.0539	23200	0.4000	3,3,0	0.5000	60
21474837564	14222.9775	-0.0846	21700	0.4000	0,2,0	0.5000	8
128849019820	1446.6454	-0.1789	8800	0.4000	1,3,0	0.5000	28
12884902665	21807.4688	0.4069	22600	0.4000	2,0,3	0.5000	35
25769804895	10341.0605	0.0559	21600	0.4000	3,2,3	0.5000	59
1061	19073.7617	-0.1584	22350	0.4000	2,0,1	0.5000	33
12884903038	9875.7637	0.4396	21650	0.4000	1,2,1	0.5000	25
17179870273	12074.0645	0.3756	21550	0.4000	2,2,1	0.5000	41
4294968512	7817.6377	-0.0936	21250	0.4000	1,2,3	0.5000	27
8589935839	8041.6348	0.1154	21200	0.4000	0,2,0	0.5000	8
8589936010	10085.6641	0.2921	20550	0.4000	2,3,3	0.5000	47
8589935902	6931.4561	0.1143	21000	0.4000	0,2,0	0.5000	8
17179870491	17817.7637	0.2504	20200	0.4000	0,2,0	0.5000	8
1445	16479.1426	-0.1497	20750	0.4000	2,3,1	0.5000	45
8589936073	4587.4692	-0.0455	20700	0.4000	0,1,0	0.5000	4
21474837976	9565.3789	0.2004	19350	0.4000	3,0,2	0.5000	50
103079216619	7745.0381	0.3819	16850	0.4000	0,1,0	0.5000	4
42949674530	18306.6289	-0.1021	18200	0.4000	2,0,1	0.5000	33
30064771861	9528.8867	-0.0481	18150	0.4000	3,3,1	0.5000	61
60129543108	14175.3711	-0.1299	16350	0.4000	2,0,1	0.5000	33
1932	6784.8936	0.4944	15600	0.4000	1,1,1	0.5000	21
103079216710	8490.5371	0.4791	16150	0.4000	0,1,1	0.5000	5
42949674828	4970.8789	-0.2486	13350	0.4000	1,3,3	0.5000	31
34359740364	5226.5098	-0.1910	12000	0.4000	0,3,0	0.5000	12
42949674830	8548.8359	0.1631	11950	0.4000	2,2,2	0.5000	42
68719479070	78.1435	0.3819	50	0.4000	2,2,3	0.5000	43
150323856616	2715.2524	-0.2699	5550	0.4000	3,3,2	0.5000	62

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.3626	25904	25913
4294968208	488	4294968105	0.9920	25848	25996
73014445868	8589936073	73014446058	-0.0000	5924	20076
4294967774	483	487	-0.1143	25846	25554
4294968015	500	4294968105	-0.1704	25844	25956
8589935384	489	4294968105	-0.2480	25823	25790
4294968026	483	507	-0.1746	25883	25937
4294967905	487	497	-0.4267	25865	25954
4294968108	480	499	-0.3358	25868	25890
970	479	489	-0.1685	25936	25808
4294968149	475	489	0.9249	25914	25961
4294968069	499	507	-0.1208	25946	25933
527	483	500	-0.2635	26000	25952
4294967993	489	4294967788	-0.2239	25756	25980
905	489	507	0.7813	25970	25974
4294968168	487	500	0.0112	25911	25966
963	484	497	0.0298	25962	25654
34359740209	4294969280	17179870044	-0.3154	15279	25792
861	487	507	-0.0944	25975	26000
4294968106	507	4294967924	-0.0000	25927	73
12884902550	12884902562	12884902787	-0.0091	25174	25804
8589935102	507	4294968105	0.7311	25827	25999
30064772877	1932	4294969280	0.0076	15280	25809
8589935542	499	12884902787	-0.1388	25175	25834
4294968021	502	4294967788	-0.3672	25872	25914
804	479	500	-0.4465	25981	25976
8589935352	480	12884902787	0.9783	25178	25998
973	475	487	-0.3771	25936	25961
8589935377	500	4294967788	-0.1200	25857	25878
4294968249	497	4294967788	-0.0889	25899	25990
4294968238	479	4294967788	-0.1144	25884	25767
4294968164	479	487	-0.3506	25858	25994
4294969180	1932	4294968009	-0.4684	15561	25991
4294967964	499	4294967788	-0.2249	25802	25893
42949675157	8589935295	77309413520	-0.0000	5881	20119
8589935225	497	502	0.2463	25921	25827
954	500	507	-0.0302	25963	25981
902	475	479	-0.1660	25970	25613
4294968072	475	480	-0.3955	25893	25943
837	480	502	-0.4041	25977	25945
4294968271	475	4294967788	-0.1482	25893	25766
4294967845	4294968105	12884902787	-0.4185	25182	25953
557	475	497	-0.1467	25997	25347
8589935196	507	4294967788	-0.3055	25850	25801
8589935480	483	4294968105	-0.1765	25828	25743
4294968183	480	4294967788	-0.3702	25877	25719
765	500	502	0.5523	25984	25987
17179870150	488	4294967788	-0.3740	25852	25880
8589936556	497	4294969280	-0.3777	15282	25942
4294968153	475	488	0.0030	25885	25999
4294967808	479	4294968105	0.0310	25809	25897
944	475	499	-0.1069	25965	25880
30064772845	4294968162	4294969280	-0.1342	15340	25939
834	483	499	-0.2641	25978	25818
8589935303	480	497	-0.0793	25921	25928
658	488	497	-0.3834	25991	25866
8589935174	480	4294968105	-0.4670	25844	25953
25769804635	497	38654707537	-0.0000	13911	12089
930	479	488	0.7115	25966	25997
8589936457	4294969280	103079216710	-0.0033	15340	25974
673	479	480	-0.1993	25990	25995
17179871044	507	4294969280	-0.2193	15329	25791
4294968248	483	488	0.1192	25906	25983
12884902487	484	499	0.2022	25921	25966
4294968205	489	502	-0.0967	25959	25744
8589935136	483	4294967788	0.3988	25797	25996
581	484	488	-0.4190	25996	25881
672	479	484	-0.4798	25990	25923
8589935362	479	502	-0.1745	25913	25939
584	484	487	0.0556	25996	25990
781	479	499	-0.4459	25982	25952
746	480	489	0.7067	25985	25997
709	497	500	-0.4505	25988	25931
4294968141	4294967788	4294968105	-0.1843	25830	25880
4294967986	480	483	-0.2475	25953	25975
21474837421	497	4294968162	-0.2690	25403	25885
591	475	507	-0.0791	25995	25998
4294967897	475	4294968105	-0.4997	25831	25965
4294968033	475	484	-0.3060	25940	25834
4294968233	487	4294967788	-0.3414	25771	25907
8589935146	502	4294968105	-0.2408	25833	25889
4294968018	488	507	-0.3334	25945	25759
597	484	500	-0.4174	25995	25955
4294969271	4294969280	25769804538	-0.2088	15341	25906
17179869687	489	4294968162	-0.3720	25415	25900
600	480	488	0.0574	25995	25941
8589935306	480	487	-0.2801	25779	25816
4294968095	475	483	-0.2406	25954	25808
4294968211	487	488	0.1200	25960	25977
771	489	500	0.2195	25983	25998
605	497	499	-0.1778	25995	25775
682	488	500	-0.1973	25990	25717
21474836985	502	4294968162	-0.4627	25441	25942
8589936470	499	4294969280	-0.3916	15341	25942
666	487	502	-0.1847	25991	25947
689	479	483	-0.2291	25989	25976
830	483	484	-0.0796	25978	25883
4294968062	484	4294967788	-0.4672	25880	25949
979	489	497	-0.2023	25934	25921
