# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	29640.7871	0.1711	28001	0.4000	2,2,1	0.5000	41
500	6507.3789	0.1045	28001	0.4000	0,1,3	0.5000	7
12884902787	14415.6982	0.4503	27200	0.4000	2,1,3	0.5000	39
4294968105	14685.6719	-0.1682	27850	0.4000	2,3,3	0.5000	47
479	3895.2437	0.1763	28001	0.4000	3,2,1	0.5000	57
480	23163.9883	0.2939	28001	0.4000	0,3,1	0.5000	13
4294969280	6053.9888	-0.2792	17350	0.4000	2,3,3	0.5000	47
4294967788	13813.4766	0.4313	27900	0.4000	2,1,1	0.5000	37
483	20287.7266	0.4194	28001	0.4000	1,0,1	0.5000	17
484	10661.9131	-0.0540	28001	0.4000	3,1,2	0.5000	54
497	18214.5039	0.3911	28001	0.4000	2,0,0	0.5000	32
502	17631.1152	0.4262	28001	0.4000	3,3,1	0.5000	61
487	23429.6836	0.1583	28001	0.4000	3,2,1	0.5000	57
488	7459.9014	0.1989	28001	0.4000	2,3,3	0.5000	47
489	16273.3301	-0.1029	28001	0.4000	0,1,2	0.5000	6
507	26428.8691	-0.2373	28001	0.4000	3,1,3	0.5000	55
499	18121.4805	-0.2882	28001	0.4000	3,0,3	0.5000	51
4294968162	22997.0938	0.4433	27500	0.4000	0,1,1	0.5000	5
17179870079	27578.4922	0.4990	27550	0.4000	1,0,0	0.5000	16
12884902562	20451.5801	0.3413	27250	0.4000	1,1,0	0.5000	20
17179870044	17793.2285	-0.1736	27000	0.4000	1,2,2	0.5000	26
8589935295	13992.5352	0.1317	26600	0.4000	1,0,2	0.5000	18
42949674638	7849.2529	0.2069	9900	0.4000	3,3,1	0.5000	61
25769804538	6053.7217	0.0339	26100	0.4000	2,1,0	0.5000	36
25769804429	10735.5635	0.0826	26050	0.4000	1,1,3	0.5000	23
4294968009	9723.7773	0.2084	25850	0.4000	0,3,1	0.5000	13
12884902807	18353.2852	0.2854	25750	0.4000	2,1,1	0.5000	37
12884902827	25373.6309	-0.0581	25550	0.4000	1,1,1	0.5000	21
21474837009	18550.5664	0.2480	25250	0.4000	3,2,3	0.5000	59
12884902462	23519.8164	0.0539	25200	0.4000	3,3,0	0.5000	60
21474837564	15423.9775	-0.0846	23700	0.4000	0,2,0	0.5000	8
128849019820	2369.6455	-0.1789	10800	0.4000	1,3,0	0.5000	28
12884902665	22992.4688	0.4069	24600	0.4000	2,0,3	0.5000	35
25769804895	12277.0605	0.0559	23600	0.4000	3,2,3	0.5000	59
1061	21523.7617	-0.1584	24350	0.4000	2,0,1	0.5000	33
12884903038	10192.7637	0.4396	23650	0.4000	1,2,1	0.5000	25
17179870273	13256.0645	0.3756	23550	0.4000	2,2,1	0.5000	41
4294968512	7860.6377	-0.0936	23250	0.4000	1,2,3	0.5000	27
8589935839	8664.6348	0.1154	23200	0.4000	0,2,0	0.5000	8
8589936010	12017.6641	0.2921	22550	0.4000	2,3,3	0.5000	47
8589935902	5635.4561	0.1143	23000	0.4000	0,2,0	0.5000	8
17179870491	18990.7637	0.2504	22200	0.4000	0,2,0	0.5000	8
1445	17109.1426	-0.1497	22750	0.4000	2,3,1	0.5000	45
8589936073	5903.4692	-0.0455	22700	0.4000	0,1,0	0.5000	4
21474837976	11174.3789	0.2004	21350	0.4000	3,0,2	0.5000	50
103079216619	8376.0381	0.3819	18850	0.4000	0,1,0	0.5000	4
42949674530	20790.6289	-0.1021	20200	0.4000	2,0,1	0.5000	33
30064771861	10336.8867	-0.0481	20150	0.4000	3,3,1	0.5000	61
60129543108	16279.3711	-0.1299	18350	0.4000	2,0,1	0.5000	33
1932	7967.8936	0.4944	17600	0.4000	1,1,1	0.5000	21
103079216710	9443.5371	0.4791	18150	0.4000	0,1,1	0.5000	5
42949674828	5361.8789	-0.2486	15350	0.4000	1,3,3	0.5000	31
34359740364	5199.5098	-0.1910	14000	0.4000	0,3,0	0.5000	12
42949674830	8853.8359	0.1631	13950	0.4000	2,2,2	0.5000	42
68719479070	1384.1434	0.3819	2050	0.4000	2,2,3	0.5000	43
150323856616	3388.2524	-0.2699	7550	0.4000	3,3,2	0.5000	62
55834577164	109.4030	-0.2583	50	0.4000	2,2,1	0.5000	41
283467842100	76.5000	-0.2832	150	0.4000	1,1,2	0.5000	22
133143988524	339.6194	0.3617	550	0.4000	0,1,1	0.5000	5
274877909127	53.2787	0.2824	200	0.4000	2,3,0	0.5000	44

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968036	487	499	-0.2311	27904	27950
4294968208	488	4294968105	-0.3276	27848	27830
73014445868	8589936073	73014446058	-0.0000	7924	20076
4294967774	483	487	-0.2412	27846	27832
4294968015	500	4294968105	-0.3445	27844	27864
8589935384	489	4294968105	-0.5784	27823	27981
4294968026	483	507	-0.2382	27883	27947
4294967905	487	497	-0.1571	27865	27967
4294968108	480	499	-0.2672	27868	27953
970	479	489	-0.2428	27936	27977
4294968149	475	489	0.4667	27914	27995
4294968069	499	507	-0.2695	27946	27592
527	483	500	-0.3235	28000	27842
4294967993	489	4294967788	-0.2229	27756	27914
905	489	507	0.4129	27970	28000
4294968168	487	500	0.5092	27911	27974
963	484	497	-0.1578	27962	27893
34359740209	4294969280	17179870044	-0.1123	17279	27961
861	487	507	-0.1566	27975	27981
4294968106	507	4294967924	-0.0000	27927	73
12884902550	12884902562	12884902787	-0.0937	27174	27804
8589935102	507	4294968105	0.8437	27827	27994
30064772877	1932	4294969280	-0.3795	17280	27950
8589935542	499	12884902787	-0.3874	27175	27904
4294968021	502	4294967788	-0.3731	27872	27914
804	479	500	0.0977	27981	27971
8589935352	480	12884902787	0.9665	27178	27983
973	475	487	-0.2369	27936	27996
8589935377	500	4294967788	0.9763	27857	27988
4294968249	497	4294967788	-0.2089	27899	27951
4294968238	479	4294967788	-0.5656	27884	27993
4294968164	479	487	-0.3188	27858	27949
4294969180	1932	4294968009	-0.3230	17561	27812
4294967964	499	4294967788	-0.3116	27802	27746
42949675157	8589935295	77309413520	-0.0000	7881	20119
8589935225	497	502	0.0523	27921	27814
954	500	507	-0.2997	27963	27761
902	475	479	-0.1796	27970	27605
4294968072	475	480	-0.4469	27893	27877
837	480	502	-0.6525	27977	27938
4294968271	475	4294967788	-0.1613	27893	27771
4294967845	4294968105	12884902787	-0.4747	27182	27877
557	475	497	-0.3790	27997	27931
8589935196	507	4294967788	-0.2073	27850	27872
8589935480	483	4294968105	-0.1183	27828	27790
4294968183	480	4294967788	0.0567	27877	27879
765	500	502	0.9920	27984	27996
17179870150	488	4294967788	-0.4102	27852	27933
8589936556	497	4294969280	-0.3238	17282	27936
4294968153	475	488	0.0857	27885	27930
4294967808	479	4294968105	-0.1867	27809	27944
944	475	499	-0.3416	27965	27908
30064772845	4294968162	4294969280	0.2908	17340	27975
834	483	499	-0.2503	27978	27754
8589935303	480	497	-0.2963	27921	27838
658	488	497	-0.4296	27991	27975
8589935174	480	4294968105	-0.0500	27844	27953
25769804635	497	38654707537	-0.0000	15911	12089
930	479	488	0.9588	27966	27979
8589936457	4294969280	103079216710	-0.1535	17340	27737
673	479	480	-0.0765	27990	27886
17179871044	507	4294969280	-0.2189	17329	27931
4294968248	483	488	0.0833	27906	27904
12884902487	484	499	-0.3222	27921	27998
4294968205	489	502	-0.1081	27959	27946
8589935136	483	4294967788	-0.0609	27797	27841
581	484	488	-0.4347	27996	27955
672	479	484	-0.2007	27990	27979
8589935362	479	502	-0.3333	27913	27962
584	484	487	-0.0454	27996	27868
781	479	499	-0.0988	27982	27958
746	480	489	0.8753	27985	27995
709	497	500	-0.3314	27988	27958
4294968141	4294967788	4294968105	-0.0311	27830	27985
4294967986	480	483	-0.4121	27953	27958
21474837421	497	4294968162	0.9455	27403	27972
591	475	507	-0.2052	27995	27901
4294967897	475	4294968105	-0.0450	27831	27922
4294968033	475	484	-0.0365	27940	27971
4294968233	487	4294967788	-0.2145	27771	27893
8589935146	502	4294968105	-0.0739	27833	27717
4294968018	488	507	-0.2160	27945	27848
597	484	500	-0.5502	27995	27999
4294969271	4294969280	25769804538	-0.0751	17341	27817
17179869687	489	4294968162	0.3202	27415	27963
600	480	488	-0.2896	27995	27981
8589935306	480	487	-0.2445	27779	27839
4294968095	475	483	0.0732	27954	27992
4294968211	487	488	-0.3118	27960	27904
771	489	500	-0.3147	27983	27945
605	497	499	-0.1863	27995	27776
682	488	500	-0.4073	27990	27954
21474836985	502	4294968162	-0.3942	27441	27878
8589936470	499	4294969280	-0.2527	17341	27803
666	487	502	-0.4691	27991	27995
689	479	483	-0.0310	27989	27758
830	483	484	-0.1494	27978	27821
4294968062	484	4294967788	-0.3681	27880	27729
979	489	497	-0.2563	27934	27754
4294968200	475	502	-0.4098	27956	27970
615	480	484	0.1621	27994	27960
4294968263	483	497	0.0382	27949	27925
4294967922	499	4294968105	0.6126	27839	27983
8589935100	484	4294968105	0.2226	27839	27917
12884902702	507	4294968162	-0.4745	27437	27980
